title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
ACCADA: A Framework for Continuous Context-Aware Deployment and Adaptation,"Ning Gui,    Vincenzo De Florio,    Hong Sun…",2009,https://link.springer.com/chapter/10.1007/978-3-642-05118-0_23,No PDF available,,,1,9,https://doi.org/10.1007/978-3-642-05118-0_23
A middleware platform for the dynamic evolution of distributed component-based systems,"Yu Zhou,    Xiaoxing Ma,    Harald Gall",2014,https://link.springer.com/article/10.1007/s00607-014-0396-7,No PDF available,,,1,2,https://doi.org/10.1007/s00607-014-0396-7
"Factory of the Future: A Service-oriented System of Modular, Dynamic Reconfigurable and Collaborative Systems","A.-W. Colombo,    S. Karnouskos,    J.-M. Mendes",2010,https://link.springer.com/chapter/10.1007/978-1-84996-119-6_15,No PDF available,,,1,29,https://doi.org/10.1007/978-1-84996-119-6_15
Designing the 5G network infrastructure: a flexible and reconfigurable architecture based on context and content information,"Dario Sabella,    Pablo Serrano,    Giovanni Stea…",2018,https://link.springer.com/article/10.1186/s13638-018-1215-1,https://link.springer.com/content/pdf/10.1186%2Fs13638-018-1215-1.pdf,,,1,No cite count available,https://doi.org/10.1186/s13638-018-1215-1
Posters,No author available,2009,https://link.springer.com/article/10.1007/s12603-009-0095-9,No PDF available,,,1,2,https://doi.org/10.1007/s12603-009-0095-9
Towards a Dynamically Reconfigurable Automotive Control System Architecture,"Richard Anthony,    Achim Rettberg,    Dejiu Chen…",2007,https://link.springer.com/chapter/10.1007/978-0-387-72258-0_7,https://link.springer.com/content/pdf/10.1007%2F978-0-387-72258-0_7.pdf,,,1,10,https://doi.org/10.1007/978-0-387-72258-0_7
"Distributed Leadership: Theory and Practice Dimensions in Systems, Schools, and Communities","Greer Johnson,    Neil Dempster,    Elizabeth Wheeley",2016,https://link.springer.com/chapter/10.1007/978-3-319-28302-9_1,No PDF available,,,1,No cite count available,https://doi.org/10.1007/978-3-319-28302-9_1
Abstracts from the 36th Annual Meeting of the Society of General Internal Medicine,No author available,2013,https://link.springer.com/article/10.1007/s11606-013-2436-y,No PDF available,,,1,3,https://doi.org/10.1007/s11606-013-2436-y
Specifying Reusable Controllers for Software Components,"José M. Troya,    Antonio Vallecillo",1999,https://link.springer.com/chapter/10.1007/978-0-387-35562-7_11,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35562-7_11.pdf,,,1,1,https://doi.org/10.1007/978-0-387-35562-7_11
An approach towards adaptive service composition in markets of composed services,"Alexander Jungmann,    Felix Mohr",2015,https://link.springer.com/article/10.1186/s13174-015-0022-8,https://link.springer.com/content/pdf/10.1186%2Fs13174-015-0022-8.pdf,,,1,5,https://doi.org/10.1186/s13174-015-0022-8
