title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;nix;nix;nix;nix;;;;
Aspect oriented middleware for Internet of things: a state-of-the art survey of service discovery approaches;SM Balakrishnan, AK Sangaiah - Int. J. Intell. Eng. Syst, 2015 - inass.org;2015;http://www.inass.org/share/2015123103.pdf;http://www.inass.org/share/2015123103.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;10;No DOI available;;;;;;;;
I Mulder;R van Eijk, I Mulder, H ter Hofte, M Steen - Telematica Instituut, Freeband Frux D, 2004;2004;/citations?user=HYUtrGkAAAAJ&hl=de&oi=sra;No PDF available;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;45;No DOI available;;;;;;;;
Mobile middleware solutions for the adaptive management of multimedia QoS to wireless portable devices;P Bellavista, A Corradi - null, 2003 - ieeexplore.ieee.org;2003;https://ieeexplore.ieee.org/abstract/document/1410974/;http://lia.deis.unibo.it/Staff/PaoloBellavista/papers/words03.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;7;No DOI available;;;;;;;;
Parallel analytic hierarchy process for web service discovery and composition;M Thirumaran, P Dhavachelvan, P Lakshmi… - Proceedings of the 8th …, 2011 - dl.acm.org;2011;https://dl.acm.org/citation.cfm?id=1982631;No PDF available;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;6;No DOI available;;;;;;;;
Sustainability science: an integrated approach for health-programme planning;RL Gruen, JH Elliott, ML Nolan, PD Lawton, A Parkhill… - The Lancet, 2008 - Elsevier;2008;https://www.sciencedirect.com/science/article/pii/S0140673608616591;http://www.cedarscenter.com/resources/Sustainability_science-_an_integrated_approach_for_health-programme_planning.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;277;No DOI available;;;;;;;;
Agile middleware of pervasive computing environments;E Niemela, T Vaskivuo - IEEE Annual Conference on Pervasive …, 2004 - ieeexplore.ieee.org;2004;https://ieeexplore.ieee.org/abstract/document/1276930/;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.462.9371&rep=rep1&type=pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;23;No DOI available;;;;;;;;
Cyber-physical systems: Concepts  technologies and implementation principles;I Horvath, BHM Gerritsen - Proceedings of TMCE, 2012 - researchgate.net;2012;https://www.researchgate.net/profile/Imre_Horvath/publication/229441298_CYBER-PHYSICAL_SYSTEMS_CONCEPTS_TECHNOLOGIES_AND_IMPLEMENTATION_PRINCIPLES/links/0912f500e60008cd01000000.pdf;https://www.researchgate.net/profile/Imre_Horvath/publication/229441298_CYBER-PHYSICAL_SYSTEMS_CONCEPTS_TECHNOLOGIES_AND_IMPLEMENTATION_PRINCIPLES/links/0912f500e60008cd01000000.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;60;No DOI available;;;;;;;;
Service discovery and provision for autonomic mobile computing;GC Polyzos, CN Ververidis, EC Efstathiou - Workshop on Autonomic …, 2005 - Springer;2005;https://link.springer.com/chapter/10.1007/11687818_18;https://link.springer.com/content/pdf/10.1007/11687818_18.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;7;No DOI available;;;;;;;;
Modeling and mining of dynamic trust in complex service-oriented systems;F Skopik, D Schall, S Dustdar - Socially Enhanced Services Computing, 2011 - Springer;2011;https://link.springer.com/chapter/10.1007/978-3-7091-0813-0_3;No PDF available;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;132;No DOI available;;;;;;;;
Policy-based integration of multiprovider digital home services;R Brennan, D Lewis, J Keeney, Z Etzioni… - IEEE …, 2009 - ieeexplore.ieee.org;2009;https://ieeexplore.ieee.org/abstract/document/5350353/;https://ieeexplore.ieee.org/iel5/65/5350341/05350353.pdf;context-dependent+AND+decentralized+service+composition+AND+adapt_GoogleScholar.csv;GoogleScholar;1;18;No DOI available;;;;;;;;
