title;author;date;link;pdf_link;query;search_engine;nr_found;cite_count;doi;nix;nix;nix;nix;;;;
Organizational ambidexterity through the lens of paradox theory: Building a novel research agenda;A Papachroni, L Heracleous… - The Journal of Applied …, 2015 - journals.sagepub.com;2015;https://journals.sagepub.com/doi/abs/10.1177/0021886314553101;https://journals.sagepub.com/doi/pdf/10.1177/0021886314553101;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;71;No DOI available;;;;;;;;
Towards an Effective Structure of IT Governance for Organizations in Developing Economies.;J Samuwai, A Prasad, P Green, J Heales - 2012 - aisel.aisnet.org;2012;https://aisel.aisnet.org/amcis2012/proceedings/ICTinGlobalDev/7/;http://www.academia.edu/download/46232556/viewcontent.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Software engineering issues for cyber-physical systems;J Al-Jaroodi, N Mohamed, I Jawhar… - … on Smart Computing …, 2016 - ieeexplore.ieee.org;2016;https://ieeexplore.ieee.org/abstract/document/7501717/;https://ieeexplore.ieee.org/iel7/7499653/7501656/07501717.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;13;No DOI available;;;;;;;;
Privacy and Access Control in Federated Social Networks;A Pathak, G Rosca, V Issarny, M Decat… - … Secure Future Internet …, 2014 - Springer;2014;https://link.springer.com/chapter/10.1007/978-3-319-07452-8_7;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;4;No DOI available;;;;;;;;
Applying the DORIS Framework: Software-based Modelling for Contextual Development;M Hamdhaidari, P Watten, N Martin… - Proceedings of the 17th …, 2008 - actapress.com;2008;https://www.actapress.com/Abstract.aspx?paperId=33443;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Best practice best model best fit: Strategic configurations for the institutionalization of corporate real estate management in Europe;A Kämpf-Dern, A Pfnür - Journal of Corporate Real Estate, 2014 - emeraldinsight.com;2014;https://www.emeraldinsight.com/doi/abs/10.1108/JCRE-09-2013-0027;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:zcyCIz80TpkJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=5505335969064262418&oi=lle;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;8;No DOI available;;;;;;;;
Supply chains within industrial districts: A theoretical framework;N Carbonara, I Giannoccaro, P Pontrandolfo - International journal of …, 2002 - Elsevier;2002;https://www.sciencedirect.com/science/article/pii/S0925527301001591;http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:1PlipXN9zuoJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=10281780635176798990&oi=lle;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;110;No DOI available;;;;;;;;
Socio-technical systems as place-specific matters of concern: The role of urban governance in the transition of the wastewater system in Denmark;JS Jensen, CF Fratini, MA Cashmore - Journal of Environmental …, 2016 - Taylor & Francis;2016;https://www.tandfonline.com/doi/abs/10.1080/1523908X.2015.1074062;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;14;No DOI available;;;;;;;;
Three spheres of performance governance: spanning the boundaries from single-organization focus towards a partnership network;P Uusikylä, V Valovirta - Evaluation, 2007 - journals.sagepub.com;2007;https://journals.sagepub.com/doi/abs/10.1177/1356389007082128;https://journals.sagepub.com/doi/pdf/10.1177/1356389007082128;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;28;No DOI available;;;;;;;;
Technique for synchronizing data with a mobile device based on a synchronization context;P Commarford, DL Griffin, CJ Martinez… - US Patent …, 2012 - Google Patents;2012;https://patents.google.com/patent/US8121585B2/en;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;61;No DOI available;;;;;;;;
Construction of Decentralized Dataflow Graphs within Ubiquitous Tracking Environments;D Beyer - 2004 - Citeseer;2004;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.555.7385&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.555.7385&rep=rep1&type=pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
Ambient intelligence: Management of distributed and heterogeneous context knowledge;J Viterbo, L Mazuel, Y Charif, M Endler… - CRC Studies in …, 2008 - researchgate.net;2008;https://www.researchgate.net/profile/Nicolas_Sabouret/publication/265996596_Ambient_Intelligence_Management_of_Distributed_and_Heterogeneous_Context_Knowledge/links/54b63f500cf2318f0f9a2831.pdf;https://www.researchgate.net/profile/Nicolas_Sabouret/publication/265996596_Ambient_Intelligence_Management_of_Distributed_and_Heterogeneous_Context_Knowledge/links/54b63f500cf2318f0f9a2831.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;28;No DOI available;;;;;;;;
The relationship between disease control strategies and health system development: the case of TB;CD Collins, AT Green, JN Newell - Health Policy, 2002 - Elsevier;2002;https://www.sciencedirect.com/science/article/pii/S0168851002000064;https://pdfs.semanticscholar.org/2c60/d3a797ea509b8a035a764c207ee28d312863.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;35;No DOI available;;;;;;;;
Configurable digital badge holder;YLG Audebert, EF Le Saint, J Hart… - US Patent 8,628,019, 2014 - Google Patents;2014;https://patents.google.com/patent/US8628019B2/en;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;33;No DOI available;;;;;;;;
Exploring the Role of Organizational Learning and Leadership in Developing Dynamic Capabilities;JY Park, R Muaid, YK Lew, CH Oh - researchgate.net;No year available;https://www.researchgate.net/profile/Yong_Kyu_Lew2/publication/330505968_Exploring_the_Role_of_Organizational_Learning_and_Leadership_in_Developing_Dynamic_Capabilities/links/5c4529c6299bf12be3d79503/Exploring-the-Role-of-Organizational-Learning-and-Leadership-in-Developing-Dynamic-Capabilities.pdf;https://www.researchgate.net/profile/Yong_Kyu_Lew2/publication/330505968_Exploring_the_Role_of_Organizational_Learning_and_Leadership_in_Developing_Dynamic_Capabilities/links/5c4529c6299bf12be3d79503/Exploring-the-Role-of-Organizational-Learning-and-Leadership-in-Developing-Dynamic-Capabilities.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
On the Integration of Configuration and Хeta-Level Programming Approaches;O LoquesН, A SztajnbergО, J LeiteН, M LoboscoН - Citeseer;No year available;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.11.6456&rep=rep1&type=pdf;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.11.6456&rep=rep1&type=pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;No cite count available;No DOI available;;;;;;;;
Models of strategic human resource management;S Colakoglu, Y Hong, DP Lepak - The Sage handbook of human …, 2010 - books.google.com;2010;https://books.google.de/books?hl=de&lr=&id=HNR8awhchl0C&oi=fnd&pg=PA31&dq=context-specific+AND+decentralized+composition+AND+reconfig*&ots=PbPhgpj_PQ&sig=2ES8_Rw_AQ2460S5KP6mojYoOAE;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;23;No DOI available;;;;;;;;
Learning through knowledge management;PK Ahmed, KK Lim, AYE Loh - 2007 - taylorfrancis.com;2007;https://www.taylorfrancis.com/books/9781136388002;No PDF available;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;282;No DOI available;;;;;;;;
Precarity unbound;N Ettlinger - Alternatives, 2007 - journals.sagepub.com;2007;https://journals.sagepub.com/doi/abs/10.1177/030437540703200303;https://journals.sagepub.com/doi/pdf/10.1177/030437540703200303;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;149;No DOI available;;;;;;;;
Urban sustainability transitions in a context of multi-level governance: A comparison of four European states;F Ehnert, F Kern, S Borgström, L Gorissen… - … innovation and societal …, 2018 - Elsevier;2018;https://www.sciencedirect.com/science/article/pii/S2210422416301289;https://www.researchgate.net/profile/Markus_Egermann/publication/317423961_Urban_sustainability_transitions_in_a_context_of_multi-level_governance_A_comparison_of_four_European_states/links/5ab219530f7e9b4897c4299c/Urban-sustainability-transitions-in-a-context-of-multi-level-governance-A-comparison-of-four-European-states.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;29;No DOI available;;;;;;;;
The place of food: mapping out the 'local'in local food systems;R Feagan - Progress in human geography, 2007 - journals.sagepub.com;2007;https://journals.sagepub.com/doi/abs/10.1177/0309132507073527;https://journals.sagepub.com/doi/pdf/10.1177/0309132507073527;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;750;No DOI available;;;;;;;;
A case study on adoptive management innovation in China;H Lin, J Su - Journal of Organizational Change Management, 2014 - emeraldinsight.com;2014;https://www.emeraldinsight.com/doi/abs/10.1108/JOCM-07-2012-0112;https://www.researchgate.net/profile/Haifen_Lin/publication/263386604_A_case_study_on_adoptive_management_innovation_in_China/links/57439f0d08ae9ace841b3c8a.pdf;context-specific+AND+decentralized+composition+AND+reconfig_GoogleScholar.csv;GoogleScholar;1;22;No DOI available;;;;;;;;
Securing vehicular communications;M Raya, P Papadimitratos… - IEEE wireless …, 2006 - ieeexplore.ieee.org;2006;https://ieeexplore.ieee.org/abstract/document/4015703/;https://ieeexplore.ieee.org/iel5/7742/4015697/04015703.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;725;No DOI available;;;;;;;;
Local government decentralization and gender;R Myers - … Conference on Local Government Decentralization …, 2002 - iepala.es;2002;http://iepala.es/IMG/pdf/localgovernment_decentralizatonandgender_2002_.pdf;http://iepala.es/IMG/pdf/localgovernment_decentralizatonandgender_2002_.pdf;context-specific+AND+decentralized+composition+AND+sensiti_GoogleScholar.csv;GoogleScholar;1;5;No DOI available;;;;;;;;
