title,author,date,link,pdf_link
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava - Information Sciences, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0020025502001780,http://eprint.iitd.ac.in/bitstream/2074/1040/1/madriamob2002.pdf
Supporting semantics-based transaction processing in mobile database applications,"GD Walborn, PK Chrysanthis - Reliable Distributed Systems …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/518721/,https://www.researchgate.net/profile/Panos_Chrysanthis/publication/2622532_Supporting_Semantics-Based_Transaction_Processing_in_Mobile_Database_Applications/links/564b94d308ae4ae893b7ea90/Supporting-Semantics-Based-Transaction-Processing-in-Mobile-Database-Applications.pdf
Mobile databases: a selection of open issues and research directions,"G Bernard, J Ben-Othman, L Bouganim, G Canals… - ACM Sigmod …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1024708,https://hal.inria.fr/inria-00320861/document
A timestamp-based optimistic concurrency control for handling mobile transactions,"HJ Choi, BS Jeong - … Conference on Computational Science and Its …, 2006 - Springer",2006,https://link.springer.com/10.1007%2F11751588_83,No PDF available
Data management for mobile computing,"E Pitoura, G Samaras - 2012 - books.google.com",2012,https://books.google.de/books?hl=de&lr=&id=90EGCAAAQBAJ&oi=fnd&pg=PR7&dq=Disconnection+handling+AND+mobile+transactions&ots=qwzDR2SW84&sig=nEHdYnwz9R491HUgfdJqPAePZUE,http://img3.wikia.nocookie.net/__cb20140731130305/mobile-computing-prediction/images/8/88/Data_Management.pdf
Fundamental challenges in mobile computing,"M Satyanarayanan - Proceedings of the fifteenth annual ACM …, 1996 - dl.acm.org",1996,https://dl.acm.org/citation.cfm?id=248053,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA306271
Submission of transactions from mobile workstations in a cooperative multidatabase processing environment,"LH Yeo, A Zaslavsky - … Systems, 1994., Proceedings of the 14th …, 1994 - ieeexplore.ieee.org",1994,https://ieeexplore.ieee.org/abstract/document/302439/,http://lyle.smu.edu/~mhd/8391f01/mehta2.pdf
"Disconnected processes, mechanisms and architecture for mobile e-business","J Sairamesh, S Goh, I Stanoi… - Mobile Networks and …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1035726,No PDF available
Bridging the gap between transaction management and workflow management,"M Kamath, K Ramamritham - … Systems: State-of-the-art and …, 1996 - www-ccs.cs.umass.edu",1996,http://www-ccs.cs.umass.edu/db/publications/nsf-wf.html,http://www-ccs.cs.umass.edu/db/publications/nsf-wf.html
Building information systems for mobile environments,"E Pitoura, B Bhargava - Proceedings of the third international conference …, 1994 - dl.acm.org",1994,https://dl.acm.org/citation.cfm?id=191310,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2133&context=cstech
A transaction model for mobile computing,"SK Madria, B Bhargava - Database Engineering and …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/694363/,http://scholarsmine.mst.edu/cgi/viewcontent.cgi?article=1227&context=comsci_facwork
Disconnection modes for mobile databases,"J Holliday, D Agrawal, A El Abbadi - Wireless Networks, 2002 - Springer",2002,https://link.springer.com/article/10.1023/A:1015542723791,http://grail.cba.csuohio.edu/~matos/notes/ist-734/reading-list/Disconnection-Modes-for-Mobile-Databases.pdf
"Self-managing, disconnected processes and mechanisms for mobile e-business","J Sairamesh, S Goh, I Stanoi, CS Li… - … workshop on Mobile …, 2002 - dl.acm.org",2002,https://dl.acm.org/citation.cfm?id=570721,https://www.researchgate.net/profile/Chung_Sheng_Li/publication/221113244_Self-managing_disconnected_processes_and_mechanisms_for_mobile_e-business/links/552424640cf2caf11bfcc127.pdf
Experience with disconnected operation in a mobile computing environment,"M Satyanarayanan, JJ Kistler, LB Mummert… - Mobile Computing, 1993 - Springer",1993,https://link.springer.com/chapter/10.1007/978-0-585-29603-6_20,https://www.usenix.org/legacy/publications/library/proceedings/mobile93/full_papers/satyanarayanan.txt
On transaction processing with partial validation and timestamp ordering in mobile broadcast environments,"VCS Lee, KW Lam, SH Son… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1039845/,http://atlas.cs.virginia.edu/~son/publications/tc02.pdf
A two-phase commit protocol for mobile wireless environment,"N Nouali, A Doucet, H Drias - Proceedings of the 16th Australasian …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1082237,http://crpit.com/confpapers/CRPITV39Nouali.pdf
Dealing with mobility: Issues and research challenges,"E Pitoura, B Bhargava - 1993 - docs.lib.purdue.edu",1993,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2082&context=cstech,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2082&context=cstech
Data management for mobile computing,"T Imieĺinski, BR Badrinath - ACM Sigmod Record, 1993 - dl.acm.org",1993,https://dl.acm.org/citation.cfm?id=156888,No PDF available
An evaluation of real-time transaction management issues in mobile database systems,"E Kayan, Ö Ulusoy - The Computer Journal, 1999 - academic.oup.com",1999,https://academic.oup.com/comjnl/article-abstract/42/6/501/365474,https://pdfs.semanticscholar.org/fa25/d287c15b6f9590b749ff3024e1f6d6a019d4.pdf
Single lock manager approach for achieving concurrency control in mobile environments,"SA Moiz, L Rajamani - International Conference on High-Performance …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-77220-0_58,No PDF available
Disconnected operation in the Thor object-oriented database system,"R Gruber, F Kaashoek, B Liskov… - Mobile Computing …, 1994 - ieeexplore.ieee.org",1994,https://ieeexplore.ieee.org/abstract/document/512734/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.129.9233&rep=rep1&type=pdf
Transaction processing in mobile computing environment,"PK Chrysanthis - Advances in Parallel and Distributed Systems …, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/588792/,https://www.computer.org/csdl/proceedings/apads/1993/5250/00/00588792.pdf
