title,author,date,link,pdf_link
A survey of mobile transactions,"P Serrano-Alvarado, C Roncancio, M Adiba - Distributed and Parallel …, 2004 - Springer",2004,https://link.springer.com/article/10.1023/B:DAPD.0000028552.69032.f9,https://hal.archives-ouvertes.fr/docs/00/41/56/04/PDF/PSerrano-Survey-Version_accepte_DAPD_2004_paperRev.pdf
Business models and transactions in mobile electronic commerce: requirements and properties,"A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S138912860100216X,http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf
Transaction processing in mobile computing environment,"PK Chrysanthis - Advances in Parallel and Distributed Systems …, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/588792/,https://www.computer.org/csdl/proceedings/apads/1993/5250/00/00588792.pdf
Isolation-only transactions for mobile computing,"Q Lu, M Satyanaranyanan - ACM SIGOPS Operating Systems Review, 1994 - dl.acm.org",1994,https://dl.acm.org/citation.cfm?id=198164,http://www-2.cs.cmu.edu/afs/cs/project/coda-www/ResearchWebPages/docdir/osriot94.pdf
A mobile transaction model that captures both the data and movement behavior,"MH Dunham, A Helal, S Balakrishnan - Mobile Networks and Applications, 1997 - Springer",1997,https://link.springer.com/article/10.1023/A:1013672431080,http://jotm.objectweb.org/related/p149-dunham.pdf
Analyzing mobile transactions support for DBMS,"P Serrano-Alvarado, CL Roncancio… - Database and Expert …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/953124/,http://www.cs.ucf.edu/~kienhua/classes/COP6730/Mobile2.pdf
Maintaining consistency of data in mobile distributed environments,"E Pitoura, B Bhargava - … of the 15th International Conference on, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/500045/,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2126&context=cstech
Improving data consistency in mobile computing using isolation-only transactions,"Q Lu, M Satyanarayanan - Hot Topics in Operating Systems …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/513467/,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA293110
Location dependent data and its management in mobile databases,"MH Dunham, V Kumar - Database and Expert Systems …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/707433/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.25.6708&rep=rep1&type=pdf
Pro-motion: Management of mobile transactions,"GD Walborn, PK Chrysanthis - … of the 1997 ACM symposium on Applied …, 1997 - dl.acm.org",1997,https://dl.acm.org/citation.cfm?id=331718,https://www.ht.sfc.keio.ac.jp/~ume/Paper/2PhaseRecoveryTransaction/Pro-Motion%23ManagementOfMobileTransaction.pdf
