title,author,date,link,pdf_link
Rayleigh fading compensation for QAM in land mobile radio communications,"S Sampei, T Sunaga - … Transactions on Vehicular Technology, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/211451/,https://ieeexplore.ieee.org/iel1/25/5514/00211451.pdf
Tcot-a timeout-based mobile transaction commitment protocol,"V Kumar, N Prabhu, MH Dunham… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1039846/,https://ieeexplore.ieee.org/iel5/12/22294/01039846.pdf
A transaction model for mobile computing,"SK Madria, B Bhargava - Database Engineering and …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/694363/,https://ieeexplore.ieee.org/iel4/5670/15179/00694363.pdf
XML-based representation of mobile process calculi,"LG Meredith - US Patent 6,516,322, 2003 - Google Patents",2003,https://patents.google.com/patent/US6516322B1/en,No PDF available
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava - Information Sciences, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0020025502001780,http://eprint.iitd.ac.in/bitstream/2074/1040/1/madriamob2002.pdf
Conducting an online payment transaction using an NFC enabled mobile communication device,"M Fisher - US Patent 8,352,323, 2013 - Google Patents",2013,https://patents.google.com/patent/US8352323B2/en,No PDF available
Understanding dynamics between initial trust and usage intentions of mobile banking,"G Kim, BS Shin, HG Lee - Information Systems Journal, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2575.2007.00269.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2575.2007.00269.x
Method and system providing advertisement using tone of ringing sounds of mobile phone and commerical transaction service in association with the same,"D Kim - US Patent App. 10/220,859, 2003 - Google Patents",2003,https://patents.google.com/patent/US20030050837A1/en,No PDF available
Supporting QoS-aware transactions in a system on mobile devices (SyD),"W Xie, SB Navathe, SK Prasad - … Systems Workshops, 2003 …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1203602/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.58.9168&rep=rep1&type=pdf
A transaction model to improve data availability in mobile computing,"SK Madria, B Bhargava - Distributed and Parallel Databases, 2001 - Springer",2001,https://link.springer.com/article/10.1023/A:1019232412740,https://link.springer.com/content/pdf/10.1023/A:1019232412740.pdf
Nested commits for mobile calculi: extending Join,"R Bruni, H Melgratti, U Montanari - Exploring New Frontiers of Theoretical …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/1-4020-8141-3_43,https://link.springer.com/content/pdf/10.1007/1-4020-8141-3_43.pdf
Method of distributing information via mobile devices and enabling its use at a point of transaction,"V Bemmel, R Van Tuyl, N Nguyen - US Patent App. 11/873,133, 2008 - Google Patents",2008,https://patents.google.com/patent/US20080097851A1/en,No PDF available
Authentication for a commercial transaction using a mobile module,"BE Johnson, C Webster-Lam - US Patent 8,996,423, 2015 - Google Patents",2015,https://patents.google.com/patent/US8996423B2/en,No PDF available
Transaction management for m-commerce at a mobile terminal,"J Veijalainen, V Terziyan, H Tirri - Electronic Commerce Research and …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1567422306000135,https://www.computer.org/csdl/proceedings/hicss/2003/1874/03/187430089a.pdf
System and method for facilitating electronic financial transactions using a mobile telecommunication device,"G Leung, R Lee, K Cheng, P Chui, A Mitchell… - US Patent …, 2008 - Google Patents",2008,https://patents.google.com/patent/US7379920B2/en,No PDF available
Single tap transactions using an NFC enabled mobile device,"M Fisher - US Patent 8,332,272, 2012 - Google Patents",2012,https://patents.google.com/patent/US8332272B2/en,No PDF available
