title,author,date,link,pdf_link
A survey of mobile transactions,"P Serrano-Alvarado, C Roncancio, M Adiba - Distributed and Parallel …, 2004 - Springer",2004,https://link.springer.com/article/10.1023/B:DAPD.0000028552.69032.f9,https://link.springer.com/content/pdf/10.1023/B:DAPD.0000028552.69032.f9.pdf
Revising transaction concepts for mobile computing,"E Pitoura, B Bhargava - Mobile Computing Systems and …, 1994 - ieeexplore.ieee.org",1994,https://ieeexplore.ieee.org/abstract/document/513477/,http://jotm.objectweb.org/related/mobile94.pdf
Maintaining consistency of data in mobile distributed environments,"E Pitoura, B Bhargava - … of the 15th International Conference on, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/500045/,https://ieeexplore.ieee.org/iel5/3728/10892/00500045.pdf
Improving data consistency in mobile computing using isolation-only transactions,"Q Lu, M Satyanarayanan - Hot Topics in Operating Systems …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/513467/,http://www.dtic.mil/get-tr-doc/pdf?AD=ADA293110
A mobile transaction model that captures both the data and movement behavior,"MH Dunham, A Helal, S Balakrishnan - Mobile Networks and Applications, 1997 - Springer",1997,https://link.springer.com/article/10.1023/A:1013672431080,https://link.springer.com/content/pdf/10.1023/A:1013672431080.pdf
Business models and transactions in mobile electronic commerce: requirements and properties,"A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S138912860100216X,http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf
Supporting semantics-based transaction processing in mobile database applications,"GD Walborn, PK Chrysanthis - Reliable Distributed Systems …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/518721/,https://ieeexplore.ieee.org/iel3/3970/11457/00518721.pdf
Building information systems for mobile environments,"E Pitoura, B Bhargava - Proceedings of the third international conference …, 1994 - dl.acm.org",1994,https://dl.acm.org/citation.cfm?id=191310,https://docs.lib.purdue.edu/cgi/viewcontent.cgi?article=2133&context=cstech
System and method for maintaining transaction cache consistency in mobile computing environment,"S Lee - US Patent App. 10/613,936, 2004 - Google Patents",2004,https://patents.google.com/patent/US20040085980A1/en,No PDF available
Location dependent data and its management in mobile databases,"MH Dunham, V Kumar - Database and Expert Systems …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/707433/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.25.6708&rep=rep1&type=pdf
Isolation-only transactions for mobile computing,"Q Lu, M Satyanaranyanan - ACM SIGOPS Operating Systems Review, 1994 - dl.acm.org",1994,https://dl.acm.org/citation.cfm?id=198164,http://www-2.cs.cmu.edu/afs/cs/project/coda-www/ResearchWebPages/docdir/osriot94.pdf
Building customer trust in mobile commerce,"K Siau, Z Shen - Communications of the ACM, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=641211,http://www.academia.edu/download/22459142/p91-siau.pdf
Supporting transactional cache consistency in mobile database systems,"SK Lee, CS Hwang, HC Yu - … Data engineering for wireless and mobile …, 1999 - dl.acm.org",1999,https://dl.acm.org/citation.cfm?id=313322,No PDF available
Data consistency in intermittently connected distributed systems,"E Pitoura, B Bhargava - IEEE Transactions on Knowledge & Data …, 1999 - computer.org",1999,https://www.computer.org/csdl/trans/tk/1999/06/k0896.pdf,http://delab.csd.auth.gr/~dimitris/courses/mpc_fall05/papers/invalidation/ieee_tkde99_data_consistency_pitoura.pdf
Replication and consistency: Being lazy helps sometimes,"Y Breitbart, HF Korth - Proceedings of the sixteenth ACM SIGACT …, 1997 - dl.acm.org",1997,https://dl.acm.org/citation.cfm?id=263681,No PDF available
Transaction processing in mobile computing environment,"PK Chrysanthis - Advances in Parallel and Distributed Systems …, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/588792/,https://www.computer.org/csdl/proceedings/apads/1993/5250/00/00588792.pdf
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava - Information Sciences, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0020025502001780,http://eprint.iitd.ac.in/bitstream/2074/1040/1/madriamob2002.pdf
