title,author,date,link,pdf_link
Method and apparatus for providing secure connectivity in mobile and other intermittent computing environments,"E Sturniolo, A Stavens, J Savarese - US Patent 7,882,247, 2011 - Google Patents",2011,https://patents.google.com/patent/US7882247B2/en,No PDF available
Making distributed transactions resilient to intermittent network connections,"N Santos, P Ferreira - … Symposium on on World of Wireless, Mobile and …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1139468,https://www.researchgate.net/profile/Paulo_Ferreira13/publication/221567295_Making_Distributed_Transactions_Resilient_to_Intermittent_Network_Connections/links/0deec518829a58f585000000/Making-Distributed-Transactions-Resilient-to-Intermittent-Network-Connections.pdf
Business models and transactions in mobile electronic commerce: requirements and properties,"A Tsalgatidou, E Pitoura - Computer Networks, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S138912860100216X,http://www.cs.uoi.gr/~pitoura/distribution/computer-networks02.pdf
On the design of perturbation-resilient atomic commit protocols for mobile transactions,"B Ayari, A Khelil, N Suri - ACM Transactions on Computer Systems …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2003691,https://www.tk.informatik.tu-darmstadt.de/fileadmin/user_upload/GROUP_DEEDS/Publications/Publication/ayari_acmtocs_2011.pdf
Coverage and connectivity issues in wireless sensor networks,"A Ghosh, SK Das - Mobile, wireless, and sensor networks …, 2005 - Wiley Online Library",2005,https://onlinelibrary.wiley.com/doi/abs/10.1002/0471755591.ch9,http://anrg.usc.edu/~amitabhag/papers/BookChapter-CoverageConnectivity-2006.pdf
Resilient and decentralized control of multi-level cooperative mobile networks to maintain connectivity under adversarial environment,"J Chen, Q Zhu - Decision and Control (CDC), 2016 IEEE 55th …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7799062/,https://arxiv.org/pdf/1505.07158
Maintaining network connectivity and performance in robot teams,"MA Hsieh, A Cowley, V Kumar… - Journal of Field …, 2008 - Wiley Online Library",2008,https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.20221,https://onlinelibrary.wiley.com/doi/pdf/10.1002/rob.20221
"A survey of mobile cloud computing: architecture, applications, and approaches","HT Dinh, C Lee, D Niyato… - … and mobile computing, 2013 - Wiley Online Library",2013,https://onlinelibrary.wiley.com/doi/abs/10.1002/wcm.1203,https://onlinelibrary.wiley.com/doi/full/10.1002/wcm.1203
Improving the topological resilience of mobile ad hoc networks,"TH Kim, D Tipper, P Krishnamurthy… - Design of Reliable …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5340008/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.361.1691&rep=rep1&type=pdf
Supporting secure communication and data collection in mobile sensor networks,"L Zhou, J Ni, CV Ravishankar - INFOCOM 2006. 25th IEEE International …, 2006 - cs.ucr.edu",2006,http://www.cs.ucr.edu/~ravi/Papers/NWConf/mgke_infocom06.pdf,http://www.cs.ucr.edu/~ravi/Papers/NWConf/mgke_infocom06.pdf
Guest editorial introduction to the special section on m-health: Beyond seamless mobility and global wireless health-care connectivity,"RSH Istepanian, E Jovanov… - IEEE Transactions on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1362649/,https://ieeexplore.ieee.org/iel5/4233/29854/01362649.pdf
The influence of communication range on connectivity for resilient wireless sensor networks using a probabilistic approach,"Y Huang, JF Martínez, J Sendra… - International Journal of …, 2013 - journals.sagepub.com",2013,http://journals.sagepub.com/doi/abs/10.1155/2013/482727,http://journals.sagepub.com/doi/full/10.1155/2013/482727
