title,author,date,link,pdf_link
Rayleigh fading compensation for QAM in land mobile radio communications,"S Sampei, T Sunaga - … Transactions on Vehicular Technology, 1993 - ieeexplore.ieee.org",1993,https://ieeexplore.ieee.org/abstract/document/211451/,https://ieeexplore.ieee.org/iel1/25/5514/00211451.pdf
Tcot-a timeout-based mobile transaction commitment protocol,"V Kumar, N Prabhu, MH Dunham… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1039846/,https://ieeexplore.ieee.org/iel5/12/22294/01039846.pdf
Understanding dynamics between initial trust and usage intentions of mobile banking,"G Kim, BS Shin, HG Lee - Information Systems Journal, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2575.2007.00269.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2575.2007.00269.x
Conducting an online payment transaction using an NFC enabled mobile communication device,"M Fisher - US Patent 8,352,323, 2013 - Google Patents",2013,https://patents.google.com/patent/US8352323B2/en,No PDF available
Measurement and correction of systematic odometry errors in mobile robots,"J Borenstein, L Feng - IEEE Transactions on robotics and …, 1996 - ieeexplore.ieee.org",1996,https://ieeexplore.ieee.org/abstract/document/544770/,https://ieeexplore.ieee.org/iel4/70/11940/00544770.pdf
Method and system providing advertisement using tone of ringing sounds of mobile phone and commerical transaction service in association with the same,"D Kim - US Patent App. 10/220,859, 2003 - Google Patents",2003,https://patents.google.com/patent/US20030050837A1/en,No PDF available
An analysis of pilot symbol assisted modulation for Rayleigh fading channels (mobile radio),"JK Cavers - IEEE transactions on vehicular technology, 1991 - ieeexplore.ieee.org",1991,https://ieeexplore.ieee.org/abstract/document/108378/,https://ieeexplore.ieee.org/iel1/25/3291/00108378.pdf
"The land mobile satellite communication channel-recording, statistics, and channel model","E Lutz, D Cygan, M Dippold… - IEEE transactions on …, 1991 - ieeexplore.ieee.org",1991,https://ieeexplore.ieee.org/abstract/document/289418/,https://ieeexplore.ieee.org/iel1/25/7193/00289418.pdf
A transaction model for mobile computing,"SK Madria, B Bhargava - Database Engineering and …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/694363/,https://ieeexplore.ieee.org/iel4/5670/15179/00694363.pdf
Mobile data and transaction management,"SK Madria, M Mohania, SS Bhowmick, B Bhargava - Information Sciences, 2002 - Elsevier",2002,https://www.sciencedirect.com/science/article/pii/S0020025502001780,http://eprint.iitd.ac.in/bitstream/2074/1040/1/madriamob2002.pdf
"If you love something, let it go mobile: Mobile marketing and mobile social media 4x4","AM Kaplan - Business horizons, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0007681311001558%20%5B5,https://www.researchgate.net/profile/Andreas_Kaplan/publication/251550794_If_you_love_something_let_it_go_mobile_Mobile_marketing_and_mobile_social_media_4x4/links/5a2cecc3a6fdccfbbf8762f1/If-you-love-something-let-it-go-mobile-Mobile-marketing-and-mobile-social-media-4x4.pdf
Inertial navigation systems for mobile robots,"B Barshan, HF Durrant-Whyte - … Transactions on Robotics and …, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/388775/,https://ieeexplore.ieee.org/iel4/70/8824/00388775.pdf
Method of distributing information via mobile devices and enabling its use at a point of transaction,"V Bemmel, R Van Tuyl, N Nguyen - US Patent App. 11/873,133, 2008 - Google Patents",2008,https://patents.google.com/patent/US20080097851A1/en,No PDF available
Effect of the dynamic interaction on coordinated control of mobile manipulators,"Y Yamamoto, X Yun - IEEE Transactions on Robotics and …, 1996 - ieeexplore.ieee.org",1996,https://ieeexplore.ieee.org/abstract/document/538986/,https://ieeexplore.ieee.org/iel4/70/11632/00538986.pdf
