title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - … Oriented Computing and …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
"Methodological Support for the Design of Enterprise Information Systems with SDBS: Towards Distributed, Service-Oriented and Context-Aware Solutions","B Shishkov - Enterprise Systems and Technology, 2010 - Citeseer",2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.6714&rep=rep1&type=pdf#page=46,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.6714&rep=rep1&type=pdf#page=46,,,1,1,No DOI available
Footprint-A foot-based wearable computer personal context interface,"LT Cheng - 2000 Canadian Conference on Electrical and …, 2000 - ieeexplore.ieee.org",2000,https://ieeexplore.ieee.org/abstract/document/849665/,https://ieeexplore.ieee.org/iel5/6844/18407/00849665.pdf,,,1,4,No DOI available
Towards a context-adaptive integrated shared work environment,"S Lukosch, D Veiel, JM Haake - 2008 - ub-deposit.fernuni-hagen.de",2008,https://ub-deposit.fernuni-hagen.de/servlets/MCRFileNodeServlet/mir_derivate_00000269/ResearchReport_1_2008.pdf,https://ub-deposit.fernuni-hagen.de/servlets/MCRFileNodeServlet/mir_derivate_00000269/ResearchReport_1_2008.pdf,,,1,4,No DOI available
Context-Aware Semantic Web Services Orchestration in Mobile Environments,"S Sahli, S Benharzallah - 2017 - pdfs.semanticscholar.org",2017,https://pdfs.semanticscholar.org/95d3/de145bba038ba1c7400d583017127db2cd22.pdf,https://pdfs.semanticscholar.org/95d3/de145bba038ba1c7400d583017127db2cd22.pdf,,,1,No cite count available,No DOI available
Highly available location-based services in mobile environments,"P Ibach, M Horbank - International Service Availability Symposium, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30225-4_10,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.455.5948&rep=rep1&type=pdf,,,1,43,No DOI available
Adaptive compositions across organizational boundaries,"T Cottenier, T Elrad - Companion to the 20th annual ACM SIGPLAN …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1094950,No PDF available,,,1,1,No DOI available
Towards context-aware multimedia processing through semantic web services,"S Dietze, JB Domingue - Proceedings of the 7th European Conference …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1542107,http://www.academia.edu/download/31008881/towards_context_aware_composition_of_web_services.pdf,,,1,6,No DOI available
Mapping BPMN 2.0 choreography to WS-CDL: a systematic method,"A Ebrahimifard, MJ Amiri, MK Arani… - Journal of E …, 2016 - researchgate.net",2016,https://www.researchgate.net/profile/Mohammad_Javad_Amiri/publication/299388141_Mapping_BPMN_20_Choreography_to_WS-CDL_A_Systematic_Method/links/56f2e2bc08ae81582beba631.pdf,https://www.researchgate.net/profile/Mohammad_Javad_Amiri/publication/299388141_Mapping_BPMN_20_Choreography_to_WS-CDL_A_Systematic_Method/links/56f2e2bc08ae81582beba631.pdf,,,1,9,No DOI available
Context-based cooperation in mobile business environments,"S Zaplata, CP Kunze, W Lamersdorf - Business & Information Systems …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12599-009-0060-5,https://link.springer.com/article/10.1007/s12599-009-0060-5,,,1,20,No DOI available
Wearable computers,"AS Pentland - IEEE Micro, 1999 - computer.org",1999,https://www.computer.org/csdl/mags/mi/1999/06/m6009.pdf,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:iRCy8UxMvzwJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=1746582874058697358&oi=lle",,,1,7,No DOI available
Research on Mobile Internet Services Personalization Principles,"A Ning, X Li, C Wang, P Wang, P Song - Electrical Engineering and …, 2011 - Springer",2011,https://link.springer.com/chapter/10.1007/978-3-642-21765-4_67,No PDF available,,,1,3,No DOI available
Component-oriented approaches to context-aware computing,"S Dobson - European Conference on Object-Oriented …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30554-5_9,http://www.academia.edu/download/30801113/COACAC-04.pdf,,,1,2,No DOI available
