title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic service composition in ambient intelligence environments: a multi-agent approach,"M Vallée, F Ramparany… - … Workshop on Service …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,,,1,40,No DOI available
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://www.researchgate.net/profile/Antonio_Manzalini/publication/4243294_Towards_Autonomic_and_Situation-Aware_Communication_Services_the_CASCADAS_Vision/links/0f317534c1a8edd4d5000000/Towards-Autonomic-and-Situation-Aware-Communication-Services-the-CASCADAS-Vision.pdf,,,1,66,No DOI available
A context-aware middleware for applications in mobile ad hoc environments,"CF Sørensen, M Wu, T Sivaharan, GS Blair… - Proceedings of the 2nd …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1028510,http://www.academia.edu/download/45819472/MPAC-Sorensen.pdf,,,1,118,No DOI available
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - … and Services, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.460.4237&rep=rep1&type=pdf,,,1,60,No DOI available
Rudder: A rule-based multi-agent infrastructure for supporting autonomic grid applications,"Z Li, M Parashar - International Conference on Autonomic …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1301378/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.126.6158&rep=rep1&type=pdf,,,1,37,No DOI available
Querying and updating a context-aware service directory in mobile environments,"C Doulkeridis, M Vazirgiannis - Proceedings of the 2004 IEEE/WIC/ACM …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1026383,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.59.5860&rep=rep1&type=pdf,,,1,38,No DOI available
A multi-agent system for dynamic service composition in ambient intelligence environments,"M Vallée, F Ramparany, L Vercouter - 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,,,1,56,No DOI available
Designing a configurable services platform for mobile context-aware applications,"P Dockhorn Costa, L Ferreira Pires… - … Journal of Pervasive …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/abs/10.1108/17427370580000109,No PDF available,,,1,35,No DOI available
Fast and efficient context-aware services,"D Raz, AT Juhola, J Serrat-Fernandez, A Galis - 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=1dLtRPRLDGsC&oi=fnd&pg=PR1&dq=context-aware+AND+decentralized+service+composition+AND+reconfig*&ots=vp7Xtp7m4q&sig=X2IMr2MmVu8eH5w6ngu8tuYjVDE,No PDF available,,,1,71,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Automate: Enabling autonomic applications on the grid,"M Agarwal, V Bhat, H Liu, V Matossian… - 2003 Autonomic …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1210204/,https://nsfcac.rutgers.edu/TASSL/Papers/automate-ams-03.pdf,,,1,134,No DOI available
Context-aware middleware for pervasive elderly homecare,"HK Pung, T Gu, W Xue, PP Palmes… - IEEE Journal on …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4909287/,https://www.researchgate.net/profile/Paulito_Palmes/publication/224440409_Context-Aware_Middleware_for_Pervasive_Elderly_Homecare/links/004635372878fc0db5000000/Context-Aware-Middleware-for-Pervasive-Elderly-Homecare.pdf,,,1,104,No DOI available
Towards a Service Platform for Mobile Context-Aware Applications.,"PD Costa, LF Pires, M Van Sinderen, J Pereira Filho - IWUC, 2004 - researchgate.net",2004,https://www.researchgate.net/profile/Jose_Pereira_Filho2/publication/221353865_Towards_a_Service_Platform_for_Mobile_Context-Aware_Applications/links/54e256be0cf296663796751b.pdf,https://www.researchgate.net/profile/Jose_Pereira_Filho2/publication/221353865_Towards_a_Service_Platform_for_Mobile_Context-Aware_Applications/links/54e256be0cf296663796751b.pdf,,,1,44,No DOI available
Automate: Enabling autonomic applications on the grid,"M Parashar, H Liu, Z Li, V Matossian, C Schmidt… - Cluster …, 2006 - Springer",2006,https://link.springer.com/article/10.1007/s10586-006-7561-5,https://nsfcac.rutgers.edu/TASSL/Papers/automate-jcc-06.pdf,,,1,113,No DOI available
Self-management of context-aware overlay ambient networks,"B Mathieu, M Song, A Galis, L Cheng… - 2007 10th IFIP/IEEE …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4258595/,http://discovery.ucl.ac.uk/5321/1/5321.pdf,,,1,28,No DOI available
Towards context-aware mobile web 2.0 service architecture,"T Koskela, N Kostamo, O Kassinen… - … , Systems, Services …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4402805/,http://www.academia.edu/download/39929071/Towards_Context-Aware_Mobile_Web_2.0_Ser20151112-22486-4ha9ip.pdf,,,1,32,No DOI available
A decentralized self-organizing service composition for autonomic entities,"I Al-Oqily, A Karmouch - … on Autonomous and Adaptive Systems (TAAS), 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=1921648,No PDF available,,,1,17,No DOI available
A hybrid recommender system for context-aware recommendations of mobile applications,"W Woerndl, C Schueller… - 2007 IEEE 23rd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4401078/,http://www.academia.edu/download/19108309/a_hybrid_recommender_system_for_context-aware_recommendations_of_mobile_applications.pdf,,,1,160,No DOI available
"A journey to highly dynamic, self-adaptive service-based applications","E Di Nitto, C Ghezzi, A Metzger, M Papazoglou… - Automated Software …, 2008 - Springer",2008,https://link.springer.com/article/10.1007/s10515-008-0032-x,No PDF available,,,1,305,No DOI available
Internet of things strategic research roadmap,"O Vermesan, P Friess, P Guillemin… - Internet of things …, 2011 - books.google.com",2011,https://books.google.de/books?hl=de&lr=&id=Eug-RvslW30C&oi=fnd&pg=PA9&dq=context-aware+AND+decentralized+service+composition+AND+reconfig*&ots=3Uw9vGgDEs&sig=zQSvvGA5ycV1Iu0nKqfRcB2jKkY,https://brage.bibsys.no/xmlui/bitstream/handle/11250/2430372/SINTEF%2BS13363.pdf?sequence=2,,,1,691,No DOI available
A peer-to-peer-based multi-agent framework for decentralized grid workflow management in collaborative design,"JW Yin, WY Zhang, Y Li, HW Chen - The International Journal of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s00170-008-1482-9,No PDF available,,,1,29,No DOI available
S3: A service-oriented reference architecture,"A Arsanjani, LJ Zhang, M Ellis, A Allam… - IT …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4216102/,https://pdfs.semanticscholar.org/e511/12cd677015b7e500edd14ffe2ec85bec87d7.pdf,,,1,203,No DOI available
Context-aware adaptive service mashups,"C Dorn, D Schall, S Dustdar - 2009 IEEE Asia-Pacific Services …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5394107/,http://www.infosys.tuwien.ac.at/Staff/dorn/apscc_cameraready.pdf,,,1,12,No DOI available
Towards a services platform for context-aware applications,"PD Costa - Telem-atics, University of Twente, Enschede …, 2003 - Citeseer",2003,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.95.5194&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.95.5194&rep=rep1&type=pdf,,,1,50,No DOI available
Geopeer: A location-aware peer-to-peer system,"F Araújo, L Rodrigues - Third IEEE International Symposium on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1347760/,http://repositorio.ul.pt/bitstream/10451/14243/1/03-31.pdf,,,1,96,No DOI available
Heterogeneous communication architecture for the smart grid,"A Zaballos, A Vallejo, JM Selga - IEEE network, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6033033/,https://pdfs.semanticscholar.org/cfbf/f3fd75b8f64508a129046310ef279bbf27c0.pdf,,,1,216,No DOI available
Scalable service deployment on software-defined networks,"J Rubio-Loyola, A Galis, A Astorga… - IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6094010/,http://www.ic.unicamp.br/~bit/ensino/mo809_1s13/papers/SDN/Scalable%20service%20deployment%20on%20software-defined%20networks%20.pdf,,,1,68,No DOI available
"Service oriented architectures: approaches, technologies and research issues","MP Papazoglou, WJ Van Den Heuvel - The VLDB journal, 2007 - Springer",2007,https://link.springer.com/article/10.1007/s00778-007-0044-3,https://link.springer.com/content/pdf/10.1007/s00778-007-0044-3.pdf,,,1,1430,No DOI available
Configurable composition and adaptive provisioning of web services,"QZ Sheng, B Benatallah, Z Maamar… - … on Services …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4760133/,http://web.science.mq.edu.au/~qsheng/papers/TSC09.pdf,,,1,107,No DOI available
A survey of autonomic communications,"S Dobson, S Denazis, A Fernández, D Gaïti… - ACM Transactions on …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1186782,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.368.3749&rep=rep1&type=pdf,,,1,758,No DOI available
A survey on nature-inspired metaphors for pervasive service ecosystems,"F Zambonelli, M Viroli - International Journal of Pervasive …, 2011 - emeraldinsight.com",2011,https://www.emeraldinsight.com/doi/abs/10.1108/17427371111172997,http://www.agentgroup.unimore.it/Zambonelli/PDF/JPCC11.pdf,,,1,65,No DOI available
Autonomic communication services: a new challenge for software agents,"R Quitadamo, F Zambonelli - Autonomous Agents and Multi-Agent …, 2008 - Springer",2008,https://link.springer.com/article/10.1007/s10458-008-9054-9,http://cse.unl.edu/~ylu/csce896/papers/auto-comm-for-agents.pdf,,,1,37,No DOI available
Context-aware smart home energy manager,"SJ Bedros, T Markham, T Plocher, P Shetty… - US Patent App. 12 …, 2011 - Google Patents",2011,https://patents.google.com/patent/US20110046805A1/en,No PDF available,,,1,257,No DOI available
A multi-agent based framework for collaborative testing on web services,"X Bai, G Dai, D Xu, WT Tsai - The Fourth IEEE Workshop on …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1611736/,https://www.researchgate.net/profile/Xiaoying_Bai/publication/4231805_A_multi-agent_based_framework_for_collaborative_testing_on_Web_Services/links/02e7e516cabf563f8f000000/A-multi-agent-based-framework-for-collaborative-testing-on-Web-Services.pdf,,,1,46,No DOI available
Technical framework for Internetware: An architecture centric approach,"F Yang, J Lü, H Mei - Science in China Series F: Information Sciences, 2008 - Springer",2008,https://link.springer.com/article/10.1007/s11432-008-0051-z,http://engine.scichina.com/doi/pdf/8166a7be836c4616a58ba718726ab6db,,,1,79,No DOI available
Definition and execution of composite web services: The self-serv project,"B Benatallah, M Dumas, Z Maamar - IEEE Data Eng. Bull., 2002 - pdfs.semanticscholar.org",2002,https://pdfs.semanticscholar.org/7daf/d1e5320dafcad8bdab891c6fbc73aa2c600c.pdf#page=49,https://pdfs.semanticscholar.org/7daf/d1e5320dafcad8bdab891c6fbc73aa2c600c.pdf#page=49,,,1,53,No DOI available
Decentralized system services,"G Chrysanthakopoulos, HF Nielsen… - US Patent …, 2012 - Google Patents",2012,https://patents.google.com/patent/US8122427B2/en,https://patentimages.storage.googleapis.com/b4/28/f3/13dd678b244b2b/US8122427.pdf,,,1,40,No DOI available
A next-generation service overlay architecture,"E Lavinal, N Simoni, M Song, B Mathieu - annals of telecommunications …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0082-x,https://www.researchgate.net/profile/Emmanuel_Lavinal/publication/225146833_A_next-generation_service_overlay_architecture/links/57155ded08ae1a840264fa32.pdf,,,1,20,No DOI available
MoCA: A middleware for developing collaborative applications for mobile users,"V Sacramento, M Endler… - IEEE Distributed …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1355907/,https://ieeexplore.ieee.org/iel5/8968/29772/01355907.pdf,,,1,179,No DOI available
A component-based programming model for autonomic applications,"H Liu, M Parashar, S Hariri - International Conference on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1301341/,http://research.cs.rutgers.edu/~parashar/Papers/accord-icac-04.pdf,,,1,199,No DOI available
An avatar architecture for the web of things,"M Mrissa, L Médini, JP Jamont… - IEEE Internet …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7061798/,No PDF available,,,1,42,No DOI available
Challenges in middleware solutions for the internet of things,"MA Chaqfeh, N Mohamed - 2012 international conference on …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6261022/,https://www.researchgate.net/profile/Nader_Mohamed/publication/261024274_Challenges_in_middleware_solutions_for_the_internet_of_things/links/557573b808aeacff1ffcd775/Challenges-in-middleware-solutions-for-the-internet-of-things.pdf,,,1,125,No DOI available
Context aware adaptable applications-a global approach,"M Dalmau, P Roose, S Laplace - arXiv preprint arXiv:0909.2090, 2009 - arxiv.org",0909,https://arxiv.org/abs/0909.2090,https://arxiv.org/pdf/0909.2090,,,1,25,No DOI available
