title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Towards composable distributed real-time and embedded software,"K Balasubramanian, N Wang, C Gill… - Proceedings of the …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1218087/,https://ieeexplore.ieee.org/iel5/8640/27379/01218087.pdf,,,1,25,No DOI available
Modeling Context-Dependent Aspect Interference Using Default Logics.,"F Sanen, E Truyen, W Joosen - RAM-SE, 2008 - core.ac.uk",2008,https://core.ac.uk/download/pdf/34387924.pdf,https://core.ac.uk/download/pdf/34387924.pdf,,,1,12,No DOI available
"Knowledge management in organizations: examining the interaction between technologies, techniques, and people","GD Bhatt - Journal of knowledge management, 2001 - emeraldinsight.com",2001,https://www.emeraldinsight.com/doi/abs/10.1108/13673270110384419,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:RofwjPYGXWMJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=16755829364079122846&oi=lle",,,1,1645,No DOI available
Software organization for dynamic and adaptable wearable systems,"S Fickas, G Kortuem, Z Segall - Digest of papers. First …, 1997 - ieeexplore.ieee.org",1997,https://ieeexplore.ieee.org/abstract/document/629920/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.35.6757&rep=rep1&type=pdf,,,1,137,No DOI available
User interface framework for integrating user interface elements of independent software components,"T Vachuska, R Hagarty, J Hummer - US Patent App. 10/113,431, 2003 - Google Patents",2003,https://patents.google.com/patent/US20030184584A1/en,https://patentimages.storage.googleapis.com/9c/0c/00/c3b725c30e5074/US10113431.pdf,,,1,76,No DOI available
Context sensitive storage management,"DC Fisk - US Patent 7,020,758, 2006 - Google Patents",2006,https://patents.google.com/patent/US7020758B2/en,https://patentimages.storage.googleapis.com/68/ed/58/71bf012f064f4d/US10247261.pdf,,,1,165,No DOI available
Client—server system with central application management allowing an administrator to configure end user applications by executing them in the context of users and …,"KF Hayes Jr - US Patent 6,205,476, 2001 - Google Patents",2001,https://patents.google.com/patent/US6205476B1/en,No PDF available,,,1,86,No DOI available
Distributed motion coordination with co-fields: A case study in urban traffic management,"M Mamei, F Zambonelli… - The Sixth International …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1193933/,https://ieeexplore.ieee.org/iel5/8490/26851/01193933.pdf,,,1,52,No DOI available
Toward self-healing infrastructure systems,"M Amin - Computer, 2000 - computer.org",2000,https://www.computer.org/csdl/mags/co/2000/08/r8044.pdf,http://www.massoud-amin.umn.edu/publications/Amin_Computer_Aug_00.pdf,,,1,149,No DOI available
Context-driven adaptive monitoring for supporting SOA governance,"NM Villegas, HA Müller - 4th International Workshop on a Research …, 2011 - academia.edu",2011,http://www.academia.edu/download/1795656/Villegas-Muller-Adaptive-Monitoring-CameraReady.pdf,http://www.academia.edu/download/1795656/Villegas-Muller-Adaptive-Monitoring-CameraReady.pdf,,,1,19,No DOI available
Engineering mobile agent applications via context-dependent coordination,"G Cabri, L Leonardi… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1049403/,https://ieeexplore.ieee.org/iel5/32/22485/01049403.pdf,,,1,119,No DOI available
Software architecture patterns for a context-processing middleware framework,"R Rouvoy, D Conan, L Seinturier - IEEE Distributed Systems …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4555968/,https://ieeexplore.ieee.org/iel5/8968/4555967/04555968.pdf,,,1,67,No DOI available
Smart Semantic Middleware for the Internet of Things.,"A Katasonov, O Kaykova, O Khriyenko… - Icinco …, 2008 - pdfs.semanticscholar.org",2008,https://pdfs.semanticscholar.org/4665/130fd1236d7cf5636b188ca7adcc4fd8d631.pdf,https://pdfs.semanticscholar.org/4665/130fd1236d7cf5636b188ca7adcc4fd8d631.pdf,,,1,212,No DOI available
Distributed control representation for manipulation tasks,"RA Grupen, M Huber, JA Coelho, K Souccar - IEEE Expert, 1995 - ieeexplore.ieee.org",1995,https://ieeexplore.ieee.org/abstract/document/395356/,https://ieeexplore.ieee.org/iel3/64/8967/00395356.pdf,,,1,30,No DOI available
Context dependent computer operation,"Y Gupta, AA Hassan, R Rao… - US Patent App. 12 …, 2012 - Google Patents",2012,https://patents.google.com/patent/US20120139690A1/en,No PDF available,,,1,28,No DOI available
Towards context-sensitive service aspects,"T Rho, M Schmatz, AB Cremers - Work. on Object Technology for Ambient …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,,,1,22,No DOI available
1-bit stochastic gradient descent and its application to data-parallel distributed training of speech dnns,"F Seide, H Fu, J Droppo, G Li, D Yu - Fifteenth Annual Conference …, 2014 - isca-speech.org",2014,https://www.isca-speech.org/archive/interspeech_2014/i14_1058.html,https://mazsola.iit.uni-miskolc.hu/~czap/letoltes/IS14/IS2014/PDF/AUTHOR/IS140694.PDF,,,1,219,No DOI available
"Specification, composition and provision of trustworthy context-dependent services",NI Ibrahim - 2012 - spectrum.library.concordia.ca,2012,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,,,1,12,No DOI available
A neural model for context-dependent sequence learning,"L Berthouze, A Tijsseling - Neural Processing Letters, 2006 - Springer",2006,https://link.springer.com/article/10.1007/s11063-005-2838-x,https://link.springer.com/content/pdf/10.1007/s11063-005-2838-x.pdf,,,1,19,No DOI available
Supporting reconfigurable object distribution for customized web applications,"PH Chang, G Agha - Proceedings of the 2007 ACM symposium on …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1244280,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.74.7652&rep=rep1&type=pdf,,,1,12,No DOI available
Integration and coordination in a cognitive vision system,"S Wrede, M Hanheide, S Wachsmuth… - … on Computer Vision …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1578689/,https://ieeexplore.ieee.org/iel5/10542/33355/01578689.pdf,,,1,32,No DOI available
Innovation in symbolic industries: The geography and organization of knowledge sourcing,"R Martin, J Moodysson - European Planning Studies, 2011 - Taylor & Francis",2011,https://www.tandfonline.com/doi/abs/10.1080/09654313.2011.573131,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1003.6607&rep=rep1&type=pdf,,,1,120,No DOI available
Runtime service composition via logic-based program synthesis,S Lämmermann - 2002 - diva-portal.org,2002,http://www.diva-portal.org/smash/get/diva2:9164/FULLTEXT01.pdf,http://www.diva-portal.org/smash/get/diva2:9164/FULLTEXT01.pdf,,,1,49,No DOI available
System and method for synchronizing the configuration of distributed network management applications,"K Kortright - US Patent 7,523,184, 2009 - Google Patents",2009,https://patents.google.com/patent/US7523184B2/en,No PDF available,,,1,83,No DOI available
Wolves modulate soil nutrient heterogeneity and foliar nitrogen by configuring the distribution of ungulate carcasses,"JK Bump, RO Peterson, JA Vucetich - Ecology, 2009 - Wiley Online Library",2009,https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1890/09-0292.1,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/09-0292.1,,,1,90,No DOI available
Integrated product and process management for engineering design applications,"B Westfechtel - Integrated Computer-Aided Engineering, 1996 - content.iospress.com",1996,https://content.iospress.com/articles/integrated-computer-aided-engineering/ica3-1-03,https://pdfs.semanticscholar.org/0dd1/e880d709989adc5094c3d13d4db86794de80.pdf,,,1,54,No DOI available
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - annals of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,https://link.springer.com/article/10.1007/s12243-008-0081-y,,,1,96,No DOI available
QuA: Platform-managed QoS for component architectures,"S Amundsen, K Lund, F Eliassen… - Proceedings from …, 2004 - researchgate.net",2004,https://www.researchgate.net/profile/Frank_Eliassen/publication/255020526_QuA_Platform-Managed_QoS_for_Component_Architectures/links/0f317537a40649ee9d000000.pdf,https://www.researchgate.net/profile/Frank_Eliassen/publication/255020526_QuA_Platform-Managed_QoS_for_Component_Architectures/links/0f317537a40649ee9d000000.pdf,,,1,19,No DOI available
Active software,"R Laddaga - International Workshop on Self-Adaptive Software, 2000 - Springer",2000,https://link.springer.com/chapter/10.1007/3-540-44584-6_2,http://people.csail.mit.edu/rladdaga/publications/aswpol.pdf,,,1,114,No DOI available
Design patterns: Abstraction and reuse of object-oriented design,"E Gamma, R Helm, R Johnson, J Vlissides - European Conference on …, 1993 - Springer",1993,https://link.springer.com/chapter/10.1007/3-540-47910-4_21,http://paginas.fe.up.pt/~aaguiar/as2004-2005/gamma93designpatterns.pdf,,,1,1000,No DOI available
"Dynamism and data management in distributed, collaborative working environments","A Kipp, L Schubert, M Assel… - From CSCW to …, 2008 - dspace.wineme.fb5.uni-siegen.de",2008,https://dspace.wineme.fb5.uni-siegen.de/handle/20.500.12015/2810,https://dspace.wineme.fb5.uni-siegen.de/bitstream/20.500.12015/2810/1/00460.pdf,,,1,7,No DOI available
GlueQoS: Middleware to sweeten quality-of-service policy interactions,"E Wohlstadter, S Tai, T Mikalsen, I Rouvellou… - Proceedings of the 26th …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=999424,https://ieeexplore.ieee.org/iel5/9201/29176/01317441.pdf,,,1,126,No DOI available
A survey of software infrastructures and frameworks for ubiquitous computing,"C Endres, A Butz, A MacWilliams - Mobile Information Systems, 2005 - hindawi.com",2005,https://www.hindawi.com/journals/misy/2005/654215/abs/,http://downloads.hindawi.com/journals/misy/2005/654215.pdf,,,1,119,No DOI available
Pcoms: A component model for building context-dependent applications,"B Magableh, S Barrett - 2009 Computation World: Future …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5359553/,https://www.researchgate.net/profile/Basel_Magableh/publication/232640151_PCOMs_A_Component_Model_for_Building_Context-Dependent_Applications/links/0912f5089a20354b9c000000/PCOMs-A-Component-Model-for-Building-Context-Dependent-Applications.pdf,,,1,11,No DOI available
Modelling Human Control Behaviour with Context-Dependent Markov-Switching Multiple Models,"R Murray-Smith - IFAC Proceedings Volumes, 1998 - Elsevier",1998,https://www.sciencedirect.com/science/article/pii/S1474667017401364,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.4664&rep=rep1&type=pdf,,,1,11,No DOI available
Middleware challenges ahead,"K Geihs - Computer, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/928618/,https://ieeexplore.ieee.org/iel5/2/20074/00928618.pdf,,,1,298,No DOI available
Dynamics in action: Intentional behavior as a complex system,"A Juarrero - Emergence, 2000 - Taylor & Francis",2000,https://www.tandfonline.com/doi/pdf/10.1207/S15327000EM0202_03,http://intersci.ss.uci.edu/wiki/pub/Juarrero(2000)Dynmcs_Action(ECO).pdf,,,1,957,No DOI available
Context oriented software development,"B Magableh, S Barrett - Journal of Emerging …, 2012 - pdfs.semanticscholar.org",2012,https://pdfs.semanticscholar.org/266f/11b438ea5abae374a88efc81421126d64a1a.pdf,https://pdfs.semanticscholar.org/266f/11b438ea5abae374a88efc81421126d64a1a.pdf,,,1,8,No DOI available
A calculus for modeling software components,"O Nierstrasz, F Achermann - … on Formal Methods for Components and …, 2002 - Springer",2002,https://link.springer.com/chapter/10.1007/978-3-540-39656-7_14,http://scg.unibe.ch/archive/papers/Nier03cPiccolaCalculus.pdf,,,1,45,No DOI available
Context-aware adaptive service mashups,"C Dorn, D Schall, S Dustdar - 2009 IEEE Asia-Pacific Services …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5394107/,https://ieeexplore.ieee.org/iel5/5374429/5394078/05394107.pdf,,,1,12,No DOI available
Frontiers in neuromorphic engineering,"G Indiveri, TK Horiuchi - Frontiers in neuroscience, 2011 - frontiersin.org",2011,https://www.frontiersin.org/articles/10.3389/fnins.2011.00118,https://www.frontiersin.org/articles/10.3389/fnins.2011.00118,,,1,117,No DOI available
Service-oriented software architecture for sensor networks,"F Golatowski, J Blumenthal, M Handy… - … Workshop on Mobile …, 2003 - researchgate.net",2003,https://www.researchgate.net/profile/Frank_Golatowski/publication/228695105_Service-oriented_software_architecture_for_sensor_networks/links/0046351a8ae5a75f8b000000.pdf,https://www.researchgate.net/profile/Frank_Golatowski/publication/228695105_Service-oriented_software_architecture_for_sensor_networks/links/0046351a8ae5a75f8b000000.pdf,,,1,79,No DOI available
Stream derivation and clustering scheme for subspace distribution clustering hidden Markov model,"B Mak, E Bocchieri, E Barnard - 1997 IEEE Workshop on …, 1997 - ieeexplore.ieee.org",1997,https://ieeexplore.ieee.org/abstract/document/659109/,https://ieeexplore.ieee.org/iel4/5256/14244/00659109.pdf,,,1,13,No DOI available
Querying and updating a context-aware service directory in mobile environments,"C Doulkeridis, M Vazirgiannis - Proceedings of the 2004 IEEE/WIC/ACM …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1026383,https://ieeexplore.ieee.org/iel5/9689/30573/01410867.pdf,,,1,38,No DOI available
Investigations into partitioning of generalization processes in a distributed processing framework,"F Thiemann, S Werder, T Globig, M Sester - Proceedings of the 26th …, 2013 - icaci.org",2013,https://icaci.org/files/documents/ICC_proceedings/ICC2013/_extendedAbstract/395_proceeding.pdf,https://icaci.org/files/documents/ICC_proceedings/ICC2013/_extendedAbstract/395_proceeding.pdf,,,1,8,No DOI available
Context-based reputation management for service composition and reconfiguration,"J Lee, J Zhang, Z Huang, KJ Lin - 2012 IEEE 14th International …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6470777/,https://ieeexplore.ieee.org/iel7/6470764/6470769/06470777.pdf,,,1,7,No DOI available
Role of middleware for internet of things: A study,"S Bandyopadhyay, M Sengupta… - … Journal of Computer …, 2011 - pdfs.semanticscholar.org",2011,https://pdfs.semanticscholar.org/85e9/6085e989d12b54183f989549af3cbfca1c92.pdf,https://pdfs.semanticscholar.org/85e9/6085e989d12b54183f989549af3cbfca1c92.pdf,,,1,195,No DOI available
Using KL-based acoustic models in a large vocabulary recognition task,"G Aradilla, H Bourlard, MM Doss - Ninth Annual Conference of the …, 2008 - isca-speech.org",2008,https://www.isca-speech.org/archive/interspeech_2008/i08_0928.html,https://infoscience.epfl.ch/record/145924/files/aradilla-idiap-rr-08-14.pdf,,,1,61,No DOI available
A system for context-dependent user modeling,"P Nurmi, A Salden, SL Lau, J Suomela… - … Conferences"" On the …, 2006 - Springer",2006,https://link.springer.com/chapter/10.1007/11915072_97,http://www.cs.helsinki.fi/u/lagerspe/publications/context-dependent.pdf,,,1,13,No DOI available
Software engineering for self-adaptive systems: A second research roadmap,"R De Lemos, H Giese, HA Müller, M Shaw… - Software Engineering for …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,http://drops.dagstuhl.de/opus/volltexte/2011/3156/pdf/report10431_3156.pdf,,,1,1568,No DOI available
Autonomous service management for location and context aware service,"CS Shih, KJ Lin, JJ Chou… - 2014 IEEE 7th …, 2014 - ieeexplore.ieee.org",2014,https://ieeexplore.ieee.org/abstract/document/6978617/,https://ieeexplore.ieee.org/iel7/6975728/6978154/06978617.pdf,,,1,8,No DOI available
Increasing accuracy of property predictions for embedded real-time components,"J Fredriksson - 18th Euromicro Conference on Real-Time Systems, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.486.8874&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.486.8874&rep=rep1&type=pdf,,,1,5,No DOI available
Context-dependent task computing in pervasive environment,"H Ni, X Zhou, D Zhang, NL Heng - International Symposium on …, 2006 - Springer",2006,https://link.springer.com/chapter/10.1007/11890348_10,No PDF available,,,1,14,No DOI available
Towards context-aware workflow management for ubiquitous computing,"F Tang, M Guo, M Dong, M Li… - … on Embedded Software …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4595562/,https://ieeexplore.ieee.org/iel5/4595521/4595522/04595562.pdf,,,1,38,No DOI available
Bigraphical programming languages for pervasive computing,"L Birkedal, M Bundgaard, TC Damgaard… - … of Pervasive 2006 …, 2006 - pure.au.dk",2006,http://pure.au.dk/portal/files/81783479/BirkedalEtAl_2006_BPL4PervasiveComp.pdf,http://pure.au.dk/portal/files/81783479/BirkedalEtAl_2006_BPL4PervasiveComp.pdf,,,1,31,No DOI available
Generic role assignment: A uniform middleware abstraction for configuration of pervasive systems,"M Haroon, M Handte, PJ Marron - 2009 IEEE International …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4912852/,No PDF available,,,1,8,No DOI available
A context dependent clock control mechanism for dynamically reconfigurable processors,"H Amano, Y Hasegawa, S Abe… - … Conference on Field …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/4101031/,https://ieeexplore.ieee.org/iel5/4095018/4100939/04101031.pdf,,,1,7,No DOI available
ALINE: a WYSIWYG protein-sequence alignment editor for publication-quality alignments,"CS Bond, AW Schüttelkopf - Acta Crystallographica Section D …, 2009 - scripts.iucr.org",2009,https://scripts.iucr.org/cgi-bin/paper?kw5012,https://onlinelibrary.wiley.com/doi/pdf/10.1107/S0907444909007835,,,1,329,No DOI available
