title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - … Oriented Computing and …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
The choreographer's notebook: a video annotation system for dancers and choreographers,"V Singh, C Latulipe, E Carroll, D Lottridge - Proceedings of the 8th ACM …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2069653,https://www.researchgate.net/profile/Erin_Cherry/publication/221629551_The_choreographer%27s_notebook_a_video_annotation_system_for_dancers_and_choreographers/links/00b4951eb58acdef9c000000/The-choreographers-notebook-a-video-annotation-system-for-dancers-and-choreographers.pdf,,,1,50,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Executable Choreography Processes with Aspect-Sensitive Services,"T Cottenier, T Elrad - Computer Science Department, Illinois …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,,,1,8,No DOI available
Towards context-sensitive service aspects,"T Rho, M Schmatz, AB Cremers - Work. on Object Technology for Ambient …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,,,1,22,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Towards a context-adaptive integrated shared work environment,"S Lukosch, D Veiel, JM Haake - 2008 - ub-deposit.fernuni-hagen.de",2008,https://ub-deposit.fernuni-hagen.de/servlets/MCRFileNodeServlet/mir_derivate_00000269/ResearchReport_1_2008.pdf,https://ub-deposit.fernuni-hagen.de/servlets/MCRFileNodeServlet/mir_derivate_00000269/ResearchReport_1_2008.pdf,,,1,4,No DOI available
"CCMF, Computational Context Modeling Framework-An Ontological Approach to Develop Context-Aware Web Applications","LP Carvalho, PC da Silva - Semantics in Action-Applications and …, 2012 - intechopen.com",2012,https://www.intechopen.com/download/pdf/36060,https://www.intechopen.com/download/pdf/36060,,,1,2,No DOI available
"Towards a Component-based Design of Adaptive, Context-sensitive Services for Ubiquitous Systems.","T Ruiz-López, C Rodríguez-Domínguez… - Intelligent …, 2013 - books.google.com",2013,https://books.google.de/books?hl=de&lr=&id=4dfDAQAAQBAJ&oi=fnd&pg=PA57&dq=context-sensitive+AND+choreography+AND+adapt*&ots=zsfAcoT4oc&sig=LUG17F1nMWDotwQ0rQpTtw0QY7o,No PDF available,,,1,1,No DOI available
Web Services Conversation Adaptation Using Conditional Substitution Semantics of Application Domain Concepts,"I Elgedawy - ISRN Software Engineering, 2013 - downloads.hindawi.com",2013,http://downloads.hindawi.com/journals/isrn.software.engineering/2013/408267.pdf,http://downloads.hindawi.com/journals/isrn.software.engineering/2013/408267.pdf,,,1,1,No DOI available
