title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Toward architecture-based context-aware deployment and adaptation,"N Gui, V De Florio, H Sun, C Blondia - Journal of Systems and Software, 2011 - Elsevier",2011,https://www.sciencedirect.com/science/article/pii/S0164121210002608,https://repository.uantwerpen.be/docman/irua/bdc107/4404.pdf,,,1,35,No DOI available
Controllers: reusable wrappers to adapt software components,"JM Troya, A Vallecillo - Information and Software Technology, 2001 - Elsevier",2001,https://www.sciencedirect.com/science/article/pii/S0950584900001580,https://pdfs.semanticscholar.org/71de/2ef90048339a97dbfccafad75f44592dab1c.pdf,,,1,13,No DOI available
Towards context-aware web applications,"PH Chang, G Agha - IFIP International Conference on Distributed …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_18,https://link.springer.com/content/pdf/10.1007/978-3-540-72883-2_18.pdf,,,1,21,No DOI available
Multiple user interfaces: cross-platform applications and context-aware interfaces,"A Seffah, H Javahery - Multiple user interfaces: Cross-platform …, 2004 - Wiley Online Library",2004,https://onlinelibrary.wiley.com/doi/pdf/10.1002/0470091703#page=28,No PDF available,,,1,101,No DOI available
ACCADA: A framework for continuous context-aware deployment and adaptation,"N Gui, V De Florio, H Sun, C Blondia - Symposium on Self-Stabilizing …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-05118-0_23,https://repository.uantwerpen.be/docman/irua/b81b1a/4483.pdf,,,1,22,No DOI available
Standardization versus adaptation in global markets: is channel strategy different?,"B Dimitrova, B Rosenbloom - Journal of Marketing Channels, 2010 - Taylor & Francis",2010,https://www.tandfonline.com/doi/abs/10.1080/10466691003635127,No PDF available,,,1,42,No DOI available
Eliminating redundancies with a composition with adaptation meta-programming technique,"S Jarzabek, L Shubiao - ACM SIGSOFT Software Engineering Notes, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=940104,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.103.7311&rep=rep1&type=pdf,,,1,86,No DOI available
Autonomic adaptation solution based on service-context adequacy determination,"M Cremene, M Riveill, C Martel - Electronic Notes in Theoretical Computer …, 2007 - Elsevier",2007,https://www.sciencedirect.com/science/article/pii/S1571066107004896,https://www.sciencedirect.com/science/article/pii/S1571066107004896/pdf?md5=7ef9381a2662bfd6667efd4e216c86ed&isDTMRedir=Y&pid=1-s2.0-S1571066107004896-main.pdf&_valck=1,,,1,29,No DOI available
Supporting context awareness in smart environments: a scalable approach to information interoperability,"A Toninelli, S Pantsar-Syväniemi, P Bellavista… - Proceedings of the …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1657134,No PDF available,,,1,38,No DOI available
Sustainability on the urban scale: Proposal of a structure of indicators for the Spanish context,"M Braulio-Gonzalo, MD Bovea, MJ Ruá - … Impact Assessment Review, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S0195925515000311,http://repositori.uji.es/xmlui/bitstream/handle/10234/151966/67348.pdf?sequence=3&isAllowed=n,,,1,48,No DOI available
Efficiency and ambiguity in an adaptive neural code,"AL Fairhall, GD Lewen, W Bialek, RRR van Steveninck - Nature, 2001 - nature.com",2001,https://www.nature.com/articles/35090500,https://nemenmanlab.org/~ilya/images/e/e3/Fairhall-etal-00.pdf,,,1,694,No DOI available
"Middleware: Context management in heterogeneous, evolving ubiquitous environments","RCA da Rocha, M Endler - IEEE Distributed Systems Online, 2006 - computer.org",2006,https://www.computer.org/csdl/mags/ds/2006/04/o4001-abs.html,https://www.computer.org/csdl/mags/ds/2006/04/o4001.pdf,,,1,64,No DOI available
A conceptual framework for provisioning context-aware mobile cloud services,"HJ La, SD Kim - 2010 IEEE 3rd International Conference on …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5557960/,No PDF available,,,1,79,No DOI available
Achieving self-adaptation through dynamic group management,"L Baresi, S Guinea, P Saeedi - Assurances for Self-Adaptive Systems, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-36249-1_8,No PDF available,,,1,10,No DOI available
Adaptive reference modeling: Integrating configurative and generic adaptation techniques for information models,"J Becker, P Delfmann, R Knackstedt - Reference modeling, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-7908-1966-3_2,https://www.researchgate.net/profile/Patrick_Delfmann2/publication/226221759_Adaptive_Reference_Modeling_Integrating_Configurative_and_Generic_Adaptation_Techniques_for_Information_Models/links/56123bc008ae0fc513f31552.pdf,,,1,218,No DOI available
Event-based distributed workflow execution with EVE,"A Geppert, D Tombros - Middleware'98, 1998 - Springer",1998,https://link.springer.com/chapter/10.1007/978-1-4471-1283-9_26,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.46.5479&rep=rep1&type=pdf,,,1,150,No DOI available
New operators for context adaptation of Mamdani fuzzy systems,"A BOTTA, B Lazzerini, F Marcelloni - Applied artificial intelligence, 2006 - World Scientific",2006,https://www.worldscientific.com/doi/abs/10.1142/9789812774118_0009,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:0JK_dvvBACsJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=3378149324596204438&oi=lle",,,1,4,No DOI available
Context adaptation of Mamdani fuzzy systems through new operators tuned by a genetic algorithm,"A Botta, B Lazzerini, F Marcelloni - 2006 IEEE International …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1681927/,https://ieeexplore.ieee.org/iel5/11093/35437/01681927.pdf,,,1,9,No DOI available
Authoring context-dependent cross-device user interfaces based on trigger/action rules,"G Ghiani, M Manca, F Paternò - … of the 14th International Conference on …, 2015 - dl.acm.org",2015,https://dl.acm.org/citation.cfm?id=2836073,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.723.9086&rep=rep1&type=pdf,,,1,20,No DOI available
A context-driven adaptation process for service-based applications,"A Bucchiarone, R Kazhamiakin, C Cappiello… - Proceedings of the 2nd …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1808896,No PDF available,,,1,31,No DOI available
