title,author,date,link,pdf_link
3D graphics cache system to maximize memory utilization for an embedded system,"Youngjin Chung, Kilwhan Lee, Jinaeon Lee, Yongsurk Lee",22-24 Nov. 2009,https://ieeexplore.ieee.org/document/5423818/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5423818
"A 182 mW 94.3 f/s in Full HD Pattern-Matching Based Image Recognition Accelerator for an Embedded Vision System in 0.13-<formula formulatype=""inline""><tex Notation=""TeX"">$\mu{\rm m}$</tex></formula>CMOS Technology","Jun-Seok Park, Hyo-Eun Kim, Lee-Sup Kim",May 2013,https://ieeexplore.ieee.org/document/6328252/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6328252
A Laboratory Setup and Teaching Methodology for Wireless and Mobile Embedded Systems,"Jean-Samuel Chenard, Zeljko Zilic, Milos Prokic",Aug. 2008,https://ieeexplore.ieee.org/document/4589051/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4589051
A Low-Cost Real-Time Embedded Stereo Vision System for Accurate Disparity Estimation Based on Guided Image Filtering,"Christos Ttofis, Christos Kyrkou, Theocharis Theocharides",1 Sept. 2016,https://ieeexplore.ieee.org/document/7353137/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7353137
A Robust Real-Time Embedded Vision System on an Unmanned Rotorcraft for Ground Target Following,"Feng Lin, Xiangxu Dong, Ben M. Chen, Kai-Yew Lum, Tong H. Lee",Feb. 2012,https://ieeexplore.ieee.org/document/5940220/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5940220
A Tracking System for Wireless Embedded Nodes Using Time-of-Flight Ranging,"Evangelos B. Mazomenos, Jeff S. Reeve, Neil M. White, Andrew D. Brown",Dec. 2013,https://ieeexplore.ieee.org/document/6320554/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6320554
A fast concurrency control algorithm in embedded real-time database system,Xiaoyu Qi,16-18 April 2010,https://ieeexplore.ieee.org/document/5486030/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5486030
An Embedded Mobile ECG Reasoning System for Elderly Patients,"Dong-Her Shih, Hsiu-Sen Chiang, Binshan Lin, Shih-Bin Lin",May 2010,https://ieeexplore.ieee.org/document/4895720/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4895720
An automatic flicker detection method for embedded camera systems,D. Poplin,May 2006,https://ieeexplore.ieee.org/document/1649642/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1649642
An embedded real-time finger-vein recognition system for mobile devices,"Zhi Liu, Shangling Song",May 2012,https://ieeexplore.ieee.org/document/6227456/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6227456
Analysis of power dissipation in embedded systems using real-time operating systems,"R.P. Dick, G. Lakshminarayana, A. Raghunathan, N.K. Jha",May 2003,https://ieeexplore.ieee.org/document/1196204/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1196204
Bio-Inspired Embedded Vision System for Autonomous Micro-Robots: The LGMD Case,"Cheng Hu, Farshad Arvin, Caihua Xiong, Shigang Yue",Sept. 2017,https://ieeexplore.ieee.org/document/7480849/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7480849
Cache-Aware Scratchpad-Allocation Algorithms for Energy-Constrained Embedded Systems,"M. Verma, L. Wehmeyer, P. Marwedel",Oct. 2006,https://ieeexplore.ieee.org/document/1677689/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1677689
Comparison of Embedded System Design for Industrial Applications,"Aleksander Malinowski, Hao Yu",May 2011,https://ieeexplore.ieee.org/document/5755132/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5755132
Component-based embedded database for mobile embedded systems,"S.I. Ahamed, S. Vallecha",5-7 April 2004,https://ieeexplore.ieee.org/document/1286512/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1286512
Compressed memory swap for QoS of virtualized embedded systems,"Jeaho Hwang, Jinkyu Jeong, Hwanju Kim, Jeonghwan Choi, Joonwon Lee",August 2012,https://ieeexplore.ieee.org/document/6311325/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6311325
Cosynthesis of energy-efficient multimode embedded systems with consideration of mode-execution probabilities,"M.T. Schmitz, B.M. Al-Hashimi, P. Eles",Feb. 2005,https://ieeexplore.ieee.org/document/1386374/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1386374
Cross-Layer Quality Assessment of Scalable Video Services on Mobile Embedded Systems,"Kyungtae Kang, Won J. Jeon, Kyung-Joon Park, Roy H. Campbell, Klara Nahrstedt",Oct. 2010,https://ieeexplore.ieee.org/document/5499472/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5499472
Design Methodologies of Transaction-Safe Cluster Allocations in TFAT File System for Embedded Storage Devices,"Keshava Munegowda, G.T. Raju, Veera Manikandan Raju, T.N. Manjunath",22-24 Dec. 2014,https://ieeexplore.ieee.org/document/7033343/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7033343
Design and application of mobile payment system with Embedded Systems and Service Oriented Architecture,"Erbug Celebi, Hasan Amca",9-11 April 2009,https://ieeexplore.ieee.org/document/5136422/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5136422
Design and construction of a robotic platform for 3D reconstruction through an embedded processing system,"Eduardo Amaya-Cruz, Octavio Gutierrez-Frias, Alberto Luviano-Juarez, Humberto Sossa-Azuela",Jan. 2018,https://ieeexplore.ieee.org/document/8291449/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8291449
Design of a Solar-Harvesting Circuit for Batteryless Embedded Systems,"Davide Brunelli, Clemens Moser, Lothar Thiele, Luca Benini",Nov. 2009,https://ieeexplore.ieee.org/document/4785219/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4785219
Development of Embedded STT-MRAM for Mobile System-on-Chips,"Kangho Lee, Seung H. Kang",Jan. 2011,https://ieeexplore.ieee.org/document/5676454/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5676454
Embedded Multisensor System for Safe Point-to-Point Navigation of Impaired Users,"Adriano Mancini, Emanuele Frontoni, Primo Zingaretti",Dec. 2015,https://ieeexplore.ieee.org/document/7314916/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7314916
Embedded NAND flash file system for mobile multimedia devices,"Hyojun Kim, Youjip Won, Sooyong Kang",May 2009,https://ieeexplore.ieee.org/document/5174420/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5174420
Embedded Transmission of Multi-Service Over DTMB System,"Xiaoqing Wang, Jintao Wang, Jun Wang, Yangang Li, Shigang Tang, Jian Song",Dec. 2010,https://ieeexplore.ieee.org/xpls/icp.jsp?arnumber=5559401,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5559401
Embedded middleware and software development kit for area-based distributed mobile cache system,Hiroyuki Kasai,February 2013,https://ieeexplore.ieee.org/document/6490271/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6490271
Embedded system architecture for an WLAN-based dual mode mobile phone,"Sung-Bong Jang, Young-Gab Kim, Hong-Seok Na, Doo-Kwon Baik",August 2009,https://ieeexplore.ieee.org/document/5278035/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5278035
Foreword Embedded Sensor Systems,"Daniela De Venuto, Thilo Sauter",July 2018,https://ieeexplore.ieee.org/document/8410953/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8410953
Implementation and Evaluation of Raptor Codes on Embedded Systems,"Todor Mladenov, Saeid Nooshabadi, Keseon Kim",Dec. 2011,https://ieeexplore.ieee.org/document/5601702/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5601702
Instruction code mapping for performance increase and energy reduction in embedded computer systems,"S. Parameswaran, J. Henkel",April 2005,https://ieeexplore.ieee.org/document/1411847/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1411847
