title,author,date,link,pdf_link
3-D Road Boundary Extraction From Mobile Laser Scanning Data via Supervoxels and Graph Cuts,"Dawei Zai, Jonathan Li, Yulan Guo, Ming Cheng, Yangbin Lin, Huan Luo, Cheng Wang",March 2018,https://ieeexplore.ieee.org/document/7938403/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7938403
A Benders Decomposition Approach for Resilient Placement of Virtual Process Control Functions in Mobile Edge Clouds,"Peiyue Zhao, György Dán",2018,https://ieeexplore.ieee.org/document/8477177/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8477177
A Business Model for Multimedia Streaming in Mobile Clouds,"Giovanni Schembra, Giuseppe Incarbone",Sept. 2014,https://ieeexplore.ieee.org/document/6873253/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6873253
A Context-Aware Architecture Supporting Service Availability in Mobile Cloud Computing,"Gabriel Guerrero-Contreras, José Luis Garrido, Sara Balderas-Díaz, Carlos Rodríguez-Domínguez",1 Nov.-Dec. 2017,https://ieeexplore.ieee.org/document/7430330/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7430330
A Cost-Effective Distributed Framework for Data Collection in Cloud-Based Mobile Crowd Sensing Architectures,"Andrea Capponi, Claudio Fiandrino, Dzmitry Kliazovich, Pascal Bouvry, Stefano Giordano",1 Jan.-March 2017,https://ieeexplore.ieee.org/document/7847440/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7847440
A Distributed Computation Offloading Strategy in Small-Cell Networks Integrated With Mobile Edge Computing,"Lichao Yang, Heli Zhang, Xi Li, Hong Ji, Victor C. M. Leung",2018,https://ieeexplore.ieee.org/document/8519737/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8519737
A Distributed Truthful Auction Mechanism for Task Allocation in Mobile Cloud Computing,"Xiumin Wang, Yang Sui, Jianping Wang, Chau Yuen, Weiwei Wu",2018,https://ieeexplore.ieee.org/document/8322271/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8322271
A Dynamic Offloading Algorithm for Mobile Computing,"Dong Huang, Ping Wang, Dusit Niyato",June 2012,https://ieeexplore.ieee.org/document/6189008/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6189008
A Game Theoretic Approach to Computation Offloading Strategy Optimization for Non-cooperative Users in Mobile Edge Computing,Keqin Li,2018,https://ieeexplore.ieee.org/document/8454762/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8454762
A Holistic Optimization Framework for Mobile Cloud Task Scheduling,"Huazhong Liu, Jie Pu, Laurence T. Yang, Man Lin, Dexiang Yin, Yimu Guo, Xingyu Chen",2018,https://ieeexplore.ieee.org/document/8078197/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8078197
A Hybrid Mobile Visual Search System With Compact Global Signatures,"David M. Chen, Bernd Girod",July 2015,https://ieeexplore.ieee.org/document/7097721/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7097721
A Lightweight Secure Data Sharing Scheme for Mobile Cloud Computing,"RUIXUAN LI, Chenglin Shen, Heng He, Xiwu Gu, Zhiyong Xu, Cheng-Zhong Xu",1 April-June 2018,https://ieeexplore.ieee.org/document/7809047/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7809047
A Model-Assisted Cross-Layer Design of an Energy-Efficient Mobile Video Cloud,"Alfio Lombardo, Carla Panarello, Giovanni Schembra",Dec. 2014,https://ieeexplore.ieee.org/document/6881743/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6881743
A Modified Hierarchical Attribute-based Encryption Access Control Method for Mobile Cloud Computing,"Yuanpeng Xie, Hong Wen, Bin Wu, Yixin Jiang, Jiaxiao Meng",2018,https://ieeexplore.ieee.org/document/7368903/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7368903
A Multi-Objective Approach to Real-Time In-Situ Processing of Mobile-Application Workflows,"Hariharasudhan Viswanathan, Eun Kyung Lee, Dario Pompili",1 Nov. 2016,https://ieeexplore.ieee.org/document/7422143/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7422143
A Network and Device Aware QoS Approach for Cloud-Based Mobile Streaming,"Chin-Feng Lai, Honggang Wang, Han-Chieh Chao, Guofang Nan",June 2013,https://ieeexplore.ieee.org/document/6412801/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6412801
A New Scheme for Mobile Based CAPTCHA Service on Cloud,"Ashutosh Saxena, Nitin Singh Chauhan, Sravan Kumar Reddy, Aparajith Srinivasan Vangal, David Palacios Rodrguez",11-12 Oct. 2012,https://ieeexplore.ieee.org/document/6354589/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6354589
A Position Aware Mobile Application for E-Health Services,"Ismail Hababeh, Sahel Alouneh, Ala F. Khalifeh",25-27 Jan. 2016,https://ieeexplore.ieee.org/document/7877204/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7877204
A Provident Resource Defragmentation Framework for Mobile Cloud Computing,"Weigang Hou, Rui Zhang, Wen Qi, Kejie Lu, Jianping Wang, Lei Guo",Jan.-March 2018,https://ieeexplore.ieee.org/document/7265056/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7265056
A QoS Aware Resource Allocation Strategy for Mobile Graphics Rendering With Cloud Support,"Chin-Feng Lai, Ren-Hung Hwang, Han-Chieh Chao",Jan. 2017,https://ieeexplore.ieee.org/document/7508927/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7508927
A Quality-of-Content-Based Joint Source and Channel Coding for Human Detections in a Mobile Surveillance Cloud,"Xiang Chen, Jenq-Neng Hwang, De Meng, Kuan-Hui Lee, Ricardo L. de Queiroz, Fu-Ming Yeh",Jan. 2017,https://ieeexplore.ieee.org/document/7428864/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7428864
A Routing-Protocol-Independent Caching Framework for Mobile Clouds,"Ying Feng, Radu Stoleru, Chien-An Chen, Geoffrey G. Xie",1 July-Sept. 2017,https://ieeexplore.ieee.org/document/7530824/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7530824
A Scalable Server Architecture for Mobile Presence Services in Social Network Applications,"Chi-Jen Wu, Jan-Ming Ho, Ming-Syan Chen",Feb. 2013,https://ieeexplore.ieee.org/document/6104055/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6104055
