title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Modeling of Component-Based Self-Adapting Context-Aware Applications for Mobile Devices,"Kurt Geihs,    Mohammad U. Khan,    Roland Reichle…",2007,https://link.springer.com/chapter/10.1007/978-0-387-39388-9_8,https://link.springer.com/content/pdf/10.1007%2F978-0-387-39388-9_8.pdf,,,1,4,https://doi.org/10.1007/978-0-387-39388-9_8
A context-aware framework for dynamic composition of process fragments in the internet of services,"Antonio Bucchiarone,    Annapaola Marconi…",2017,https://link.springer.com/article/10.1186/s13174-017-0057-0,https://link.springer.com/content/pdf/10.1186%2Fs13174-017-0057-0.pdf,,,1,4,https://doi.org/10.1186/s13174-017-0057-0
Modeling and Analyzing Context-Aware Composition of Services,"Enzo Colombo,    John Mylopoulos,    Paola Spoletini",2005,https://link.springer.com/chapter/10.1007/11596141_16,https://link.springer.com/content/pdf/10.1007%2F11596141_16.pdf,,,1,3,https://doi.org/10.1007/11596141_16
The core enabling technologies of big data analytics and context-aware computing for smart sustainable cities: a review and synthesis,"Simon Elias Bibri,    John Krogstie",2017,https://link.springer.com/article/10.1186/s40537-017-0091-6,https://link.springer.com/content/pdf/10.1186%2Fs40537-017-0091-6.pdf,,,1,8,https://doi.org/10.1186/s40537-017-0091-6
Lightweight Composition of Ad-Hoc Enterprise-Class Applications with Context-Aware Enterprise Mashups,"Florian Gilles,    Volker Hoyer,    Till Janner…",2010,https://link.springer.com/chapter/10.1007/978-3-642-16132-2_48,https://link.springer.com/content/pdf/10.1007%2F978-3-642-16132-2_48.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-16132-2_48
On personalized cloud service provisioning for mobile users using adaptive and context-aware service composition,"Elarbi Badidi,    Yacine Atif,    Quan Z. Sheng,    Muthucumaru Maheswaran",2019,https://link.springer.com/article/10.1007/s00607-018-0631-8,https://link.springer.com/content/pdf/10.1007%2Fs00607-018-0631-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s00607-018-0631-8
Automatic Composition of Form-Based Services in a Context-Aware Personal Information Space,"Rania Khéfifi,    Pascal Poizat,    Fatiha Saïs",2013,https://link.springer.com/chapter/10.1007/978-3-642-45005-1_48,https://link.springer.com/content/pdf/10.1007%2F978-3-642-45005-1_48.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-45005-1_48
A Component-Based Reflective Middleware Approach to Context-Aware Adaptive Systems,"Zhang Kuo,    Wu Yanni,    Zheng Zhenkun,    Wang Xiaoge,    Chen Yu",2005,https://link.springer.com/chapter/10.1007/11531371_55,https://link.springer.com/content/pdf/10.1007%2F11531371_55.pdf,,,1,3,https://doi.org/10.1007/11531371_55
Towards Context-Aware Web Applications,"Po-Hao Chang,    Gul Agha",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_18,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_18.pdf,,,1,4,https://doi.org/10.1007/978-3-540-72883-2_18
A Context-Aware Trust Model for Service-Oriented Multi-Agent Systems,"Kaiyu Wan,    Vasu Alagar",2009,https://link.springer.com/chapter/10.1007/978-3-642-01247-1_23,https://link.springer.com/content/pdf/10.1007%2F978-3-642-01247-1_23.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-01247-1_23
An Aspect Oriented Approach for Context-Aware Service Domain Adapted to E-Business,"Khouloud Boukadi,    Chirine Ghedira…",2008,https://link.springer.com/chapter/10.1007/978-3-540-69534-9_5,https://link.springer.com/content/pdf/10.1007%2F978-3-540-69534-9_5.pdf,,,1,3,https://doi.org/10.1007/978-3-540-69534-9_5
