title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
The Context-Dependent Role Model,"Jorge Vallejos,    Peter Ebraert,    Brecht Desmet…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_1.pdf,,,1,2,https://doi.org/10.1007/978-3-540-72883-2_1
Publishing and discovering context-dependent services,"Naseem Ibrahim,    Mubarak Mohammad…",2013,https://link.springer.com/article/10.1186/2192-1962-3-1,https://link.springer.com/content/pdf/10.1186%2F2192-1962-3-1.pdf,,,1,41,https://doi.org/10.1186/2192-1962-3-1
"Information engineering for developing and testing coherent, integrated and context-dependent user interfaces","Ellemieke van Doorn,    Imre Horváth,    Zoltán Rusák",2017,https://link.springer.com/article/10.1007/s10111-017-0412-8,https://link.springer.com/content/pdf/10.1007%2Fs10111-017-0412-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s10111-017-0412-8
Using Coordinated Actors to Model Families of Distributed Systems,"Ramtin Khosravi,    Hamideh Sabouri",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-30829-1_6
Partial Connector Colouring,"Dave Clarke,    José Proença",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_5.pdf,,,1,3,https://doi.org/10.1007/978-3-642-30829-1_5
Ontology-Driven Dynamic Discovery and Distributed Coordination of a Robot Swarm,"Niels Bouten,    Anna Hristoskova,    Femke Ongenae…",2012,https://link.springer.com/chapter/10.1007/978-3-642-30633-4_2,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30633-4_2.pdf,,,1,1,https://doi.org/10.1007/978-3-642-30633-4_2
Büchi automata for modeling component connectors,"Mohammad Izadi,    Marcello Bonsangue,    Dave Clarke",2011,https://link.springer.com/article/10.1007/s10270-010-0152-1,https://link.springer.com/content/pdf/10.1007%2Fs10270-010-0152-1.pdf,,,1,3,https://doi.org/10.1007/s10270-010-0152-1
"Distributed Representations, Simple Recurrent Networks, And Grammatical Structure",Jeffrey L. Elman,1991,https://link.springer.com/article/10.1023/A%3A1022699029236,https://link.springer.com/content/pdf/10.1023%2FA%3A1022699029236.pdf,,,1,24,https://doi.org/10.1023/A:1022699029236
"Distributed representations, simple recurrent networks, and grammatical structure",Jeffrey L. Elman,1991,https://link.springer.com/article/10.1007/BF00114844,https://link.springer.com/content/pdf/10.1007%2FBF00114844.pdf,,,1,298,https://doi.org/10.1007/BF00114844
Formalising Security in Ubiquitous and Cloud Scenarios,"Chiara Bodei,    Pierpaolo Degano…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33260-9_1,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33260-9_1.pdf,,,1,3,https://doi.org/10.1007/978-3-642-33260-9_1
A Description Language for Composable Components,"Ioana Sora,    Pierre Verbaeten…",2003,https://link.springer.com/chapter/10.1007/3-540-36578-8_3,https://link.springer.com/content/pdf/10.1007%2F3-540-36578-8_3.pdf,,,1,3,https://doi.org/10.1007/3-540-36578-8_3
Compositional Construction of Real-Time Dataflow Networks,Stephanie Kemper,2010,https://link.springer.com/chapter/10.1007/978-3-642-13414-2_7,https://link.springer.com/content/pdf/10.1007%2F978-3-642-13414-2_7.pdf,,,1,3,https://doi.org/10.1007/978-3-642-13414-2_7
Semantic-Based Development of Service-Oriented Systems,"Martin Wirsing,    Allan Clark,    Stephen Gilmore…",2006,https://link.springer.com/chapter/10.1007/11888116_3,https://link.springer.com/content/pdf/10.1007%2F11888116_3.pdf,,,1,32,https://doi.org/10.1007/11888116_3
A Conceptual Framework for Adaptation,"Roberto Bruni,    Andrea Corradini…",2012,https://link.springer.com/chapter/10.1007/978-3-642-28872-2_17,https://link.springer.com/content/pdf/10.1007%2F978-3-642-28872-2_17.pdf,,,1,25,https://doi.org/10.1007/978-3-642-28872-2_17
Developing highly complex distributed systems: a software engineering perspective,"Marco Autili,    Paola Inverardi…",2012,https://link.springer.com/article/10.1007/s13174-011-0048-5,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0048-5.pdf,,,1,3,https://doi.org/10.1007/s13174-011-0048-5
The core enabling technologies of big data analytics and context-aware computing for smart sustainable cities: a review and synthesis,"Simon Elias Bibri,    John Krogstie",2017,https://link.springer.com/article/10.1186/s40537-017-0091-6,https://link.springer.com/content/pdf/10.1186%2Fs40537-017-0091-6.pdf,,,1,8,https://doi.org/10.1186/s40537-017-0091-6
Compositional semantics of Esterel and verification by compositional reductions,"R. de Simone,    A. Ressouche",1994,https://link.springer.com/chapter/10.1007/3-540-58179-0_74,https://link.springer.com/content/pdf/10.1007%2F3-540-58179-0_74.pdf,,,1,3,https://doi.org/10.1007/3-540-58179-0_74
Enforcement of Privacy Requirements,"Padmanabhan Krishnan,    Kostyantyn Vorobyov",2013,https://link.springer.com/chapter/10.1007/978-3-642-39218-4_21,https://link.springer.com/content/pdf/10.1007%2F978-3-642-39218-4_21.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-39218-4_21
Semantics of Cyber-Physical Systems,"Tharam Dillon,    Elizabeth Chang,    Jaipal Singh…",2012,https://link.springer.com/chapter/10.1007/978-3-642-32891-6_3,https://link.springer.com/content/pdf/10.1007%2F978-3-642-32891-6_3.pdf,,,1,3,https://doi.org/10.1007/978-3-642-32891-6_3
Model-Driven Development of Context-Aware Services,"João Paulo A. Almeida,    Maria-Eugenia Iacob…",2006,https://link.springer.com/chapter/10.1007/11773887_17,https://link.springer.com/content/pdf/10.1007%2F11773887_17.pdf,,,1,13,https://doi.org/10.1007/11773887_17
Model Driven Service Composition,"Bart Orriëns,    Jian Yang,    Mike P. Papazoglou",2003,https://link.springer.com/chapter/10.1007/978-3-540-24593-3_6,https://link.springer.com/content/pdf/10.1007%2F978-3-540-24593-3_6.pdf,,,1,11,https://doi.org/10.1007/978-3-540-24593-3_6
Code Mobility Meets Self-organisation: A Higher-Order Calculus of Computational Fields,"Ferruccio Damiani,    Mirko Viroli…",2015,https://link.springer.com/chapter/10.1007/978-3-319-19195-9_8,https://link.springer.com/content/pdf/10.1007%2F978-3-319-19195-9_8.pdf,,,1,19,https://doi.org/10.1007/978-3-319-19195-9_8
From rules to rule patterns,"G. Kappel,    S. Rausch-Schott,    W. Retschitzegger…",1996,https://link.springer.com/chapter/10.1007/3-540-61292-0_6,https://link.springer.com/content/pdf/10.1007%2F3-540-61292-0_6.pdf,,,1,3,https://doi.org/10.1007/3-540-61292-0_6
Web Services,Mohand-Said Hacid,2004,https://link.springer.com/chapter/10.1007/1-4020-8159-6_8,https://link.springer.com/content/pdf/10.1007%2F1-4020-8159-6_8.pdf,,,1,No cite count available,https://doi.org/10.1007/1-4020-8159-6_8
