title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic Links for Mobile Connected Context-Sensitive Systems,"Philip Gray,    Meurig Sage",2001,https://link.springer.com/chapter/10.1007/3-540-45348-2_24,https://link.springer.com/content/pdf/10.1007%2F3-540-45348-2_24.pdf,,,1,No cite count available,https://doi.org/10.1007/3-540-45348-2_24
Implicit Context-Sensitive Mobile Computing Using Semantic Policies,"Hamid Harroud,    Ahmed Karmouch",2006,https://link.springer.com/chapter/10.1007/11880905_16,https://link.springer.com/content/pdf/10.1007%2F11880905_16.pdf,,,1,No cite count available,https://doi.org/10.1007/11880905_16
Reconciling real and stochastic time: the need for probabilistic refinement,"J. Markovski,    P. R. D’Argenio,    J. C. M. Baeten…",2012,https://link.springer.com/article/10.1007/s00165-012-0230-y,https://link.springer.com/content/pdf/10.1007%2Fs00165-012-0230-y.pdf,,,1,3,https://doi.org/10.1007/s00165-012-0230-y
Code generation by model transformation: a case study in transformation modularity,"Zef Hemel,    Lennart C. L. Kats,    Danny M. Groenewegen…",2010,https://link.springer.com/article/10.1007/s10270-009-0136-1,https://link.springer.com/content/pdf/10.1007%2Fs10270-009-0136-1.pdf,,,1,15,https://doi.org/10.1007/s10270-009-0136-1
Inference and Learning with Hierarchical Shape Models,"Iasonas Kokkinos,    Alan Yuille",2011,https://link.springer.com/article/10.1007/s11263-010-0398-7,https://link.springer.com/content/pdf/10.1007%2Fs11263-010-0398-7.pdf,,,1,13,https://doi.org/10.1007/s11263-010-0398-7
An Aspect Oriented Approach for Context-Aware Service Domain Adapted to E-Business,"Khouloud Boukadi,    Chirine Ghedira…",2008,https://link.springer.com/chapter/10.1007/978-3-540-69534-9_5,https://link.springer.com/content/pdf/10.1007%2F978-3-540-69534-9_5.pdf,,,1,3,https://doi.org/10.1007/978-3-540-69534-9_5
Hyperdatabases,"Hans-J. Schek,    Heiko Schuldt,    Roger Weber",2002,https://link.springer.com/chapter/10.1007/978-0-387-35592-4_1,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35592-4_1.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-35592-4_1
A Middleware-Based Application Framework for Active Space Applications,"Manuel Román,    Roy H. Campbell",2003,https://link.springer.com/chapter/10.1007/3-540-44892-6_22,https://link.springer.com/content/pdf/10.1007%2F3-540-44892-6_22.pdf,,,1,9,https://doi.org/10.1007/3-540-44892-6_22
Scalable Processing of Context Information with COSMOS,"Denis Conan,    Romain Rouvoy…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_16,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_16.pdf,,,1,38,https://doi.org/10.1007/978-3-540-72883-2_16
A Formal Treatment of Context-Awareness,"Gruia-Catalin Roman,    Christine Julien…",2004,https://link.springer.com/chapter/10.1007/978-3-540-24721-0_2,https://link.springer.com/content/pdf/10.1007%2F978-3-540-24721-0_2.pdf,,,1,7,https://doi.org/10.1007/978-3-540-24721-0_2
Middleware for Dynamic Adaptation of Component Applications,"Boyana Norris,    Sanjukta Bhowmick,    Dinesh Kaushik…",2007,https://link.springer.com/chapter/10.1007/978-0-387-73659-4_8,https://link.springer.com/content/pdf/10.1007%2F978-0-387-73659-4_8.pdf,,,1,No cite count available,https://doi.org/10.1007/978-0-387-73659-4_8
