title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Manners externalize semantics for on-demand composition of context-aware services,"A Arsanjani, F Curbera, N Mukhi - … International Conference on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1314785/,No PDF available,,,1,14,No DOI available
Context-aware service composition: a methodology and a case study,"L Bastida, FJ Nieto, R Tola - … of the 2nd international workshop on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1370921,https://www.researchgate.net/profile/Roberto_Tola/publication/228345031_Context-aware_service_composition_a_methodology_and_a_case_study/links/00b7d519e01a4e35f9000000/Context-aware-service-composition-a-methodology-and-a-case-study.pdf,,,1,25,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Service-oriented computing: State of the art and research challenges,"MP Papazoglou, P Traverso, S Dustdar… - Computer, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4385255/,https://pegaso.ls.fi.upm.es/sistemas_dist/images/documentacion/practicas/leymann_2007.pdf,,,1,1594,No DOI available
Context-aware Integration of Collaboration Services for the Support of Mobile Field Operations.,"HJ Eikerling, M Benesch, F Berger, S Bublitz - CCE, 2007 - cs.emis.de",2007,http://cs.emis.de/LNI/Proceedings/Proceedings120/gi-proc-120-013.pdf,http://cs.emis.de/LNI/Proceedings/Proceedings120/gi-proc-120-013.pdf,,,1,4,No DOI available
Turning software into a service,"M Turner, D Budgen, P Brereton - Computer, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1236470/,http://dro.dur.ac.uk/624/1/624.pdf,,,1,703,No DOI available
A Technology Roadmap on SOA for smart embedded devices: Towards intelligent systems in manufacturing,"A Cannata, M Gerosa, M Taisch - 2008 IEEE International …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4737972/,http://www.socrades.net/Documents/objects/file1251450638.pdf,,,1,27,No DOI available
Agents that talk and hit back: Animated agents in augmented reality,"I Barakonyi, T Psik, D Schmalstieg - Proceedings of the 3rd IEEE/ACM …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1033711,https://data.icg.tugraz.at/~dieter/publications/Schmalstieg_078.pdf,,,1,64,No DOI available
Context Aware Web-Service Monitoring,R Contreras - 2013 - openaccess.city.ac.uk,2013,http://openaccess.city.ac.uk/id/eprint/2723,http://openaccess.city.ac.uk/2723/1/Contreas%2C_Ricardo.pdf,,,1,No cite count available,No DOI available
Towards bridging IOT and cloud services: proposing smartphones as mobile and autonomic service gateways,"R Golchay, FL Mouël, S Frénot, J Ponge - arXiv preprint arXiv:1107.4786, 2011 - arxiv.org",1107,https://arxiv.org/abs/1107.4786,https://arxiv.org/pdf/1107.4786,,,1,17,No DOI available
Learning-based coordination of distributed component deployment,"Y Vanrompay, P Rigole… - … Communications of the …, 2008 - journal.ub.tu-berlin.de",2008,http://journal.ub.tu-berlin.de/eceasst/article/view/131,http://journal.ub.tu-berlin.de/index.php/eceasst/article/viewFile/131/129,,,1,1,No DOI available
ECOSPACE--towards an integrated collaboration space for eProfessionals,"W Prinz, H Loh, M Pallot, H Schaffers… - 2006 International …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/4207540/,https://www.researchgate.net/profile/Hans_Schaffers/publication/224704478_ECOSPACE_--_Towards_an_Integrated_Collaboration_Space_for_eProfessionals/links/02bfe50f6f8b744243000000.pdf,,,1,60,No DOI available
GNSS Reflectometry Application in an Integrated IoT System,"S Blanc, JL Bayo, F Rodriguez, A Martín, A Belén… - researchgate.net",No year available,https://www.researchgate.net/profile/Sara_Blanc/publication/328096281_GNSS_Reflectometry_Application_in_an_Integrated_IoT_System/links/5bb747364585159e8d86f12e/GNSS-Reflectometry-Application-in-an-Integrated-IoT-System.pdf,https://www.researchgate.net/profile/Sara_Blanc/publication/328096281_GNSS_Reflectometry_Application_in_an_Integrated_IoT_System/links/5bb747364585159e8d86f12e/GNSS-Reflectometry-Application-in-an-Integrated-IoT-System.pdf,,,1,No cite count available,No DOI available
