title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A context-aware multi-agent system as a middleware for ambient intelligence,"A Olaru, AM Florea, AEF Seghrouchni - Mobile Networks and Applications, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11036-012-0408-9,https://link.springer.com/article/10.1007/s11036-012-0408-9,,,1,45,No DOI available
Service composition issues in pervasive computing,"J Bronsted, KM Hansen… - IEEE Pervasive …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370805/,https://ieeexplore.ieee.org/iel5/7756/5370796/05370805.pdf,,,1,138,No DOI available
"Agent-based, context-aware information sharing for ambient intelligence","A Olaru, C Gratie - International Journal on Artificial Intelligence …, 2011 - World Scientific",2011,https://www.worldscientific.com/doi/abs/10.1142/S0218213011000498,https://hal.archives-ouvertes.fr/docs/00/66/20/78/PDF/2011_OlaruGratie_-_AgentBasedContextAwareInformationSharingForAmbientIntelligence-IJAIT11_OG11.pdf,,,1,17,No DOI available
A survey of service composition mechanisms in ubiquitous computing,"J Brønsted, KM Hansen… - … on Requirements and …, 2007 - pdfs.semanticscholar.org",2007,https://pdfs.semanticscholar.org/8b28/eabd169a13a2cccf3b92e406e4ed60b88c22.pdf,https://pdfs.semanticscholar.org/8b28/eabd169a13a2cccf3b92e406e4ed60b88c22.pdf,,,1,39,No DOI available
A case study on formal verification of self-adaptive behaviors in a decentralized system,"MU Iftikhar, D Weyns - arXiv preprint arXiv:1208.4635, 2012 - arxiv.org",1208,https://arxiv.org/abs/1208.4635,https://arxiv.org/pdf/1208.4635,,,1,60,No DOI available
Context-aware inference in ubiquitous residential environments,"JH Lee, H Lee, MJ Kim, X Wang, PED Love - Computers in Industry, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0166361513001656,No PDF available,,,1,22,No DOI available
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - 2010 Fifth International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,https://ieeexplore.ieee.org/iel5/5476375/5476480/05476731.pdf,,,1,60,No DOI available
Mediasense–an internet of things platform for scalable and decentralized context sharing and control,"T Kanter, S Forsström, V Kardeby, J Walters… - Proceedings of 7th …, 2012 - Citeseer",2012,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.869.7340&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.869.7340&rep=rep1&type=pdf,,,1,28,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - International workshop on Engineering of software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
"A framework for developing mobile, context-aware applications","G Biegel, V Cahill - Second IEEE Annual Conference on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1276875/,http://www.tara.tcd.ie/bitstream/handle/2262/27079/a%20framework%20for%20developing%20mobile%2C%20context%20aware%20applications.pdf?sequence=1&isAllowed=y,,,1,420,No DOI available
Dynamic service composition in ambient intelligence environments: a multi-agent approach,"M Vallée, F Ramparany… - Proceeding of the First …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,,,1,40,No DOI available
