title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A roadmap towards sustainable self-aware service systems,"S Dustdar, C Dorn, F Li, L Baresi, G Cabri… - Proceedings of the …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1808986,https://dsg.tuwien.ac.at/staff/fei/papers/SEAMS-Chiristoph.pdf,,,1,31,No DOI available
Efficient execution of service composition for content adaptation in pervasive computing,"Y Fawaz, G Berhe, L Brunie, VM Scuturici… - International Journal of …, 2008 - hindawi.com",2008,https://www.hindawi.com/journals/ijdmb/2008/851628/abs/,http://downloads.hindawi.com/journals/ijdmb/2008/851628.pdf,,,1,20,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - … workshop on Engineering of software services for …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://www.researchgate.net/profile/Antonio_Manzalini/publication/4243294_Towards_Autonomic_and_Situation-Aware_Communication_Services_the_CASCADAS_Vision/links/0f317534c1a8edd4d5000000/Towards-Autonomic-and-Situation-Aware-Communication-Services-the-CASCADAS-Vision.pdf,,,1,66,No DOI available
Service composition issues in pervasive computing,"J Bronsted, KM Hansen… - IEEE Pervasive …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370805/,No PDF available,,,1,138,No DOI available
Dynamic service composition in ambient intelligence environments: a multi-agent approach,"M Vallée, F Ramparany… - … Workshop on Service …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,,,1,40,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://www.researchgate.net/profile/Xiaodong_Liu4/publication/221029068_A_Perspective_on_Middleware-Oriented_Context-Aware_Pervasive_Systems/links/02e7e526fb8305cb7b000000/A-Perspective-on-Middleware-Oriented-Context-Aware-Pervasive-Systems.pdf,,,1,14,No DOI available
A multi-agent system for dynamic service composition in ambient intelligence environments,"M Vallée, F Ramparany, L Vercouter - 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.137.5734&rep=rep1&type=pdf,,,1,56,No DOI available
PSC-RM: Reference model for pervasive service composition,"J Zhou, J Sun, M Rautiainen… - … on Frontier of …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5392838/,https://www.researchgate.net/profile/Mika_Ylianttila/publication/232653224_PSC-RM_Reference_Model_for_Pervasive_Service_Composition/links/57399c6a08aea45ee83f458d/PSC-RM-Reference-Model-for-Pervasive-Service-Composition.pdf,,,1,10,No DOI available
An adaptive agent coordination framework for Web services composition,"ZZ Sun, B Li, L Li - 2007 International Conference on Machine …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4370821/,No PDF available,,,1,6,No DOI available
