title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Service composition issues in pervasive computing,"J Bronsted, KM Hansen… - IEEE Pervasive …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370805/,https://ieeexplore.ieee.org/iel5/7756/5370796/05370805.pdf,,,1,138,No DOI available
Context-aware systems: A literature review and classification,"J Hong, E Suh, SJ Kim - Expert Systems with applications, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0957417408007574,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.164.3897&rep=rep1&type=pdf,,,1,633,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - … workshop on Engineering of software services for …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
A hybrid recommender system for context-aware recommendations of mobile applications,"W Woerndl, C Schueller… - 2007 IEEE 23rd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4401078/,https://ieeexplore.ieee.org/iel5/4400942/4400943/04401078.pdf,,,1,160,No DOI available
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - … and Services, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,https://ieeexplore.ieee.org/iel5/5476375/5476480/05476731.pdf,,,1,60,No DOI available
Data-centric middleware for context-aware pervasive computing,"G Chen, M Li, D Kotz - Pervasive and mobile computing, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S1574119207000636,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.367.6194&rep=rep1&type=pdf,,,1,132,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
Context-sensitive middleware for real-time software in ubiquitous computing environments,"SS Yau, F Karim - … Symposium on Object-Oriented Real-Time …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/922833/,https://ieeexplore.ieee.org/iel5/7351/19938/00922833.pdf,,,1,89,No DOI available
AWARENESS: A project on Context AWARE mobile NEtworks and ServiceS,"M Wegdam - 14th Mobile & Wireless Communication Summit, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.121.4666&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.121.4666&rep=rep1&type=pdf,,,1,40,No DOI available
A trusted decentralized access control framework for the client/server architecture,"W Han, M Xu, W Zhao, G Li - Journal of Network and Computer …, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S1084804509001489,No PDF available,,,1,8,No DOI available
Lightweight service oriented architecture for pervasive computing,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - arXiv preprint arXiv …, 2011 - arxiv.org",2011,https://arxiv.org/abs/1102.5193,https://arxiv.org/pdf/1102.5193,,,1,45,No DOI available
Reconfigurable context-sensitive middleware for ADS applications in mobile ad hoc network environments,"SS Yau, F Karim - … Symposium on Autonomous Decentralized …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/917435/,https://ieeexplore.ieee.org/iel5/7329/19807/00917435.pdf,,,1,33,No DOI available
Context-aware business application service co-ordination in mobile computing environments,"H Helin, M Klusch, A Lopes, A Fernández… - AAMAS05 workshop on …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,,,1,18,No DOI available
Situation-aware access control for service-oriented autonomous decentralized systems,"SS Yau, Y Yao, V Banga - … Autonomous Decentralized Systems …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1452011/,https://ieeexplore.ieee.org/iel5/9846/31027/01452011.pdf,,,1,24,No DOI available
A requirements-driven approach towards decentralized social networks,"S Thiel, M Bourimi, R Giménez, S Scerri… - … Application, and Service, 2012 - Springer",2012,https://link.springer.com/chapter/10.1007/978-94-007-4516-2_75,No PDF available,,,1,16,No DOI available
Modeling privacy control in context-aware systems,"X Jiang, JA Landay - IEEE Pervasive computing, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1037723/,https://ieeexplore.ieee.org/iel5/7756/22254/01037723.pdf,,,1,210,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Context-aware authorization in highly dynamic environments,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - arXiv preprint arXiv …, 2011 - arxiv.org",2011,https://arxiv.org/abs/1102.5194,https://arxiv.org/pdf/1102.5194,,,1,25,No DOI available
Context-sensitive trust computing in distributed environments,"Y Ding, F Liu, B Tang - Knowledge-Based Systems, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0950705111002723,http://or.nsfc.gov.cn/bitstream/00001903-5/112633/1/1000003873447.pdf,,,1,17,No DOI available
Supporting context-aware mobile service adaptation with scalable context discovery platform,"D Zhang, CY Chin, M Gurusamy - 2005 IEEE 61st Vehicular …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1543869/,https://ieeexplore.ieee.org/iel5/10360/32962/01543869.pdf,,,1,17,No DOI available
Automate: Enabling autonomic applications on the grid,"M Agarwal, V Bhat, H Liu, V Matossian… - 2003 Autonomic …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1210204/,https://nsfcac.rutgers.edu/TASSL/Papers/automate-ams-03.pdf,,,1,134,No DOI available
The java context awareness framework (JCAF)–a service infrastructure and programming framework for context-aware applications,"JE Bardram - International Conference on Pervasive Computing, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11428572_7,http://www.itialt.dk/publications/files/bardram_jcaf_2004.pdf,,,1,435,No DOI available
Security-aware service composition with fine-grained information flow control,"W She, IL Yen, B Thuraisingham… - … on Services Computing, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6133269/,https://ieeexplore.ieee.org/iel5/4629386/4629387/06133269.pdf,,,1,28,No DOI available
Context-sensitive resource discovery,"G Chen, D Kotz - 2003 - apps.dtic.mil",2003,https://apps.dtic.mil/docs/citations/ADA445477,https://apps.dtic.mil/dtic/tr/fulltext/u2/a445477.pdf,,,1,87,No DOI available
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - Service Oriented …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
SPBCA: Semantic pattern-based context-aware middleware,"X Zhou, X Tang, X Yuan, D Chen - 2009 15th International …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5395314/,https://ieeexplore.ieee.org/iel5/5394475/5394991/05395314.pdf,,,1,8,No DOI available
Flexible composition of smart device services,"M Vallée, F Ramparany, L Vercouter - PSC, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/Fano_Ramparany/publication/221228316_Flexible_Composition_of_Smart_Device_Services/links/02bfe5146db682580f000000/Flexible-Composition-of-Smart-Device-Services.pdf,https://www.researchgate.net/profile/Fano_Ramparany/publication/221228316_Flexible_Composition_of_Smart_Device_Services/links/02bfe5146db682580f000000/Flexible-Composition-of-Smart-Device-Services.pdf,,,1,70,No DOI available
An architecture for privacy-sensitive ubiquitous computing,"JI Hong, JA Landay - … on Mobile systems, applications, and services, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=990087,https://www.usenix.org/publications/library/proceedings/mobisys04/pdf/p177-hong.pdf,,,1,734,No DOI available
2. What Is This “Peer-to-Peer” About?,"R Steinmetz, K Wehrle - Peer-to-peer systems and applications, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11530657_2,No PDF available,,,1,604,No DOI available
Mediasense–an internet of things platform for scalable and decentralized context sharing and control,"T Kanter, S Forsström, V Kardeby, J Walters… - Proceedings of 7th …, 2012 - Citeseer",2012,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.869.7340&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.869.7340&rep=rep1&type=pdf,,,1,28,No DOI available
A survey on context-aware mobile and wireless networking: On networking and computing environments' integration,"P Makris, DN Skoutas, C Skianis - … communications surveys & …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6182559/,https://ieeexplore.ieee.org/iel5/9739/5451756/06182559.pdf,,,1,179,No DOI available
Poyraz: Context‐aware service selection under deception,"M Şensoy, J Zhang, P Yolum… - Computational …, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8640.2009.00348.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8640.2009.00348.x,,,1,64,No DOI available
Privacy in georeferenced context-aware services: A survey,"D Riboni, L Pareschi, C Bettini - Privacy in Location-Based Applications, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-03511-1_7,https://air.unimi.it/retrieve/handle/2434/52786/106397/ProceedingsPiLBA08.pdf%24#page=24,,,1,38,No DOI available
A service selection method based on context types for a ubiquitous service system in a public space,"H Kawamichi, S Sameshima, H Kato… - … on Applications and …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1268654/,No PDF available,,,1,16,No DOI available
Context-sensitive authorization in interaction patterns,"V Hourdin, JY Tigli, S Lavirotte, G Rey… - Proceedings of the 6th …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1710055,https://hal.archives-ouvertes.fr/hal-00481752/file/hourdin-tigli-etal_2009a.pdf,,,1,7,No DOI available
