title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
Solar: An open platform for context-aware mobile applications,"G Chen, D Kotz - 2005 - apps.dtic.mil",2005,https://apps.dtic.mil/docs/citations/ADA440088,https://apps.dtic.mil/dtic/tr/fulltext/u2/a440088.pdf,,,1,122,No DOI available
Semantics-based context-aware dynamic service composition,"K Fujii, T Suda - ACM Transactions on Autonomous and Adaptive …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1516536,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:8tmjxxOaEN0J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=1957941971853208913&oi=lle",,,1,131,No DOI available
"Chisel: A policy-driven, context-aware, dynamic adaptation framework","J Keeney, V Cahill - … Workshop on Policies for Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1206953/,https://pdfs.semanticscholar.org/890f/ea489767d98157b6e414f828ef23b3b34858.pdf,,,1,208,No DOI available
Supporting context-aware mobile applications: an infrastructure approach,"MJ van Sinderen, AT van Halteren… - IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1705985/,https://ieeexplore.ieee.org/iel5/35/36012/01705985.pdf,,,1,129,No DOI available
An architecture for the effective support of adaptive context-aware applications,"C Efstratiou, K Cheverst, N Davies, A Friday - International Conference on …, 2001 - Springer",2001,https://link.springer.com/chapter/10.1007/3-540-44498-X_2,http://eprints.lancs.ac.uk/11965/1/mdm2001.pdf,,,1,130,No DOI available
A survey on context-aware systems,"M Baldauf, S Dustdar, F Rosenberg - … Journal of Ad Hoc and Ubiquitous …, 2007 - cs.umd.edu",2007,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,,,1,2358,No DOI available
The context toolkit: aiding the development of context-enabled applications,"D Salber, AK Dey, GD Abowd - … of the SIGCHI conference on Human …, 1999 - dl.acm.org",1999,https://dl.acm.org/citation.cfm?id=303126,https://smartech.gatech.edu/bitstream/handle/1853/3481/98-33.pdf,,,1,1384,No DOI available
Context-aware adaptation in an ecology of applications,"D Preuveneers, K Victor, Y Vanrompay… - Context-Aware Mobile …, 2009 - igi-global.com",2009,https://www.igi-global.com/chapter/context-aware-mobile-ubiquitous-computing/7114,http://www.davy.preuveneers.be/publications/context_chapter09.pdf,,,1,20,No DOI available
Model driven development of context-aware service oriented architecture,"S Vale, S Hammoudi - 2008 11th IEEE International …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4625096/,https://ieeexplore.ieee.org/iel5/4625018/4625019/04625096.pdf,,,1,24,No DOI available
"A user-centric, resource-aware, context-sensitive, multi-device application framework for ubiquitous computing environments","M Roman, RH Campbell - University of Illinois at Urbana-Champaign …, 2002 - academia.edu",2002,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,,,1,36,No DOI available
An extensive survey of context-aware middleware architectures,"A Saeed, T Waheed - 2010 IEEE International Conference on …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5612118/,https://ieeexplore.ieee.org/iel5/5599908/5612082/05612118.pdf,,,1,46,No DOI available
MobiPADS: a reflective middleware for context-aware mobile computing,"ATS Chan, SN Chuang - IEEE Transactions on software engineering, 2003 - computer.org",2003,https://www.computer.org/csdl/trans/ts/2003/12/e1072.pdf,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:G51x0WBAX4YJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=10347438113352720659&oi=lle",,,1,263,No DOI available
Solar: A pervasive-computing infrastructure for context-aware mobile applications,"G Chen, D Kotz - 2002 - apps.dtic.mil",2002,https://apps.dtic.mil/docs/citations/ADA440303,https://apps.dtic.mil/dtic/tr/fulltext/u2/a440303.pdf,,,1,76,No DOI available
A survey of dynamic service composition approaches for ambient systems,"A Urbieta, G Barrutieta, J Parra… - Proceedings of the 2008 …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1413928,No PDF available,,,1,56,No DOI available
Context-aware middleware for mobile multimedia applications,"O Davidyuk, J Riekki, VM Rautio, J Sun - Proceedings of the 3rd …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1052410,http://www.mediateam.oulu.fi/publications/pdf/791.pdf,,,1,80,No DOI available
A service‐oriented middleware for building context‐aware services,"T Gu, HK Pung, DQ Zhang - Journal of Network and computer applications, 2005 - Elsevier",2005,https://www.sciencedirect.com/science/article/pii/S1084804504000451,No PDF available,,,1,1111,No DOI available
A context management framework for supporting context-aware distributed applications,"H Van Kranenburg, MS Bargh, S Iacob… - IEEE …, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/Arjan_Peddemors/publication/3199716_A_context_management_framework_for_supporting_context-aware_distributed_applications/links/09e415112a3188a736000000.pdf,https://www.researchgate.net/profile/Arjan_Peddemors/publication/3199716_A_context_management_framework_for_supporting_context-aware_distributed_applications/links/09e415112a3188a736000000.pdf,,,1,125,No DOI available
Automated context-driven composition of pervasive services to alleviate non-functional concerns,"D Preuveneers, Y Berbers - International Journal of Computing and …, 2005 - ijcis.info",2005,http://www.ijcis.info/International%20Journal%20of%20Computing%20and%20Information%20Sciences_files/SP_IWSAC/SPW19_28.pdf,http://www.ijcis.info/International%20Journal%20of%20Computing%20and%20Information%20Sciences_files/SP_IWSAC/SPW19_28.pdf,,,1,32,No DOI available
Reconfigurable service composition and categorization for power-aware mobile computing,"E Park, H Shin - IEEE transactions on Parallel and distributed …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4553702/,https://ieeexplore.ieee.org/iel5/71/4637367/04553702.pdf,,,1,36,No DOI available
Scalable processing of context information with COSMOS,"D Conan, R Rouvoy, L Seinturier - … International Conference on Distributed …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_16,https://link.springer.com/content/pdf/10.1007/978-3-540-72883-2_16.pdf,,,1,136,No DOI available
Deployment of context-aware component-based applications based on middleware,"D Zheng, J Wang, Y Jia, WH Han, P Zou - International Conference on …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-73549-6_89,No PDF available,,,1,25,No DOI available
Adaptive context management using a component-based approach,"D Preuveneers, Y Berbers - IFIP International Conference on Distributed …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11498094_2,https://link.springer.com/content/pdf/10.1007/11498094_2.pdf,,,1,55,No DOI available
Context-aware composition of mobile services,"S Panagiotakis, A Alonistioti - IT Professional, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1683741/,https://ieeexplore.ieee.org/iel5/6294/35450/01683741.pdf,,,1,21,No DOI available
Context aware adaptable applications-a global approach,"M Dalmau, P Roose, S Laplace - arXiv preprint arXiv:0909.2090, 2009 - arxiv.org",0909,https://arxiv.org/abs/0909.2090,https://arxiv.org/pdf/0909.2090,,,1,25,No DOI available
A survey on context-aware web service systems,"HL Truong, S Dustdar - International Journal of Web …, 2009 - emeraldinsight.com",2009,https://www.emeraldinsight.com/doi/pdf/10.1108/17440080910947295,https://pdfs.semanticscholar.org/fe75/bbbb60e4d14d841a4640c6e9f22b096ae1c4.pdf,,,1,225,No DOI available
