title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"I-centric communications: personalization, ambient awareness, and adaptability for future mobile services","S Arbanowski, P Ballon, K David… - IEEE …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1336722/,https://ieeexplore.ieee.org/iel5/35/29478/01336722.pdf,,,1,138,No DOI available
Interoperability and Decentralization as Key Technologies for Future Smart Urban Environments,"M Plociennik, M Drobics, K Katsaros… - … on Networks and …, 2018 - ieeexplore.ieee.org",2018,https://ieeexplore.ieee.org/abstract/document/8442444/,https://ieeexplore.ieee.org/iel7/8412474/8442432/08442444.pdf,,,1,No cite count available,No DOI available
Autonomic renumbering in the future iInternet,"F Beck, I Chrisment, R Droms… - IEEE Communications …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5496883/,https://ieeexplore.ieee.org/iel5/35/5496864/05496883.pdf,,,1,1,No DOI available
Empowering next-generation wireless personal communication networks,"L Munoz, R Agero, J Choque… - IEEE …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1299344/,https://ieeexplore.ieee.org/iel5/35/28868/01299344.pdf,,,1,27,No DOI available
Context-Aware Data Loss Prevention (DLP) for Cloud Security,"K Narayanaswamy, L Cheng, R Ithal… - US Patent App. 15 …, 2018 - Google Patents",2018,https://patents.google.com/patent/US20180278652A1/en,https://patentimages.storage.googleapis.com/64/f7/01/833081ed305561/US20180278652A1.pdf,,,1,No cite count available,No DOI available
Building an intelligent sensing system: a case study,"W Dargie, A Schill - International Journal of Autonomous and …, 2012 - researchgate.net",2012,https://www.researchgate.net/profile/Waltenegus_Dargie/publication/262203676_Building_an_intelligent_sensing_system_A_case_study/links/544e36f00cf2bca5ce8f1759.pdf,https://www.researchgate.net/profile/Waltenegus_Dargie/publication/262203676_Building_an_intelligent_sensing_system_A_case_study/links/544e36f00cf2bca5ce8f1759.pdf,,,1,No cite count available,No DOI available
Group management for in-home ad hoc networks,"M Boulkenafed, V Issarny, J Liu - Workshop on real-time for multimedia …, 2004 - pure.tue.nl",2004,https://pure.tue.nl/ws/files/2403102/200436.pdf#page=34,https://pure.tue.nl/ws/files/2403102/200436.pdf#page=34,,,1,2,No DOI available
A brief history of network programmability and related fields,"R Wolter - Network-Embedded Management and Applications, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-1-4419-6769-5_2,No PDF available,,,1,1,No DOI available
"AIS, 545","EC Amazon, A Market, A Plus, A Store - … and Innovation in Future Computing and … - Springer",No year available,https://link.springer.com/content/pdf/10.1007/978-94-017-8798-7.pdf#page=877,No PDF available,,,1,No cite count available,No DOI available
Distributed networks using ROS—cross-network middleware communication using ipv6,T Schneider - 2012 - Citeseer,2012,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.395.71&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.395.71&rep=rep1&type=pdf,,,1,4,No DOI available
