title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
The context toolkit: aiding the development of context-enabled applications,"D Salber, AK Dey, GD Abowd - … of the SIGCHI conference on Human …, 1999 - dl.acm.org",1999,https://dl.acm.org/citation.cfm?id=303126,https://smartech.gatech.edu/bitstream/handle/1853/3481/98-33.pdf,,,1,1384,No DOI available
A survey on context-aware systems,"M Baldauf, S Dustdar, F Rosenberg - … Journal of Ad Hoc and Ubiquitous …, 2007 - cs.umd.edu",2007,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,,,1,2358,No DOI available
Model-driven development of context-aware services,"JPA Almeida, ME Iacob, H Jonkers… - … Conference on Distributed …, 2006 - Springer",2006,https://link.springer.com/chapter/10.1007/11773887_17,https://link.springer.com/content/pdf/10.1007/11773887_17.pdf,,,1,35,No DOI available
Architectural Patterns for Context-Aware Services Platforms.,"PD Costa, LF Pires, M van Sinderen - IWUC, 2005 - academia.edu",2005,http://www.academia.edu/download/44059928/Architectural_Patterns_for_Context-Aware20160324-18362-1v4k3zg.pdf,http://www.academia.edu/download/44059928/Architectural_Patterns_for_Context-Aware20160324-18362-1v4k3zg.pdf,,,1,65,No DOI available
An architecture for the effective support of adaptive context-aware applications,"C Efstratiou, K Cheverst, N Davies, A Friday - International Conference on …, 2001 - Springer",2001,https://link.springer.com/chapter/10.1007/3-540-44498-X_2,http://eprints.lancs.ac.uk/11965/1/mdm2001.pdf,,,1,130,No DOI available
Dynamic application composition: Customizing the behavior of an active space,"M Román, B Ziebart… - Proceedings of the First …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1192739/,http://gaia.cs.illinois.edu/papers/107Roman.pdf,,,1,39,No DOI available
A service‐oriented middleware for building context‐aware services,"T Gu, HK Pung, DQ Zhang - Journal of Network and computer applications, 2005 - Elsevier",2005,https://www.sciencedirect.com/science/article/pii/S1084804504000451,No PDF available,,,1,1111,No DOI available
"Chisel: A policy-driven, context-aware, dynamic adaptation framework","J Keeney, V Cahill - … Workshop on Policies for Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1206953/,https://pdfs.semanticscholar.org/890f/ea489767d98157b6e414f828ef23b3b34858.pdf,,,1,208,No DOI available
Modeling and generating context-aware agent-based applications with amended colored petri nets,"OB Kwon - Expert Systems with Applications, 2004 - Elsevier",2004,https://www.sciencedirect.com/science/article/pii/S0957417404000727,No PDF available,,,1,57,No DOI available
