title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Context-aware multimedia computing in the intelligent hospital,"S Mitchell, MD Spiteri, J Bates… - Proceedings of the 9th …, 2000 - dl.acm.org",2000,https://dl.acm.org/citation.cfm?id=566730,http://www.cl.cam.ac.uk/research/dtg/lce-pub/public/files/SIGOPS-EW2000.pdf,,,1,91,No DOI available
Genetic algorithm-based optimization of service composition and deployment,"Y Vanrompay, P Rigole, Y Berbers - … of the 3rd international workshop on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1387313,https://www.researchgate.net/profile/Yolande_Berbers/publication/228621214_Genetic_algorithm-based_optimization_of_service_composition_and_deployment/links/00b7d52bc83d24d9c6000000.pdf,,,1,42,No DOI available
Architectures for context,"T Winograd - Human–Computer Interaction, 2001 - Taylor & Francis",2001,https://www.tandfonline.com/doi/abs/10.1207/S15327051HCI16234_18,https://www.tandfonline.com/doi/pdf/10.1207/S15327051HCI16234_18,,,1,587,No DOI available
Object-oriented middleware infrastructure for distributed augmented reality,"E Tokunaga, A van der Zee… - … -Time Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1199250/,https://ieeexplore.ieee.org/iel5/8540/26999/01199250.pdf,,,1,10,No DOI available
A context-aware middleware for applications in mobile ad hoc environments,"CF Sørensen, M Wu, T Sivaharan, GS Blair… - Proceedings of the 2nd …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1028510,http://www.academia.edu/download/45819472/MPAC-Sorensen.pdf,,,1,118,No DOI available
Context-aware computing applications,"BN Schilit, N Adams, R Want - 1994 - www-cgi.cs.cmu.edu",1994,http://www-cgi.cs.cmu.edu/afs/cs.cmu.edu/Web/People/jasonh/courses/ubicomp-sp2007/papers/12-wmc-94-schilit.pdf,http://www-cgi.cs.cmu.edu/afs/cs.cmu.edu/Web/People/jasonh/courses/ubicomp-sp2007/papers/12-wmc-94-schilit.pdf,,,1,4931,No DOI available
MobiPADS: a reflective middleware for context-aware mobile computing,"ATS Chan, SN Chuang - IEEE Transactions on software engineering, 2003 - computer.org",2003,https://www.computer.org/csdl/trans/ts/2003/12/e1072.pdf,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:G51x0WBAX4YJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=10347438113352720659&oi=lle",,,1,263,No DOI available
Dynamic service composition in ambient intelligence environments: a multi-agent approach,"M Vallée, F Ramparany… - Proceeding of the First …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,https://pdfs.semanticscholar.org/edab/212f742b4197d8951a7a79fa81eec2e14f5e.pdf,,,1,40,No DOI available
A software product line for the mobile and context-aware applications domain,"FG Marinho, F Lima, JB Ferreira Filho, L Rocha… - … Conference on Software …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-15579-6_24,https://www.researchgate.net/profile/Windson_Viana/publication/225583092_A_Software_Product_Line_for_the_Mobile_and_Context-Aware_Applications_Domain/links/0fcfd508dabc96b2df000000.pdf,,,1,25,No DOI available
"Chisel: A policy-driven, context-aware, dynamic adaptation framework","J Keeney, V Cahill - … Workshop on Policies for Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1206953/,https://pdfs.semanticscholar.org/890f/ea489767d98157b6e414f828ef23b3b34858.pdf,,,1,208,No DOI available
Manners externalize semantics for on-demand composition of context-aware services,"A Arsanjani, F Curbera, N Mukhi - … International Conference on …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1314785/,https://ieeexplore.ieee.org/iel5/9185/29136/01314785.pdf,,,1,14,No DOI available
Enabling context-aware web services: a middleware approach for ubiquitous environments,"D Romero, R Rouvoy, L Seinturier, S Chabridon… - 2010 - hal.inria.fr",2010,https://hal.inria.fr/inria-00414070/,https://hal.inria.fr/inria-00414070/document,,,1,34,No DOI available
Fast and efficient context-aware services,"D Raz, AT Juhola, J Serrat-Fernandez, A Galis - 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=1dLtRPRLDGsC&oi=fnd&pg=PR1&dq=context-aware+AND+distributed+composition+AND+reconfig*&ots=vp7Xtp8i-k&sig=q9XocZmXGuAVLOx1gRYIncXuB48,No PDF available,,,1,71,No DOI available
"A user-centric, resource-aware, context-sensitive, multi-device application framework for ubiquitous computing environments","M Roman, RH Campbell - University of Illinois at Urbana-Champaign …, 2002 - academia.edu",2002,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,,,1,36,No DOI available
Controlling Services in a Mobile Context-Aware Infrastructure1,"PD Costa, LF Pires, M van Sinderen… - Proceedings of the …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=aCaJjoaez_IC&oi=fnd&pg=PA153&dq=context-aware+AND+distributed+composition+AND+reconfig*&ots=ivKCz5c_Gw&sig=iH7kWEESFs4K0b6Y-v7BiAq4Dgk,https://www.inf.ufes.br/~pdcosta/arquivos/dockhornetal-CAPS2006.pdf,,,1,15,No DOI available
Reconfigurable service composition and categorization for power-aware mobile computing,"E Park, H Shin - IEEE transactions on Parallel and distributed …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4553702/,https://ieeexplore.ieee.org/iel5/71/4637367/04553702.pdf,,,1,36,No DOI available
Towards resource-aware runtime reconfigurable component-based systems,"I David, B Orlic, RH Mak… - 2010 6th World Congress …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5575567/,https://ieeexplore.ieee.org/iel5/5575322/5575460/05575567.pdf,,,1,11,No DOI available
Designing a configurable services platform for mobile context-aware applications,"P Dockhorn Costa, L Ferreira Pires… - … Journal of Pervasive …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/abs/10.1108/17427370580000109,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:qt-EPCqXpr0J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=18209109624240912830&oi=lle",,,1,35,No DOI available
"Middleware: Context management in heterogeneous, evolving ubiquitous environments","RCA da Rocha, M Endler - IEEE Distributed Systems Online, 2006 - computer.org",2006,https://www.computer.org/csdl/mags/ds/2006/04/o4001-abs.html,https://www.computer.org/csdl/mags/ds/2006/04/o4001.pdf,,,1,64,No DOI available
Middleware support for context-aware multimedia applications,"H Naguib, G Coulouris, S Mitchell - … Conference on Distributed …, 2001 - Springer",2001,https://link.springer.com/chapter/10.1007/0-306-47005-5_2,https://link.springer.com/content/pdf/10.1007/0-306-47005-5_2.pdf,,,1,55,No DOI available
Towards context-aware and resource-driven self-adaptation for mobile handheld applications,"D Preuveneers, Y Berbers - Proceedings of the 2007 ACM symposium …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1244255,http://www.davy.preuveneers.be/publications/sac07.pdf,,,1,31,No DOI available
