title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Approaching context-awareness for open intelligent space,"P Roy, B Abdulrazak, Y Belala - … of the 6th International Conference on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1497276,No PDF available,,,1,10,No DOI available
Development support for QoS-aware service-adaptation in ubiquitous computing applications,"K Geihs, C Evers, R Reichle, M Wagner… - Proceedings of the 2011 …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=1982232,No PDF available,,,1,20,No DOI available
Coordination and adaptation techniques: Bridging the gap between design and implementation,"S Becker, C Canal, N Diakov, JM Murillo… - … Conference on Object …, 2006 - Springer",2006,https://link.springer.com/chapter/10.1007/978-3-540-71774-4_9,https://www.researchgate.net/profile/Juan_Murillo2/publication/220842510_Coordination_and_Adaptation_Techniques_Bridging_the_Gap_Between_Design_and_Implementation/links/09e41511a21d33a6b1000000.pdf,,,1,9,No DOI available
β-adrenergic control of hippocampal function: subserving the choreography of synaptic information storage and memory,"H Hagena, N Hansen, D Manahan-Vaughan - Cerebral Cortex, 2016 - academic.oup.com",2016,https://academic.oup.com/cercor/article-abstract/26/4/1349/2367404,https://academic.oup.com/cercor/article/26/4/1349/2367404,,,1,40,No DOI available
"Specification, composition and provision of trustworthy context-dependent services",NI Ibrahim - 2012 - spectrum.library.concordia.ca,2012,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,,,1,12,No DOI available
Contextpoint: An architecture for extrinsic meta-adaptation in smart environments,"C Piechnick, S Richly, T Kühn, S Götz… - … , Sixth Int. Conf. Adapt …, 2014 - Citeseer",2014,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.681.6676&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.681.6676&rep=rep1&type=pdf,,,1,4,No DOI available
Expressive action design for social robots by choreography,"S Xing, L Xu - … IEEE Conference on Sustainable Utilization and …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5686995/,No PDF available,,,1,1,No DOI available
Interaction protocol mediation in web service composition,"L Ardissono, R Furnari, G Petrone… - International Journal of …, 2010 - pianeta.di.unito.it",2010,http://pianeta.di.unito.it/~liliana/EC/IJWET10.pdf,http://pianeta.di.unito.it/~liliana/EC/IJWET10.pdf,,,1,12,No DOI available
Cognition and kinesiology: a dual-strategy approach to learning dance choreography,O Kramarova - 2012 - dspace.calstate.edu,2012,http://dspace.calstate.edu/handle/10211.2/1129,http://dspace.calstate.edu/xmlui/bitstream/handle/10211.2/1129/Kramarova_Final.pdf?sequence=1,,,1,1,No DOI available
"Using role-based composition to support unanticipated, dynamic adaptation-smart application grids","C Piechnick, S Richly, S Götz, C Wilke… - Proceedings of …, 2012 - Citeseer",2012,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.679.6763&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.679.6763&rep=rep1&type=pdf,,,1,20,No DOI available
Model driven security in a multi-cloud context,"WF Ouedraogo, F Biennier… - International Journal of …, 2013 - search.proquest.com",2013,http://search.proquest.com/openview/ae6c8962999984bf47a95b0404bffe9d/1?pq-origsite=gscholar&cbl=237699,No PDF available,,,1,10,No DOI available
Teacher Acculturation: From Platform Theatre to Improvised Theatre and Learning Dynamic Choreography,"M Nakra - Available at SSRN 1679024, 2002 - papers.ssrn.com",1679,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1679024,https://www.researchgate.net/profile/Manoj_Nakra/publication/228298446_Teacher_Acculturation_From_Platform_Theatre_to_Improvised_Theatre_and_LearningDynamic_Choreography/links/5c1a6d03299bf12be38b2c72/Teacher-Acculturation-From-Platform-Theatre-to-Improvised-Theatre-and-LearningDynamic-Choreography.pdf,,,1,No cite count available,No DOI available
"“ONCE MORE UNTO THE BREACH, DEAR FRIENDS…”: OLIVIER AND BRANAGH'S HENRY V OR TWO CONTEXT-DEPENDENT RENDERINGS OF THE …","LT Mariñas - Odisea nº 11: Revista de estudios ingleses, 2015 - books.google.com",2015,https://books.google.de/books?hl=de&lr=&id=yJLdCgAAQBAJ&oi=fnd&pg=PA155&dq=context-dependent+AND+choreography+AND+adapt*&ots=ocz8xYFvOy&sig=RHQZ1t2Mlso9sWBcfGxQMxuGypA,http://ojs.ual.es/ojs/index.php/ODISEA/article/viewFile/318/289,,,1,No cite count available,No DOI available
"Once more unto the breach, dear friends"": Olivier and Branagh's"" Henry V"" or two context-dependent renderingsof the Shakespearean original",L Torrado Mariñas - 2010 - repositorio.ual.es,2010,http://repositorio.ual.es/handle/10835/1089,http://repositorio.ual.es:8080/bitstream/handle/10835/1089/Odisea11_Torrado.pdf?sequence=1&isAllowed=y,,,1,No cite count available,No DOI available
Leveraging the Model-Driven Architecture for Service Choreography in Ubiquitous Systems,"C Rodríguez-Domínguez, T Ruiz-López… - … Computing and Ambient …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-319-03176-7_39,No PDF available,,,1,No cite count available,No DOI available
An event-based model for the management of choreographed services,"R Furnari - Unpublished doctoral dissertation, University of Torino …, 2010 - researchgate.net",2010,https://www.researchgate.net/profile/Roberto_Furnari2/publication/263466424_AN_EVENT-BASED_MODEL_FOR_THE_MANAGEMENT_OF_CHOREOGRAPHED_SERVICES/links/02e7e53aee9ab4ec4c000000/AN-EVENT-BASED-MODEL-FOR-THE-MANAGEMENT-OF-CHOREOGRAPHED-SERVICES.pdf,https://www.researchgate.net/profile/Roberto_Furnari2/publication/263466424_AN_EVENT-BASED_MODEL_FOR_THE_MANAGEMENT_OF_CHOREOGRAPHED_SERVICES/links/02e7e53aee9ab4ec4c000000/AN-EVENT-BASED-MODEL-FOR-THE-MANAGEMENT-OF-CHOREOGRAPHED-SERVICES.pdf,,,1,1,No DOI available
Dynamics of Memory: Context-Dependent Updating,"A Hupbach - Encyclopedia of the Sciences of Learning, 2012 - Springer",2012,https://link.springer.com/content/pdf/10.1007/978-1-4419-1428-6_1790.pdf,No PDF available,,,1,No cite count available,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Towards Security Case Run-Time Adaptation by System Decomposition into Services,"E Lisova, A Čaušević - IECON 2018-44th Annual Conference of …, 2018 - ieeexplore.ieee.org",2018,https://ieeexplore.ieee.org/abstract/document/8591530/,https://ieeexplore.ieee.org/iel7/8560606/8591058/08591530.pdf,,,1,No cite count available,No DOI available
Towards greater flexibility in the learning ecosystem–promises and obstacles of service composition for learning environments,"G Wurzinger, V Chang, C Guetl - 2009 3rd IEEE International …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5276765/,https://ieeexplore.ieee.org/iel5/5238702/5276671/05276765.pdf,,,1,7,No DOI available
Predictive Analysis of Hip-hop Dancers' Motivation for Choreographing from Choreography Components (Body-Thinking-Space-Time),"V Angelina, J Abraham - Anima Indonesian Psychological Journal, 2015 - papers.ssrn.com",2015,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2854006,https://www.journal.ubaya.ac.id/index.php/jpa/article/download/Hip%20Hop%20Dancers%20Motivation/417,,,1,No cite count available,No DOI available
Requirements and Concepts for Information Assurance and Pervasive Adaptation Co-design,"S Creese, M Goldsmith - … Conference on Self-Adaptive and Self …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4800656/,https://ieeexplore.ieee.org/iel5/4800625/4800626/04800656.pdf,,,1,No cite count available,No DOI available
Towards context-sensitive service aspects,"T Rho, M Schmatz, AB Cremers - Work. on Object Technology for Ambient …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,,,1,22,No DOI available
Personalised and Context-based Access to Corporate Knowledge: a Multi-modal and Multi-model Solution Approach for Learning Activities,"VM García-Barrios - International Conference on …, 2006 - pdfs.semanticscholar.org",2006,https://pdfs.semanticscholar.org/e241/48356ed82a6fc5c43f9631c5bc10b3f0c181.pdf,https://pdfs.semanticscholar.org/e241/48356ed82a6fc5c43f9631c5bc10b3f0c181.pdf,,,1,No cite count available,No DOI available
Investigation of context-dependent biopolymer folding and assembly,Z Zhuang - 2011 - search.proquest.com,2011,http://search.proquest.com/openview/45fdb3e1ffe1cec425ed74bc08d84d0d/1?pq-origsite=gscholar&cbl=18750&diss=y,No PDF available,,,1,No cite count available,No DOI available
Gestalt-based composition and performance in multimodal environments,"A Camurri, M Leman - Joint International Conference on Cognitive and …, 1996 - Springer",1996,https://link.springer.com/chapter/10.1007/BFb0034136,No PDF available,,,1,31,No DOI available
Conversation support for business process integration,"JE Hanson, P Nandi, S Kumaran - Proceedings. Sixth …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1137697/,https://www.csd.uoc.gr/~hy565/docs/pdfs/papers/conv_support.pdf,,,1,135,No DOI available
Agents are not (just) web services: considering BDI agents and web services,"I Dickinson, M Wooldridge - Proceedings of the 2005 Workshop on …, 2005 - hpl.hp.com",2005,https://www.hpl.hp.com/techreports/2005/HPL-2005-123.pdf,https://www.hpl.hp.com/techreports/2005/HPL-2005-123.pdf,,,1,85,No DOI available
