title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Lesions of an avian basal ganglia circuit prevent context-dependent changes to song variability,"MH Kao, MS Brainard - Journal of neurophysiology, 2006 - physiology.org",2006,https://www.physiology.org/doi/abs/10.1152/jn.01138.2005,https://pdfs.semanticscholar.org/e7ba/e0b3c031f0abe94e02162e766d4f8d067e00.pdf,,,1,205,No DOI available
Analysis of pausing behavior in spontaneous speech using real-time magnetic resonance imaging of articulation,"V Ramanarayanan, E Bresch, D Byrd… - The Journal of the …, 2009 - asa.scitation.org",2009,https://asa.scitation.org/doi/abs/10.1121/1.3213452,https://asa.scitation.org/doi/full/10.1121/1.3213452,,,1,39,No DOI available
"Dancing with the stars: how choreographed bacterial interactions dictate nososymbiocity and give rise to keystone pathogens, accessory pathogens, and pathobionts","G Hajishengallis, RJ Lamont - Trends in microbiology, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0966842X16000470,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4874887/,,,1,85,No DOI available
Behavioral types in programming languages,"D Ancona, V Bono, M Bravetti, J Campos… - … and Trends® in …, 2016 - nowpublishers.com",2016,http://www.nowpublishers.com/article/Details/PGL-031,https://www.nowpublishers.com/article/DownloadSummary/PGL-031,,,1,51,No DOI available
Physiological insights into the social-context-dependent changes in the rhythm of the song motor program,"BG Cooper, F Goller - Journal of neurophysiology, 2006 - physiology.org",2006,https://www.physiology.org/doi/abs/10.1152/jn.01123.2005,https://pdfs.semanticscholar.org/0391/88e770f4d01cd1355abdc5d2053f8b81e4e3.pdf,,,1,52,No DOI available
Eusocial insects as emerging models for behavioural epigenetics,"H Yan, DF Simola, R Bonasio, J Liebig… - Nature Reviews …, 2014 - nature.com",2014,https://www.nature.com/articles/nrg3787,https://www.researchgate.net/profile/Danny_Reinberg/publication/267739154_DNA_Methylation_in_Social_Insects_How_Epigenetics_Can_Control_Behavior_and_Longevity/links/54aeb7310cf2b48e8ed45dcd/DNA-Methylation-in-Social-Insects-How-Epigenetics-Can-Control-Behavior-and-Longevity.pdf,,,1,97,No DOI available
When are two web services compatible?,"L Bordeaux, G Salaün, D Berardi, M Mecella - International Workshop on …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-31811-8_2,https://pdfs.semanticscholar.org/e09b/b2ee683351403ad3384cc7c8a14a1c98568e.pdf,,,1,272,No DOI available
"Specification, composition and provision of trustworthy context-dependent services",NI Ibrahim - 2012 - spectrum.library.concordia.ca,2012,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,https://spectrum.library.concordia.ca/974111/1/IBRAHIM_PhD_F2012.pdf,,,1,12,No DOI available
Expressive action design for social robots by choreography,"S Xing, L Xu - … IEEE Conference on Sustainable Utilization and …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5686995/,No PDF available,,,1,1,No DOI available
"Choreography of song, dance and beak movements in the zebra finch (Taeniopygia guttata)","H Williams - Journal of Experimental Biology, 2001 - jeb.biologists.org",2001,http://jeb.biologists.org/content/204/20/3497?utm_source=TrendMD&utm_medium=cpc&utm_campaign=J_Exp_Biol_TrendMD_1,http://jeb.biologists.org/content/jexbio/204/20/3497.full.pdf,,,1,89,No DOI available
D0 We Need More Ethograms?,"DM Gordon - Z. Tierpsychol, 1985 - stanford.edu",1985,http://web.stanford.edu/~dmgordon/old2/Gordon1985.pdf,http://web.stanford.edu/~dmgordon/old2/Gordon1985.pdf,,,1,10,No DOI available
Approaching context-awareness for open intelligent space,"P Roy, B Abdulrazak, Y Belala - … of the 6th International Conference on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1497276,No PDF available,,,1,10,No DOI available
β-adrenergic control of hippocampal function: subserving the choreography of synaptic information storage and memory,"H Hagena, N Hansen, D Manahan-Vaughan - Cerebral Cortex, 2016 - academic.oup.com",2016,https://academic.oup.com/cercor/article-abstract/26/4/1349/2367404,https://academic.oup.com/cercor/article/26/4/1349/2367404,,,1,40,No DOI available
