title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Business collaboration models and their business context-dependent web choreography in BPSS,"B Hofreiter, C Huemer… - International Journal of …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/pdf/10.1108/17440080580000081,https://pdfs.semanticscholar.org/0055/890dbae698416e291e32ff793ef852a2aa19.pdf,,,1,11,No DOI available
Sensors and signals: a coactivator/corepressor/epigenetic code for integrating signal-dependent programs of transcriptional response,"MG Rosenfeld, VV Lunyak, CK Glass - Genes & development, 2006 - genesdev.cshlp.org",2006,http://genesdev.cshlp.org/content/20/11/1405.short,http://genesdev.cshlp.org/content/20/11/1405.full.pdf,,,1,948,No DOI available
β-adrenergic control of hippocampal function: subserving the choreography of synaptic information storage and memory,"H Hagena, N Hansen, D Manahan-Vaughan - Cerebral Cortex, 2016 - academic.oup.com",2016,https://academic.oup.com/cercor/article-abstract/26/4/1349/2367404,https://academic.oup.com/cercor/article/26/4/1349/2367404,,,1,40,No DOI available
,"LC Driscoll - Proceedings of the Second International Symposium …, 1972",1972,javascript:void(0),No PDF available,,,1,8,No DOI available
Expressive action design for social robots by choreography,"S Xing, L Xu - … IEEE Conference on Sustainable Utilization and …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5686995/,No PDF available,,,1,1,No DOI available
Nuclear compartments and gene regulation,"M Cockell, SM Gasser - Current opinion in genetics & development, 1999 - Elsevier",1999,https://www.sciencedirect.com/science/article/pii/S0959437X99800306,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:qD7xFGun-LUJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=15671364727847638378&oi=lle",,,1,268,No DOI available
From multi-context business collaboration models to context-specific ebXML BPSS,"B Hofreiter, C Huemer - … on e-Technology, e-Commerce and e …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1402271/,http://eprints.cs.univie.ac.at/770/1/final.pdf,,,1,1,No DOI available
Contextual pointcut expressions for dynamic service customization,"T Cottenier, T Elrad - Dynamic Aspects Workshop (DAW), 2005 - modularity.info",2005,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,,,1,6,No DOI available
Intrinsic Limitations in Context Modelling,"ME Orłowska - International Conference on Computational Science, 2008 - Springer",2008,https://link.springer.com/content/pdf/10.1007/978-3-540-69384-0_1.pdf,No PDF available,,,1,No cite count available,No DOI available
ing from a one-size-fits-all paradigm to tailoring the decisions to the context of the specific situation,"W Wilson - Becoming a Project Leader: Blending Planning, Agility …, 2017 - books.google.com",2017,https://books.google.de/books?hl=de&lr=&id=n9FBDwAAQBAJ&oi=fnd&pg=PA131&dq=context-dependent+AND+choreography+AND+sensitiv&ots=Ygj0f-cJJ1&sig=tPM5_-3Yhg6b2WBZ9b8dh4cPUbo,No PDF available,,,1,No cite count available,No DOI available
Tailoring Project Decisions to Project Context,W Wilson - BECOMING A PROJECT LEADER - Springer,No year available,https://link.springer.com/content/pdf/10.1007/978-3-319-66724-9.pdf#page=153,No PDF available,,,1,No cite count available,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Teacher Acculturation: From Platform Theatre to Improvised Theatre and Learning Dynamic Choreography,"M Nakra - Available at SSRN 1679024, 2002 - papers.ssrn.com",1679,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=1679024,https://www.researchgate.net/profile/Manoj_Nakra/publication/228298446_Teacher_Acculturation_From_Platform_Theatre_to_Improvised_Theatre_and_LearningDynamic_Choreography/links/5c1a6d03299bf12be38b2c72/Teacher-Acculturation-From-Platform-Theatre-to-Improvised-Theatre-and-LearningDynamic-Choreography.pdf,,,1,No cite count available,No DOI available
Replication timing and epigenetic reprogramming of gene expression: a two-way relationship?,"A Göndör, R Ohlsson - Nature Reviews Genetics, 2009 - nature.com",2009,https://www.nature.com/articles/nrg2555,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:EVoXncWFH1YJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=6549710089703028722&oi=lle",,,1,73,No DOI available
Mapping MI to the DMGT: A theoretical framework,"R Walton - Australasian Journal of Gifted Education, 2014 - search.informit.com.au",2014,https://search.informit.com.au/documentSummarydn=122925841806076res=ielhss,http://ro.uow.edu.au/cgi/viewcontent.cgi?article=4047&context=sspapers,,,1,4,No DOI available
Action observation and acquired motor skills: an FMRI study with expert dancers,"B Calvo-Merino, DE Glaser, J Grèzes… - Cerebral …, 2004 - academic.oup.com",2004,https://academic.oup.com/cercor/article-abstract/15/8/1243/304707,https://academic.oup.com/cercor/article/15/8/1243/304707,,,1,2088,No DOI available
Partial connector colouring,"D Clarke, J Proença - International Conference on Coordination …, 2012 - Springer",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_5,https://link.springer.com/content/pdf/10.1007/978-3-642-30829-1_5.pdf,,,1,17,No DOI available
Towards sustained team effectiveness,"N Wijngaards, M Kempen, A Smit… - … on Autonomous Agents …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11775331_3,https://pdfs.semanticscholar.org/6076/712087936df624af4c0bd3ef369420d28d64.pdf,,,1,22,No DOI available
How to Build a Multimedial Communication/Creation System for Music and Human Motion,"G Carlsson, P Lundén, M Lundin, G Nyman, P Rajka… - Multimedia, 1992 - Springer",1992,https://link.springer.com/chapter/10.1007/978-3-642-77331-0_12,No PDF available,,,1,1,No DOI available
Targeting nonhomologous end-joining through epidermal growth factor receptor inhibition: rationale and strategies for radiosensitization,"B Mukherjee, H Choy, C Nirodi, S Burma - Seminars in radiation oncology, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S1053429610000366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2941735/,,,1,44,No DOI available
Motif switches: decision-making in cell regulation,"K Van Roey, TJ Gibson, NE Davey - Current opinion in structural biology, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0959440X12000401,No PDF available,,,1,99,No DOI available
Contextual control of trigeminal sensorimotor function,"KC Berridge, JC Fentress - Journal of Neuroscience, 1986 - Soc Neuroscience",1986,http://www.jneurosci.org/content/6/2/325.short,http://www.jneurosci.org/content/jneuro/6/2/325.full.pdf,,,1,135,No DOI available
Semantic web-driven agent-based ecosystem for linked data and services,"O Khriyenko, M Nagy - … of the Third International Conferences on …, 2011 - researchgate.net",2011,https://www.researchgate.net/profile/Oleksiy_Khriyenko/publication/267692589_Semantic_Web-driven_Agent-based_Ecosystem_for_Linked_Data_and_Services/links/55d2ea0608ae0a341722300c/Semantic-Web-driven-Agent-based-Ecosystem-for-Linked-Data-and-Services.pdf,https://www.researchgate.net/profile/Oleksiy_Khriyenko/publication/267692589_Semantic_Web-driven_Agent-based_Ecosystem_for_Linked_Data_and_Services/links/55d2ea0608ae0a341722300c/Semantic-Web-driven-Agent-based-Ecosystem-for-Linked-Data-and-Services.pdf,,,1,8,No DOI available
Transcription factor co‐repressors in cancer biology: roles and targeting,"S Battaglia, O Maguire… - International journal of …, 2010 - Wiley Online Library",2010,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijc.25181,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ijc.25181,,,1,70,No DOI available
"Claw waving display changes with receiver distance in fiddler crabs, Uca perplexa","MJ How, JM Hemmi, J Zeil, R Peters - Animal Behaviour, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0003347207004873,https://www.researchgate.net/profile/Jochen_Zeil/publication/235337031_Claw_waving_display_changes_with_receiver_distance_in_fiddler_crabs_Uca_perplexa/links/5a712d0da6fdcc33daa9f442/Claw-waving-display-changes-with-receiver-distance-in-fiddler-crabs-Uca-perplexa.pdf,,,1,59,No DOI available
Transcriptional control of erythropoiesis: emerging mechanisms and principles,"SI Kim, EH Bresnick - Oncogene, 2007 - nature.com",2007,https://www.nature.com/articles/1210761,https://www.researchgate.net/profile/Shin_Il_Kim2/publication/5911739_Transcriptional_control_of_erythropoiesis_Emerging_mechanisms_and_principles/links/5863564b08aebf17d3955fc0/Transcriptional-control-of-erythropoiesis-Emerging-mechanisms-and-principles.pdf,,,1,115,No DOI available
