title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Knowledge sharing in inter-unit cooperative episodes: The impact of organizational structure dimensions,"A Willem, M Buelens - International Journal of Information Management, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0268401208001102,https://wikis.uit.tufts.edu/confluence/download/attachments/54161086/Knowledge%20sharing%20in%20inter-unit%20cooperative%20episodes.pdf,,,1,202,No DOI available
Knowledge management and innovativeness: The role of organizational climate and structure,"CJ Chen, JW Huang, YC Hsiao - International Journal of …, 2010 - emeraldinsight.com",2010,https://www.emeraldinsight.com/doi/pdf/10.1108/01437721011088548,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:nvz_vgy5VfEJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=6851118607493534925&oi=lle",,,1,241,No DOI available
Context-dependent hierarchies in pigeons,"M Nagy, G Vásárhelyi, B Pettit… - Proceedings of the …, 2013 - National Acad Sciences",2013,https://www.pnas.org/content/110/32/13049.short,https://www.pnas.org/content/pnas/110/32/13049.full.pdf,,,1,88,No DOI available
Enhancing web service composition by means of diagnosis,"L Ardissono, S Bocconi, L Console, R Furnari… - … Conference on Business …, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-3-642-00328-8_47,http://www.di.unito.it/~liliana/EC/qsws08-per-www.pdf,,,1,14,No DOI available
Validation of context-dependent aspect-oriented adaptations to components,"T Cottenier, T Elrad - WCOP, Oslo, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,,,1,7,No DOI available
The relationship between organizational characteristics and the structure of the information services function,"MH Olson, NL Chervany - Mis Quarterly, 1980 - JSTOR",1980,https://www.jstor.org/stable/249337,https://www.jstor.org/stable/pdf/249337.pdf,,,1,241,No DOI available
Engineering mobile agent applications via context-dependent coordination,"G Cabri, L Leonardi… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1049403/,https://ieeexplore.ieee.org/iel5/32/22485/01049403.pdf,,,1,119,No DOI available
"Team self-management, organizational structure, and judgments of team effectiveness","J Tata, S Prasad - Journal of Managerial Issues, 2004 - JSTOR",2004,https://www.jstor.org/stable/40604457,No PDF available,,,1,228,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
Behaviour-based modelling of hexapod locomotion: linking biology and technical application,"V Dürr, J Schmitz, H Cruse - Arthropod structure & development, 2004 - Elsevier",2004,https://www.sciencedirect.com/science/article/pii/S1467803904000301,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.72.9312&rep=rep1&type=pdf,,,1,175,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - International workshop on Engineering of software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
"Distributed Applications and Interoperable Systems: 7th IFIP WG 6.1 International Conference, DAIS 2007, Paphos, Cyprus, June 6-8, 2007, Proccedings","J Indulska, K Raymond - 2007 - books.google.com",2007,https://books.google.de/books?hl=de&lr=&id=CAg0vDWS1PcC&oi=fnd&pg=PP2&dq=context-dependent+AND+decentralized+composition+AND+behaviour&ots=A1f37drgYj&sig=oten6NT9eXKhIB5oWhm8fY_LLTk,No PDF available,,,1,48,No DOI available
An institutional explanation of party system congruence: Evidence from six federations,"L Thorlakson - European Journal of Political Research, 2007 - Wiley Online Library",2007,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1475-6765.2006.00647.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1475-6765.2006.00647.x,,,1,105,No DOI available
From design to intention: signs of a revolution,"F Zambonelli… - Proceedings of the …, 2002 - agents.sci.brooklyn.cuny.edu",2002,http://agents.sci.brooklyn.cuny.edu/internal/proceedings/aamas/aamas02/docs/p455.pdf,http://agents.sci.brooklyn.cuny.edu/internal/proceedings/aamas/aamas02/docs/p455.pdf,,,1,74,No DOI available
Performance implications of the direct and moderating effects of centralization and formalization on customer orientation,"S Auh, B Menguc - Industrial marketing management, 2007 - Elsevier",2007,https://www.sciencedirect.com/science/article/pii/S0019850106001295,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:aA5oLBWODDcJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=15878588979831031592&oi=lle",,,1,125,No DOI available
Agent-oriented software engineering,"NR Jennings - European Workshop on Modelling Autonomous Agents …, 1999 - Springer",1999,https://link.springer.com/chapter/10.1007/3-540-48437-X_1,https://eprints.soton.ac.uk/252182/1/cairo.pdf.gz,,,1,668,No DOI available
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,"M Wutzler - OTM Confederated International Conferences"" On the …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,4,No DOI available
Towards a paradigm change in computer science and software engineering: a synthesis,"F Zambonelli, HVD Parunak - The Knowledge Engineering Review, 2003 - cambridge.org",2003,https://www.cambridge.org/core/journals/knowledge-engineering-review/article/towards-a-paradigm-change-in-computer-science-and-software-engineering-a-synthesis/D42A7ED3E6B0CAFE91E55B8490E0BF73,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D42A7ED3E6B0CAFE91E55B8490E0BF73/S0269888904000104a.pdf/towards-a-paradigm-change-in-computer-science-and-software-engineering-a-synthesis.pdf,,,1,93,No DOI available
Decentralized and flexible workflow enactment based on task coordination agents,"G Joeris - 2nd Int'l. Bi-Conference Workshop on Agent-Oriented …, 2000 - books.google.com",2000,https://books.google.de/books?hl=de&lr=&id=ByU0wmVlYq4C&oi=fnd&pg=PA41&dq=context-dependent+AND+decentralized+composition+AND+behaviour&ots=_sqwdswLM6&sig=0cfnOnSFB448VDisjn2Tr0Mz150,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.32.5341&rep=rep1&type=pdf,,,1,49,No DOI available
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - annals of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,https://link.springer.com/article/10.1007/s12243-008-0081-y,,,1,96,No DOI available
Developing pervasive multi-agent systems with nature-inspired coordination,"F Zambonelli, A Omicini, B Anzengruber… - Pervasive and Mobile …, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S1574119214001904,https://research-repository.st-andrews.ac.uk/bitstream/handle/10023/7902/pmc_sapere_15.pdf?sequence=1&isAllowed=y,,,1,56,No DOI available
Context-based orchestration for control of resource-efficient manufacturing processes,"M Loskyll, I Heck, J Schlick, M Schwarz - Future Internet, 2012 - mdpi.com",2012,https://www.mdpi.com/1999-5903/4/3/737,https://www.mdpi.com/1999-5903/4/3/737/pdf,,,1,46,No DOI available
A qualitative model for the simulation of traffic behaviours in a multi-lane environment,"C Claramunt, B Jiang - Journal of Geographical Sciences, 2001 - Springer",2001,https://link.springer.com/article/10.1007/BF02837442,https://link.springer.com/content/pdf/10.1007/BF02837442.pdf,,,1,14,No DOI available
Vegas--A Secure and Privacy-Preserving Peer-to-Peer Online Social Network,"M Dürr, M Maier, F Dorfmeister - 2012 International Conference …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6406338/,No PDF available,,,1,38,No DOI available
Development as a dynamic system,"LB Smith, E Thelen - Trends in cognitive sciences, 2003 - Elsevier",2003,https://www.sciencedirect.com/science/article/pii/S1364661303001566,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.343.5101&rep=rep1&type=pdf,,,1,860,No DOI available
"Outlining nine major design challenges of open, decentralized, adaptive cyber-physical systems","I Horváth, BHM Gerritsen - ASME 2013 …, 2013 - … .asmedigitalcollection.asme.org",2013,https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=1830246,http://www.koti.szie.hu/KEMT/munkatarsak_files/CV_Publ/WEB_Horvath_Mark_Publications_2014Oct_HU.pdf,,,1,18,No DOI available
Software engineering for self-adaptive systems: A second research roadmap,"R De Lemos, H Giese, HA Müller, M Shaw… - Software Engineering for …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,http://drops.dagstuhl.de/opus/volltexte/2011/3156/pdf/report10431_3156.pdf,,,1,1568,No DOI available
No need for a cognitive map: decentralized memory for insect navigation,"H Cruse, R Wehner - PLoS computational biology, 2011 - journals.plos.org",2011,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1002009,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1002009,,,1,115,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
Decentralized coordination of dynamic software updates in the Internet of Things,"M Weißbach, N Taing, M Wutzler… - 2016 IEEE 3rd World …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7845450/,https://ieeexplore.ieee.org/iel7/7831562/7845389/07845450.pdf,,,1,5,No DOI available
"Decentralization, corruption and government accountability","P Bardhan, D Mookherjee - International handbook on the …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=P60nmWlJWEoC&oi=fnd&pg=PA161&dq=context-dependent+AND+decentralized+composition+AND+behaviour&ots=ja9etK0XBb&sig=DR9nhB-zc92qwWoSwxwa_6w1iUw,http://www.untag-smd.ac.id/files/Perpustakaan_Digital_1/CORRUPTION%20International%20handbook%20on%20the%20economics%20of%20corruption.pdf#page=200,,,1,303,No DOI available
Behavioural syndromes and social insects: personality at multiple levels,"JM Jandt, S Bengston, N Pinter‐Wollman… - Biological …, 2014 - Wiley Online Library",2014,https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12042,https://onlinelibrary.wiley.com/doi/pdf/10.1111/brv.12042,,,1,187,No DOI available
Context dependent management of field diffusion: an experimental framework.,"F De Paoli, G Vizzari - WOA, 2003 - lia.deis.unibo.it",2003,http://www.lia.deis.unibo.it/books/woa2003/pdf/19.pdf,http://www.lia.deis.unibo.it/books/woa2003/pdf/19.pdf,,,1,20,No DOI available
G/sup en/oM: a tool for the specification and the implementation of operating modules in a distributed robot architecture,"S Fleury, M Herrb, R Chatila - Proceedings of the 1997 IEEE …, 1997 - ieeexplore.ieee.org",1997,https://ieeexplore.ieee.org/abstract/document/655108/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.56.6368&rep=rep1&type=pdf,,,1,266,No DOI available
A characterisation of logistics networks for product recovery,"M Fleischmann, HR Krikke, R Dekker, SDP Flapper - Omega, 2000 - Elsevier",2000,https://www.sciencedirect.com/science/article/pii/S0305048300000220,http://elogistics.lhu.edu.tw/may/course/92_1/logistics/midterm/%E4%B8%89%E5%BF%A0/01.PDF,,,1,1107,No DOI available
Neural network-based reputation model in a distributed system,"W Song, VV Phoha - … on e-Commerce Technology, 2004. CEC …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1319751/,https://ieeexplore.ieee.org/iel5/9218/29236/01319751.pdf,,,1,41,No DOI available
The learning organization: towards an integrated model,"A Örtenblad - The learning organization, 2004 - emeraldinsight.com",2004,https://www.emeraldinsight.com/doi/abs/10.1108/09696470410521592,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:wKd4noMFPh8J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=18082905514130792497&oi=lle",,,1,326,No DOI available
"Dynamic capabilities and performance: strategy, structure and environment","R Wilden, SP Gudergan, BB Nielsen, I Lings - Long Range Planning, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S0024630112000763,https://eprints.qut.edu.au/59155/3/59155.pdf,,,1,341,No DOI available
Organizational learning and institutional embeddedness,"G Dosi, F Malerba - Organization and Strategy in the Evolution of the …, 1996 - Springer",1996,https://link.springer.com/chapter/10.1007/978-1-349-13389-5_1,No PDF available,,,1,104,No DOI available
Building a conceptual approach to collective learning: Lessons for public policy scholars,"T Heikkila, AK Gerlak - Policy Studies Journal, 2013 - Wiley Online Library",2013,https://onlinelibrary.wiley.com/doi/abs/10.1111/psj.12026,https://onlinelibrary.wiley.com/doi/pdf/10.1111/psj.12026,,,1,151,No DOI available
WalkNet—a decentralized architecture for the control of walking behaviour based on insect studies,"H Cruse, B Bläsing, J Dean, V Dürr… - Walking: Biological and …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-7091-2772-8_4,https://www.researchgate.net/profile/Holk_Cruse/publication/270218404_WalkNet_-_a_Decentralized_Architecture_for_the_Control_of_Walking_Behaviour_Based_on_Insect_Studies/links/54a3dd860cf256bf8bb19a43/WalkNet-a-Decentralized-Architecture-for-the-Control-of-Walking-Behaviour-Based-on-Insect-Studies.pdf,,,1,23,No DOI available
Safety culture: philosopher's stone or man of straw?,"S Cox, R Flin - Work & stress, 1998 - Taylor & Francis",1998,https://www.tandfonline.com/doi/abs/10.1080/02678379808256861,https://www.tandfonline.com/doi/pdf/10.1080/02678379808256861,,,1,727,No DOI available
Agent-based computing: Promise and perils,NR Jennings - 1999 - eprints.soton.ac.uk,1999,https://eprints.soton.ac.uk/252172/,https://eprints.soton.ac.uk/252172/1/ijcai99.pdf,,,1,245,No DOI available
Behavior-based fuzzy control for mobile robot navigation,"H Mo, Q Tang, L Meng - Mathematical problems in engineering, 2013 - hindawi.com",2013,https://www.hindawi.com/journals/mpe/2013/561451/abs/,http://downloads.hindawi.com/journals/mpe/2013/561451.pdf,,,1,35,No DOI available
Signs of a revolution in computer science and software engineering,"F Zambonelli, HVD Parunak - … Workshop on Engineering Societies in the …, 2002 - Springer",2002,https://link.springer.com/chapter/10.1007/3-540-39173-8_2,https://pdfs.semanticscholar.org/a9c3/f3e064e1a8911d213c0155469d999cfde9b4.pdf,,,1,133,No DOI available
Beyond EA frameworks: Towards an understanding of the adoption of enterprise architecture management,"K Haki, C Legner, F Ahlemann - 2012 - alexandria.unisg.ch",2012,https://www.alexandria.unisg.ch/id/eprint/249023,https://www.alexandria.unisg.ch/249023/1/BEYOND%20EA%20FRAMEWORKS_%20TOWARDS%20AN%20UNDERSTANDING%20OF%20THE%20ADOPTION%20OF.pdf,,,1,36,No DOI available
Trust and authorization in the grid: a recommendation model,"H Tran, P Watters, M Hitchens… - ICPS'05. Proceedings …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1506561/,No PDF available,,,1,17,No DOI available
The impact of organizational context on hard and soft quality management and innovation performance,"J Zeng, W Zhang, Y Matsui, X Zhao - International Journal of Production …, 2017 - Elsevier",2017,https://www.sciencedirect.com/science/article/pii/S092552731630411X,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:gdsAHEv4jpAJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=12406280930260583693&oi=lle",,,1,23,No DOI available
The design of capital budgeting processes and the corporate context,"RH Pike - Managerial and Decision Economics, 1986 - Wiley Online Library",1986,https://onlinelibrary.wiley.com/doi/abs/10.1002/mde.4090070307,https://www.jstor.org/stable/pdf/2487567.pdf,,,1,34,No DOI available
Multi-robot cooperation in the MARTHA project,"R Alami, S Fleury, M Herrb, F Ingrand… - IEEE Robotics & …, 1998 - ieeexplore.ieee.org",1998,https://ieeexplore.ieee.org/abstract/document/667325/,https://ieeexplore.ieee.org/iel4/100/14631/00667325.pdf,,,1,339,No DOI available
Schools as social complex adaptive systems: a new way to understand the challenges of introducing the health promoting schools concept,"N Keshavarz, D Nutbeam, L Rowling… - Social science & …, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S0277953610001164,No PDF available,,,1,184,No DOI available
Decentralization and health care prioritization process in Tanzania: from national rhetoric to local reality,"SO Maluka, AK Hurtig, MS Sebastián… - … journal of health …, 2011 - Wiley Online Library",2011,https://onlinelibrary.wiley.com/doi/abs/10.1002/hpm.1048,https://onlinelibrary.wiley.com/doi/pdf/10.1002/hpm.1048,,,1,55,No DOI available
Cooperative artefacts: Assessing real world situations with embedded technology,"M Strohbach, HW Gellersen, G Kortuem… - … Conference on Ubiquitous …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30119-6_15,http://eprints.lancs.ac.uk/12364/1/ca.PDF,,,1,139,No DOI available
Cultural barriers in the transferability of Japanese and American human resources practices to developing countries: the Turkish case,"SA Wasti - International Journal of Human Resource Management, 1998 - Taylor & Francis",1998,https://www.tandfonline.com/doi/abs/10.1080/095851998340928,https://www.tandfonline.com/doi/pdf/10.1080/095851998340928,,,1,165,No DOI available
RoleDiSCo: A middleware architecture and implementation for coordinated on-demand composition of smart service systems in decentralized environments,"M Wutzler, T Springer, A Schill - 2017 IEEE 2nd International …, 2017 - ieeexplore.ieee.org",2017,https://ieeexplore.ieee.org/abstract/document/8064094/,https://ieeexplore.ieee.org/iel7/8063634/8064070/08064094.pdf,,,1,2,No DOI available
Modeling decentralized and spatial interactions in industrial dynamics,"J Vicente - European Journal of Economic and Social Systems, 2003 - researchgate.net",2003,https://www.researchgate.net/profile/Jerome_Vicente3/publication/265032442_Modelling_decentralized_and_spatial_interactions_in_industrial_dynamics/links/571de30908ae7f552a4a9089/Modelling-decentralized-and-spatial-interactions-in-industrial-dynamics.pdf,https://www.researchgate.net/profile/Jerome_Vicente3/publication/265032442_Modelling_decentralized_and_spatial_interactions_in_industrial_dynamics/links/571de30908ae7f552a4a9089/Modelling-decentralized-and-spatial-interactions-in-industrial-dynamics.pdf,,,1,9,No DOI available
"Mexican and Swedish managers' perceptions of the impact of EIS on organizational intelligence, decision making, and structure","DE Leidner, S Carlsson, J Elam… - Decision …, 1999 - Wiley Online Library",1999,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1540-5915.1999.tb00901.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1540-5915.1999.tb00901.x,,,1,108,No DOI available
"SIMMUNE, a tool for simulating and analyzing immune system behavior","M Meier-Schellersheim, G Mack - arXiv preprint cs/9903017, 1999 - arxiv.org",9903,https://arxiv.org/abs/cs/9903017,https://arxiv.org/pdf/cs/9903017,,,1,49,No DOI available
Pitfalls of agent-oriented development,"MJ Wooldridge, NR Jennings - 1998 - eprints.soton.ac.uk",1998,https://eprints.soton.ac.uk/252162/,https://eprints.soton.ac.uk/252162/1/aa98.pdf,,,1,470,No DOI available
An approach to deriving reactive agent designs from extensions to the Descartes specification language,"MA Medina, JE Urban - … Decentralized Systems (ISADS'07), 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4144691/,https://ieeexplore.ieee.org/iel5/4144637/4144638/04144691.pdf,,,1,7,No DOI available
"Leadership, organization and health at work: a case study of a Swedish industrial company","A Eriksson, B Jansson, BJA Haglund… - Health promotion …, 2008 - academic.oup.com",2008,https://academic.oup.com/heapro/article-abstract/23/2/127/715336,https://academic.oup.com/heapro/article-pdf/23/2/127/2114952/dan015.pdf,,,1,38,No DOI available
Experimental economics from the vantage‐point of behavioural economics,"G Loewenstein - The Economic Journal, 1999 - Wiley Online Library",1999,https://onlinelibrary.wiley.com/doi/abs/10.1111/1468-0297.00400,https://onlinelibrary.wiley.com/doi/pdf/10.1111/1468-0297.00400,,,1,558,No DOI available
"What the design theory of social-cyber-physical systems must describe, explain and predict?","I Horváth - An Anthology of Theories and Models of Design, 2014 - Springer",2014,https://link.springer.com/chapter/10.1007/978-1-4471-6338-1_5,http://www.academia.edu/download/39194732/5509c2ed0cf20f127f90a0d1.pdf,,,1,14,No DOI available
Understanding information culture: Integrating knowledge management systems into organizations,DE Leidner - 1998 - flora.insead.edu,1998,https://flora.insead.edu/fichiersti_wp/inseadwp1998/98-58.pdf,https://flora.insead.edu/fichiersti_wp/inseadwp1998/98-58.pdf,,,1,50,No DOI available
"A decentralized trustworthiness estimation model for open, multiagent systems (DTMAS)","AM Aref, TT Tran - Journal of Trust Management, 2015 - journaloftrustmanagement …",2015,https://journaloftrustmanagement.springeropen.com/articles/10.1186/s40493-015-0014-4,https://journaloftrustmanagement.springeropen.com/articles/10.1186/s40493-015-0014-4,,,1,12,No DOI available
Power distribution as a catalyst and consequence of decentralized technology diffusion,"B Butler, DE Gibbons - Information Systems Innovations and …, 1998 - books.google.com",1998,https://books.google.de/books?hl=de&lr=&id=B2K9W5sqvKEC&oi=fnd&pg=PA3&dq=context-dependent+AND+decentralized+composition+AND+behaviour&ots=2ez6UOKEFI&sig=uUIVQxF2_ucEpA4AmQaLFT0DYNY,No PDF available,,,1,15,No DOI available
Context and causal mechanisms in political analysis,"TG Falleti, JF Lynch - Comparative political studies, 2009 - journals.sagepub.com",2009,https://journals.sagepub.com/doi/abs/10.1177/0010414009331724,https://journals.sagepub.com/doi/pdf/10.1177/0010414009331724,,,1,598,No DOI available
A flexible approach to exception handling in open multi-agent systems,"N Shah, KM Chao, R Anane, N Godwin - Proceedings of the 2nd …, 2003 - academia.edu",2003,http://www.academia.edu/download/42735878/A_Flexible_Approach_to_Exception_Handlin20160216-24803-140vcoa.pdf,http://www.academia.edu/download/42735878/A_Flexible_Approach_to_Exception_Handlin20160216-24803-140vcoa.pdf,,,1,10,No DOI available
A perspective on middleware-oriented context-aware pervasive systems,"Z Jaroucheh, X Liu, S Smith - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254117/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254117.pdf,,,1,14,No DOI available
Plasticity of daily behavioral rhythms in foragers and nurses of the ant Camponotus rufipes: influence of social context and feeding times,"S Mildner, F Roces - PloS one, 2017 - journals.plos.org",2017,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0169244,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0169244,,,1,7,No DOI available
Insect walking is based on a decentralized architecture revealing a simple and robust controller,"H Cruse, V Dürr, J Schmitz - … Transactions of the Royal …, 2006 - royalsocietypublishing.org",2006,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2006.1913,https://royalsocietypublishing.org/doi/pdf/10.1098/rsta.2006.1913,,,1,73,No DOI available
Scaling the dynamic approach to path planning and control: Competition among behavioral constraints,"EW Large, HI Christensen… - The International Journal …, 1999 - journals.sagepub.com",1999,https://journals.sagepub.com/doi/abs/10.1177/027836499901800103,https://journals.sagepub.com/doi/pdf/10.1177/027836499901800103,,,1,87,No DOI available
Smart Semantic Middleware for the Internet of Things.,"A Katasonov, O Kaykova, O Khriyenko… - Icinco …, 2008 - pdfs.semanticscholar.org",2008,https://pdfs.semanticscholar.org/4665/130fd1236d7cf5636b188ca7adcc4fd8d631.pdf,https://pdfs.semanticscholar.org/4665/130fd1236d7cf5636b188ca7adcc4fd8d631.pdf,,,1,212,No DOI available
Professionalism: Evolution of the concept,"WNKA van Mook, WS de Grave, V Wass… - European Journal of …, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0953620508002999,No PDF available,,,1,99,No DOI available
Irrational decision-making in an amoeboid organism: transitivity and context-dependent preferences,"T Latty, M Beekman - … of the Royal Society B: Biological …, 2010 - royalsocietypublishing.org",2010,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2010.1045,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2010.1045,,,1,107,No DOI available
Qa websites: rich research resources for contextualizing information retrieval behaviors,"J Lee, X Hu, J Downie - Proceedings of the 28th international SIGIR …, 2005 - academia.edu",2005,http://www.academia.edu/download/30703091/10.1.1.91.8687.pdf#page=33,http://www.academia.edu/download/30703091/10.1.1.91.8687.pdf#page=33,,,1,6,No DOI available
Knowledge evolution in autonomic software product lines,"N Abbas, J Andersson, D Weyns - Proceedings of the 15th International …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2019177,https://www.researchgate.net/profile/Danny_Weyns/publication/220789599_Knowledge_evolution_in_autonomic_software_product_lines/links/54d32d020cf28e069727ac92/Knowledge-evolution-in-autonomic-software-product-lines.pdf,,,1,13,No DOI available
A feedback-based decentralised coordination model for distributed open real-time systems,"L Nogueira, LM Pinho, J Coelho - Journal of Systems and Software, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0164121212001082,http://recipp.ipp.pt/bitstream/10400.22/3695/1/ART_LuisNogueira_2012_CISTER.pdf,,,1,8,No DOI available
CAMPOUT: a control architecture for multirobot planetary outposts,"P Pirjanian, TL Huntsberger… - … and Decentralized …, 2000 - spiedigitallibrary.org",2000,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/4196/0000/CAMPOUT-a-control-architecture-for-multirobot-planetary-outposts/10.1117/12.403721.short,https://www.spiedigitallibrary.org/proceedings/Download?fullDOI=10.1117/12.403721,,,1,80,No DOI available
