title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Engineering mobile agent applications via context-dependent coordination,"G Cabri, L Leonardi… - IEEE Transactions on …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1049403/,https://ieeexplore.ieee.org/iel5/32/22485/01049403.pdf,,,1,119,No DOI available
Smart Semantic Middleware for the Internet of Things.,"A Katasonov, O Kaykova, O Khriyenko… - Icinco …, 2008 - pdfs.semanticscholar.org",2008,https://pdfs.semanticscholar.org/4665/130fd1236d7cf5636b188ca7adcc4fd8d631.pdf,https://pdfs.semanticscholar.org/4665/130fd1236d7cf5636b188ca7adcc4fd8d631.pdf,,,1,212,No DOI available
Beyond EA frameworks: Towards an understanding of the adoption of enterprise architecture management,"K Haki, C Legner, F Ahlemann - 2012 - alexandria.unisg.ch",2012,https://www.alexandria.unisg.ch/id/eprint/249023,https://www.alexandria.unisg.ch/249023/1/BEYOND%20EA%20FRAMEWORKS_%20TOWARDS%20AN%20UNDERSTANDING%20OF%20THE%20ADOPTION%20OF.pdf,,,1,36,No DOI available
Decentralized and flexible workflow enactment based on task coordination agents,"G Joeris - 2nd Int'l. Bi-Conference Workshop on Agent-Oriented …, 2000 - books.google.com",2000,https://books.google.de/books?hl=de&lr=&id=ByU0wmVlYq4C&oi=fnd&pg=PA41&dq=context-dependent+AND+decentralized+composition+AND+reconfig*&ots=_sqwdsvTU2&sig=xkJTtHMr_ONCTWusjWixF6Pqdjc,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.32.5341&rep=rep1&type=pdf,,,1,49,No DOI available
Decentralized fault tolerance mechanism for intelligent iot/m2m middleware,"PH Su, CS Shih, JYJ Hsu, KJ Lin… - 2014 IEEE World …, 2014 - ieeexplore.ieee.org",2014,https://ieeexplore.ieee.org/abstract/document/6803115/,https://ieeexplore.ieee.org/iel7/6784568/6803102/06803115.pdf,,,1,27,No DOI available
"Dynamic capabilities and performance: strategy, structure and environment","R Wilden, SP Gudergan, BB Nielsen, I Lings - Long Range Planning, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S0024630112000763,https://eprints.qut.edu.au/59155/3/59155.pdf,,,1,341,No DOI available
Querying and updating a context-aware service directory in mobile environments,"C Doulkeridis, M Vazirgiannis - Proceedings of the 2004 IEEE/WIC/ACM …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=1026383,https://ieeexplore.ieee.org/iel5/9689/30573/01410867.pdf,,,1,38,No DOI available
"Outlining nine major design challenges of open, decentralized, adaptive cyber-physical systems","I Horváth, BHM Gerritsen - ASME 2013 …, 2013 - … .asmedigitalcollection.asme.org",2013,https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=1830246,http://www.koti.szie.hu/KEMT/munkatarsak_files/CV_Publ/WEB_Horvath_Mark_Publications_2014Oct_HU.pdf,,,1,18,No DOI available
The self-organization of the Internet and changing modes of thought,"I Granic, AV Lamey - New Ideas in psychology, 2000 - Elsevier",2000,https://www.sciencedirect.com/science/article/pii/S0732118X99000392,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.512.4067&rep=rep1&type=pdf,,,1,73,No DOI available
Modeling enterprise capabilities with i*: reasoning on alternatives,"MH Danesh, E Yu - International Conference on Advanced Information …, 2014 - Springer",2014,https://link.springer.com/chapter/10.1007/978-3-319-07869-4_10,No PDF available,,,1,29,No DOI available
Software engineering for self-adaptive systems: A second research roadmap,"R De Lemos, H Giese, HA Müller, M Shaw… - Software Engineering for …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,http://drops.dagstuhl.de/opus/volltexte/2011/3156/pdf/report10431_3156.pdf,,,1,1568,No DOI available
A comprehensive approach for context-dependent privacy management,"E Franz, C Groba, T Springer… - 2008 Third International …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4529440/,No PDF available,,,1,10,No DOI available
A feedback-based decentralised coordination model for distributed open real-time systems,"L Nogueira, LM Pinho, J Coelho - Journal of Systems and Software, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0164121212001082,http://recipp.ipp.pt/bitstream/10400.22/3695/1/ART_LuisNogueira_2012_CISTER.pdf,,,1,8,No DOI available
Context-aware adaptive service mashups,"C Dorn, D Schall, S Dustdar - 2009 IEEE Asia-Pacific Services …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5394107/,https://ieeexplore.ieee.org/iel5/5374429/5394078/05394107.pdf,,,1,12,No DOI available
Distributed motion coordination with co-fields: A case study in urban traffic management,"M Mamei, F Zambonelli… - … Autonomous Decentralized …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1193933/,https://ieeexplore.ieee.org/iel5/8490/26851/01193933.pdf,,,1,52,No DOI available
A Modular Architecture for the Design of Condition Monitoring Processes,"H Fleischmann, J Kohl, J Franke - Procedia CIRP, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S2212827116312252,https://www.sciencedirect.com/science/article/pii/S2212827116312252/pdf?md5=24ef189a6837f80424190b9e4c1ebc1f&pid=1-s2.0-S2212827116312252-main.pdf&_valck=1,,,1,8,No DOI available
Context-aware profiles,"A Ferscha, M Hechinger, A Riener… - … on Autonomic and …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1690258/,https://ieeexplore.ieee.org/iel5/11120/35635/01690258.pdf,,,1,21,No DOI available
Active software,"R Laddaga - International Workshop on Self-Adaptive Software, 2000 - Springer",2000,https://link.springer.com/chapter/10.1007/3-540-44584-6_2,http://people.csail.mit.edu/rladdaga/publications/aswpol.pdf,,,1,114,No DOI available
Tropism-based cognition for the interpretation of context-dependent gestures,"RM Voyles, A Agah, PK Khosla… - … Conference on Robotics …, 1997 - ieeexplore.ieee.org",1997,https://ieeexplore.ieee.org/abstract/document/606874/,https://ieeexplore.ieee.org/iel3/4815/13316/00606874.pdf,,,1,11,No DOI available
"Dynamism and data management in distributed, collaborative working environments","A Kipp, L Schubert, M Assel… - From CSCW to …, 2008 - dspace.wineme.fb5.uni-siegen.de",2008,https://dspace.wineme.fb5.uni-siegen.de/handle/20.500.12015/2810,https://dspace.wineme.fb5.uni-siegen.de/bitstream/20.500.12015/2810/1/00460.pdf,,,1,7,No DOI available
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - annals of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,https://link.springer.com/article/10.1007/s12243-008-0081-y,,,1,96,No DOI available
Policy-based design of human-machine collaboration in manned space missions,"J Van Diggelen, JM Bradshaw, T Grant… - 2009 Third IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5226809/,https://ieeexplore.ieee.org/iel5/5226791/5226792/05226809.pdf,,,1,18,No DOI available
A survey of software infrastructures and frameworks for ubiquitous computing,"C Endres, A Butz, A MacWilliams - Mobile Information Systems, 2005 - hindawi.com",2005,https://www.hindawi.com/journals/misy/2005/654215/abs/,http://downloads.hindawi.com/journals/misy/2005/654215.pdf,,,1,119,No DOI available
An architecture for requirements-driven self-reconfiguration,"F Dalpiaz, P Giorgini, J Mylopoulos - International Conference on …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-02144-2_22,https://link.springer.com/content/pdf/10.1007/978-3-642-02144-2_22.pdf,,,1,80,No DOI available
