title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Validation of context-dependent aspect-oriented adaptations to components,"T Cottenier, T Elrad - WCOP, Oslo, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,,,1,7,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - International workshop on Engineering of software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
Context-sensitivity of human memory: Episode connectivity and its influence on memory reconstruction,"B Kokinov, G Petkov, N Petrova - International and Interdisciplinary …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-74255-5_24,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.70.1587&rep=rep1&type=pdf,,,1,16,No DOI available
Agent-oriented software engineering,"NR Jennings - European Workshop on Modelling Autonomous Agents …, 1999 - Springer",1999,https://link.springer.com/chapter/10.1007/3-540-48437-X_1,https://eprints.soton.ac.uk/252182/1/cairo.pdf.gz,,,1,668,No DOI available
Context-sensitive trust computing in distributed environments,"Y Ding, F Liu, B Tang - Knowledge-Based Systems, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0950705111002723,http://or.nsfc.gov.cn/bitstream/00001903-5/112633/1/1000003873447.pdf,,,1,17,No DOI available
A context-sensitive infrastructure for coordinating agents in ubiquitous environments,"M Bortenschlager, G Castelli, A Rosi… - Multiagent and Grid …, 2009 - content.iospress.com",2009,https://content.iospress.com/articles/multiagent-and-grid-systems/mgs00116,http://www.agentgroup.ing.unimo.it/Zambonelli/PDF/MAGS09.pdf,,,1,11,No DOI available
User-led decentralized thermal comfort driven HVAC operations for improved efficiency in office buildings,"F Jazizadeh, A Ghahramani, B Becerik-Gerber… - Energy and …, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0378778813007731,No PDF available,,,1,90,No DOI available
Irrational decision-making in an amoeboid organism: transitivity and context-dependent preferences,"T Latty, M Beekman - … of the Royal Society B: Biological …, 2010 - royalsocietypublishing.org",2010,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2010.1045,https://royalsocietypublishing.org/doi/pdf/10.1098/rspb.2010.1045,,,1,107,No DOI available
Talent Management in a Collectivistic and Egalitarian Context–The Swedish Case,"P Bolander, K Asplund, A Werr - SSE/EFI Working Paper Series in …, 2014 - exedsse.se",2014,https://exedsse.se/wp-content/uploads/2014/04/TM-strategies.pdf,https://exedsse.se/wp-content/uploads/2014/04/TM-strategies.pdf,,,1,8,No DOI available
Contextual pointcut expressions for dynamic service customization,"T Cottenier, T Elrad - Dynamic Aspects Workshop (DAW), 2005 - modularity.info",2005,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,,,1,6,No DOI available
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,"M Wutzler - OTM Confederated International Conferences"" On the …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,4,No DOI available
Context-sensitive multidimensional resource visualization,"O Khriyenko - Proceedings of the 7th IASTED International …, 2007 - researchgate.net",2007,https://www.researchgate.net/profile/Oleksiy_Khriyenko/publication/262257630_Context-sensitive_multidimensional_resource_visualization/links/55d2ea0908aec1b0429f00b3/Context-sensitive-multidimensional-resource-visualization.pdf,https://www.researchgate.net/profile/Oleksiy_Khriyenko/publication/262257630_Context-sensitive_multidimensional_resource_visualization/links/55d2ea0908aec1b0429f00b3/Context-sensitive-multidimensional-resource-visualization.pdf,,,1,5,No DOI available
Decentralization and health care prioritization process in Tanzania: from national rhetoric to local reality,"SO Maluka, AK Hurtig, MS Sebastián… - … journal of health …, 2011 - Wiley Online Library",2011,https://onlinelibrary.wiley.com/doi/abs/10.1002/hpm.1048,https://onlinelibrary.wiley.com/doi/pdf/10.1002/hpm.1048,,,1,55,No DOI available
Context and causal mechanisms in political analysis,"TG Falleti, JF Lynch - Comparative political studies, 2009 - journals.sagepub.com",2009,https://journals.sagepub.com/doi/abs/10.1177/0010414009331724,https://journals.sagepub.com/doi/pdf/10.1177/0010414009331724,,,1,598,No DOI available
