title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
Towards model driven design of service-based context-aware applications,"V Grassi, A Sindico - … workshop on Engineering of software services for …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1294915,No PDF available,,,1,37,No DOI available
Validation of context-dependent aspect-oriented adaptations to components,"T Cottenier, T Elrad - WCOP, Oslo, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.5002&rep=rep1&type=pdf,,,1,7,No DOI available
Context-sensitive trust computing in distributed environments,"Y Ding, F Liu, B Tang - Knowledge-Based Systems, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0950705111002723,http://or.nsfc.gov.cn/bitstream/00001903-5/112633/1/1000003873447.pdf,,,1,17,No DOI available
Contextual pointcut expressions for dynamic service customization,"T Cottenier, T Elrad - Dynamic Aspects Workshop (DAW), 2005 - modularity.info",2005,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,,,1,6,No DOI available
"Quality-aware service-oriented data integration: requirements, state of the art and open challenges","S Dustdar, R Pichler, V Savenkov, HL Truong - ACM SIGMOD Record, 2012 - dl.acm.org",2012,https://dl.acm.org/citation.cfm?id=2206873,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.299.9458&rep=rep1&type=pdf,,,1,52,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
A survey of software infrastructures and frameworks for ubiquitous computing,"C Endres, A Butz, A MacWilliams - Mobile Information Systems, 2005 - hindawi.com",2005,https://www.hindawi.com/journals/misy/2005/654215/abs/,http://downloads.hindawi.com/journals/misy/2005/654215.pdf,,,1,119,No DOI available
Context-aware authorization in highly dynamic environments,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - arXiv preprint arXiv …, 2011 - arxiv.org",2011,https://arxiv.org/abs/1102.5194,https://arxiv.org/pdf/1102.5194,,,1,25,No DOI available
A survey on context-aware mobile and wireless networking: On networking and computing environments' integration,"P Makris, DN Skoutas, C Skianis - … communications surveys & …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6182559/,https://ieeexplore.ieee.org/iel5/9739/5451756/06182559.pdf,,,1,179,No DOI available
A model for the measurement of the runtime testability of component-based systems,"A González, É Piel, HG Gross - 2009 International Conference …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4976367/,https://ieeexplore.ieee.org/iel5/4976356/4976357/04976367.pdf,,,1,40,No DOI available
Mobile Agent Middlewares for Context-Aware Applications.,"P Bellavista, S Vecchi, R Montanari, D Bottazzi… - 2004 - pdfs.semanticscholar.org",2004,https://pdfs.semanticscholar.org/22a5/87f21431a672bfd01476cbf508f11a6f8620.pdf,https://pdfs.semanticscholar.org/22a5/87f21431a672bfd01476cbf508f11a6f8620.pdf,,,1,7,No DOI available
Poyraz: Context‐aware service selection under deception,"M Şensoy, J Zhang, P Yolum… - Computational …, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8640.2009.00348.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-8640.2009.00348.x,,,1,64,No DOI available
Agent-based intelligent collaborative care management,"K Wickramasinghe, C Guttmann, M Georgeff… - Proceedings of The 8th …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1558308,https://www.researchgate.net/profile/Heinrich_Heinz_Schmidt/publication/221456894_Agent-based_intelligent_collaborative_care_management/links/00b7d516175040693a000000.pdf,,,1,6,No DOI available
Employing Context Information and Semantics to Advance Responsiveness in Service Composition,"C Jacob, H Pfeffer, S Steglich - Context-Aware Mobile and …, 2009 - igi-global.com",2009,https://www.igi-global.com/chapter/context-aware-mobile-ubiquitous-computing/7120,No PDF available,,,1,1,No DOI available
Architecture for evaluating web service QoS parameters using agents,"M Thirumaran, P Dhavachelvan… - International …, 2010 - pdfs.semanticscholar.org",2010,https://pdfs.semanticscholar.org/2c02/6b5dc4a7d8bf497f5526915ebad3640f4111.pdf,https://pdfs.semanticscholar.org/2c02/6b5dc4a7d8bf497f5526915ebad3640f4111.pdf,,,1,14,No DOI available
Software engineering for self-adaptive systems: A second research roadmap,"R De Lemos, H Giese, HA Müller, M Shaw… - Software Engineering for …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-35813-5_1,http://drops.dagstuhl.de/opus/volltexte/2011/3156/pdf/report10431_3156.pdf,,,1,1568,No DOI available
Exploring On-Demand Composition of Pervasive Collaborations in Smart Computing Environments,"M Wutzler - OTM Confederated International Conferences"" On the …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-55961-2_31,No PDF available,,,1,4,No DOI available
A context-sensitive infrastructure for coordinating agents in ubiquitous environments,"M Bortenschlager, G Castelli, A Rosi… - Multiagent and Grid …, 2009 - content.iospress.com",2009,https://content.iospress.com/articles/multiagent-and-grid-systems/mgs00116,http://www.agentgroup.ing.unimo.it/Zambonelli/PDF/MAGS09.pdf,,,1,11,No DOI available
