title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Syncopated space–wireless media shaping human movement and social interaction,"T Rueb - The Information Society on the move. Receiver …, 2004 - locative.articule.net",2004,http://locative.articule.net/wp-content/uploads/2013/06/TRuebSyncopatedSpaceWirelessMediaShapinghumanMovementAndSocialInteraction.pdf,http://locative.articule.net/wp-content/uploads/2013/06/TRuebSyncopatedSpaceWirelessMediaShapinghumanMovementAndSocialInteraction.pdf,,,1,7,No DOI available
Semantic-Based Service-Oriented Business Application,"G Hao, F Hao - 2008 4th International Conference on Wireless …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4681019/,https://ieeexplore.ieee.org/iel5/4677908/4677909/04681019.pdf,,,1,1,No DOI available
Empowering the business analyst for on demand computing,"A Arsanjani - IBM Systems Journal, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/5386709/,https://pdfs.semanticscholar.org/c2f8/29a9f47be3a38d385dfb5bff9a31fd99c137.pdf,,,1,23,No DOI available
The Current Team,CS Collaborators - nsfcac.rutgers.edu,No year available,http://nsfcac.rutgers.edu/people/parashar/Papers/parashar-nasa-rep-03-18-03.pdf,http://nsfcac.rutgers.edu/people/parashar/Papers/parashar-nasa-rep-03-18-03.pdf,,,1,No cite count available,No DOI available
Managing complex augmented reality models,"D Schmalstieg, G Schall, D Wagner… - IEEE Computer …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4267946/,https://ieeexplore.ieee.org/iel5/38/4267933/04267946.pdf,,,1,51,No DOI available
Coordination of distributed proactive smart resources.,"O Khriyenko - Parallel and Distributed Computing and …, 2007 - pdfs.semanticscholar.org",2007,https://pdfs.semanticscholar.org/a3bc/0dc967a960288bff2b59ae1b78fca8bcc18a.pdf,https://pdfs.semanticscholar.org/a3bc/0dc967a960288bff2b59ae1b78fca8bcc18a.pdf,,,1,1,No DOI available
"Of Machines, Organisms, and Agency",SL Talbott - natureinstitute.org,No year available,http://natureinstitute.org/pub/ic/ic35/agency.pdf,http://natureinstitute.org/pub/ic/ic35/agency.pdf,,,1,No cite count available,No DOI available
Encoding user experiences,"Å Izaki, L Helme - Architectural Design, 2014 - Wiley Online Library",2014,https://onlinelibrary.wiley.com/doi/abs/10.1002/ad.1817,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ad.1817,,,1,3,No DOI available
State of the art and emerging rule-driven perspectives towards service-based business process interoperability,"TAD Hoang, TB Nguyen - 2009 IEEE-RIVF International …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5174659/,No PDF available,,,1,13,No DOI available
Semantic SOA-IT Catalyst for Business Transformation,"B Raichura, R Kumar - AMCIS 2007 Proceedings, 2007 - aisel.aisnet.org",2007,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1536&context=amcis2007,https://pdfs.semanticscholar.org/7d33/39109045967130e0df6dbed7458218168225.pdf,,,1,1,No DOI available
Context as a Resource: A Service-Oriented Approach for Context-Awareness,D Romero - 2011 - tel.archives-ouvertes.fr,2011,https://tel.archives-ouvertes.fr/tel-00608838/,https://tel.archives-ouvertes.fr/tel-00608838/file/Thesis.pdf,,,1,6,No DOI available
Enabling programmability of smart learning environments by teachers,"A Leonidis, M Antona, C Stephanidis - International Conference on …, 2015 - Springer",2015,https://link.springer.com/chapter/10.1007/978-3-319-20804-6_6,No PDF available,,,1,3,No DOI available
