title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Context-sensitive middleware for real-time software in ubiquitous computing environments,"SS Yau, F Karim - … Symposium on Object-Oriented Real-Time …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/922833/,https://ieeexplore.ieee.org/iel5/7351/19938/00922833.pdf,,,1,89,No DOI available
Context-sensitivity of human memory: Episode connectivity and its influence on memory reconstruction,"B Kokinov, G Petkov, N Petrova - International and Interdisciplinary …, 2007 - Springer",2007,https://link.springer.com/chapter/10.1007/978-3-540-74255-5_24,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.70.1587&rep=rep1&type=pdf,,,1,16,No DOI available
Decentralized trust driven access control for mobile content sharing,"BS Vidyalakshmi, RK Wong… - 2013 IEEE International …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6597143/,https://ieeexplore.ieee.org/iel7/6596172/6597101/06597143.pdf,,,1,9,No DOI available
"Flow-sensitive, context-sensitive, and object-sensitive information flow control based on program dependence graphs","C Hammer, G Snelting - International Journal of Information Security, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s10207-009-0086-1,https://link.springer.com/content/pdf/10.1007/s10207-009-0086-1.pdf,,,1,201,No DOI available
Context-sensitive distributed software development for ubiquitous computing environments,"SS Yau, F Karim - 25th Annual International Computer Software …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/960626/,https://ieeexplore.ieee.org/iel5/7609/20754/00960626.pdf,,,1,15,No DOI available
Context-sensitive object request broker for ubiquitous computing environments,"SS Yau, F Karim - … Eighth IEEE Workshop on Future Trends of …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/969619/,https://ieeexplore.ieee.org/iel5/7655/20916/00969619.pdf,,,1,10,No DOI available
Context-sensitive diagnosis of discrete-event systems,"G Lamperti, M Zanella - Twenty-Second International Joint Conference on …, 2011 - aaai.org",2011,https://www.aaai.org/ocs/index.php/IJCAI/IJCAI11/paper/viewPaper/3037,https://www.aaai.org/ocs/index.php/IJCAI/IJCAI11/paper/viewPDFInterstitial/3037/3529,,,1,17,No DOI available
Decentralized regulation of distributed systems: Beyond access control,N Minsky - 2007 - pdfs.semanticscholar.org,2007,https://pdfs.semanticscholar.org/6724/206c785cc97713ad2418989f0ac6fbe28770.pdf,https://pdfs.semanticscholar.org/6724/206c785cc97713ad2418989f0ac6fbe28770.pdf,,,1,3,No DOI available
SPBCA: Semantic pattern-based context-aware middleware,"X Zhou, X Tang, X Yuan, D Chen - 2009 15th International …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5395314/,https://ieeexplore.ieee.org/iel5/5394475/5394991/05395314.pdf,,,1,8,No DOI available
Self-adaptation using multiagent systems,"D Weyns, M Georgeff - IEEE software, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370765/,https://ieeexplore.ieee.org/iel5/52/5370751/05370765.pdf,,,1,66,No DOI available
Development of situation-aware application software for ubiquitous computing environments,"SS Yau, Y Wang, F Karim - Proceedings 26th Annual …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1044557/,https://ieeexplore.ieee.org/iel5/8094/22390/01044557.pdf,,,1,126,No DOI available
Cascade training and teachers' professional development,"D Hayes - ELT journal, 2000 - academic.oup.com",2000,https://academic.oup.com/eltj/article-abstract/54/2/135/413637,https://academic.oup.com/eltj/article-pdf/54/2/135/9791303/135.pdf,,,1,180,No DOI available
Ubiquitous semantic space: A context-aware and coordination middleware for ubiquitous computing,"R Sudha, MR Rajagopalan… - 2007 2nd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4267986/,No PDF available,,,1,18,No DOI available
,"M Zurawski - Workshop on Knowledge Management and the …, 2004",2004,javascript:void(0),No PDF available,,,1,2,No DOI available
A context-sensitive service discovery protocol for mobile computing environments,"R Robinson, J Indulska - International Conference on Mobile …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1493663/,https://ieeexplore.ieee.org/iel5/9999/32116/01493663.pdf,,,1,10,No DOI available
AWARENESS: A project on Context AWARE mobile NEtworks and ServiceS,"M Wegdam - 14th Mobile & Wireless Communication Summit, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.121.4666&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.121.4666&rep=rep1&type=pdf,,,1,40,No DOI available
Context-sensitive decision support for improved sustainability of product lifecycle,"S Scholze, O Kotte, D Stokic… - … : Proceedings of the 5th …, 2013 - books.google.com",2013,https://books.google.de/books?hl=de&lr=&id=CTSVAQAAQBAJ&oi=fnd&pg=PA140&dq=context-sensitive+AND+decentralized+composition+AND+sensitiv&ots=cdbTVcbEDX&sig=IAqkojq7Q_IRCt8Wqj0oHMWbOHI,https://www.researchgate.net/profile/Sebastian_Scholze/publication/256087151_Context-sensitive_decision_support_for_improved_sustainability_of_product_lifecycle/links/02e7e5218a57ac8f26000000/Context-sensitive-decision-support-for-improved-sustainability-of-product-lifecycle.pdf,,,1,2,No DOI available
Situation-aware access control for service-oriented autonomous decentralized systems,"SS Yau, Y Yao, V Banga - … Autonomous Decentralized Systems …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1452011/,https://ieeexplore.ieee.org/iel5/9846/31027/01452011.pdf,,,1,24,No DOI available
CE Cirilo,"VG Da Silva, CE Cirilo, AF do Prado, WL de Souza - Proceedings of the Eighth …, 2013",2013,/citations?user=MMihf70AAAAJ&hl=de&oi=sra,No PDF available,,,1,1,No DOI available
Context-Sensitive Scheduling for the Thread Concept,"A Winckler - Proc. of Ninth International Conference on Systems …, 1993 - Citeseer",1993,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.55.1652&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.55.1652&rep=rep1&type=pdf,,,1,1,No DOI available
A context-sensitive infrastructure for coordinating agents in ubiquitous environments,"M Bortenschlager, G Castelli, A Rosi… - Multiagent and Grid …, 2009 - content.iospress.com",2009,https://content.iospress.com/articles/multiagent-and-grid-systems/mgs00116,http://www.agentgroup.ing.unimo.it/Zambonelli/PDF/MAGS09.pdf,,,1,11,No DOI available
Designing survivable services from independent components with basic functionality,"A Dittrich, J Kowal, M Malek - International Workshop on Dependable …, 2008 - citemaster.net",2008,http://www.citemaster.net/get/4517f5c6-39a4-11e4-814e-00163e009cc7/2008%20Designing%20Survivable%20Services%20from%20Independent%20Components%20with%20Basic%20Functionality.pdf,http://www.citemaster.net/get/4517f5c6-39a4-11e4-814e-00163e009cc7/2008%20Designing%20Survivable%20Services%20from%20Independent%20Components%20with%20Basic%20Functionality.pdf,,,1,1,No DOI available
Dynamics and automaticity of context: A cognitive modeling approach,"B Kokinov - … and Interdisciplinary Conference on Modeling and …, 1999 - Springer",1999,https://link.springer.com/chapter/10.1007/3-540-48315-2_16,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.486.3676&rep=rep1&type=pdf,,,1,60,No DOI available
Context-aware authorization in highly dynamic environments,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - arXiv preprint arXiv …, 2011 - arxiv.org",2011,https://arxiv.org/abs/1102.5194,https://arxiv.org/pdf/1102.5194,,,1,25,No DOI available
"Demazeau (eds.) Decentralized AI 3, Elsevier Science (North Holland): Amsterdam, 1992.","MA Rational - IEEE Computer, 1992 - Citeseer",1992,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.49.7483&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.49.7483&rep=rep1&type=pdf,,,1,No cite count available,No DOI available
A Context-sensitive Approach to the Study of Presidentialism and Ethnic Violence,"M Basedau - Ethnopolitics, 2013 - Taylor & Francis",2013,https://www.tandfonline.com/doi/full/10.1080/17449057.2013.746011,No PDF available,,,1,No cite count available,No DOI available
A generic context service for ubiquitous environments,"H Schmidt, F Flerlage, FJ Hauck - 2009 IEEE International …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4912856/,No PDF available,,,1,18,No DOI available
Research on Context-Sensitive 3D Web-GIS,"G Yan, Q Du, L Xu, L Zhu - 2009 WRI World Congress on …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5170687/,No PDF available,,,1,2,No DOI available
Adaptive Middleware for Pervasive Computing,SS Yau - ioi2002.or.kr,2002,http://www.ioi2002.or.kr/conference/2002s/intro/Korea-KEYNOTE-04072002.pdf,http://www.ioi2002.or.kr/conference/2002s/intro/Korea-KEYNOTE-04072002.pdf,,,1,No cite count available,No DOI available
Context-aware business application service co-ordination in mobile computing environments,"H Helin, M Klusch, A Lopes, A Fernández… - AAMAS05 workshop on …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,,,1,18,No DOI available
Simulating context effects in problem solving with AMBR,"B Kokinov, M Grinberg - … Conference on Modeling and Using Context, 2001 - Springer",2001,https://link.springer.com/chapter/10.1007/3-540-44607-9_17,http://www.academia.edu/download/30177218/10.1.1.7.6081.pdf,,,1,33,No DOI available
Supporting generalized context interactions,"G Hackmann, C Julien, J Payton, GC Roman - International Workshop on …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/11407386_8,https://openscholarship.wustl.edu/cgi/viewcontent.cgi?article=2009&context=cse_research,,,1,21,No DOI available
Towards a context-sensitive ethics,"DM Smith - Geography and Ethics, 1999 - books.google.com",1999,https://books.google.de/books?hl=de&lr=&id=wVhLxV5EbLwC&oi=fnd&pg=PA275&dq=context-sensitive+AND+decentralized+composition+AND+sensitiv&ots=Em88oLPOSB&sig=tVliDFmI2nlBzBha8ab1MAVkKok,https://www.researchgate.net/profile/Seamus_Grimes/publication/260791513_Exploring_the_ethics_of_development/links/542bcd4e0cf27e39fa91a330.pdf#page=292,,,1,15,No DOI available
The impact of context on the trustworthiness of communication: An ontological approach,"S Toivonen, G Denker - Proceedings of the 2004 …, 2004 - informatik.rwth-aachen.de",2004,http://ftp.informatik.rwth-aachen.de/Publications/CEUR-WS/Vol-127/paper3.pdf,http://ftp.informatik.rwth-aachen.de/Publications/CEUR-WS/Vol-127/paper3.pdf,,,1,44,No DOI available
Adaptive middleware for ubiquitous computing environments,"SS Yau, F Karim - IFIP Working Conference on Distributed and Parallel …, 2002 - Springer",2002,https://link.springer.com/chapter/10.1007/978-0-387-35599-3_14,https://link.springer.com/content/pdf/10.1007/978-0-387-35599-3_14.pdf,,,1,38,No DOI available
"Context, comparison, and methodology in Chinese management research","J Child - Management and Organization Review, 2009 - cambridge.org",2009,https://www.cambridge.org/core/journals/management-and-organization-review/article/context-comparison-and-methodology-in-chinese-management-research/DF4C8E3CD0A094D5BA35F45F92135B4A,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1740-8784.2008.00136.x,,,1,147,No DOI available
Model driven RichUbi: a model driven process for building rich interfaces of context-sensitive ubiquitous applications,"CE Cirilo, AF do Prado, WL de Souza… - Proceedings of the 28th …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1878485,http://www.academia.edu/download/1655270/Artigo_SIGDOC_CameraReady.pdf,,,1,14,No DOI available
Pervasive Context Sharing in Magpie: Adaptive Trust-Based Privacy Protection,"C Liu, C Julien - … Conference on Mobile Computing, Applications, and …, 2015 - Springer",2015,https://link.springer.com/chapter/10.1007/978-3-319-29003-4_8,http://mpc.ece.utexas.edu/media/uploads/publishing/pervasive_context_sharing_in_magpie_adaptive_trust-based_privacy_protection[mobicase2015_cr].pdf,,,1,3,No DOI available
Context Sensitive Solutions: Paving the way for better transportation,CS Solutions - nh.gov,No year available,http://www.nh.gov/dot/org/projectdevelopment/highwaydesign/contextsensitivesolutions/documents/MDOT_CSS_articlel_159512_7.pdf,http://www.nh.gov/dot/org/projectdevelopment/highwaydesign/contextsensitivesolutions/documents/MDOT_CSS_articlel_159512_7.pdf,,,1,No cite count available,No DOI available
Pesticides and pollinators: a context-sensitive policy approach,"S Suryanarayanan - Current opinion in insect science, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S2214574515000887,http://www.academia.edu/download/43834187/Suryanarayanan_2015_COIS.pdf,,,1,14,No DOI available
Towards a complexity-informed pedagogy for language learning,"S Mercer - Revista Brasileira de linguística aplicada, 2013 - SciELO Brasil",2013,http://www.scielo.br/scielo.php?pid=S1984-63982013005000008&script=sci_arttext&tlng=pt,http://www.scielo.br/scielo.php?pid=S1984-63982013005000008&script=sci_arttext&tlng=pt,,,1,38,No DOI available
"Verbs, glue and categories in the cellular economy","R Paton, K Matsuno - Information processing in cells and tissues, 1998 - Springer",1998,https://link.springer.com/chapter/10.1007/978-1-4615-5345-8_26,No PDF available,,,1,16,No DOI available
Protection of Critical Information Infrastructures by Means of Context-aware Services.,"M Costea - Petroleum-Gas University of Ploiesti Bulletin …, 2009 - search.ebscohost.com",2009,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=12248495&asa=Y&AN=50228190&h=RKKRrgl7N8jSopA1nuSWKjP%2F%2FOa7a86VZLAXHfKZoJRi2cubqgs5YghkEdyRw1tCDBSZo0O6kwglDVYqpfhcew%3D%3D&crl=c,No PDF available,,,1,No cite count available,No DOI available
A Hybrid Approach for Adapting Web Graphical User Interfaces to Multiple Devices using Information Retrieved from Context.,"CE Cirilo, AF do Prado, WL de Souza, LAM Zaina - DMS, 2010 - Citeseer",2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.714.2722&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.714.2722&rep=rep1&type=pdf,,,1,7,No DOI available
Modeling cued recall and memory illusions as a result of structure mapping,"G Petkov, B Kokinov - Proceedings of the 30 Annual Conference …, 2009 - researchgate.net",2009,https://www.researchgate.net/profile/Georgi_Petkov/publication/228348125_Modeling_Cued_Recall_and_Memory_Illusions_as_a_Result_of_Structure_Mapping/links/00b7d53414b3cbec42000000/Modeling-Cued-Recall-and-Memory-Illusions-as-a-Result-of-Structure-Mapping.pdf,https://www.researchgate.net/profile/Georgi_Petkov/publication/228348125_Modeling_Cued_Recall_and_Memory_Illusions_as_a_Result_of_Structure_Mapping/links/00b7d53414b3cbec42000000/Modeling-Cued-Recall-and-Memory-Illusions-as-a-Result-of-Structure-Mapping.pdf,,,1,6,No DOI available
Diagnosis of higher-order discrete-event systems,"G Lamperti, X Zhao - … Conference on Availability, Reliability, and Security, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-40511-2_12,https://link.springer.com/content/pdf/10.1007/978-3-642-40511-2_12.pdf,,,1,6,No DOI available
From efficiency to risk sensitivity: reconstructing management capabilities after economic rationalism,"A Kouzmin, N Korac-Kakabadse - Australian Journal of …, 1999 - search.informit.com.au",1999,https://search.informit.com.au/documentSummarydn=395391057312169res=ielhss,http://www.cmar.csiro.au/e-print/open/beer_2000e.pdf#page=20,,,1,14,No DOI available
Context-sensitive resource discovery,"G Chen, D Kotz - 2003 - apps.dtic.mil",2003,https://apps.dtic.mil/docs/citations/ADA445477,https://apps.dtic.mil/dtic/tr/fulltext/u2/a445477.pdf,,,1,87,No DOI available
Specification and model-based diagnosis of higher-order discrete-event systems,"G Lamperti, X Zhao - 2013 IEEE International Conference on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6722153/,https://ieeexplore.ieee.org/iel7/6689802/6721750/06722153.pdf,,,1,6,No DOI available
Political discourse classification in social networks using context sensitive convolutional neural networks,"A Bilbao-Jayo, A Almeida - … of the Sixth International Workshop on …, 2018 - aclweb.org",2018,https://www.aclweb.org/anthology/papers/W/W18/W18-3513/,https://www.aclweb.org/anthology/W18-3513,,,1,No cite count available,No DOI available
Experiences with PDG-based IFC,"C Hammer - … Symposium on Engineering Secure Software and …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-11747-3_4,https://pdfs.semanticscholar.org/1a84/6a83f6a6c217ed84571f4249c744be99cccc.pdf,,,1,36,No DOI available
Privacy in georeferenced context-aware services: A survey,"D Riboni, L Pareschi, C Bettini - Privacy in Location-Based Applications, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-03511-1_7,https://air.unimi.it/retrieve/handle/2434/52786/106397/ProceedingsPiLBA08.pdf%24#page=24,,,1,38,No DOI available
