title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - … and Services, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,https://ieeexplore.ieee.org/iel5/5476375/5476480/05476731.pdf,,,1,60,No DOI available
Executable Choreography Processes with Aspect-Sensitive Services,"T Cottenier, T Elrad - Computer Science Department, Illinois …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,https://www.researchgate.net/profile/T_Elrad/publication/242388822_Executable_Choreography_Processes_with_Aspect-Sensitive_Services/links/543d23440cf2c432f7425310.pdf,,,1,8,No DOI available
A systematic literature review of service choreography adaptation,"LAF Leite, GA Oliva, GM Nogueira, MA Gerosa… - Service Oriented …, 2013 - Springer",2013,https://link.springer.com/article/10.1007/s11761-012-0125-z,https://link.springer.com/article/10.1007/s11761-012-0125-z,,,1,45,No DOI available
Adaptive medical workflow management for a context-dependent home healthcare assistance service,"L Ardissono, A Di Leva, G Petrone, M Segnan… - Electronic Notes in …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1571066106000144,https://www.sciencedirect.com/science/article/pii/S1571066106000144/pdf?md5=d2ac5821577383a4987b4a48fe635f6f&pid=1-s2.0-S1571066106000144-main.pdf&_valck=1,,,1,61,No DOI available
A requirements-driven approach towards decentralized social networks,"S Thiel, M Bourimi, R Giménez, S Scerri… - … Application, and Service, 2012 - Springer",2012,https://link.springer.com/chapter/10.1007/978-94-007-4516-2_75,No PDF available,,,1,16,No DOI available
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - annals of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,https://link.springer.com/article/10.1007/s12243-008-0081-y,,,1,96,No DOI available
Context-aware systems: A literature review and classification,"J Hong, E Suh, SJ Kim - Expert Systems with applications, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0957417408007574,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.164.3897&rep=rep1&type=pdf,,,1,633,No DOI available
Self-adaptation using multiagent systems,"D Weyns, M Georgeff - IEEE software, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5370765/,https://ieeexplore.ieee.org/iel5/52/5370751/05370765.pdf,,,1,66,No DOI available
Synthy: A system for end to end composition of web services,"V Agarwal, G Chafle, K Dasgupta, N Karnik… - … , Services and Agents on …, 2005 - Elsevier",2005,https://www.sciencedirect.com/science/article/pii/S1570826805000223,http://m.ww.w.websemanticsjournal.org/preprints/index.php/ps/article/viewFile/79/77,,,1,134,No DOI available
Flexible composition of smart device services,"M Vallée, F Ramparany, L Vercouter - PSC, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/Fano_Ramparany/publication/221228316_Flexible_Composition_of_Smart_Device_Services/links/02bfe5146db682580f000000/Flexible-Composition-of-Smart-Device-Services.pdf,https://www.researchgate.net/profile/Fano_Ramparany/publication/221228316_Flexible_Composition_of_Smart_Device_Services/links/02bfe5146db682580f000000/Flexible-Composition-of-Smart-Device-Services.pdf,,,1,70,No DOI available
The internet of things in an enterprise context,"S Haller, S Karnouskos, C Schroth - Future Internet Symposium, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-3-642-00985-3_2,https://www.alexandria.unisg.ch/46642/1/fis2008-haller-final.pdf,,,1,382,No DOI available
Context-sensitive trust computing in distributed environments,"Y Ding, F Liu, B Tang - Knowledge-Based Systems, 2012 - Elsevier",2012,https://www.sciencedirect.com/science/article/pii/S0950705111002723,http://or.nsfc.gov.cn/bitstream/00001903-5/112633/1/1000003873447.pdf,,,1,17,No DOI available
Agent-based computing: Promise and perils,NR Jennings - 1999 - eprints.soton.ac.uk,1999,https://eprints.soton.ac.uk/252172/,https://eprints.soton.ac.uk/252172/1/ijcai99.pdf,,,1,245,No DOI available
Data-centric middleware for context-aware pervasive computing,"G Chen, M Li, D Kotz - Pervasive and mobile computing, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S1574119207000636,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.367.6194&rep=rep1&type=pdf,,,1,132,No DOI available
Lightweight service oriented architecture for pervasive computing,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - arXiv preprint arXiv …, 2011 - arxiv.org",2011,https://arxiv.org/abs/1102.5193,https://arxiv.org/pdf/1102.5193,,,1,45,No DOI available
Middleware for pervasive computing: A survey,"V Raychoudhury, J Cao, M Kumar, D Zhang - Pervasive and Mobile …, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1574119212001113,https://www.cs.umd.edu/class/spring2014/cmsc818g/files/middlewaresurvey.pdf,,,1,106,No DOI available
Self-aware cyber-physical systems and applications in smart buildings and cities,"L Gurgen, O Gunalp, Y Benazzouz… - … Design, Automation & …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6513686/,https://ieeexplore.ieee.org/iel7/6507370/6513446/06513686.pdf,,,1,70,No DOI available
AWARENESS: A project on Context AWARE mobile NEtworks and ServiceS,"M Wegdam - 14th Mobile & Wireless Communication Summit, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.121.4666&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.121.4666&rep=rep1&type=pdf,,,1,40,No DOI available
Reconfigurable context-sensitive middleware for ADS applications in mobile ad hoc network environments,"SS Yau, F Karim - … Symposium on Autonomous Decentralized …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/917435/,https://ieeexplore.ieee.org/iel5/7329/19807/00917435.pdf,,,1,33,No DOI available
Context-sensitive middleware for real-time software in ubiquitous computing environments,"SS Yau, F Karim - … Symposium on Object-Oriented Real-Time …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/922833/,https://ieeexplore.ieee.org/iel5/7351/19938/00922833.pdf,,,1,89,No DOI available
Enabling emergent behavior in systems-of-systems through bigraph-based modeling,"D Wachholder, C Stary - 2015 10th System of Systems …, 2015 - ieeexplore.ieee.org",2015,https://ieeexplore.ieee.org/abstract/document/7151954/,https://ieeexplore.ieee.org/iel7/7131933/7151900/07151954.pdf,,,1,20,No DOI available
Supporting context-aware mobile service adaptation with scalable context discovery platform,"D Zhang, CY Chin, M Gurusamy - 2005 IEEE 61st Vehicular …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1543869/,https://ieeexplore.ieee.org/iel5/10360/32962/01543869.pdf,,,1,17,No DOI available
Context-aware business application service co-ordination in mobile computing environments,"H Helin, M Klusch, A Lopes, A Fernández… - AAMAS05 workshop on …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,,,1,18,No DOI available
Fast and efficient context-aware services,"D Raz, AT Juhola, J Serrat-Fernandez, A Galis - 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=1dLtRPRLDGsC&oi=fnd&pg=PR1&dq=context-sensitive+AND+decentralized+service+composition+AND+behaviour&ots=vp7Xtr4fZs&sig=9mfYGunFJ45R8xxGHUzF0bB4LKc,No PDF available,,,1,71,No DOI available
Behavior-based access control for distributed healthcare environment,"MH Yarmand, K Sartipi… - 2008 21st IEEE …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4561969/,https://ieeexplore.ieee.org/iel5/4561933/4561934/04561969.pdf,,,1,16,No DOI available
Improving the quality of private sector delivery of public health services: challenges and strategies,"R Brugha, A Zwi - Health policy and planning, 1998 - academic.oup.com",1998,https://academic.oup.com/heapol/article-abstract/13/2/107/693569,https://academic.oup.com/heapol/article-pdf/13/2/107/6749346/13-2-107.pdf,,,1,351,No DOI available
A trusted decentralized access control framework for the client/server architecture,"W Han, M Xu, W Zhao, G Li - Journal of Network and Computer …, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S1084804509001489,No PDF available,,,1,8,No DOI available
SmartResource–Proactive self-maintained resources in semantic web: Lessons learned,"V Terziyan - International Journal of Smart Home, 2008 - researchgate.net",2008,https://www.researchgate.net/profile/Vagan_Terziyan/publication/228699256_SmartResource-_Proactive_Self-Maintained_Resources_in_Semantic_Web_Lessons_Learned/links/0912f50fffff14120b000000.pdf,https://www.researchgate.net/profile/Vagan_Terziyan/publication/228699256_SmartResource-_Proactive_Self-Maintained_Resources_in_Semantic_Web_Lessons_Learned/links/0912f50fffff14120b000000.pdf,,,1,17,No DOI available
The wealth of regions: market forces and policy imperatives in local and global context,"M Storper, AJ Scott - Futures, 1995 - Elsevier",1995,https://www.sciencedirect.com/science/article/pii/001632879500020W,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:_qLOTRfwDnIJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=3591828014375218502&oi=lle",,,1,511,No DOI available
Contextual pointcut expressions for dynamic service customization,"T Cottenier, T Elrad - Dynamic Aspects Workshop (DAW), 2005 - modularity.info",2005,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,http://modularity.info/conference/2005/workshops/daw/tr-daw2005-proceedings.pdf#page=95,,,1,6,No DOI available
"Peer-to-peer coordination framework (p2pc): Enabler of mobile ad-hoc networking for medicine, business, and entertainment","E Chtcherbina, M Franz - … of International Conference on Advances in …, 2003 - etf.rs",2003,http://home.etf.rs/~vm/cd1/papers/127.pdf,http://home.etf.rs/~vm/cd1/papers/127.pdf,,,1,35,No DOI available
Dynamic value Webs in mobile environments using adaptive location-based services,"P Ibach, G Tamm, M Horbank - Proceedings of the 38th Annual …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1385664/,https://ieeexplore.ieee.org/iel5/9518/30166/01385664.pdf,,,1,26,No DOI available
A generic context service for ubiquitous environments,"H Schmidt, F Flerlage, FJ Hauck - 2009 IEEE International …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/4912856/,No PDF available,,,1,18,No DOI available
Services composition model for home-automation peer-to-peer pervasive computing,"JA Holgado-Terriza… - … on Computer Science …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6078231/,https://ieeexplore.ieee.org/iel5/6068195/6078170/06078231.pdf,,,1,8,No DOI available
Model driven RichUbi: a model driven process for building rich interfaces of context-sensitive ubiquitous applications,"CE Cirilo, AF do Prado, WL de Souza… - Proceedings of the 28th …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1878485,http://www.academia.edu/download/1655270/Artigo_SIGDOC_CameraReady.pdf,,,1,14,No DOI available
Adaptable situation-aware secure service-based (AS/sup 3/) systems,"SS Yau, H Davulcu, S Mukhopadhyay… - … on Object-Oriented …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1420985/,https://ieeexplore.ieee.org/iel5/9726/30704/01420985.pdf,,,1,22,No DOI available
A context-sensitive service discovery protocol for mobile computing environments,"R Robinson, J Indulska - International Conference on Mobile …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1493663/,https://ieeexplore.ieee.org/iel5/9999/32116/01493663.pdf,,,1,10,No DOI available
Context-aware multimedia services in a pervasive environment: the Daidalos approach,"K Doolin, A Pashalidis, A Kassler, T Mota - Proceedings of the 2008 …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1413933,https://www.researchgate.net/profile/Andreas_Kassler2/publication/228870700_Context-aware_multimedia_services_in_a_pervasive_environment_the_Daidalos_approach/links/00b4951b35c76c8146000000.pdf,,,1,8,No DOI available
