title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Ubiroad: Semantic middleware for context-aware smart road environments,"V Terziyan, O Kaykova… - … and Services, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5476731/,https://ieeexplore.ieee.org/iel5/5476375/5476480/05476731.pdf,,,1,60,No DOI available
Self-aware cyber-physical systems and applications in smart buildings and cities,"L Gurgen, O Gunalp, Y Benazzouz… - … Design, Automation & …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6513686/,https://ieeexplore.ieee.org/iel7/6507370/6513446/06513686.pdf,,,1,70,No DOI available
Definition and execution of composite web services: The self-serv project,"B Benatallah, M Dumas, Z Maamar - IEEE Data Eng. Bull., 2002 - pdfs.semanticscholar.org",2002,https://pdfs.semanticscholar.org/7daf/d1e5320dafcad8bdab891c6fbc73aa2c600c.pdf#page=49,https://pdfs.semanticscholar.org/7daf/d1e5320dafcad8bdab891c6fbc73aa2c600c.pdf#page=49,,,1,53,No DOI available
A hybrid recommender system for context-aware recommendations of mobile applications,"W Woerndl, C Schueller… - 2007 IEEE 23rd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4401078/,https://ieeexplore.ieee.org/iel5/4400942/4400943/04401078.pdf,,,1,160,No DOI available
Context-sensitive resource discovery,"G Chen, D Kotz - 2003 - apps.dtic.mil",2003,https://apps.dtic.mil/docs/citations/ADA445477,https://apps.dtic.mil/dtic/tr/fulltext/u2/a445477.pdf,,,1,87,No DOI available
WComp middleware for ubiquitous computing: Aspects and composite event-based Web services,"JY Tigli, S Lavirotte, G Rey, V Hourdin… - annals of …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12243-008-0081-y,https://link.springer.com/article/10.1007/s12243-008-0081-y,,,1,96,No DOI available
Fast and efficient context-aware services,"D Raz, AT Juhola, J Serrat-Fernandez, A Galis - 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=1dLtRPRLDGsC&oi=fnd&pg=PR1&dq=context-sensitive+AND+decentralized+service+composition+AND+reconfig*&ots=vp7Xtqdn2o&sig=MnesgN0lumGW6aCYkcFfn_cqDts,No PDF available,,,1,71,No DOI available
"Peer-to-peer coordination framework (p2pc): Enabler of mobile ad-hoc networking for medicine, business, and entertainment","E Chtcherbina, M Franz - … of International Conference on Advances in …, 2003 - etf.rs",2003,http://home.etf.rs/~vm/cd1/papers/127.pdf,http://home.etf.rs/~vm/cd1/papers/127.pdf,,,1,35,No DOI available
Scalable service deployment on software-defined networks,"J Rubio-Loyola, A Galis, A Astorga… - IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6094010/,https://ieeexplore.ieee.org/iel5/35/6093994/06094010.pdf,,,1,68,No DOI available
SmartResource–Proactive self-maintained resources in semantic web: Lessons learned,"V Terziyan - International Journal of Smart Home, 2008 - researchgate.net",2008,https://www.researchgate.net/profile/Vagan_Terziyan/publication/228699256_SmartResource-_Proactive_Self-Maintained_Resources_in_Semantic_Web_Lessons_Learned/links/0912f50fffff14120b000000.pdf,https://www.researchgate.net/profile/Vagan_Terziyan/publication/228699256_SmartResource-_Proactive_Self-Maintained_Resources_in_Semantic_Web_Lessons_Learned/links/0912f50fffff14120b000000.pdf,,,1,17,No DOI available
Context-aware multimedia services in a pervasive environment: the Daidalos approach,"K Doolin, A Pashalidis, A Kassler, T Mota - Proceedings of the 2008 …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1413933,https://www.researchgate.net/profile/Andreas_Kassler2/publication/228870700_Context-aware_multimedia_services_in_a_pervasive_environment_the_Daidalos_approach/links/00b4951b35c76c8146000000.pdf,,,1,8,No DOI available
Distributed agents network for ubiquitous monitoring and services exploitation,"R Aversa, S Venticinque - 2009 International Conference on …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5284221/,https://ieeexplore.ieee.org/iel5/5282954/5282987/05284221.pdf,,,1,19,No DOI available
Context aware lightweight energy efficient framework,"D Sathan, A Meetoo… - International Journal of …, 2009 - sclab.yonsei.ac.kr",2009,http://sclab.yonsei.ac.kr/courses/11mobile/11mobile.files/paper/14.pdf,http://sclab.yonsei.ac.kr/courses/11mobile/11mobile.files/paper/14.pdf,,,1,7,No DOI available
