title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"A user-centric, resource-aware, context-sensitive, multi-device application framework for ubiquitous computing environments","M Roman, RH Campbell - University of Illinois at Urbana-Champaign …, 2002 - academia.edu",2002,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,,,1,36,No DOI available
Middleware for distributed context-aware systems,"K Henricksen, J Indulska, T McFadden… - … Conferences"" On the …, 2005 - Springer",2005,https://link.springer.com/chapter/10.1007/11575771_53,https://www.researchgate.net/profile/Sasitharan_Balasubramaniam/publication/220831096_Middleware_for_Distributed_Context-Aware_Systems/links/00b49532839f98cd72000000/Middleware-for-Distributed-Context-Aware-Systems.pdf,,,1,270,No DOI available
Solar: An open platform for context-aware mobile applications,"G Chen, D Kotz - 2005 - apps.dtic.mil",2005,https://apps.dtic.mil/docs/citations/ADA440088,https://apps.dtic.mil/dtic/tr/fulltext/u2/a440088.pdf,,,1,122,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Context aggregation and dissemination in ubiquitous computing systems,"G Chen, D Kotz - … Fourth IEEE Workshop on Mobile Computing …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1017490/,https://ieeexplore.ieee.org/iel5/7935/21885/01017490.pdf,,,1,180,No DOI available
An infrastructure for context-awareness based on first order logic,"A Ranganathan, RH Campbell - Personal and Ubiquitous Computing, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=958284,https://link.springer.com/content/pdf/10.1007/s00779-003-0251-x.pdf,,,1,423,No DOI available
A survey on context-aware systems,"M Baldauf, S Dustdar, F Rosenberg - … Journal of Ad Hoc and Ubiquitous …, 2007 - cs.umd.edu",2007,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,http://www.cs.umd.edu/class/spring2014/cmsc818g/files/surveyoncontextawaresystems.pdf,,,1,2358,No DOI available
A data model for context-aware deployment of component-based applications onto distributed systems,"D Ayed, C Taconet, G Bernard - Components-oriented approaches to …, 2004 - scss.tcd.ie",2004,https://www.scss.tcd.ie/conferences/COA-CAC-04/submissions/ayed.pdf,https://www.scss.tcd.ie/conferences/COA-CAC-04/submissions/ayed.pdf,,,1,13,No DOI available
Towards context-sensitive service aspects,"T Rho, M Schmatz, AB Cremers - Work. on Object Technology for Ambient …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.453.9762&rep=rep1&type=pdf,,,1,22,No DOI available
Context-aware communication in ambient networks,"R Giaffreda, A Karmouch, A Jonsson… - Wireless world research …, 2004 - Citeseer",2004,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.106.9782&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.106.9782&rep=rep1&type=pdf,,,1,14,No DOI available
"A framework for the development of distributed, context-aware adaptive hypermedia applications","L Ardissono, A Goy, G Petrone - International Conference on Adaptive …, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-3-540-70987-9_29,No PDF available,,,1,15,No DOI available
Context-aware multimedia computing in the intelligent hospital,"S Mitchell, MD Spiteri, J Bates… - Proceedings of the 9th …, 2000 - dl.acm.org",2000,https://dl.acm.org/citation.cfm?id=566730,http://www.cl.cam.ac.uk/research/dtg/lce-pub/public/files/SIGOPS-EW2000.pdf,,,1,91,No DOI available
Solar: A pervasive-computing infrastructure for context-aware mobile applications,"G Chen, D Kotz - 2002 - apps.dtic.mil",2002,https://apps.dtic.mil/docs/citations/ADA440303,https://apps.dtic.mil/dtic/tr/fulltext/u2/a440303.pdf,,,1,76,No DOI available
Toward a smart cyber-physical space: a context-sensitive resource-explicit service model,"J Huang, F Bastani, IL Yen… - 2009 33rd Annual IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5254137/,https://ieeexplore.ieee.org/iel5/5254044/5254045/05254137.pdf,,,1,40,No DOI available
AOCI: Weaving Components in a Distributed Environment,"G Söldner, S Schober, W Schröder-Preikschat… - … Conferences"" On the …, 2008 - Springer",2008,https://link.springer.com/chapter/10.1007/978-3-540-88871-0_39,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.147.6972&rep=rep1&type=pdf,,,1,10,No DOI available
Method and apparatus for distribution-based language model adaptation,"J Gao, M Li - US Patent 7,043,422, 2006 - Google Patents",2006,https://patents.google.com/patent/US7043422B2/en,No PDF available,,,1,161,No DOI available
