title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Multidimensional risk profiling for network access control of mobile devices through a cloud based security system,"A BANSAL, P Desai - US Patent App. 10/225,740, 2019 - Google Patents",2019,https://patents.google.com/patent/US10225740B2/en,https://patentimages.storage.googleapis.com/24/b4/01/a32cb5ce3c344f/US10225740.pdf,,,1,6,No DOI available
Multidimensional risk profiling for network access control of mobile devices through a cloud based security system,"A Bansal, P Desai - US Patent App. 15/377,126, 2017 - Google Patents",2017,https://patents.google.com/patent/US20170332238A1/en,https://patentimages.storage.googleapis.com/37/a8/bd/62338a6c4baf50/US20170332238A1.pdf,,,1,4,No DOI available
Cisco LAN Switching Configuration Handbook: Cisc Cata Swit Conf Hand_2,"S McQuerry, D Jansen, D Hucaby - 2009 - books.google.com",2009,https://books.google.de/books?hl=de&lr=&id=97xAymxB2e8C&oi=fnd&pg=PR9&dq=context-sensitive+AND+distributed+composition+AND+auto-config*&ots=RvMUe262Rm&sig=RuGf58VeELCEr-02dF7KI6-NABY,No PDF available,,,1,6,No DOI available
Cisco Field Manual: Catalyst Switch Configuration,C Press - 2003 - ebook.konfigurasi.net,2003,http://ebook.konfigurasi.net/Cisco/Cisco%20Field%20Manual%20-%20Catalyst%20Switch%20Configuration.pdf,http://ebook.konfigurasi.net/Cisco/Cisco%20Field%20Manual%20-%20Catalyst%20Switch%20Configuration.pdf,,,1,No cite count available,No DOI available
,M Steve - 2009 - Pearson Education India,2009,javascript:void(0),No PDF available,,,1,No cite count available,No DOI available
Logging and monitoring usage of cloud-based hosted storage services,"K Narayanaswamy, L Cheng, R Ithal, S Beri - US Patent 9,998,496, 2018 - Google Patents",2018,https://patents.google.com/patent/US9998496B2/en,https://patentimages.storage.googleapis.com/4a/87/da/ea00e1ca34bf04/US9998496.pdf,,,1,No cite count available,No DOI available
"Proactive Vulnerability Discovery and Assessment in Smart, Connected Systems Through Systematic Problem Analysis",Q Chen - 2018 - deepblue.lib.umich.edu,2018,https://deepblue.lib.umich.edu/handle/2027.42/145981,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/145981/alfchen_1.pdf?sequence=1&isAllowed=y,,,1,No cite count available,No DOI available
QX OCS,"HEBP HE-BP41, H HEQX451C105, H HEQX451C103… - momentum-automation.com",No year available,http://momentum-automation.com/tekstovi%20i%20reklame/Horner%20QX%20Manual.pdf,http://momentum-automation.com/tekstovi%20i%20reklame/Horner%20QX%20Manual.pdf,,,1,No cite count available,No DOI available
Carbook: A Platform for Mobile Automotive Services,T Keski-Valkama - 2008 - dspace.cc.tut.fi,2008,https://dspace.cc.tut.fi/dpub/handle/123456789/20515,https://dspace.cc.tut.fi/dpub/bitstream/handle/123456789/20515/Keski-Valkama.pdf?sequence=5,,,1,No cite count available,No DOI available
Security Challenges to the Use and Deployment of Disruptive Technologies,"N Robinson, M Botterman, L Valeri, D Ortiz… - Nr., RAND Corporation …, 2007 - academia.edu",2007,http://www.academia.edu/download/14691065/d4_final2_2.doc,http://www.academia.edu/download/14691065/d4_final2_2.doc,,,1,3,No DOI available
