title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Outlier responses reflect sensitivity to statistical structure in the human brain,"MI Garrido, M Sahani, RJ Dolan - PLoS Computational Biology, 2013 - journals.plos.org",2013,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1002999,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1002999,,,1,59,No DOI available
"Distributed representations, simple recurrent networks, and grammatical structure","JL Elman - Machine learning, 1991 - Springer",1991,https://link.springer.com/article/10.1007/BF00114844,https://link.springer.com/content/pdf/10.1007/BF00114844.pdf,,,1,1470,No DOI available
A compositional context sensitive multi-document summarizer: exploring the factors that influence summarization,"A Nenkova, L Vanderwende, K McKeown - Proceedings of the 29th …, 2006 - dl.acm.org",2006,https://dl.acm.org/citation.cfm?id=1148269,http://ants.iis.sinica.edu.tw/3BkMJ9lTeWXTSrrvNoKNFDxRm3zFwRR/36/Context%20Sensitive.pdf,,,1,188,No DOI available
"A user-centric, resource-aware, context-sensitive, multi-device application framework for ubiquitous computing environments","M Roman, RH Campbell - University of Illinois at Urbana-Champaign …, 2002 - academia.edu",2002,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,http://www.academia.edu/download/36555463/AppFrameworkTR.pdf,,,1,36,No DOI available
Finding structure in time,"JL Elman - Cognitive science, 1990 - Wiley Online Library",1990,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1402_1,https://rmets.onlinelibrary.wiley.com/doi/pdf/10.1207/s15516709cog1402_1,,,1,10060,No DOI available
"Context, scale structure, and statistics in the interpretation of positive-form adjectives","D Lassiter, ND Goodman - Semantics and linguistic …, 2013 - journals.linguisticsociety.org",2013,http://journals.linguisticsociety.org/proceedings/index.php/SALT/article/view/2658,https://journals.linguisticsociety.org/proceedings/index.php/SALT/article/download/2658/2404,,,1,69,No DOI available
Structure and function in the lexical system: Insights from distributed models of word reading and lexical decision,"DC Plaut - Language and cognitive processes, 1997 - Taylor & Francis",1997,https://www.tandfonline.com/doi/abs/10.1080/016909697386682,https://www.tandfonline.com/doi/pdf/10.1080/016909697386682,,,1,376,No DOI available
Reconfigurable context-sensitive middleware for pervasive computing,"SS Yau, F Karim, Y Wang, B Wang… - IEEE Pervasive …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1037720/,https://ieeexplore.ieee.org/iel5/7756/22254/01037720.pdf,,,1,536,No DOI available
Context-sensitive object request broker for ubiquitous computing environments,"SS Yau, F Karim - … Workshop on Future Trends of Distributed …, 2001 - ieeexplore.ieee.org",2001,https://ieeexplore.ieee.org/abstract/document/969619/,https://ieeexplore.ieee.org/iel5/7655/20916/00969619.pdf,,,1,10,No DOI available
Structural determinants of protein evolution are context-sensitive at the residue level,"EA Franzosa, Y Xia - Molecular biology and evolution, 2009 - academic.oup.com",2009,https://academic.oup.com/mbe/article-abstract/26/10/2387/1109437,https://academic.oup.com/mbe/article/26/10/2387/1109437,,,1,128,No DOI available
Intracellular signalling proteins as 'smart'agents in parallel distributed processes,"MJ Fisher, RC Paton, K Matsuno - BioSystems, 1999 - Elsevier",1999,https://www.sciencedirect.com/science/article/pii/S0303264799000064,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:w4w0l6TIA1QJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=17310722152127266022&oi=lle",,,1,55,No DOI available
The constituent structure of connectionist mental states: A reply to Fodor and Pylyshyn,"P Smolensky - Southern Journal of Philosophy, 1987 - Citeseer",1987,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.468.755&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.468.755&rep=rep1&type=pdf,,,1,283,No DOI available
Growth grammars simulating trees–an extension of L-systems incorporating local variables and sensitivity.,"W Kurth, B Sloboda - 1997 - helda.helsinki.fi",1997,https://helda.helsinki.fi/handle/1975/8527,https://helda.helsinki.fi/bitstream/handle/1975/8527/silva_1997_31_3_%285%29_kurth.w.pdf?sequence=3,,,1,63,No DOI available
From event structure to scale structure: Degree modification in deverbal adjectives,"C Kennedy, L McNally - Semantics and linguistic theory, 1999 - journals.linguisticsociety.org",1999,http://journals.linguisticsociety.org/proceedings/index.php/SALT/article/viewFile/2820/2560,http://journals.linguisticsociety.org/proceedings/index.php/SALT/article/viewFile/2820/2560,,,1,180,No DOI available
Representation and structure in connectionist models,JL Elman - 1989 - apps.dtic.mil,1989,https://apps.dtic.mil/docs/citations/ADA259504,https://apps.dtic.mil/dtic/tr/fulltext/u2/a259504.pdf,,,1,228,No DOI available
Context-sensitive reasoning for autonomous agents and cooperative distributed problem solving,"RM Turner - Proceedings of the IJCAI Workshop on Using …, 1993 - Citeseer",1993,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.34.993&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.34.993&rep=rep1&type=pdf,,,1,53,No DOI available
The context-sensitive cognitive architecture DUAL,"B Kokinov - Proceedings of the Sixteenth Annual Conference of …, 1994 - 193.171.142.190",1994,http://193.171.142.190/rascalli/publications/dualambr_docs/dual_ctx.pdf,http://193.171.142.190/rascalli/publications/dualambr_docs/dual_ctx.pdf,,,1,91,No DOI available
Context sensitivity and balancing in Indian organizational behaviour,"J BP Sinha RN Kanungo - International journal of psychology, 1997 - Taylor & Francis",1997,https://www.tandfonline.com/doi/abs/10.1080/002075997400890,https://onlinelibrary.wiley.com/doi/pdf/10.1080/002075997400890,,,1,177,No DOI available
