title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Modeling business collaborations in context,"B Hofreiter, C Huemer - … International Conferences"" On the Move to …, 2003 - Springer",2003,https://link.springer.com/chapter/10.1007/978-3-540-39962-9_82,http://eprints.cs.univie.ac.at/1010/1/ModelingBusinessCollaborationsInContext.pdf,,,1,20,No DOI available
ADoc-oriented programming,"S Kumaran, P Nandi, T Heath… - 2003 Symposium on …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1183067/,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.87.2226&rep=rep1&type=pdf,,,1,77,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
The performance in context model: a 21st century tertiary dance teaching pedagogy,"K Stevens, A Huddy - Research in Dance Education, 2016 - Taylor & Francis",2016,https://www.tandfonline.com/doi/abs/10.1080/14647893.2016.1178714,http://eprints.qut.edu.au/94333/3/94333.pdf,,,1,7,No DOI available
Web service composition based on integrated substitution and adaptation,"L Chen, R Chow - 2008 IEEE International Conference on …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4583001/,https://ieeexplore.ieee.org/iel5/4570855/4582984/04583001.pdf,,,1,3,No DOI available
Dynamic adaptive service architecture–towards coordinated service composition,"C Pahl - European Conference on Software Architecture, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,http://doras.dcu.ie/15977/1/Dynamic_Adaptive_Service_Architecture_%E2%80%93_Towards_Coordinated_Service_Composition.pdf,,,1,11,No DOI available
Highly available location-based services in mobile environments,"P Ibach, M Horbank - International Service Availability Symposium, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30225-4_10,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.455.5948&rep=rep1&type=pdf,,,1,43,No DOI available
Collaborative choreography: A critical inquiry into designing creative interactive systems,"K Carlson, T Schiphorst, S DiPaola - International Conference on …, 2014 - Springer",2014,https://link.springer.com/chapter/10.1007/978-3-319-08189-2_6,No PDF available,,,1,3,No DOI available
Contextpoint: An architecture for extrinsic meta-adaptation in smart environments,"C Piechnick, S Richly, T Kühn, S Götz… - … , Sixth Int. Conf. Adapt …, 2014 - Citeseer",2014,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.681.6676&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.681.6676&rep=rep1&type=pdf,,,1,4,No DOI available
Considerations of dance transmission processes: Adapting Bharata Natyam in a Singapore primary school,"CH Lum, DE Gonda - Research in Dance Education, 2014 - Taylor & Francis",2014,https://www.tandfonline.com/doi/abs/10.1080/14647893.2014.890583,No PDF available,,,1,2,No DOI available
WebSphere business integration: An architectural overview,"K Bhaskaran, MT Schmidt - IBM Systems Journal, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/5386783/,No PDF available,,,1,8,No DOI available
Legacy and Adaptation: The Orff Approach in the New Zealand School Setting,"L Locke - Intersecting Cultures in Music and Dance Education, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-28989-2_7,No PDF available,,,1,2,No DOI available
A Holistic Architecture for Collaborative and Highly Automatized e-Business Platforms,"C Schroth, T Janner, P Mayer… - 2007 IEEE 23rd …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4401016/,https://ieeexplore.ieee.org/iel5/4400942/4400943/04401016.pdf,,,1,5,No DOI available
Moving Collaborations: A Critical Inquiry Into Designing Creative Interactive Systems for Choreography.,"K Carlson, T Schiphorst… - EAI Endorsed Trans …, 2016 - pdfs.semanticscholar.org",2016,https://pdfs.semanticscholar.org/b66c/6034f414a9108b198e2d0058b1b1d03bc68d.pdf,https://pdfs.semanticscholar.org/b66c/6034f414a9108b198e2d0058b1b1d03bc68d.pdf,,,1,1,No DOI available
Adaptive compositions across organizational boundaries,"T Cottenier, T Elrad - Companion to the 20th annual ACM SIGPLAN …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1094950,No PDF available,,,1,1,No DOI available
Business process families using model-driven techniques,"V Kulkarni, S Barat - International Conference on Business Process …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-20511-8_30,https://www.researchgate.net/profile/Vinay_Kulkarni3/publication/221586499_Business_Process_Families_Using_Model-Driven_Techniques/links/0046352231de48558d000000.pdf,,,1,19,No DOI available
Dynamic value Webs in mobile environments using adaptive location-based services,"P Ibach, G Tamm, M Horbank - Proceedings of the 38th Annual …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1385664/,https://ieeexplore.ieee.org/iel5/9518/30166/01385664.pdf,,,1,26,No DOI available
A Hybrid Architecture for Highly Adaptive and Automated e-Business Platforms,"B Schmid, C Schroth, T Janner - IEEE International Conference …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4278692/,https://ieeexplore.ieee.org/iel5/4278609/4278610/04278692.pdf,,,1,4,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
Bodies in critique: a technological intervention in the dance production process,"EA Carroll, D Lottridge, C Latulipe, V Singh… - Proceedings of the ACM …, 2012 - dl.acm.org",2012,https://dl.acm.org/citation.cfm?id=2145311,https://www.researchgate.net/profile/Erin_Cherry/publication/220879196_Bodies_in_critique_A_technological_intervention_in_the_dance_production_process/links/00b7d51eb57cd1dfd8000000/Bodies-in-critique-A-technological-intervention-in-the-dance-production-process.pdf,,,1,12,No DOI available
,"A Wojtowicz, M Siekańska",No year available,javascript:void(0),No PDF available,,,1,No cite count available,No DOI available
Adapting Aquinas: Analogy and Forms,"J Ross - Proceedings of the American Catholic Philosophical …, 2004 - pdcnet.org",2004,https://www.pdcnet.org/acpaproc/content/acpaproc_2004_0078_0000_0041_0058,No PDF available,,,1,1,No DOI available
Context-specific coaching: Discovering the complexities of using instructional coaching with principals and teachers,JDW Townsend - 2016 - search.proquest.com,2016,http://search.proquest.com/openview/84b31f3d3df4b7b3247578cd620b0f7d/1?pq-origsite=gscholar&cbl=18750&diss=y,No PDF available,,,1,No cite count available,No DOI available
Registering umm business collaboration models in an ebxml registry,"B Hofreiter, C Huemer… - The 8th IEEE International …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1640300/,https://ieeexplore.ieee.org/iel5/10920/34369/01640300.pdf,,,1,14,No DOI available
