title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
What's my line? A narrative review and synthesis of the literature on Registered Nurses' communication behaviours between shifts,"AL Kitson, Å Muntlin Athlin, J Elliott… - Journal of Advanced …, 2014 - Wiley Online Library",2014,https://onlinelibrary.wiley.com/doi/abs/10.1111/jan.12321,https://onlinelibrary.wiley.com/doi/pdf/10.1111/jan.12321,,,1,33,No DOI available
The performance in context model: a 21st century tertiary dance teaching pedagogy,"K Stevens, A Huddy - Research in Dance Education, 2016 - Taylor & Francis",2016,https://www.tandfonline.com/doi/abs/10.1080/14647893.2016.1178714,http://eprints.qut.edu.au/94333/3/94333.pdf,,,1,7,No DOI available
"“So, what test do you prefer?” Negotiating politic behaviour in an L2 prenatal genetic counselling setting in Hong Kong","O Zayts, MA Kang - … of Politeness Research. Language, Behaviour …, 2009 - degruyter.com",2009,https://www.degruyter.com/view/j/jplr.2009.5.issue-1/jplr.2009.003/jplr.2009.003.xml,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:f6v97tTio4sJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=16625569580831310257&oi=lle",,,1,13,No DOI available
Dynamic adaptive service architecture–towards coordinated service composition,"C Pahl - European Conference on Software Architecture, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,http://doras.dcu.ie/15977/1/Dynamic_Adaptive_Service_Architecture_%E2%80%93_Towards_Coordinated_Service_Composition.pdf,,,1,11,No DOI available
Contemporary epistemological research in education: Reconciliation and reconceptualization of the field,"T Niessen, T Abma, G Widdershoven… - Theory & …, 2008 - journals.sagepub.com",2008,https://journals.sagepub.com/doi/abs/10.1177/0959354307086921,https://journals.sagepub.com/doi/pdf/10.1177/0959354307086921,,,1,47,No DOI available
"Managing the spatialities of arts-based practices with school children: an inter-disciplinary exploration of engagement, movement and well-being","S Atkinson, T Rubidge - Arts & health, 2013 - Taylor & Francis",2013,https://www.tandfonline.com/doi/abs/10.1080/17533015.2012.693938,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4241713/,,,1,12,No DOI available
Robot opera: a Gesamtkunstwerk for the 21st century,"W Marynowsky, J Knowles, A Frost - International Workshop on Cultural …, 2015 - Springer",2015,https://link.springer.com/chapter/10.1007/978-3-319-42945-8_12,No PDF available,,,1,1,No DOI available
Performing space,"P Rebelo - Organised Sound, 2003 - cambridge.org",2003,https://www.cambridge.org/core/journals/organised-sound/article/performing-space/839306D0CCA5A645FC3DE4CB2FEB016E,http://www.academia.edu/download/9691709/download.php_file2foso2foso8_022fs1355771803000086a.pdf,,,1,16,No DOI available
Women performing masculine clumsiness,R Burt - 2009 - dora.dmu.ac.uk,2009,https://www.dora.dmu.ac.uk/handle/2086/2474,https://www.dora.dmu.ac.uk/bitstream/handle/2086/2474/Women%20perform%20masculine%20clumsiness.pdf?sequence=1,,,1,No cite count available,No DOI available
Cell intercalation from top to bottom,"E Walck-Shannon, J Hardin - Nature reviews Molecular cell biology, 2014 - nature.com",2014,https://www.nature.com/articles/nrm3723,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4550482/,,,1,99,No DOI available
Face to Face–Performers and Algorithms in Mutual Dependency,"JC Schacher, D Bisig - Proceedings of the Internation Conference on …, 2016 - bitingbit.org",2016,http://bitingbit.org/publications/pdf/face2face_icli2016.pdf,http://bitingbit.org/publications/pdf/face2face_icli2016.pdf,,,1,2,No DOI available
Business process families using model-driven techniques,"V Kulkarni, S Barat - International Conference on Business Process …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-20511-8_30,https://www.researchgate.net/profile/Vinay_Kulkarni3/publication/221586499_Business_Process_Families_Using_Model-Driven_Techniques/links/0046352231de48558d000000.pdf,,,1,19,No DOI available
Analysing and determining substitutability of different granularity Web services,"Y Yin, S Deng - International Journal of Computer Mathematics, 2013 - Taylor & Francis",2013,https://www.tandfonline.com/doi/abs/10.1080/00207160.2012.748902,https://www.tandfonline.com/doi/pdf/10.1080/00207160.2012.748902,,,1,15,No DOI available
,"P Verhezen - Europe-Asia dialogue on business spirituality, Antwerp, 2008",2008,javascript:void(0),No PDF available,,,1,24,No DOI available
Trends and challenges for cloud-based industrial cyber-physical systems,"S Karnouskos, AW Colombo, T Bangemann - Industrial cloud-based cyber …, 2014 - Springer",2014,https://link.springer.com/chapter/10.1007/978-3-319-05624-1_11,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.695.7400&rep=rep1&type=pdf,,,1,25,No DOI available
How healthy is your 'community of practice'?,"R Lynch - Probation journal, 2004 - journals.sagepub.com",2004,https://journals.sagepub.com/doi/abs/10.1177/0264550504041377,https://journals.sagepub.com/doi/pdf/10.1177/0264550504041377,,,1,5,No DOI available
A system of systems view on collaborative industrial automation,"AW Colombo, T Bangemann… - 2013 IEEE international …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6505980/,https://ieeexplore.ieee.org/iel7/6495638/6505636/06505980.pdf,,,1,39,No DOI available
'Values talk'in the criminal justice system,E Lancaster - 2008 - books.google.com,2008,https://books.google.de/books?hl=de&lr=&id=-CFSUnd-MpgC&oi=fnd&pg=PA367&dq=context-specific+AND+choreography+AND+behaviour&ots=LbGy2vZeDS&sig=XxLjbvc820a3Fct2M278rFRZ6J0,No PDF available,,,1,4,No DOI available
Towards a model of talent development in physical education,"R Bailey, D Morley - Sport, education and society, 2006 - Taylor & Francis",2006,https://www.tandfonline.com/doi/abs/10.1080/13573320600813366,http://www.academia.edu/download/40783214/Towards_a_model_of_talent_development_in_physical_education.pdf,,,1,185,No DOI available
Adaptive collaborative management: A conceptual model,"R Prabhu, C McDougall, R Fisher - … Collaborative Management of …, 2008 - books.google.com",2008,https://books.google.de/books?hl=de&lr=&id=RzAx4jvC1FMC&oi=fnd&pg=PA16&dq=context-specific+AND+choreography+AND+behaviour&ots=HPTVETpllQ&sig=8uLSGhm6FX0GNYbYwKtUJ7AUka8,https://www.researchgate.net/profile/Cynthia_Mcdougall3/publication/303269616_Adaptive_collaborative_management_of_community_forests_in_Asia_Experiences_from_Nepal_Indonesia_and_the_Philippines/links/575fe1fa08ae414b8e566f57/Adaptive-collaborative-management-of-community-forests-in-Asia-Experiences-from-Nepal-Indonesia-and-the-Philippines.pdf#page=30,,,1,22,No DOI available
Seeing and being seen: The multimodality of museum spectatorship,"D Christidou, S Diamantopoulou - Museum and Society, 2016 - lamp.le.ac.uk",2016,https://www108.lamp.le.ac.uk/ojs1/index.php/mas/article/view/623,https://www108.lamp.le.ac.uk/ojs1/index.php/mas/article/download/623/586,,,1,11,No DOI available
On the role of peer discussions in the learning of subject-speciﬁc language use in CLIL1,"T Nikula - Discourse and language learning across L2 …, 2012 - books.google.com",2012,https://books.google.de/books?hl=de&lr=&id=nMTmR3BdJwIC&oi=fnd&pg=PA133&dq=context-specific+AND+choreography+AND+behaviour&ots=0pcT2spfuL&sig=KWXDP5a7EdQd5vktS2s3mSmOTZc,https://jyx.jyu.fi/bitstream/handle/123456789/40598/On_the_role_of_final%20draft%20nikula%202012.pdf?sequence=4,,,1,18,No DOI available
Ontology-based composition and matching for dynamic cloud service coordination,"C Pahl, V Gacitua-Decar, MX Wang… - International Journal of …, 2012 - doras.dcu.ie",2012,http://doras.dcu.ie/17107,http://doras.dcu.ie/17107/1/ijmso11.pdf,,,1,3,No DOI available
Reflecting on 'reflective practice',"B Bright - Studies in the Education of Adults, 1996 - Taylor & Francis",1996,https://www.tandfonline.com/doi/pdf/10.1080/02660830.1996.11730638,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:qg5kmwjMntQJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=14383593833861138951&oi=lle",,,1,147,No DOI available
The learnlib in fmics-jeti,"T Margaria, H Raffelt, B Steffen… - 12th IEEE International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4276331/,https://ieeexplore.ieee.org/iel5/4276289/4276290/04276331.pdf,,,1,18,No DOI available
intentional grammars,T Schiphorst - 2001 - pdfs.semanticscholar.org,2001,https://pdfs.semanticscholar.org/2764/862525f2ce018fcc4c48c0397708045464c5.pdf,https://pdfs.semanticscholar.org/2764/862525f2ce018fcc4c48c0397708045464c5.pdf,,,1,No cite count available,No DOI available
Mapping MI to the DMGT: A theoretical framework,"R Walton - Australasian Journal of Gifted Education, 2014 - search.informit.com.au",2014,https://search.informit.com.au/documentSummarydn=122925841806076res=ielhss,http://ro.uow.edu.au/cgi/viewcontent.cgi?article=4047&context=sspapers,,,1,4,No DOI available
