title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Business process families using model-driven techniques,"V Kulkarni, S Barat - International Conference on Business Process …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-20511-8_30,https://www.researchgate.net/profile/Vinay_Kulkarni3/publication/221586499_Business_Process_Families_Using_Model-Driven_Techniques/links/0046352231de48558d000000.pdf,,,1,19,No DOI available
Leveraging the capabilities of service-oriented decision support systems: Putting analytics and big data in cloud,"H Demirkan, D Delen - Decision Support Systems, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S0167923612001595,https://daneshyari.com/article/preview/552132.pdf,,,1,480,No DOI available
Towards flexible process support on mobile devices,"R Pryss, J Tiedeken, U Kreher, M Reichert - International Conference on …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-17722-4_11,https://link.springer.com/content/pdf/10.1007/978-3-642-17722-4_11.pdf,,,1,88,No DOI available
ECOSPACE--towards an integrated collaboration space for eProfessionals,"W Prinz, H Loh, M Pallot, H Schaffers… - 2006 International …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/4207540/,https://www.researchgate.net/profile/Hans_Schaffers/publication/224704478_ECOSPACE_--_Towards_an_Integrated_Collaboration_Space_for_eProfessionals/links/02bfe50f6f8b744243000000.pdf,,,1,60,No DOI available
"Home extensions in the United Kingdom: space, time, and practice","M Hand, E Shove, D Southerton - Environment and Planning …, 2007 - journals.sagepub.com",2007,https://journals.sagepub.com/doi/abs/10.1068/d413t,http://www.academia.edu/download/30930588/Home_Extensions.pdf,,,1,116,No DOI available
B2B Integration—Aligning ebXML and Ontology Approaches,"B Hofreiter, C Huemer - Eurasian Conference on Information and …, 2002 - Springer",2002,https://link.springer.com/chapter/10.1007/3-540-36087-5_40,https://eprints.cs.univie.ac.at/1217/1/final.pdf,,,1,12,No DOI available
State of the art and emerging rule-driven perspectives towards service-based business process interoperability,"TAD Hoang, TB Nguyen - 2009 IEEE-RIVF International …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5174659/,No PDF available,,,1,13,No DOI available
A femifesta for posthuman art education: Visions and becomings,"A Hickey-Moody - Posthuman research practices in education, 2016 - Springer",2016,https://link.springer.com/chapter/10.1057/9781137453082_16,https://www.researchgate.net/profile/Anna_Hickey-Moody2/publication/301287348_A_Femifesta_for_Posthuman_Art_Education_Visions_and_Becomings/links/570f886a08ae170055bcab26/A-Femifesta-for-Posthuman-Art-Education-Visions-and-Becomings.pdf,,,1,13,No DOI available
The paradox of imaging technology: a review of the literature,"FJ Murphy - Radiography, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S1078817405000489,No PDF available,,,1,35,No DOI available
ebxml: An emerging b2b framework,"C Huemer - University of Vienna, Institute of Computer Science and …, 2002 - Citeseer",2002,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.4289&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.86.4289&rep=rep1&type=pdf,,,1,9,No DOI available
Towards a logistics service map: Support for logistics service engineering and management,"M Glöckner, A Ludwig - Pioneering solutions in supply chain …, 2013 - books.google.com",2013,https://books.google.de/books?hl=de&lr=&id=UuCWl9z-xp8C&oi=fnd&pg=PA309&dq=context-specific+AND+choreography+AND+reconfig*&ots=gxWNDt82dI&sig=UzN4snZb2Mbi5d85MZr6uavlb_8,No PDF available,,,1,9,No DOI available
"CONFIGURING THE 'CONTEMPORARY': CHOREOGRAPHIC PROCESSES OF NAVTEJ JOHAR, PADMINI CHETTUR, AND JAYACHANDRAN PALAZHY",M Bhardwaj - 2016 - jedsonline.net,2016,http://www.jedsonline.net/wp-content/uploads/2016/07/1-Meghna-Bhardwaj-Singapore-paper-JEDS.pdf,http://www.jedsonline.net/wp-content/uploads/2016/07/1-Meghna-Bhardwaj-Singapore-paper-JEDS.pdf,,,1,No cite count available,No DOI available
Managing AAA in NFV/SDN-enabled IoT scenarios,"AM Zarca, D Garcia-Carrillo, JB Bernabe… - 2018 Global Internet …, 2018 - ieeexplore.ieee.org",2018,https://ieeexplore.ieee.org/abstract/document/8534551/,https://ieeexplore.ieee.org/iel7/8514818/8534428/08534551.pdf,,,1,1,No DOI available
The learnlib in fmics-jeti,"T Margaria, H Raffelt, B Steffen… - 12th IEEE International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4276331/,https://ieeexplore.ieee.org/iel5/4276289/4276290/04276331.pdf,,,1,18,No DOI available
