title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
"Linking organizational culture, structure, strategy, and organizational effectiveness: Mediating role of knowledge management","W Zheng, B Yang, GN McLean - Journal of Business research, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S0148296309001714,https://pdfs.semanticscholar.org/d7e4/0dc558be5e968a2f9df4b6a318992a379b14.pdf,,,1,1048,No DOI available
Knowledge sharing in inter-unit cooperative episodes: The impact of organizational structure dimensions,"A Willem, M Buelens - International Journal of Information Management, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0268401208001102,https://wikis.uit.tufts.edu/confluence/download/attachments/54161086/Knowledge%20sharing%20in%20inter-unit%20cooperative%20episodes.pdf,,,1,202,No DOI available
A model of dual organizational identification in the context of the multinational enterprise,"D Vora, T Kostova - Journal of Organizational Behavior: The …, 2007 - Wiley Online Library",2007,https://onlinelibrary.wiley.com/doi/abs/10.1002/job.422,https://onlinelibrary.wiley.com/doi/pdf/10.1002/job.422,,,1,173,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
"Tacit knowledge, organizational learning and societal institutions: An integrated framework","A Lam - Organization studies, 2000 - journals.sagepub.com",2000,https://journals.sagepub.com/doi/abs/10.1177/0170840600213001,https://journals.sagepub.com/doi/pdf/10.1177/0170840600213001,,,1,1761,No DOI available
"Linking retail strategy, atmospheric design and shopping behaviour","LW Turley, JC Chebat - Journal of Marketing Management, 2002 - Taylor & Francis",2002,https://www.tandfonline.com/doi/abs/10.1362/0267257022775891,https://www.researchgate.net/profile/Jean-Charles_Chebat/publication/247495323_Linking_Retail_Strategy_Atmospheric_Design_and_Shopping_Behaviour/links/5832c01b08ae004f74c32981.pdf,,,1,319,No DOI available
SmartContacts: a large scale social context service discovery system,"Y Liu, K Connelly - Fourth Annual IEEE International …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1599011/,http://www.idi.ntnu.no/grupper/su/bibliography/pdf/2006/Liu2006percomw1.pdf,,,1,9,No DOI available
Structural sources of intraorganizational: Power: A theoretical synthesis,"WG Astley, PS Sachdeva - Academy of management review, 1984 - journals.aom.org",1984,https://journals.aom.org/doi/abs/10.5465/amr.1984.4278071,https://www.jstor.org/stable/pdf/258237.pdf,,,1,671,No DOI available
"Decentralization, corruption and government accountability","P Bardhan, D Mookherjee - International handbook on the …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=P60nmWlJWEoC&oi=fnd&pg=PA161&dq=context-specific+AND+decentralized+composition+AND+behaviour&ots=ja9etJ_-zg&sig=abSqXumfYganz6aM6EO4ESWC1XU,http://www.untag-smd.ac.id/files/Perpustakaan_Digital_1/CORRUPTION%20International%20handbook%20on%20the%20economics%20of%20corruption.pdf#page=200,,,1,303,No DOI available
