title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Wither core competency for the large corporation in an open innovation world,"JF Christensen - Open innovation: Researching a new paradigm, 2006 - researchgate.net",2006,https://www.researchgate.net/profile/Jens_Christensen4/publication/228389047_Withering_Core_Competency_for_the_Large_Corporation_in_an_Open_Innovation_World/links/0046352b0c8b0d36e6000000/Withering-Core-Competency-for-the-Large-Corporation-in-an-Open-Innovation-World.pdf,https://www.researchgate.net/profile/Jens_Christensen4/publication/228389047_Withering_Core_Competency_for_the_Large_Corporation_in_an_Open_Innovation_World/links/0046352b0c8b0d36e6000000/Withering-Core-Competency-for-the-Large-Corporation-in-an-Open-Innovation-World.pdf,,,1,192,No DOI available
Context-aware profiles,"A Ferscha, M Hechinger, A Riener… - … on Autonomic and …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1690258/,https://ieeexplore.ieee.org/iel5/11120/35635/01690258.pdf,,,1,21,No DOI available
Organizational innovation as an enabler of technological innovation capabilities and firm performance,"C Camisón, A Villar-López - Journal of business research, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0148296312001828,https://pdfs.semanticscholar.org/21c9/030d177151ff5b3708f26c9ae394d16d6780.pdf,,,1,560,No DOI available
MoCA: A middleware for developing collaborative applications for mobile users,"V Sacramento, M Endler… - IEEE Distributed …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1355907/,https://ieeexplore.ieee.org/iel5/8968/29772/01355907.pdf,,,1,179,No DOI available
Elements of Industrial Organization,"PK Rao - The Economics of Transaction Costs, 2003 - Springer",2003,https://link.springer.com/chapter/10.1057/9780230597686_2,No PDF available,,,1,No cite count available,No DOI available
A proposal for operationalizing the pace and scope of organizational change in management studies,"CT Street, RB Gallupe - Organizational Research Methods, 2009 - journals.sagepub.com",2009,https://journals.sagepub.com/doi/abs/10.1177/1094428108327881,https://journals.sagepub.com/doi/pdf/10.1177/1094428108327881,,,1,18,No DOI available
"The surface of emergence in systems development: agency, institutions, and large-scale information systems","B Chae, MS Poole - European Journal of Information Systems, 2005 - Taylor & Francis",2005,https://www.tandfonline.com/doi/abs/10.1057/palgrave.ejis.3000519,No PDF available,,,1,88,No DOI available
Preparing for an uncertain future: Managing organizations for strategic flexibility,"R Sanchez - International Studies of Management & Organization, 1997 - Taylor & Francis",1997,https://www.tandfonline.com/doi/pdf/10.1080/00208825.1997.11656708,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:EebSFjzVZTAJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=6225901958566426685&oi=lle",,,1,361,No DOI available
On the integration of context-based heterogeneous middleware for Ubiquitous Computing,"F Lopes, F Delicato, T Batista, N Cacho - Proceedings of the 6th …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1462795,No PDF available,,,1,7,No DOI available
The prime semantic language: Plug and produce in standard-based manufacturing production systems,"G Di Orio, A Rocha, L Ribeiro… - … Conference on Flexible …, 2015 - researchgate.net",2015,https://www.researchgate.net/profile/Giovanni_Di_Orio/publication/278410738_The_PRIME_Semantic_Language_Plug_and_Produce_in_Standard-based_Manufacturing_Production_Systems/links/55808e3b08aea3d7096e4bc5.pdf,https://www.researchgate.net/profile/Giovanni_Di_Orio/publication/278410738_The_PRIME_Semantic_Language_Plug_and_Produce_in_Standard-based_Manufacturing_Production_Systems/links/55808e3b08aea3d7096e4bc5.pdf,,,1,8,No DOI available
