title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Business context sensitive business documents: Business context aware Core Components modeling using the E-UCM model,"D Novakovic, C Huemer - 2013 11th IEEE International …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6622939/,https://ieeexplore.ieee.org/iel7/6599026/6622844/06622939.pdf,,,1,6,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
Context sensitive user interface help feature,"KR Livingston - US Patent 6,452,607, 2002 - Google Patents",2002,https://patents.google.com/patent/US6452607B1/en,No PDF available,,,1,94,No DOI available
Context model for business context sensitive business documents,"D Novakovic, C Huemer, C Pichler - International and Interdisciplinary …, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-40972-1_26,No PDF available,,,1,4,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
SmartContacts: a large scale social context service discovery system,"Y Liu, K Connelly - Fourth Annual IEEE International …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1599011/,http://www.idi.ntnu.no/grupper/su/bibliography/pdf/2006/Liu2006percomw1.pdf,,,1,9,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Managing intraorganizational diffusion of technological innovations,"N Kim, RK Srivastava - Industrial Marketing Management, 1998 - Elsevier",1998,https://www.sciencedirect.com/science/article/pii/S001985019700059X,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:lCD20EXwN94J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=6329063208317306836&oi=lle",,,1,103,No DOI available
"Decentralizing urban disaster risk management in a centralized system? Agendas, actors and contentions in Vietnam","M Garschagen - Habitat International, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0197397515300436,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:zbwPi1BksN4J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=5514555553763850340&oi=lle",,,1,15,No DOI available
Constructing cross-context scholarly conversations,"DA Whetten - The management of enterprises in the People's …, 2002 - Springer",2002,https://link.springer.com/chapter/10.1007/978-1-4615-1095-6_2,No PDF available,,,1,49,No DOI available
Rethinking decentralization in developing countries,"J Litvack, J Ahmad, R Bird - 1998 - elibrary.worldbank.org",1998,https://elibrary.worldbank.org/doi/abs/10.1596/0-8213-4350-5,No PDF available,,,1,1034,No DOI available
Assisting mobile web users: client-side injection of context-sensitive cues into websites,"S Casteleyn, W Van Woensel, O De Troyer - Proceedings of the 12th …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1967555,https://www.researchgate.net/profile/Olga_Troyer/publication/221237670_Assisting_mobile_Web_users_Client-side_injection_of_context-sensitive_cues_into_websites/links/0fcfd51128c04cd828000000.pdf,,,1,7,No DOI available
A paradox view on green human resource management: Insights from the Italian context,"M Guerci, L Carollo - The International Journal of Human Resource …, 2016 - Taylor & Francis",2016,https://www.tandfonline.com/doi/abs/10.1080/09585192.2015.1033641,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:v8QpLlt0AvAJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=9856690459602384236&oi=lle",,,1,30,No DOI available
Talent Management in a Collectivistic and Egalitarian Context–The Swedish Case,"P Bolander, K Asplund, A Werr - SSE/EFI Working Paper Series in …, 2014 - exedsse.se",2014,https://exedsse.se/wp-content/uploads/2014/04/TM-strategies.pdf,https://exedsse.se/wp-content/uploads/2014/04/TM-strategies.pdf,,,1,8,No DOI available
Corruption and decentralization of infrastructure delivery in developing countries,"PK Bardhan, D Mookherjee - 2000 - siteresources.worldbank.org",2000,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,,,1,213,No DOI available
PUTTING RIGHTS-BASED DEVELOPMENT INTO CONTEXT CARE'S PROGRAMMING APPROACHES IN MALAWI AND BANGLADESH,"B Bode, J Goulden, F Lwanda, E Martinez - The Institute forDevelopment …, 2005 - sarpn.org",2005,https://sarpn.org/documents/d0002114/CARE_Rights-based_dev_Feb2005.pdf,https://sarpn.org/documents/d0002114/CARE_Rights-based_dev_Feb2005.pdf,,,1,6,No DOI available
Knowledge networking in global organizations: the transfer of knowledge,"E Hustad - Proceedings of the 2004 SIGMIS conference on …, 2004 - dl.acm.org",2004,https://dl.acm.org/citation.cfm?id=982384,http://aaa.volospin.com/BT606B/Knowledge_Networking_p55-hustad.pdf,,,1,68,No DOI available
Securing vehicular communications,"M Raya, P Papadimitratos… - IEEE wireless …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/4015703/,https://ieeexplore.ieee.org/iel5/7742/4015697/04015703.pdf,,,1,725,No DOI available
Adaptive compositions across organizational boundaries,"T Cottenier, T Elrad - Companion to the 20th annual ACM SIGPLAN …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1094950,No PDF available,,,1,1,No DOI available
"Local government, decentralization and gender","R Myers - … Conference on Local Government Decentralization …, 2002 - iepala.es",2002,http://iepala.es/IMG/pdf/localgovernment_decentralizatonandgender_2002_.pdf,http://iepala.es/IMG/pdf/localgovernment_decentralizatonandgender_2002_.pdf,,,1,5,No DOI available
A conceptual framework for analysing adaptive capacity and multi-level learning processes in resource governance regimes,"C Pahl-Wostl - Global Environmental Change, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0959378009000429,No PDF available,,,1,1401,No DOI available
Context and causal mechanisms in political analysis,"TG Falleti, JF Lynch - Comparative political studies, 2009 - journals.sagepub.com",2009,https://journals.sagepub.com/doi/abs/10.1177/0010414009331724,https://journals.sagepub.com/doi/pdf/10.1177/0010414009331724,,,1,598,No DOI available
Decentralized access control framework,"AD Chowdhury, N Chaturvedi… - US Patent …, 2012 - Google Patents",2012,https://patents.google.com/patent/US8166532B2/en,No PDF available,,,1,44,No DOI available
Cut from a different cloth? Comparing democracy-promoting NGOs in Ghana and Indonesia,"J Kamstra, L Knippenberg, L Schulpen - Journal of Civil Society, 2013 - Taylor & Francis",2013,https://www.tandfonline.com/doi/abs/10.1080/17448689.2013.771078,No PDF available,,,1,6,No DOI available
"Context, comparison, and methodology in Chinese management research","J Child - Management and Organization Review, 2009 - cambridge.org",2009,https://www.cambridge.org/core/journals/management-and-organization-review/article/context-comparison-and-methodology-in-chinese-management-research/DF4C8E3CD0A094D5BA35F45F92135B4A,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1740-8784.2008.00136.x,,,1,147,No DOI available
Has gender mainstreaming failed? A comment on international development agency experiences in the South,"C Moser - International Feminist Journal of Politics, 2005 - Taylor & Francis",2005,https://www.tandfonline.com/doi/full/10.1080/14616740500284573,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:Aj-wtyMxmPoJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=2193113992029206396&oi=lle",,,1,153,No DOI available
Context-sensitive caching,"GA Cuomo, BK Martin, DF Ferguson, DC Shupp… - US Patent …, 2005 - Google Patents",2005,https://patents.google.com/patent/US6886077B2/en,No PDF available,,,1,8,No DOI available
MoCA: A middleware for developing collaborative applications for mobile users,"V Sacramento, M Endler… - IEEE Distributed …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1355907/,https://ieeexplore.ieee.org/iel5/8968/29772/01355907.pdf,,,1,179,No DOI available
Transition management,"D Loorbach - New mode of governance for sustainable development …, 2007 - JSTOR",2007,https://www.jstor.org/stable/pdf/jcorpciti.58.48.pdf,https://repub.eur.nl/pub/10200/proefschrift.pdf,,,1,1167,No DOI available
Conceptualizing urban vulnerability to global climate and environmental change,"PR Lankao, H Qin - Current opinion in environmental sustainability, 2011 - Elsevier",2011,https://www.sciencedirect.com/science/article/pii/S1877343511000030,No PDF available,,,1,189,No DOI available
Increasing Food System Resilience for Nutrition Sensitivity and Sustainability: A Decentralized Analysis for India,"KNR Kumar, SC Babu - 2018 - indiaenvironmentportal.org.in",2018,http://www.indiaenvironmentportal.org.in/files/file/Increasing%20food%20system%20resilience%20for%20nutrition%20sensitivity%20and%20sustainability.pdf,http://www.indiaenvironmentportal.org.in/files/file/Increasing%20food%20system%20resilience%20for%20nutrition%20sensitivity%20and%20sustainability.pdf,,,1,No cite count available,No DOI available
SUCCESS FACTORS AND CHALLENGES OF THE GERMAN GREEN BELT IN THE GOVERNANCE ASPECT49,"SK Shim - How to push the implementation of the European …, 2014 - db-thueringen.de",2014,https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00029461/Verkehr%2018.pdf#page=54,https://www.db-thueringen.de/servlets/MCRFileNodeServlet/dbt_derivate_00029461/Verkehr%2018.pdf#page=54,,,1,No cite count available,No DOI available
Developing a Digital Co-creation Assessment Methodology,"M Mačiulienė, A Skaržauskienė, D Botteldooren - 2019 - repository.mruni.eu",2019,https://repository.mruni.eu/handle/007/15544,https://repository.mruni.eu/bitstream/handle/007/15544/33338491.pdf?sequence=1,,,1,No cite count available,No DOI available
Developing a Digital Co-Creation Assessment Methodology,"PS Co-Creation, M Mačiulienė, A Skaržauskienė… - ceeol.com",No year available,https://www.ceeol.com/search/article-detail?id=732513,No PDF available,,,1,No cite count available,No DOI available
Cervical cancer screening decentralized policy adaptation: an African rural-context-specific systematic literature review,"R Rahman, MD Clark, Z Collins, F Traore… - Global health …, 2019 - Taylor & Francis",2019,https://www.tandfonline.com/doi/abs/10.1080/16549716.2019.1587894,https://www.tandfonline.com/doi/full/10.1080/16549716.2019.1587894,,,1,No cite count available,No DOI available
The impact of context on evidence utilization: a framework for expert groups developing health policy recommendations,"MJ Dobrow, V Goel, L Lemieux-Charles… - Social science & …, 2006 - Elsevier",2006,https://www.sciencedirect.com/science/article/pii/S0277953606002309,No PDF available,,,1,175,No DOI available
Scrutinizing the EU general data protection regulation,"L Marelli, G Testa - Science, 2018 - science.sciencemag.org",2018,http://science.sciencemag.org/content/360/6388/496.short,http://www.unimi.it/lastatalenews/sites/default/files/attachments/Marelli%20and%20Testa%20Science%202018.pdf,,,1,14,No DOI available
