title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
Dynamic adaptive service architecture–towards coordinated service composition,"C Pahl - European Conference on Software Architecture, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,http://doras.dcu.ie/15977/1/Dynamic_Adaptive_Service_Architecture_%E2%80%93_Towards_Coordinated_Service_Composition.pdf,,,1,11,No DOI available
A perspective on the future of middleware-based software engineering,"V Issarny, M Caporuscio, N Georgantas - 2007 Future of Software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1253532.1254722,https://hal.inria.fr/inria-00415919/document,,,1,158,No DOI available
An institutional perspective on sources of ERP package–organisation misalignments,"C Soh, SK Sia - The Journal of Strategic Information Systems, 2004 - Elsevier",2004,https://www.sciencedirect.com/science/article/pii/S0963868704000460,No PDF available,,,1,257,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
MoCA: A middleware for developing collaborative applications for mobile users,"V Sacramento, M Endler… - IEEE Distributed …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1355907/,https://ieeexplore.ieee.org/iel5/8968/29772/01355907.pdf,,,1,179,No DOI available
Scaling up health service innovations: a framework for action,"R Simmons, J Shiffman - Scaling up health service delivery, 2007 - books.google.com",2007,https://books.google.de/books?hl=de&lr=&id=rsuwy2UJM-QC&oi=fnd&pg=PA1&dq=context-specific+AND+decentralized+service+composition+AND+adapt*&ots=WEmMJVLnRh&sig=VCgNOGyXidHKagtiJ8h6427iIMY,https://books.google.de/books?hl=de&lr=&id=rsuwy2UJM-QC&oi=fnd&pg=PA1&dq=context-specific+AND+decentralized+service+composition+AND+adapt*&ots=WEmMJVLnRh&sig=VCgNOGyXidHKagtiJ8h6427iIMY,,,1,88,No DOI available
Geographically-decentralized planning and management in health care: some informational issues and their implications for efficiency,"J Hurley, S Birch, J Eyles - Social science & medicine, 1995 - Elsevier",1995,https://www.sciencedirect.com/science/article/pii/027795369400283Y,http://www.academia.edu/download/45972594/0277-9536_2894_2900283-y20160526-26864-1m8uvir.pdf,,,1,68,No DOI available
Research needs for meeting the challenge of decentralized energy supply in developing countries,"M Schäfer, N Kebir, K Neumann - Energy for Sustainable Development, 2011 - Elsevier",2011,https://www.sciencedirect.com/science/article/pii/S0973082611000470,"http://www.canopusfund.org/fileadmin/redaktion/Documents/1%20Decentralized%20energy%20supply,%20Noara%20Kebir.pdf",,,1,66,No DOI available
Providing better education services to the poor: Accountability and context in the case of Guatemalan decentralization,"AI Gershberg, B Meade, S Andersson - International Journal of Educational …, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0738059308000722,No PDF available,,,1,40,No DOI available
A survey of self-awareness and its application in computing systems,"PR Lewis, A Chandra, S Parsons… - 2011 Fifth IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6114582/,https://ieeexplore.ieee.org/iel5/6114263/6114568/06114582.pdf,,,1,82,No DOI available
Framework of integrated semantic web services and ontology development for telecommunication industry,"AN Khan, S Asghar, S Fong - Journal of Emerging …, 2011 - pdfs.semanticscholar.org",2011,https://pdfs.semanticscholar.org/8381/babf555cd0bda861fc431ee745448ce6ba7f.pdf,https://pdfs.semanticscholar.org/8381/babf555cd0bda861fc431ee745448ce6ba7f.pdf,,,1,8,No DOI available
Dynamic value Webs in mobile environments using adaptive location-based services,"P Ibach, G Tamm, M Horbank - Proceedings of the 38th Annual …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1385664/,https://ieeexplore.ieee.org/iel5/9518/30166/01385664.pdf,,,1,26,No DOI available
Capture and governance at local and national levels,"PK Bardhan, D Mookherjee - American economic review, 2000 - pubs.aeaweb.org",2000,https://pubs.aeaweb.org/doi/pdf/10.1257/aer.90.2.135,https://pdfs.semanticscholar.org/832d/ba269491fa01d05eb1b059b289909ba3289c.pdf,,,1,1130,No DOI available
Situational maturity models as instrumental artifacts for organizational design,"T Mettler, P Rohner - Proceedings of the 4th international conference on …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1555649,http://www.academia.edu/download/40437258/desrist2009_submission_5.pdf,,,1,199,No DOI available
Achieving self-adaptation through dynamic group management,"L Baresi, S Guinea, P Saeedi - Assurances for Self-Adaptive Systems, 2013 - Springer",2013,https://link.springer.com/chapter/10.1007/978-3-642-36249-1_8,No PDF available,,,1,10,No DOI available
Rethinking decentralization: Assessing challenges to a popular public sector reform,"P Smoke - Public Administration and Development, 2015 - Wiley Online Library",2015,https://onlinelibrary.wiley.com/doi/abs/10.1002/pad.1703,https://onlinelibrary.wiley.com/doi/pdf/10.1002/pad.1703,,,1,58,No DOI available
Towards a trust and contract management framework for dynamic virtual organisations,"T Dimitrakos, D Golby, P Kearney - eAdoption and the Knowledge …, 2004 - researchgate.net",2004,https://www.researchgate.net/profile/Theo_Dimitrakos/publication/30408945_Towards_a_Trust_and_Contract_Management_Framework_for_Dynamic_Virtual_Organisations/links/0deec516c7b0e1fff2000000/Towards-a-Trust-and-Contract-Management-Framework-for-Dynamic-Virtual-Organisations.pdf,https://www.researchgate.net/profile/Theo_Dimitrakos/publication/30408945_Towards_a_Trust_and_Contract_Management_Framework_for_Dynamic_Virtual_Organisations/links/0deec516c7b0e1fff2000000/Towards-a-Trust-and-Contract-Management-Framework-for-Dynamic-Virtual-Organisations.pdf,,,1,73,No DOI available
A service-oriented architecture for mass customization—a shoe industry case study,"AJ Dietrich, S Kirn, V Sugumaran - IEEE Transactions on …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4077227/,https://ieeexplore.ieee.org/iel5/17/4077219/04077227.pdf,,,1,96,No DOI available
Artificial intelligence in service-oriented software design,"G Rodríguez, Á Soria, M Campo - Engineering Applications of Artificial …, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0952197616300677,http://translateyar.ir/wp-content/uploads/2018/05/Artificial-intelligence-in-service-oriented-software-design.pdf,,,1,16,No DOI available
Diffusion of innovations in service organizations: systematic review and recommendations,"T Greenhalgh, G Robert, F Macfarlane… - The Milbank …, 2004 - Wiley Online Library",2004,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0887-378X.2004.00325.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.0887-378X.2004.00325.x,,,1,5515,No DOI available
DBGlobe: a service-oriented P2P system for global computing,"E Pitoura, S Abiteboul, D Pfoser, G Samaras… - ACM Sigmod …, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=945737,http://cs.uoi.gr/~pitoura/distribution/sr03.pdf,,,1,78,No DOI available
Donor dealings: the impact of international donor aid on sexual and reproductive health services,"SH Mayhew - International Family Planning Perspectives, 2002 - JSTOR",2002,https://www.jstor.org/stable/3088225,https://www.jstor.org/stable/pdf/3088225.pdf,,,1,41,No DOI available
New service development: creating memorable experiences,"J Fitzsimmons, MJ Fitzsimmons - 1999 - books.google.com",1999,https://books.google.de/books?hl=de&lr=&id=RM3w5fPiw3kC&oi=fnd&pg=PP1&dq=context-specific+AND+decentralized+service+composition+AND+adapt*&ots=E7g81_zdMM&sig=WWiCw8ArlHRNdLCS0DVGbeNhryw,No PDF available,,,1,378,No DOI available
Policy-based integration of multiprovider digital home services,"R Brennan, D Lewis, J Keeney, Z Etzioni… - IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5350353/,https://ieeexplore.ieee.org/iel5/65/5350341/05350353.pdf,,,1,18,No DOI available
Mobile Agent Middlewares for Context-Aware Applications.,"P Bellavista, S Vecchi, R Montanari, D Bottazzi… - 2004 - pdfs.semanticscholar.org",2004,https://pdfs.semanticscholar.org/22a5/87f21431a672bfd01476cbf508f11a6f8620.pdf,https://pdfs.semanticscholar.org/22a5/87f21431a672bfd01476cbf508f11a6f8620.pdf,,,1,7,No DOI available
Recommending services in a trust-based decentralized user modeling system,"S Nusrat, J Vassileva - … Conference on User Modeling, Adaptation, and …, 2011 - Springer",2011,https://link.springer.com/chapter/10.1007/978-3-642-28509-7_22,https://www.researchgate.net/profile/Julita_Vassileva/publication/221260784_Recommending_Services_in_a_Trust-Based_Decentralized_User_Modeling_System/links/561ed22a08aec7945a2707b3/Recommending-Services-in-a-Trust-Based-Decentralized-User-Modeling-System.pdf,,,1,22,No DOI available
Towards a framework for the development of adaptable service-based applications,"S Lane, Q Gu, P Lago, I Richardson - Service Oriented Computing and …, 2014 - Springer",2014,https://link.springer.com/article/10.1007/s11761-013-0136-4,https://link.springer.com/article/10.1007/s11761-013-0136-4,,,1,11,No DOI available
Enabling service innovation: A dynamic capabilities approach,"D Kindström, C Kowalkowski, E Sandberg - Journal of business research, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S0148296312000872,http://www.diva-portal.org/smash/get/diva2:525010/FULLTEXT01.pdf,,,1,354,No DOI available
