title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
SmartContacts: a large scale social context service discovery system,"Y Liu, K Connelly - Fourth Annual IEEE International …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1599011/,http://www.idi.ntnu.no/grupper/su/bibliography/pdf/2006/Liu2006percomw1.pdf,,,1,9,No DOI available
"Linking retail strategy, atmospheric design and shopping behaviour","LW Turley, JC Chebat - Journal of Marketing Management, 2002 - Taylor & Francis",2002,https://www.tandfonline.com/doi/abs/10.1362/0267257022775891,https://www.researchgate.net/profile/Jean-Charles_Chebat/publication/247495323_Linking_Retail_Strategy_Atmospheric_Design_and_Shopping_Behaviour/links/5832c01b08ae004f74c32981.pdf,,,1,319,No DOI available
A perspective on the future of middleware-based software engineering,"V Issarny, M Caporuscio, N Georgantas - 2007 Future of Software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1253532.1254722,https://hal.inria.fr/inria-00415919/document,,,1,158,No DOI available
Capture and governance at local and national levels,"PK Bardhan, D Mookherjee - American economic review, 2000 - pubs.aeaweb.org",2000,https://pubs.aeaweb.org/doi/pdf/10.1257/aer.90.2.135,https://pdfs.semanticscholar.org/832d/ba269491fa01d05eb1b059b289909ba3289c.pdf,,,1,1130,No DOI available
"Linking organizational culture, structure, strategy, and organizational effectiveness: Mediating role of knowledge management","W Zheng, B Yang, GN McLean - Journal of Business research, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S0148296309001714,https://pdfs.semanticscholar.org/d7e4/0dc558be5e968a2f9df4b6a318992a379b14.pdf,,,1,1048,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
"A framework for decentralized, context-aware mobile applications using semantic web technology","W Van Woensel, S Casteleyn, O De Troyer - … International Conferences"" On …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-05290-3_18,https://wise.vub.ac.be/sites/default/files/publications/CAMS2009.pdf,,,1,29,No DOI available
Trust as a facilitator in cloud computing: a survey,"SM Habib, S Hauke, S Ries… - Journal of Cloud …, 2012 - biomedcentral.com",2012,https://www.biomedcentral.com/openurl?doi=10.1186/2192-113X-1-19,https://www.biomedcentral.com/openurl?doi=10.1186/2192-113X-1-19,,,1,141,No DOI available
Corruption and decentralization of infrastructure delivery in developing countries,"PK Bardhan, D Mookherjee - 2000 - siteresources.worldbank.org",2000,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,,,1,213,No DOI available
Decentralizing health services in the UK: a new conceptual framework,"S Peckham, M Exworthy, M Powell… - Public …, 2008 - Wiley Online Library",2008,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-9299.2007.00709.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-9299.2007.00709.x,,,1,45,No DOI available
Knowledge sharing in inter-unit cooperative episodes: The impact of organizational structure dimensions,"A Willem, M Buelens - International Journal of Information Management, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0268401208001102,https://wikis.uit.tufts.edu/confluence/download/attachments/54161086/Knowledge%20sharing%20in%20inter-unit%20cooperative%20episodes.pdf,,,1,202,No DOI available
"Decentralization, corruption and government accountability","P Bardhan, D Mookherjee - International handbook on the …, 2006 - books.google.com",2006,https://books.google.de/books?hl=de&lr=&id=P60nmWlJWEoC&oi=fnd&pg=PA161&dq=context-specific+AND+decentralized+service+composition+AND+behaviour&ots=ja9etJ-WHf&sig=rQTTH9LaCCvw8HpmA9xgzr0wvlU,http://www.untag-smd.ac.id/files/Perpustakaan_Digital_1/CORRUPTION%20International%20handbook%20on%20the%20economics%20of%20corruption.pdf#page=200,,,1,303,No DOI available
Scaling up health service innovations: a framework for action,"R Simmons, J Shiffman - Scaling up health service delivery, 2007 - books.google.com",2007,https://books.google.de/books?hl=de&lr=&id=rsuwy2UJM-QC&oi=fnd&pg=PA1&dq=context-specific+AND+decentralized+service+composition+AND+behaviour&ots=WEmMJVMhQe&sig=mdz2d_LmtzegbjVxU_v-A9LtT6M,https://books.google.de/books?hl=de&lr=&id=rsuwy2UJM-QC&oi=fnd&pg=PA1&dq=context-specific+AND+decentralized+service+composition+AND+behaviour&ots=WEmMJVMhQe&sig=mdz2d_LmtzegbjVxU_v-A9LtT6M,,,1,88,No DOI available
Dynamic adaptive service architecture–towards coordinated service composition,"C Pahl - European Conference on Software Architecture, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-15114-9_43,http://doras.dcu.ie/15977/1/Dynamic_Adaptive_Service_Architecture_%E2%80%93_Towards_Coordinated_Service_Composition.pdf,,,1,11,No DOI available
Rethinking decentralization: Assessing challenges to a popular public sector reform,"P Smoke - Public Administration and Development, 2015 - Wiley Online Library",2015,https://onlinelibrary.wiley.com/doi/abs/10.1002/pad.1703,https://onlinelibrary.wiley.com/doi/pdf/10.1002/pad.1703,,,1,58,No DOI available
Rethinking decentralization in developing countries,"J Litvack, J Ahmad, R Bird - 1998 - elibrary.worldbank.org",1998,https://elibrary.worldbank.org/doi/abs/10.1596/0-8213-4350-5,No PDF available,,,1,1034,No DOI available
A survey of self-awareness and its application in computing systems,"PR Lewis, A Chandra, S Parsons… - 2011 Fifth IEEE …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/6114582/,https://ieeexplore.ieee.org/iel5/6114263/6114568/06114582.pdf,,,1,82,No DOI available
Dynamic value Webs in mobile environments using adaptive location-based services,"P Ibach, G Tamm, M Horbank - Proceedings of the 38th Annual …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1385664/,https://ieeexplore.ieee.org/iel5/9518/30166/01385664.pdf,,,1,26,No DOI available
DBGlobe: a service-oriented P2P system for global computing,"E Pitoura, S Abiteboul, D Pfoser, G Samaras… - ACM Sigmod …, 2003 - dl.acm.org",2003,https://dl.acm.org/citation.cfm?id=945737,http://cs.uoi.gr/~pitoura/distribution/sr03.pdf,,,1,78,No DOI available
MoCA: A middleware for developing collaborative applications for mobile users,"V Sacramento, M Endler… - IEEE Distributed …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1355907/,https://ieeexplore.ieee.org/iel5/8968/29772/01355907.pdf,,,1,179,No DOI available
Situational maturity models as instrumental artifacts for organizational design,"T Mettler, P Rohner - Proceedings of the 4th international conference on …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1555649,http://www.academia.edu/download/40437258/desrist2009_submission_5.pdf,,,1,199,No DOI available
Information sharing and exchange in the context of product lifecycle management: Role of standards,"S Rachuri, E Subrahmanian, A Bouras, SJ Fenves… - Computer-Aided …, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0010448507001613,https://www.researchgate.net/profile/Sudarsan_Rachuri/publication/233961486_CAD_2008_PLM_paper/links/0912f50d5f962c7c3d000000.pdf,,,1,164,No DOI available
From best practice to best fit: a framework for designing and analyzing pluralistic agricultural advisory services worldwide,"R Birner, K Davis, J Pender, E Nkonya… - Journal of agricultural …, 2009 - Taylor & Francis",2009,https://www.tandfonline.com/doi/abs/10.1080/13892240903309595,https://pdfs.semanticscholar.org/a38a/1ada4fb063bd2cffdaebeef6cdca6711bcf6.pdf,,,1,344,No DOI available
Countering service information challenges in the internet of services,"D Oberle, N Bhatti, S Brockmans, M Niemann… - Business & Information …, 2009 - Springer",2009,https://link.springer.com/article/10.1007/s12599-009-0069-9,https://link.springer.com/article/10.1007/s12599-009-0069-9,,,1,54,No DOI available
Decentralization and rural service delivery in Uganda,"B Bashaasha, MN Mangheni, E Nkonya - Washington, DC: IFPRI, 2011 - researchgate.net",2011,https://www.researchgate.net/profile/Margaret_Mangheni/publication/241758620_Decentralization_and_rural_service_delivery_in_Uganda/links/548ae6420cf225bf669eae92/Decentralization-and-rural-service-delivery-in-Uganda.pdf,https://www.researchgate.net/profile/Margaret_Mangheni/publication/241758620_Decentralization_and_rural_service_delivery_in_Uganda/links/548ae6420cf225bf669eae92/Decentralization-and-rural-service-delivery-in-Uganda.pdf,,,1,57,No DOI available
Improving the quality of private sector delivery of public health services: challenges and strategies,"R Brugha, A Zwi - Health policy and planning, 1998 - academic.oup.com",1998,https://academic.oup.com/heapol/article-abstract/13/2/107/693569,https://academic.oup.com/heapol/article-pdf/13/2/107/6749346/13-2-107.pdf,,,1,351,No DOI available
A system of systems view on collaborative industrial automation,"AW Colombo, T Bangemann… - 2013 IEEE international …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6505980/,https://ieeexplore.ieee.org/iel7/6495638/6505636/06505980.pdf,,,1,39,No DOI available
Geographically-decentralized planning and management in health care: some informational issues and their implications for efficiency,"J Hurley, S Birch, J Eyles - Social science & medicine, 1995 - Elsevier",1995,https://www.sciencedirect.com/science/article/pii/027795369400283Y,http://www.academia.edu/download/45972594/0277-9536_2894_2900283-y20160526-26864-1m8uvir.pdf,,,1,68,No DOI available
Micro-incentives and municipal behavior: political decentralization and fiscal federalism in Argentina and Mexico,"HJM Smith, KD Revell - World Development, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0305750X15001990,https://pdfs.semanticscholar.org/12ec/b8a2a9071ef7b90db91906c17a046b8295ab.pdf,,,1,24,No DOI available
Emergent semantics systems,"K Aberer, T Catarci, P Cudré-Mauroux, T Dillon… - … on Semantics for the …, 2004 - Springer",2004,https://link.springer.com/chapter/10.1007/978-3-540-30145-5_2,https://link.springer.com/content/pdf/10.1007/978-3-540-30145-5_2.pdf,,,1,45,No DOI available
Decentralization of management responsibility: the case of Danish hospitals,"LD Pedersen, T Pallesen… - The International journal …, 1993 - Wiley Online Library",1993,https://onlinelibrary.wiley.com/doi/abs/10.1002/hpm.4740080405,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:a28GuBwsCmkJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=5283745996253050035&oi=lle",,,1,15,No DOI available
Leprosy control through general health services-revisiting the concept of integration,"P Feenstra, J Visschedijk - Leprosy Review, 2002 - lepra.org.uk",2002,https://www.lepra.org.uk/platforms/lepra/files/lr/June02/0002.pdf,https://www.lepra.org.uk/platforms/lepra/files/lr/June02/0002.pdf,,,1,47,No DOI available
Diffusion of innovations in service organizations: systematic review and recommendations,"T Greenhalgh, G Robert, F Macfarlane… - The Milbank …, 2004 - Wiley Online Library",2004,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.0887-378X.2004.00325.x,https://onlinelibrary.wiley.com/doi/full/10.1111/j.0887-378X.2004.00325.x,,,1,5515,No DOI available
Recommending services in a trust-based decentralized user modeling system,"S Nusrat, J Vassileva - … Conference on User Modeling, Adaptation, and …, 2011 - Springer",2011,https://link.springer.com/chapter/10.1007/978-3-642-28509-7_22,https://www.researchgate.net/profile/Julita_Vassileva/publication/221260784_Recommending_Services_in_a_Trust-Based_Decentralized_User_Modeling_System/links/561ed22a08aec7945a2707b3/Recommending-Services-in-a-Trust-Based-Decentralized-User-Modeling-System.pdf,,,1,22,No DOI available
Modelling accessibility to urban services using fuzzy logic: A comparative analysis of two methods,"M Thériault, F Des Rosiers… - Journal of Property …, 2005 - emeraldinsight.com",2005,https://www.emeraldinsight.com/doi/pdf/10.1108/14635780510575085,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:UIg011OC6xQJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=17003549160364293238&oi=lle",,,1,68,No DOI available
A service-oriented architecture for mass customization—a shoe industry case study,"AJ Dietrich, S Kirn, V Sugumaran - IEEE Transactions on …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4077227/,https://ieeexplore.ieee.org/iel5/17/4077219/04077227.pdf,,,1,96,No DOI available
