title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Enabling service innovation: A dynamic capabilities approach,"D Kindström, C Kowalkowski, E Sandberg - Journal of business research, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S0148296312000872,http://www.diva-portal.org/smash/get/diva2:525010/FULLTEXT01.pdf,,,1,354,No DOI available
A service-oriented architecture for mass customization—a shoe industry case study,"AJ Dietrich, S Kirn, V Sugumaran - IEEE Transactions on …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4077227/,https://ieeexplore.ieee.org/iel5/17/4077219/04077227.pdf,,,1,96,No DOI available
MoCA: A middleware for developing collaborative applications for mobile users,"V Sacramento, M Endler… - IEEE Distributed …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1355907/,https://ieeexplore.ieee.org/iel5/8968/29772/01355907.pdf,,,1,179,No DOI available
Policy-based integration of multiprovider digital home services,"R Brennan, D Lewis, J Keeney, Z Etzioni… - IEEE …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5350353/,https://ieeexplore.ieee.org/iel5/65/5350341/05350353.pdf,,,1,18,No DOI available
Distributed agents network for ubiquitous monitoring and services exploitation,"R Aversa, S Venticinque - 2009 International Conference on …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5284221/,https://ieeexplore.ieee.org/iel5/5282954/5282987/05284221.pdf,,,1,19,No DOI available
The design of an autonomic element for managing emerging networks and services,"J Strassner, JWK Hong… - … Conference on Ultra …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5345533/,https://ieeexplore.ieee.org/iel5/5340227/5345316/05345533.pdf,,,1,13,No DOI available
Knowledge-Intensive Business Services (KIBS) as drivers of multilevel knowledge dynamics,"S Strambach - International journal of services technology and …, 2008 - academia.edu",2008,http://www.academia.edu/download/40184142/Knowledge-Intensive_Business_Services_K20151119-9246-hf6l9b.pdf,http://www.academia.edu/download/40184142/Knowledge-Intensive_Business_Services_K20151119-9246-hf6l9b.pdf,,,1,327,No DOI available
On the integration of context-based heterogeneous middleware for Ubiquitous Computing,"F Lopes, F Delicato, T Batista, N Cacho - Proceedings of the 6th …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1462795,No PDF available,,,1,7,No DOI available
Service insertion architecture,"P Quinn, K Durazzo, AG Harvey, S Gannu… - US Patent …, 2016 - Google Patents",2016,https://patents.google.com/patent/US9253274B2/en,No PDF available,,,1,135,No DOI available
Achieving coordination through dynamic construction of open workflows,"L Thomas, J Wilson, GC Roman, C Gill - ACM/IFIP/USENIX International …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-10445-9_14,https://link.springer.com/content/pdf/10.1007/978-3-642-10445-9_14.pdf,,,1,16,No DOI available
