title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Adaptive embedded services for pervasive computing,"T Cottenier, T Elrad - Workshop on Building Software for Pervasive …, 2005 - researchgate.net",2005,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,https://www.researchgate.net/profile/T_Elrad/publication/249942563_Adaptive_Embedded_Services_for_Pervasive_Computing/links/543d23440cf2278f58da44e2.pdf,,,1,8,No DOI available
An executable choreography framework for dynamic service-oriented architectures,"F Akkawi, DP Fletcher, T Cottenier… - 2006 IEEE …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1656059/,https://ieeexplore.ieee.org/iel5/11012/34697/01656059.pdf,,,1,7,No DOI available
Corruption and decentralized public governance,A Shah - 2006 - elibrary.worldbank.org,2006,https://elibrary.worldbank.org/doi/abs/10.1596/1813-9450-3824,https://openknowledge.worldbank.org/bitstream/handle/10986/8805/wps3824.pdf?sequence=1,,,1,211,No DOI available
Corruption and decentralization of infrastructure delivery in developing countries,"PK Bardhan, D Mookherjee - 2000 - siteresources.worldbank.org",2000,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,http://siteresources.worldbank.org/DEC/Resources/84797-1251813753820/6415739-1251814020192/bardhan1.pdf,,,1,213,No DOI available
Rethinking decentralization in developing countries,"J Litvack, J Ahmad, R Bird - 1998 - elibrary.worldbank.org",1998,https://elibrary.worldbank.org/doi/abs/10.1596/0-8213-4350-5,No PDF available,,,1,1034,No DOI available
A perspective on the future of middleware-based software engineering,"V Issarny, M Caporuscio, N Georgantas - 2007 Future of Software …, 2007 - dl.acm.org",2007,https://dl.acm.org/citation.cfm?id=1253532.1254722,https://hal.inria.fr/inria-00415919/document,,,1,158,No DOI available
SmartContacts: a large scale social context service discovery system,"Y Liu, K Connelly - Fourth Annual IEEE International …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1599011/,http://www.idi.ntnu.no/grupper/su/bibliography/pdf/2006/Liu2006percomw1.pdf,,,1,9,No DOI available
Leprosy control through general health services-revisiting the concept of integration,"P Feenstra, J Visschedijk - Leprosy Review, 2002 - lepra.org.uk",2002,https://www.lepra.org.uk/platforms/lepra/files/lr/June02/0002.pdf,https://www.lepra.org.uk/platforms/lepra/files/lr/June02/0002.pdf,,,1,47,No DOI available
MoCA: A middleware for developing collaborative applications for mobile users,"V Sacramento, M Endler… - IEEE Distributed …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1355907/,https://ieeexplore.ieee.org/iel5/8968/29772/01355907.pdf,,,1,179,No DOI available
Dynamic value Webs in mobile environments using adaptive location-based services,"P Ibach, G Tamm, M Horbank - Proceedings of the 38th Annual …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1385664/,https://ieeexplore.ieee.org/iel5/9518/30166/01385664.pdf,,,1,26,No DOI available
Distributed agents network for ubiquitous monitoring and services exploitation,"R Aversa, S Venticinque - 2009 International Conference on …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5284221/,https://ieeexplore.ieee.org/iel5/5282954/5282987/05284221.pdf,,,1,19,No DOI available
Decentralization reforms,"K Kaiser - … sector downsizing, taxation, decentralization …, 2006 - siteresources.worldbank.org",2006,http://siteresources.worldbank.org/INTPSIA/Resources/490023-1120845825946/3622-06_Ch06.pdf,http://siteresources.worldbank.org/INTPSIA/Resources/490023-1120845825946/3622-06_Ch06.pdf,,,1,46,No DOI available
"TIME: An open platform for capturing, processing and delivering transport-related data","J Bacon, AR Beresford, D Evans… - 2008 5th IEEE …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4446456/,https://ieeexplore.ieee.org/iel5/4446297/4446298/04446456.pdf,,,1,38,No DOI available
Exploration of the developing role of the educational psychologist within the context of “traded” psychological services,"K Lee, K Woods - Educational Psychology in Practice, 2017 - Taylor & Francis",2017,https://www.tandfonline.com/doi/abs/10.1080/02667363.2016.1258545,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:vLhXs7ZV_jkJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=4508631983888843555&oi=lle",,,1,17,No DOI available
The design of an autonomic element for managing emerging networks and services,"J Strassner, JWK Hong… - … Conference on Ultra …, 2009 - ieeexplore.ieee.org",2009,https://ieeexplore.ieee.org/abstract/document/5345533/,https://ieeexplore.ieee.org/iel5/5340227/5345316/05345533.pdf,,,1,13,No DOI available
A framework for conducting a services marketing audit,"LL Berry, JS Conant, A Parasuraman - Journal of the Academy of …, 1991 - Springer",1991,https://link.springer.com/article/10.1007/BF02726500,https://link.springer.com/content/pdf/10.1007/BF02726500.pdf,,,1,178,No DOI available
Artificial intelligence in service-oriented software design,"G Rodríguez, Á Soria, M Campo - Engineering Applications of Artificial …, 2016 - Elsevier",2016,https://www.sciencedirect.com/science/article/pii/S0952197616300677,http://translateyar.ir/wp-content/uploads/2018/05/Artificial-intelligence-in-service-oriented-software-design.pdf,,,1,16,No DOI available
Mobile Agent Middlewares for Context-Aware Applications.,"P Bellavista, S Vecchi, R Montanari, D Bottazzi… - 2004 - pdfs.semanticscholar.org",2004,https://pdfs.semanticscholar.org/22a5/87f21431a672bfd01476cbf508f11a6f8620.pdf,https://pdfs.semanticscholar.org/22a5/87f21431a672bfd01476cbf508f11a6f8620.pdf,,,1,7,No DOI available
Improving the quality of private sector delivery of public health services: challenges and strategies,"R Brugha, A Zwi - Health policy and planning, 1998 - academic.oup.com",1998,https://academic.oup.com/heapol/article-abstract/13/2/107/693569,https://academic.oup.com/heapol/article-pdf/13/2/107/6749346/13-2-107.pdf,,,1,351,No DOI available
Context sensitive user interface help feature,"KR Livingston - US Patent 6,452,607, 2002 - Google Patents",2002,https://patents.google.com/patent/US6452607B1/en,No PDF available,,,1,94,No DOI available
Western European civil service systems: A comparative analysis,"FM Van der Meer, T Steen, A Wille - The Civil Service in the 21st Century, 2007 - Springer",2007,https://link.springer.com/chapter/10.1057/9780230593084_3,No PDF available,,,1,26,No DOI available
Adaptive compositions across organizational boundaries,"T Cottenier, T Elrad - Companion to the 20th annual ACM SIGPLAN …, 2005 - dl.acm.org",2005,https://dl.acm.org/citation.cfm?id=1094950,No PDF available,,,1,1,No DOI available
Advancing the governance of cross‐sectoral policies for sustainable development: A metagovernance perspective,"S Christopoulos, B Horvath… - Public Administration and …, 2012 - Wiley Online Library",2012,https://anthrosource.onlinelibrary.wiley.com/doi/pdf/10.1002/pad.1629,https://anthrosource.onlinelibrary.wiley.com/doi/pdf/10.1002/pad.1629,,,1,79,No DOI available
Assisting mobile web users: client-side injection of context-sensitive cues into websites,"S Casteleyn, W Van Woensel, O De Troyer - … Applications & Services, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=1967555,https://www.researchgate.net/profile/Olga_Troyer/publication/221237670_Assisting_mobile_Web_users_Client-side_injection_of_context-sensitive_cues_into_websites/links/0fcfd51128c04cd828000000.pdf,,,1,7,No DOI available
Fiscal decentralization in Indonesia: A new approach to an old idea,"P Smoke, BD Lewis - World Development, 1996 - Elsevier",1996,https://www.sciencedirect.com/science/article/pii/0305750X96000423,https://www.researchgate.net/profile/Blane_Lewis/publication/222744640_Fiscal_Decentralization_in_Indonesia_A_New_Approach_to_an_Old_Idea/links/5b33664f0f7e9b0df5cd20c7/Fiscal-Decentralization-in-Indonesia-A-New-Approach-to-an-Old-Idea.pdf,,,1,162,No DOI available
Achieving coordination through dynamic construction of open workflows,"L Thomas, J Wilson, GC Roman, C Gill - ACM/IFIP/USENIX International …, 2009 - Springer",2009,https://link.springer.com/chapter/10.1007/978-3-642-10445-9_14,https://link.springer.com/content/pdf/10.1007/978-3-642-10445-9_14.pdf,,,1,16,No DOI available
Evaluating technical debt in cloud-based architectures using real options,"E Alzaghoul, R Bahsoon - 2014 23rd Australian Software …, 2014 - ieeexplore.ieee.org",2014,https://ieeexplore.ieee.org/abstract/document/6824100/,https://ieeexplore.ieee.org/iel7/6823821/6824087/06824100.pdf,,,1,10,No DOI available
"Nordic local government: a success story, but will it last?","A Haveri - International Journal of Public Sector Management, 2015 - emeraldinsight.com",2015,https://www.emeraldinsight.com/doi/abs/10.1108/IJPSM-09-2014-0118,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:SCOfpJ92ZzgJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=12187403716090919716&oi=lle",,,1,16,No DOI available
Community-based geoportals: The next generation? Concepts and methods for the geospatial Web 2.0,"B De Longueville - Computers, Environment and Urban Systems, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S0198971510000372,No PDF available,,,1,110,No DOI available
"Local government, decentralization and gender","R Myers - … Conference on Local Government Decentralization …, 2002 - iepala.es",2002,http://iepala.es/IMG/pdf/localgovernment_decentralizatonandgender_2002_.pdf,http://iepala.es/IMG/pdf/localgovernment_decentralizatonandgender_2002_.pdf,,,1,5,No DOI available
"A Knowledge-oriented, Context-sensitive Architectural Framework for Service Deployment in Marginalized Rural Communities",MP Thinyane - 2009 - core.ac.uk,2009,https://core.ac.uk/download/pdf/145055496.pdf,https://core.ac.uk/download/pdf/145055496.pdf,,,1,3,No DOI available
Securing vehicular communications,"M Raya, P Papadimitratos… - IEEE wireless …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/4015703/,https://ieeexplore.ieee.org/iel5/7742/4015697/04015703.pdf,,,1,725,No DOI available
