title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"Context-specific calls in wild chimpanzees, Pan troglodytes verus: analysis of barks","C Crockford, C Boesch - Animal Behaviour, 2003 - Elsevier",2003,https://www.sciencedirect.com/science/article/pii/S000334720392166X,http://www.academia.edu/download/3713016/anim_behav_cont_spec.pdf,,,1,178,No DOI available
Dynamic and decentralized service composition,"T Cottenier, T Elrad - … web information systems and technologies. INSTICC …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.457.6471&rep=rep1&type=pdf,,,1,23,No DOI available
Architectural Patterns for Context-Aware Services Platforms.,"PD Costa, LF Pires, M van Sinderen - IWUC, 2005 - academia.edu",2005,http://www.academia.edu/download/44059928/Architectural_Patterns_for_Context-Aware20160324-18362-1v4k3zg.pdf,http://www.academia.edu/download/44059928/Architectural_Patterns_for_Context-Aware20160324-18362-1v4k3zg.pdf,,,1,65,No DOI available
"Myopia and the global financial crisis: Context-specific reasoning, market structure, and institutional governance","GL Clark - Dialogues in Human Geography, 2011 - journals.sagepub.com",2011,https://journals.sagepub.com/doi/abs/10.1177/2043820610386318,https://journals.sagepub.com/doi/pdf/10.1177/2043820610386318,,,1,60,No DOI available
The structure of cognition: attentional episodes in mind and brain,"J Duncan - Neuron, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S0896627313008465,https://www.sciencedirect.com/science/article/pii/S0896627313008465,,,1,221,No DOI available
Development of shy/bold behaviour in squid: context-specific phenotypes associated with developmental plasticity,"DL Sinn, SD Gosling, NA Moltschaniwskyj - Animal Behaviour, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0003347207003703,https://www.researchgate.net/profile/David_Sinn/publication/222403312_Development_of_shybold_behaviour_in_squid_context-specific_phenotypes_associated_with_developmental_plasticity/links/5a2c6b74a6fdccfbbf873787/Development-of-shy-bold-behaviour-in-squid-context-specific-phenotypes-associated-with-developmental-plasticity.pdf,,,1,159,No DOI available
"Context, composition and heterogeneity: using multilevel models in health research","C Duncan, K Jones, G Moon - Social science & medicine, 1998 - Elsevier",1998,https://www.sciencedirect.com/science/article/pii/S0277953697001482,https://pdfs.semanticscholar.org/96a8/a9b20476b2cb5a65e51ba9063c591f0cfde5.pdf,,,1,743,No DOI available
Campbell's monkeys concatenate vocalizations into context-specific call sequences,"K Ouattara, A Lemasson… - Proceedings of the …, 2009 - National Acad Sciences",2009,https://www.pnas.org/content/106/51/22026.short,https://www.pnas.org/content/pnas/106/51/22026.full.pdf,,,1,263,No DOI available
Health-related behaviour in context: a multilevel modelling approach,"C Duncan, K Jones, G Moon - Social science & medicine, 1996 - Elsevier",1996,https://www.sciencedirect.com/science/article/pii/0277953695001816,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:U9zizbYR7dwJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=16074237421578629101&oi=lle",,,1,345,No DOI available
Event-based distributed workflow execution with EVE,"A Geppert, D Tombros - Middleware'98, 1998 - Springer",1998,https://link.springer.com/chapter/10.1007/978-1-4471-1283-9_26,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.46.5479&rep=rep1&type=pdf,,,1,150,No DOI available
Context-oriented programming,"R Hirschfeld, P Costanza… - Journal of Object …, 2008 - boris.unibe.ch",2008,https://boris.unibe.ch/id/eprint/37163,https://boris.unibe.ch/37163/1/article4.pdf,,,1,564,No DOI available
"Parenting styles, family structure and adolescent dietary behaviour","N Pearson, AJ Atkin, SJH Biddle, T Gorely… - Public health …, 2010 - cambridge.org",2010,https://www.cambridge.org/core/journals/public-health-nutrition/article/parenting-styles-family-structure-and-adolescent-dietary-behaviour/9EBBD1002FECE0F4EA612646871A1EFD,https://www.researchgate.net/profile/Stuart_Biddle/publication/40441716_Parenting_styles_family_structure_and_adolescent_dietary_behaviour/links/00b4952caae0958d61000000.pdf,,,1,124,No DOI available
A method for exploring the structure of behavioural syndromes to allow formal comparison within and between data sets,"NJ Dingemanse, N Dochtermann, J Wright - Animal Behaviour, 2010 - Elsevier",2010,https://www.sciencedirect.com/science/article/pii/S0003347209005296,No PDF available,,,1,115,No DOI available
"Supervisory coaching behavior, employee satisfaction, and warehouse employee performance: A dyadic perspective in the distribution industry","AD Ellinger, AE Ellinger… - Human resource …, 2003 - Wiley Online Library",2003,https://onlinelibrary.wiley.com/doi/abs/10.1002/hrdq.1078,https://onlinelibrary.wiley.com/doi/pdf/10.1002/hrdq.1078,,,1,419,No DOI available
"Looking at pictures: Affective, facial, visceral, and behavioral reactions","PJ Lang, MK Greenwald, MM Bradley… - …, 1993 - Wiley Online Library",1993,https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8986.1993.tb03352.x,http://www.academia.edu/download/43359724/Looking_at_Pictures_Evaluative_Facial_Vi20160304-26931-1sv2jxn.pdf,,,1,3236,No DOI available
Smartphones for large-scale behavior change interventions,"N Lathia, V Pejovic, KK Rachuri… - IEEE Pervasive …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6562720/,https://ieeexplore.ieee.org/iel7/7756/6562699/06562720.pdf,,,1,182,No DOI available
Context-specific behavior: crayfish size influences crayfish–fish interactions,"TA Keller, PA Moore - Journal of the North American …, 2000 - journals.uchicago.edu",2000,https://www.journals.uchicago.edu/doi/abs/10.2307/1468076,https://www.jstor.org/stable/pdf/1468076.pdf,,,1,35,No DOI available
Information sharing and exchange in the context of product lifecycle management: Role of standards,"S Rachuri, E Subrahmanian, A Bouras, SJ Fenves… - Computer-Aided …, 2008 - Elsevier",2008,https://www.sciencedirect.com/science/article/pii/S0010448507001613,https://www.researchgate.net/profile/Sudarsan_Rachuri/publication/233961486_CAD_2008_PLM_paper/links/0912f50d5f962c7c3d000000.pdf,,,1,164,No DOI available
Relationship quality and the theory of planned behavior models of behavioral intentions and purchase behavior,"MH De Cannière, P De Pelsmacker… - Journal of business …, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0148296308000027,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.89.1698&rep=rep1&type=pdf,,,1,251,No DOI available
Stochastic route choice set generation: behavioral and probabilistic foundations,"PHL Bovy, S Fiorenzo-Catalano - Transportmetrica, 2007 - Taylor & Francis",2007,https://www.tandfonline.com/doi/abs/10.1080/18128600708685672,https://www.tandfonline.com/doi/pdf/10.1080/18128600708685672,,,1,112,No DOI available
A behavioral urban recreation site choice model,"GL Peterson, JF Dwyer, AJ Darragh - Leisure Sciences, 1983 - Taylor & Francis",1983,https://www.tandfonline.com/doi/abs/10.1080/01490408309513022,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:yWiGgFA4ikQJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=13614786445964304841&oi=lle",,,1,72,No DOI available
"Middleware: Context management in heterogeneous, evolving ubiquitous environments","RCA da Rocha, M Endler - IEEE Distributed Systems Online, 2006 - computer.org",2006,https://www.computer.org/csdl/mags/ds/2006/04/o4001-abs.html,https://www.computer.org/csdl/mags/ds/2006/04/o4001.pdf,,,1,64,No DOI available
ContextErlang: A language for distributed context-aware self-adaptive applications,"G Salvaneschi, C Ghezzi, M Pradella - Science of Computer Programming, 2015 - Elsevier",2015,https://www.sciencedirect.com/science/article/pii/S0167642314005577,https://core.ac.uk/download/pdf/55250433.pdf,,,1,8,No DOI available
