title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Topic-sensitive pagerank: A context-sensitive ranking algorithm for web search,"TH Haveliwala - IEEE transactions on knowledge and data …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1208999/,https://ieeexplore.ieee.org/iel5/69/27216/01208999.pdf,,,1,966,No DOI available
Idan: A distributed temporal-abstraction mediator for medical databases,"D Boaz, Y Shahar - Conference on Artificial Intelligence in Medicine in …, 2003 - Springer",2003,https://link.springer.com/chapter/10.1007/978-3-540-39907-0_3,https://pdfs.semanticscholar.org/22f5/46892e15a673f1d087af0950fac607d62f60.pdf,,,1,40,No DOI available
Examining the psychometric properties of the Achievement Goal Questionnaire in a general academic context,"SJ Finney, SL Pieper… - Educational and …, 2004 - journals.sagepub.com",2004,https://journals.sagepub.com/doi/abs/10.1177/0013164403258465,https://journals.sagepub.com/doi/pdf/10.1177/0013164403258465,,,1,270,No DOI available
Ecology of infochemical use by natural enemies in a tritrophic context,"LEM Vet, M Dicke - Annual review of entomology, 1992 - annualreviews.org",1992,https://www.annualreviews.org/doi/pdf/10.1146/annurev.en.37.010192.001041,https://www.annualreviews.org/doi/pdf/10.1146/annurev.en.37.010192.001041,,,1,1859,No DOI available
Distributed memory and the representation of general and specific information.,"JL McClelland, DE Rumelhart - Journal of Experimental Psychology …, 1985 - psycnet.apa.org",1985,https://psycnet.apa.org/journals/xge/114/2/159.html?uid=1986-08244-001,https://www.researchgate.net/profile/James_Mcclelland/publication/19996118_Distributed_Memory_and_the_Representation_of_General_and_Specific_Information/links/00b7d51cad74ab1966000000.pdf,,,1,1334,No DOI available
"Middleware: Context management in heterogeneous, evolving ubiquitous environments","RCA da Rocha, M Endler - IEEE Distributed Systems Online, 2006 - computer.org",2006,https://www.computer.org/csdl/mags/ds/2006/04/o4001-abs.html,https://www.computer.org/csdl/mags/ds/2006/04/o4001.pdf,,,1,64,No DOI available
Context sensitive connected content,"KL Levy, GB Rhoads, RR Stager… - US Patent …, 2012 - Google Patents",2012,https://patents.google.com/patent/US8332478B2/en,No PDF available,,,1,633,No DOI available
Sequence context-specific profiles for homology searching,"A Biegert, J Söding - … of the National Academy of Sciences, 2009 - National Acad Sciences",2009,https://www.pnas.org/content/106/10/3770.short,https://www.pnas.org/content/pnas/106/10/3770.full.pdf,,,1,187,No DOI available
System and method for trading context-specific advertising,"J Driscoll - US Patent App. 11/214,514, 2007 - Google Patents",2007,https://patents.google.com/patent/US20070050254A1/en,No PDF available,,,1,44,No DOI available
Multiple user interfaces: cross-platform applications and context-aware interfaces,"A Seffah, H Javahery - Multiple user interfaces: Cross-platform …, 2004 - Wiley Online Library",2004,https://onlinelibrary.wiley.com/doi/pdf/10.1002/0470091703#page=28,No PDF available,,,1,101,No DOI available
"Bone, fat, and body composition: evolving concepts in the pathogenesis of osteoporosis","CJ Rosen, A Klibanski - The American journal of medicine, 2009 - Elsevier",2009,https://www.sciencedirect.com/science/article/pii/S0002934309000503,No PDF available,,,1,209,No DOI available
The MPI bioinformatics Toolkit as an integrative platform for advanced protein sequence and structure analysis,"V Alva, SZ Nam, J Söding, AN Lupas - Nucleic acids research, 2016 - academic.oup.com",2016,https://academic.oup.com/nar/article-abstract/44/W1/W410/2499341,https://academic.oup.com/nar/article/44/W1/W410/2499341,,,1,262,No DOI available
The impact of national culture on corporate social performance,"D Ringov, M Zollo - … : The international journal of business in …, 2007 - emeraldinsight.com",2007,https://www.emeraldinsight.com/doi/pdf/10.1108/14720700710820551,https://sites.google.com/site/ngurahduryafamily/home/csr/C__DocumentsandSettings_admin_ApplicationData_Opera_Opera_profile_cache4_opr01F94.pdf,,,1,255,No DOI available
Architecture for the development of context-sensitive mobile applications,"M Aleksy, T Butter, M Schader - Mobile Information Systems, 2008 - hindawi.com",2008,https://www.hindawi.com/journals/misy/2008/142986/abs/,http://downloads.hindawi.com/journals/misy/2008/142986.pdf,,,1,29,No DOI available
Context sensitive portlets,"RH Flores, B Hao - US Patent 7,694,000, 2010 - Google Patents",2010,https://patents.google.com/patent/US7694000B2/en,No PDF available,,,1,59,No DOI available
Beyond predictions: biodiversity conservation in a changing climate,"TP Dawson, ST Jackson, JI House, IC Prentice… - …, 2011 - science.sciencemag.org",2011,https://science.sciencemag.org/content/332/6025/53.short,https://www.researchgate.net/profile/Joanna_House/publication/50940003_Dawson_TP_Jackson_ST_House_JI_Prentice_IC_Mace_GM_Beyond_predictions_Biodiversity_conservation_in_a_changing_climate_Science/links/0046351713ff4bed89000000/Dawson-TP-Jackson-ST-House-JI-Prentice-IC-Mace-GM-Beyond-predictions-Biodiversity-conservation-in-a-changing-climate-Science.pdf,,,1,1154,No DOI available
Revenge of the “neurds”: Characterizing creative thought in terms of the structure and dynamics of memory,"L Gabora - Creativity Research Journal, 2010 - Taylor & Francis",2010,https://www.tandfonline.com/doi/abs/10.1080/10400410903579494,https://www.tandfonline.com/doi/full/10.1080/10400410903579494,,,1,213,No DOI available
Context-sensitive taint analysis,"BV Chess, SP Fay - US Patent 8,739,280, 2014 - Google Patents",2014,https://patents.google.com/patent/US8739280B2/en,No PDF available,,,1,118,No DOI available
Protein threading using context-specific alignment potential,"J Ma, S Wang, F Zhao, J Xu - Bioinformatics, 2013 - academic.oup.com",2013,https://academic.oup.com/bioinformatics/article-abstract/29/13/i257/187813,https://academic.oup.com/bioinformatics/article/29/13/i257/187813,,,1,84,No DOI available
Designing context-sensitive systems: An integrated approach,"V Vieira, P Tedesco, AC Salgado - Expert Systems with Applications, 2011 - Elsevier",2011,https://www.sciencedirect.com/science/article/pii/S0957417410004173,http://homes.dcc.ufba.br/~vaninha/context/2011_VieiraEtAl_ESwA_CEManTIKAFramework.pdf,,,1,91,No DOI available
Context-sensitive data integration and prediction of biological networks,"CL Myers, OG Troyanskaya - Bioinformatics, 2007 - academic.oup.com",2007,https://academic.oup.com/bioinformatics/article-abstract/23/17/2322/261887,https://academic.oup.com/bioinformatics/article/23/17/2322/261887,,,1,120,No DOI available
"Situational price sensitivity: the role of consumption occasion, social context and income","KL Wakefield, JJ Inman - Journal of Retailing, 2003 - Elsevier",2003,https://www.sciencedirect.com/science/article/pii/S0022435903000551,http://www.academia.edu/download/33325328/1-s2.0-S0022435903000551-main.pdf,,,1,337,No DOI available
User interface framework for integrating user interface elements of independent software components,"T Vachuska, R Hagarty, J Hummer - US Patent App. 10/113,431, 2003 - Google Patents",2003,https://patents.google.com/patent/US20030184584A1/en,https://patentimages.storage.googleapis.com/9c/0c/00/c3b725c30e5074/US10113431.pdf,,,1,76,No DOI available
Vulnerability of national economies to the impacts of climate change on fisheries,"EH Allison, AL Perry, MC Badjeck… - Fish and …, 2009 - Wiley Online Library",2009,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-2979.2008.00310.x,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1467-2979.2008.00310.x,,,1,896,No DOI available
Sensitive detection of somatic point mutations in impure and heterogeneous cancer samples,"K Cibulskis, MS Lawrence, SL Carter… - Nature …, 2013 - nature.com",2013,https://www.nature.com/nbt/journal/v31/n3/abs/nbt.2514.html,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3833702/,,,1,1838,No DOI available
A structure filter for the Eukaryotic Linear Motif Resource,"A Via, CM Gould, C Gemünd… - BMC …, 2009 - bmcbioinformatics.biomedcentral …",2009,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-10-351,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-10-351,,,1,42,No DOI available
Voice recording method and system providing context specific storage and retrieval,"PK Brady - US Patent 5,982,857, 1999 - Google Patents",1999,https://patents.google.com/patent/US5982857A/en,No PDF available,,,1,183,No DOI available
"System and method for multi-model, context-sensitive, real-time collaboration","JF Buford, KK Dhara, M Kolberg… - US Patent App. 12 …, 2012 - Google Patents",2012,https://patents.google.com/patent/US20120030289A1/en,No PDF available,,,1,53,No DOI available
Client-side aggregation of context-sensitive request results where results for aggregation are asynchronously produced by multiple servers,"CJ Howard, TE Kaplinger, SJ Kenna… - US Patent …, 2015 - Google Patents",2015,https://patents.google.com/patent/US9069870B2/en,No PDF available,,,1,23,No DOI available
Platinum-sensitive recurrence in ovarian cancer: the role of tumor microenvironment,"J Chien, R Kuang, C Landen, V Shridhar - Frontiers in oncology, 2013 - frontiersin.org",2013,https://www.frontiersin.org/articles/10.3389/fonc.2013.00251,https://www.frontiersin.org/articles/10.3389/fonc.2013.00251,,,1,70,No DOI available
Systematic discovery of functional modules and context-specific functional annotation of human genome,"Y Huang, H Li, H Hu, X Yan, MS Waterman… - …, 2007 - academic.oup.com",2007,https://academic.oup.com/bioinformatics/article-abstract/23/13/i222/237035,https://academic.oup.com/bioinformatics/article/23/13/i222/237035,,,1,90,No DOI available
A baseline security policy for distributed healthcare information systems,"D Gritzalis - Computers & Security, 1997 - Elsevier",1997,https://www.sciencedirect.com/science/article/pii/S0167404897000096,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:wqoPNXImGN0J:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=2630986736309320421&oi=lle",,,1,60,No DOI available
