title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Situation-aware IoT service coordination using the event-driven SOA paradigm,"B Cheng, D Zhu, S Zhao, J Chen - IEEE Transactions on …, 2016 - ieeexplore.ieee.org",2016,https://ieeexplore.ieee.org/abstract/document/7442148/,https://ieeexplore.ieee.org/iel7/4275028/5699970/07442148.pdf,,,1,50,No DOI available
Towards context-aware multimedia processing through semantic web services,"S Dietze, JB Domingue - Proceedings of the 7th European Conference …, 2009 - dl.acm.org",2009,https://dl.acm.org/citation.cfm?id=1542107,http://www.academia.edu/download/31008881/towards_context_aware_composition_of_web_services.pdf,,,1,6,No DOI available
Assessing flexibility in event-driven process adaptation,"I Patiniotakis, D Apostolou, Y Verginadis… - Information Systems, 2017 - Elsevier",2017,https://www.sciencedirect.com/science/article/pii/S0306437917300054,"http://scholar.google.de/scholar?output=instlink&nossl=1&q=info:23buZEVV0xkJ:scholar.google.com/&hl=de&as_sdt=0,5&scillfp=15319671566268529796&oi=lle",,,1,1,No DOI available
Adaptive Web Services for Modular and Reusable Software Development: Tactics and Solutions: Tactics and Solutions,G Ortiz - 2012 - books.google.com,2012,https://books.google.de/books?hl=de&lr=&id=ALaeBQAAQBAJ&oi=fnd&pg=PR1&dq=situation-aware+AND+choreography+AND+adapt*&ots=yKUJM2kAQO&sig=gNpwjar_dj2XJU0ugoW9sxwen7g,https://www.simondobson.org/static/sd/softcopy/sapere-soa-semantic-web-12.pdf,,,1,3,No DOI available
supporting interoperability and Context-awareness in e-learning through situation-driven learning Processes,"S Dietze, A Gugliotta, J Domingue - International Journal of Distance …, 2009 - igi-global.com",2009,https://www.igi-global.com/article/international-journal-distance-education-technologies/3912,https://www.igi-global.com/viewtitle.aspx?titleid=3912,,,1,12,No DOI available
Self-aware computing systems: related concepts and research areas,"J Cámara, KL Bellman, JO Kephart, M Autili… - Self-Aware Computing …, 2017 - Springer",2017,https://link.springer.com/chapter/10.1007/978-3-319-47474-8_2,No PDF available,,,1,7,No DOI available
From situation modelling to a distributed rule-based platform for situation awareness: an ontological framework for disaster management applications,JLR Moreira - 2011 - core.ac.uk,2011,https://core.ac.uk/download/pdf/31153767.pdf,https://core.ac.uk/download/pdf/31153767.pdf,,,1,No cite count available,No DOI available
Service-based computing on manets: Enabling dynamic interoperability of first responders,"J Kopena, E Sultanik, G Naik, I Howley… - IEEE Intelligent …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1511996/,https://ieeexplore.ieee.org/iel5/9670/32373/01511996.pdf,,,1,28,No DOI available
Towards flexible process support on mobile devices,"R Pryss, J Tiedeken, U Kreher, M Reichert - International Conference on …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-17722-4_11,https://link.springer.com/content/pdf/10.1007/978-3-642-17722-4_11.pdf,,,1,88,No DOI available
C2IoT: A framework for Cloud-based Context-aware Internet of Things services for smart cities,"S Faieq, R Saidi, H Elghazi, MD Rahmani - Procedia Computer Science, 2017 - Elsevier",2017,https://www.sciencedirect.com/science/article/pii/S1877050917312486,https://www.sciencedirect.com/science/article/pii/S1877050917312486/pdf?md5=6ec8c01090ea5a70108535ca470c4db0&isDTMRedir=Y&pid=1-s2.0-S1877050917312486-main.pdf&_valck=1,,,1,6,No DOI available
IoT Coordination: Designing a context-driven architecture,"B Radia, J Zahi - 2017 13th International Conference on Signal …, 2017 - ieeexplore.ieee.org",2017,https://ieeexplore.ieee.org/abstract/document/8334776/,No PDF available,,,1,No cite count available,No DOI available
Bridging the Gap between Mobile Application Contexts and Web Resources,"S Dietze, A Gugliotta, J Domingue - Web Technologies: Concepts …, 2010 - igi-global.com",2010,https://www.igi-global.com/chapter/bridging-gap-between-mobile-application/37719,https://pdfs.semanticscholar.org/d985/0d8a6901031881388f10ec0feae7596d3c3d.pdf,,,1,14,No DOI available
Towards light-weight semantic descriptions for decentralized service-oriented systems,"H Pfeffer, D Linner, C Jacob, I Radusch… - International …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4338362/,https://ieeexplore.ieee.org/iel5/4338315/4338316/04338362.pdf,,,1,10,No DOI available
Towards the agility of collaborative workflows through an event driven approach–Application to crisis management,"AM Barthe-Delanoë, A Montarnal, S Truptil… - International journal of …, 2018 - Elsevier",2018,https://www.sciencedirect.com/science/article/pii/S2212420918302309,https://hal-mines-albi.archives-ouvertes.fr/hal-01724575/document,,,1,3,No DOI available
A semantic rule and event driven approach for agile decision-centric business process management,"A Paschke - European Conference on a Service-Based Internet, 2011 - Springer",2011,https://link.springer.com/chapter/10.1007/978-3-642-24755-2_24,http://www.academia.edu/download/46301845/A_Semantic_Rule_and_Event_Driven_Approac20160607-12338-1wg637l.pdf,,,1,11,No DOI available
Is Drivers' Situation Awareness Influenced by a Fully Automated Driving Scenario?,"N Merat, AH Jamson - Human factors, security and safety, 2009 - eprints.whiterose.ac.uk",2009,http://eprints.whiterose.ac.uk/84466/,http://eprints.whiterose.ac.uk/84466/1/pMerat.pdf,,,1,20,No DOI available
Towards creating context-aware dynamically-adaptable business processes using complex event processing,G Hermosillo - 2012 - tel.archives-ouvertes.fr,2012,https://tel.archives-ouvertes.fr/tel-00709303/,https://tel.archives-ouvertes.fr/tel-00709303/document,,,1,5,No DOI available
Modeling context-aware systems using TOSCA,M Martín Sanchez - 2017 - elib.uni-stuttgart.de,2017,http://elib.uni-stuttgart.de/handle/11682/9303,http://elib.uni-stuttgart.de/bitstream/11682/9303/1/master_thesis_final.pdf,,,1,No cite count available,No DOI available
Bridging the Gap between Mobile Application Contexts and Semantic Web Resources Web Resources,"S Dietze, A Gugliotta, J Domingue - pdfs.semanticscholar.org",No year available,https://pdfs.semanticscholar.org/8004/0767788bcbb07bd14dbc63281146f89dc6f2.pdf,https://pdfs.semanticscholar.org/8004/0767788bcbb07bd14dbc63281146f89dc6f2.pdf,,,1,No cite count available,No DOI available
SquirrelJoin: network-aware distributed join processing with lazy partitioning,"L Rupprecht, W Culhane, P Pietzuch - Proceedings of the VLDB …, 2017 - dl.acm.org",2017,https://dl.acm.org/citation.cfm?id=3137636,https://pdfs.semanticscholar.org/6ed9/31956400fd24bb50198978723a3a2888660c.pdf,,,1,6,No DOI available
Middleware support for internetware: a service perspective,"C Ye, J Wei, H Zhong, T Huang - Proceedings of the Second Asia-Pacific …, 2010 - dl.acm.org",2010,https://dl.acm.org/citation.cfm?id=2020727,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i65&flag=1&journal_id=ijsi&year_id=2010,,,1,5,No DOI available
In the Cause of Architecture: Traversing Design and Making,"I Maxwell, D Pigram - Log, 2012 - JSTOR",2012,https://www.jstor.org/stable/41765733,No PDF available,,,1,9,No DOI available
Pure Edge Computing Platform for the Future Internet,"M D'Angelo, M Caporuscio - Federation of International Conferences on …, 2016 - Springer",2016,https://link.springer.com/chapter/10.1007/978-3-319-50230-4_36,https://www.researchgate.net/profile/Mauro_Caporuscio/publication/308792578_Pure_Edge_Computing_Platform_for_the_Future_Internet/links/5b2a28ff0f7e9b1d009bd50e/Pure-Edge-Computing-Platform-for-the-Future-Internet.pdf,,,1,3,No DOI available
