title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Situation-aware access control for service-oriented autonomous decentralized systems,"SS Yau, Y Yao, V Banga - … Autonomous Decentralized Systems …, 2005 - ieeexplore.ieee.org",2005,https://ieeexplore.ieee.org/abstract/document/1452011/,https://ieeexplore.ieee.org/iel5/9846/31027/01452011.pdf,,,1,24,No DOI available
Development of situation-aware application software for ubiquitous computing environments,"SS Yau, Y Wang, F Karim - Proceedings 26th Annual …, 2002 - ieeexplore.ieee.org",2002,https://ieeexplore.ieee.org/abstract/document/1044557/,https://ieeexplore.ieee.org/iel5/8094/22390/01044557.pdf,,,1,126,No DOI available
Situation-aware wireless networks,"S Sharma, AR Nix, S Olafsson - IEEE Communications …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1215638/,https://ieeexplore.ieee.org/iel5/35/27341/01215638.pdf,,,1,20,No DOI available
Secure middleware for situation-aware naval C/sup 2/and combat systems,"R Bharadwaj - The Ninth IEEE Workshop on Future Trends of …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1204342/,https://ieeexplore.ieee.org/iel5/8565/27118/01204342.pdf,,,1,18,No DOI available
Development and runtime support for situation-aware security in autonomic computing,"SS Yau, Y Yao, M Yan - … Conference on Autonomic and Trusted Computing, 2006 - Springer",2006,https://link.springer.com/chapter/10.1007/11839569_17,https://pdfs.semanticscholar.org/fa04/35e6008e0a145a7d654388a0bb9b5853d426.pdf,,,1,6,No DOI available
A situation-aware access control based privacy-preserving service matchmaking approach for service-oriented architecture,"SS Yau, J Liu - IEEE International Conference on Web Services …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4279706/,https://ieeexplore.ieee.org/iel5/4279552/4279553/04279706.pdf,,,1,16,No DOI available
Context-aware business application service co-ordination in mobile computing environments,"H Helin, M Klusch, A Lopes, A Fernández… - AAMAS05 workshop on …, 2005 - Citeseer",2005,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.385.9581&rep=rep1&type=pdf,,,1,18,No DOI available
Development of Situation-Aware Applications in Services and Cloud Computing Environments.,"SS Yau, D Huang - Int. J. Software and Informatics, 2013 - ijsi.cnjournals.com",2013,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i147&year_id=2013&quarter_id=1&falg=1,http://ijsi.cnjournals.com/ch/reader/create_pdf.aspx?file_no=i147&year_id=2013&quarter_id=1&falg=1,,,1,13,No DOI available
SAT: situation-aware trust architecture for vehicular networks,"X Hong, D Huang, M Gerla, Z Cao - … of the 3rd international workshop on …, 2008 - dl.acm.org",2008,https://dl.acm.org/citation.cfm?id=1403015,http://cs.ua.edu/~hxy/papers/mobiarch9837-hong.pdf,,,1,40,No DOI available
Context aware tools for smart home development,"RJ Robles, T Kim - International Journal of Smart Home, 2010 - Citeseer",2010,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.390.7398&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.390.7398&rep=rep1&type=pdf,,,1,60,No DOI available
Middleware support for embedded software with multiple QoS properties for ubiquitous computing environments,"SS Yau, Y Wang, D Huang - Proceedings of the Eighth …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1218090/,https://ieeexplore.ieee.org/iel5/8640/27379/01218090.pdf,,,1,6,No DOI available
