title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Autonomic communication services: a new challenge for software agents,"R Quitadamo, F Zambonelli - Autonomous Agents and Multi-Agent …, 2008 - Springer",2008,https://link.springer.com/article/10.1007/s10458-008-9054-9,https://link.springer.com/content/pdf/10.1007/s10458-008-9054-9.pdf,,,1,37,No DOI available
Internet of things strategic research roadmap,"O Vermesan, P Friess, P Guillemin… - Internet of things …, 2011 - books.google.com",2011,https://books.google.de/books?hl=de&lr=&id=Eug-RvslW30C&oi=fnd&pg=PA9&dq=situation-aware+AND+decentralized+service+composition+AND+reconfig*&ots=3Uw9vIeEEt&sig=_v--I2RHAjIzOlGszmLRcvxoWsg,https://brage.bibsys.no/xmlui/bitstream/handle/11250/2430372/SINTEF%2BS13363.pdf?sequence=2,,,1,691,No DOI available
Collective awareness for human-ict collaboration in smart cities,"N Bicocchi, A Cecaj, D Fontana… - 2013 Workshops on …, 2013 - ieeexplore.ieee.org",2013,https://ieeexplore.ieee.org/abstract/document/6570574/,https://ieeexplore.ieee.org/iel7/6569034/6570561/06570574.pdf,,,1,24,No DOI available
Self-organized data ecologies for pervasive situation-aware services: The knowledge networks approach,"N Bicocchi, M Baumgarten, N Brgulja… - … on Systems, Man …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5477187/,https://ieeexplore.ieee.org/iel5/3468/5484919/05477187.pdf,,,1,16,No DOI available
Service-oriented architecture for command and control systems with dynamic reconfiguration,"RA Paul, WT Tsai - 2004 - apps.dtic.mil",2004,https://apps.dtic.mil/docs/citations/ADA465985,https://apps.dtic.mil/dtic/tr/fulltext/u2/a465985.pdf,,,1,15,No DOI available
Towards resource-aware network of networks,"A Manzalini, R Minerva, C Moiso - IEEE 5th International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5483787/,https://ieeexplore.ieee.org/iel5/5479087/5483696/05483787.pdf,,,1,6,No DOI available
OWL-SF–a distributed semantic service framework,"B Mrohs, M Luther, R Vaidya… - Proc. of the …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=77,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=77,,,1,32,No DOI available
Towards an agent model for future autonomic communications,"F De Mola, R Quitadamo - Proceedings of the 7th WOA 2006 Workshop …, 2006 - Citeseer",2006,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.7340&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.62.7340&rep=rep1&type=pdf,,,1,12,No DOI available
Autonomic and cognitive architectures for the Internet of Things,"C Savaglio, G Fortino - … Conference on Internet and Distributed Computing …, 2015 - Springer",2015,https://link.springer.com/chapter/10.1007/978-3-319-23237-9_5,https://www.researchgate.net/profile/Claudio_Savaglio/publication/300543179_Autonomic_and_Cognitive_Architectures_for_the_Internet_of_Things/links/5adb184c458515c60f5ce801/Autonomic-and-Cognitive-Architectures-for-the-Internet-of-Things.pdf,,,1,22,No DOI available
Architectural issues of adaptive pervasive systems,"M Caporuscio, M Funaro, C Ghezzi - Graph transformations and model …, 2010 - Springer",2010,https://link.springer.com/chapter/10.1007/978-3-642-17322-6_21,https://www.researchgate.net/profile/Mauro_Caporuscio/publication/221351027_Architectural_Issues_of_Adaptive_Pervasive_Systems/links/5b28b23445851509895cd4b3/Architectural-Issues-of-Adaptive-Pervasive-Systems.pdf,,,1,10,No DOI available
Tomorrow's open internet for telco and web federations,"A Manzalini - … Conference on Complex, Intelligent and Software …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4606736/,https://ieeexplore.ieee.org/iel5/4606617/4606618/04606736.pdf,,,1,8,No DOI available
Design of a situation aware service for internet of things,"IY Jung, GJ Jang, JM Yang… - International Journal of …, 2015 - journals.sagepub.com",2015,https://journals.sagepub.com/doi/abs/10.1155/2015/641312,https://journals.sagepub.com/doi/pdf/10.1155/2015/641312,,,1,2,No DOI available
A Pragmatic Note on Knopflerfish-based Ambient Assisted Living (AAI) Systems Engineering,"V Venkatesh, P Raj, V Vaithayanathan… - International Journal of …, 2011 - academia.edu",2011,http://www.academia.edu/download/46801793/A_Pragmatic_Note_on_Knopflerfish-based_A20160626-16966-1w4z5ru.pdf,http://www.academia.edu/download/46801793/A_Pragmatic_Note_on_Knopflerfish-based_A20160626-16966-1w4z5ru.pdf,,,1,4,No DOI available
Middleware for pervasive computing: A survey,"V Raychoudhury, J Cao, M Kumar, D Zhang - Pervasive and Mobile …, 2013 - Elsevier",2013,https://www.sciencedirect.com/science/article/pii/S1574119212001113,https://www.cs.umd.edu/class/spring2014/cmsc818g/files/middlewaresurvey.pdf,,,1,106,No DOI available
Middleware support for embedded software with multiple QoS properties for ubiquitous computing environments,"SS Yau, Y Wang, D Huang - Proceedings of the Eighth …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1218090/,https://ieeexplore.ieee.org/iel5/8640/27379/01218090.pdf,,,1,6,No DOI available
Bringing autonomic services to life,"L Baresi, R Cascella, P DEUSSEN… - … Situation-aware …, 2008 - docbox.etsi.org",2008,http://docbox.etsi.org/ERM/open/CERP-IoT20090518/D8.4%20CASCADAS%20WHITE%20PAPER%20ACE.pdf,http://docbox.etsi.org/ERM/open/CERP-IoT20090518/D8.4%20CASCADAS%20WHITE%20PAPER%20ACE.pdf,,,1,1,No DOI available
10431 Abstracts Collection--Software Engineering for Self-Adaptive Systems,"R de Lemos, H Giese, H Müller… - Dagstuhl Seminar …, 2011 - drops.dagstuhl.de",2011,http://drops.dagstuhl.de/opus/volltexte/2011/3089/,http://drops.dagstuhl.de/opus/volltexte/2011/3089/pdf/10431_abstracts_collection.3089.pdf,,,1,1,No DOI available
A New Approach for Enabling Context-Awareness Towards People-centric and Smarter Applications,"V Venkatesh, P Raj, V Vaithiyanathan… - Information Technology …, 2014 - scialert.net",2014,https://scialert.net/fulltextmobile/?doi=itj.2014.2602.2610,https://scialert.net/fulltextmobile/?doi=itj.2014.2602.2610,,,1,1,No DOI available
Secure middleware for situation-aware naval C/sup 2/and combat systems,"R Bharadwaj - The Ninth IEEE Workshop on Future Trends of …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1204342/,https://ieeexplore.ieee.org/iel5/8565/27118/01204342.pdf,,,1,18,No DOI available
Situation-aware composition and execution in dynamic environments by automated planning,"Q Lu, J Wilson, Y Chen, C Gill, L Thomas… - … Applications of Artificial …, 2014 - Elsevier",2014,https://www.sciencedirect.com/science/article/pii/S0952197614001468,https://www.cse.wustl.edu/~ychen/public/EAAI.pdf,,,1,No cite count available,No DOI available
