title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Towards autonomic and situation-aware communication services: the cascadas vision,"A Manzalini, F Zambonelli - IEEE Workshop on Distributed …, 2006 - ieeexplore.ieee.org",2006,https://ieeexplore.ieee.org/abstract/document/1633473/,https://ieeexplore.ieee.org/iel5/10880/34247/01633473.pdf,,,1,66,No DOI available
Adaptable service composition for very-large-scale internet of things systems,"K Dar, A Taherkordi, R Rouvoy, F Eliassen - Proceedings of the 8th …, 2011 - dl.acm.org",2011,https://dl.acm.org/citation.cfm?id=2093192,https://www.researchgate.net/profile/Frank_Eliassen/publication/254004625_Adaptable_Service_Composition_for_Very-Large-Scale_Internet_of_Things_Systems/links/53d603700cf228d363ea1c15.pdf,,,1,41,No DOI available
Self-organizing knowledge networks for pervasive situation-aware services,"M Baumgarten, N Bicocchi, R Kusber… - … on Systems, Man …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4414234/,https://ieeexplore.ieee.org/iel5/4413560/4413561/04414234.pdf,,,1,8,No DOI available
A component-based distributed control system for assembly automation,"SM Lee, R Harrison, AA West - 2nd IEEE International …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1417298/,https://ieeexplore.ieee.org/iel5/9715/30671/01417298.pdf,,,1,34,No DOI available
OWL-SF–a distributed semantic service framework,"B Mrohs, M Luther, R Vaidya… - Proc. of the …, 2005 - pdfs.semanticscholar.org",2005,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=77,https://pdfs.semanticscholar.org/44a7/46a960fd6d2ad21dd7cbc1784dd79884828a.pdf#page=77,,,1,32,No DOI available
Secure middleware for situation-aware naval C/sup 2/and combat systems,"R Bharadwaj - … IEEE Workshop on Future Trends of Distributed …, 2003 - ieeexplore.ieee.org",2003,https://ieeexplore.ieee.org/abstract/document/1204342/,https://ieeexplore.ieee.org/iel5/8565/27118/01204342.pdf,,,1,18,No DOI available
An approach to adaptive distributed execution monitoring for workflows in service-based systems,"SS Yau, D Huang, L Zhu - 31st Annual International Computer …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4291126/,https://ieeexplore.ieee.org/iel5/4291084/4291085/04291126.pdf,,,1,11,No DOI available
Self-organized data ecologies for pervasive situation-aware services: The knowledge networks approach,"N Bicocchi, M Baumgarten, N Brgulja… - … on Systems, Man …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5477187/,https://ieeexplore.ieee.org/iel5/3468/5484919/05477187.pdf,,,1,16,No DOI available
Development and runtime support for situation-aware application software in ubiquitous computing environments,"SS Yau, D Huang, H Gong… - Proceedings of the 28th …, 2004 - ieeexplore.ieee.org",2004,https://ieeexplore.ieee.org/abstract/document/1342878/,https://ieeexplore.ieee.org/iel5/9304/29570/01342878.pdf,,,1,49,No DOI available
Representing and manipulating situation hierarchies using situation lattices,"JYLCS Dobson, P Nixon - Revue dIntelligence Artificielle, x, 2008 - Citeseer",2008,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.190.8344&rep=rep1&type=pdf,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.190.8344&rep=rep1&type=pdf,,,1,37,No DOI available
A software cybernetics approach to deploying and scheduling,"SS Yau, D Huang, L Zhu, KY Cai - … Future Trends of Distributed …, 2007 - ieeexplore.ieee.org",2007,https://ieeexplore.ieee.org/abstract/document/4144625/,https://ieeexplore.ieee.org/iel5/4144597/4144598/04144625.pdf,,,1,15,No DOI available
Behavior-based access control for distributed healthcare environment,"MH Yarmand, K Sartipi… - 2008 21st IEEE …, 2008 - ieeexplore.ieee.org",2008,https://ieeexplore.ieee.org/abstract/document/4561969/,https://ieeexplore.ieee.org/iel5/4561933/4561934/04561969.pdf,,,1,16,No DOI available
A principled approach to supporting adaptation in distributed mobile environments,"GS Blair, G Coulson, L Blair, M Clarke, F Costa… - pdse, 2000 - ieeexplore.ieee.org",2000,https://ieeexplore.ieee.org/abstract/document/847845/,https://www.researchgate.net/profile/Anders_Andersen2/publication/2328687_A_Principled_Approach_To_Supporting_Adaptation_In_Distributed_Mobile_Environments/links/09e41513decbeb4a88000000/A-Principled-Approach-To-Supporting-Adaptation-In-Distributed-Mobile-Environments.pdf,,,1,52,No DOI available
Autonomic and cognitive architectures for the Internet of Things,"C Savaglio, G Fortino - … Conference on Internet and Distributed Computing …, 2015 - Springer",2015,https://link.springer.com/chapter/10.1007/978-3-319-23237-9_5,https://www.researchgate.net/profile/Claudio_Savaglio/publication/300543179_Autonomic_and_Cognitive_Architectures_for_the_Internet_of_Things/links/5adb184c458515c60f5ce801/Autonomic-and-Cognitive-Architectures-for-the-Internet-of-Things.pdf,,,1,22,No DOI available
Architecture for multimodal interactive assistant systems,"T Kirste, S Rapp - Proceedings of International Status Conference …, 2001 - researchgate.net",2001,https://www.researchgate.net/profile/Stefan_Rapp/publication/260291511_Architecture_for_Multimodal_Interactive_Assistant_Systems/links/0deec5309d65209d1f000000.pdf,https://www.researchgate.net/profile/Stefan_Rapp/publication/260291511_Architecture_for_Multimodal_Interactive_Assistant_Systems/links/0deec5309d65209d1f000000.pdf,,,1,11,No DOI available
Modeling situation-aware ambient assisted living systems for eldercare,"W Kurschl, S Mitsch, J Schoenboeck - 2009 Sixth International …, 2009 - cs.cmu.edu",2009,http://www.cs.cmu.edu/afs/cs/Web/People/smitsch/pdf/ITNG09_Telehomecare.pdf,http://www.cs.cmu.edu/afs/cs/Web/People/smitsch/pdf/ITNG09_Telehomecare.pdf,,,1,14,No DOI available
Coordination of distributed systems through self-organizing group topologies,"S Guinea, P Saeedi - … for Adaptive and Self-Managing Systems …, 2012 - ieeexplore.ieee.org",2012,https://ieeexplore.ieee.org/abstract/document/6224392/,https://ieeexplore.ieee.org/iel5/6220308/6224384/06224392.pdf,,,1,10,No DOI available
Using situation lattices to model and reason about context,"J Ye, L Coyle, S Dobson, P Nixon - Proceedings of MRC, 2007 - pdfs.semanticscholar.org",2007,https://pdfs.semanticscholar.org/9012/6a5207c50c3e63120d1a9c0666549bb1323c.pdf#page=11,https://pdfs.semanticscholar.org/9012/6a5207c50c3e63120d1a9c0666549bb1323c.pdf#page=11,,,1,42,No DOI available
HASM: A hybrid architecture for sensor management in a distributed surveillance context,"AR Hilal, A Khamis, O Basir - 2011 International Conference on …, 2011 - ieeexplore.ieee.org",2011,https://ieeexplore.ieee.org/abstract/document/5874929/,https://ieeexplore.ieee.org/iel5/5781738/5874867/05874929.pdf,,,1,7,No DOI available
Towards resource-aware network of networks,"A Manzalini, R Minerva, C Moiso - IEEE 5th International …, 2010 - ieeexplore.ieee.org",2010,https://ieeexplore.ieee.org/abstract/document/5483787/,https://ieeexplore.ieee.org/iel5/5479087/5483696/05483787.pdf,,,1,6,No DOI available
Role-based situation-aware information seeking and retrieval for crisis response,"N Chen, ANW Dahanayake - Journal of Intelligent Control …, 2007 - pdfs.semanticscholar.org",2007,https://pdfs.semanticscholar.org/1a05/dd8c7625752ce96378ac56814c5950505c95.pdf,https://pdfs.semanticscholar.org/1a05/dd8c7625752ce96378ac56814c5950505c95.pdf,,,1,8,No DOI available
A concept for context-aware computing in manufacturing: the white goods case,"K Alexopoulos, S Makris, V Xanthakis… - … Journal of Computer …, 2016 - Taylor & Francis",2016,https://www.tandfonline.com/doi/abs/10.1080/0951192X.2015.1130257,https://www.tandfonline.com/doi/full/10.1080/0951192X.2015.1130257,,,1,25,No DOI available
