title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
 $(ACH)^2$  : Routing Scheme to Maximize Lifetime and Throughput of Wireless Sensor Networks,"Ashfaq Ahmad, Nadeem Javaid, Zahoor Ali Khan, Umar Qasim, Turki Ali Alghamdi",Oct. 2014,https://ieeexplore.ieee.org/document/6825849/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6825849,,,1,44,10.1109/JSEN.2014.2328613
" $(M,p,k)$-Friendly Points: A Table-Based Method to Evaluate Trigonometric Function","Dong Wang, Jean-Michel Muller, Nicolas Brisebarre, Miloš D. Ercegovac",Sept. 2014,https://ieeexplore.ieee.org/document/6837430/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6837430,,,1,5,10.1109/TCSII.2014.2331094
 $1024 \times 1024$  Pixel Charge-Transfer-Type Hydrogen Ion Image Sensor,"Masato Futagawa, Ryota Otake, Fumihiro Dasai, Makoto Ishida, Kazuaki Sawada","June1, 2016",https://ieeexplore.ieee.org/document/7422665/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7422665,,,1,3,10.1109/JSEN.2016.2536610
 $1\times2$  Optofluidic Switch for Optical Beam Routing and Variable Power Distribution,"Rong-Ying Yuan, Lin Luo, Jin-Hui Wang, Lei Li, Qiong-Hua Wang","15 Sept.15, 2018",https://ieeexplore.ieee.org/document/8428662/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8428662,,,1,0,10.1109/LPT.2018.2864110
 $4\times25$  Gbps Polarization Diversity Silicon Photonics Receiver With Transfer Printed III-V Photodiodes,"Grigorij Muliuk, Kasper Van Gasse, Joris Van Kerrebrouck, Antonio José Trindade, Brian Corbett, Dries Van Thourhout, Günther Roelkens","15 Feb.15, 2019",https://ieeexplore.ieee.org/document/8590696/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8590696,,,1,0,10.1109/LPT.2018.2889901
 $8\times16$  Wavelength Selective Switch With Full Contentionless Switching,"Zhilin Yuan, Wei Li, Rui Yang, Liu Yang, Fan Wang, Jinping Guo, Zuowei Xu, You Wang, Qiguang Feng, Yuxiang Yang, Qianggao Hu","1 April1, 2019",https://ieeexplore.ieee.org/document/8654625/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8654625,,,1,0,10.1109/LPT.2019.2902296
 $CSIsnoop$ : Inferring Channel State Information in Multi-User MIMO WLANs,"Xu Zhang, Edward W. Knightly",Feb. 2019,https://ieeexplore.ieee.org/document/8584105/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8584105,,,1,0,10.1109/TNET.2018.2884174
 $Deep-Full-Range$ : A Deep Learning Based Network Encrypted Traffic Classification and Intrusion Detection Framework,"Yi Zeng, Huaxi Gu, Wenting Wei, Yantao Guo",2019,https://ieeexplore.ieee.org/document/8678865/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8678865,,,1,0,10.1109/ACCESS.2019.2908225
 $E^{2}D$  Wi-Fi: A Mechanism to Achieve Energy Efficient Discovery in Wi-Fi,"Daniel Camps-Mur, Paulo Loureiro",June 2014,https://ieeexplore.ieee.org/document/6656806/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6656806,,,1,4,10.1109/TMC.2013.149
 $H$ -Plane Narrow-Wall Double-Ridge Waveguide Coupler in  $V$ - and  $W$ -Bands,"Sara Manafi, Ljubodrag B. Boskovic, Dejan S. Filipovic",March 2019,https://ieeexplore.ieee.org/document/8629283/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8629283,,,1,0,10.1109/LMWC.2019.2893385
