title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A context-aware framework for dynamic composition of process fragments in the internet of services,"Antonio Bucchiarone,    Annapaola Marconi…",2017,https://link.springer.com/article/10.1186/s13174-017-0057-0,https://link.springer.com/content/pdf/10.1186%2Fs13174-017-0057-0.pdf,,,1,4,https://doi.org/10.1186/s13174-017-0057-0
Model-Driven Development of Context-Aware Services,"João Paulo A. Almeida,    Maria-Eugenia Iacob…",2006,https://link.springer.com/chapter/10.1007/11773887_17,https://link.springer.com/content/pdf/10.1007%2F11773887_17.pdf,,,1,No cite count available,https://doi.org/10.1007/11773887_17
Modeling and Analyzing Context-Aware Composition of Services,"Enzo Colombo,    John Mylopoulos,    Paola Spoletini",2005,https://link.springer.com/chapter/10.1007/11596141_16,https://link.springer.com/content/pdf/10.1007%2F11596141_16.pdf,,,1,3,https://doi.org/10.1007/11596141_16
The core enabling technologies of big data analytics and context-aware computing for smart sustainable cities: a review and synthesis,"Simon Elias Bibri,    John Krogstie",2017,https://link.springer.com/article/10.1186/s40537-017-0091-6,https://link.springer.com/content/pdf/10.1186%2Fs40537-017-0091-6.pdf,,,1,8,https://doi.org/10.1186/s40537-017-0091-6
Lightweight Composition of Ad-Hoc Enterprise-Class Applications with Context-Aware Enterprise Mashups,"Florian Gilles,    Volker Hoyer,    Till Janner…",2010,https://link.springer.com/chapter/10.1007/978-3-642-16132-2_48,https://link.springer.com/content/pdf/10.1007%2F978-3-642-16132-2_48.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-16132-2_48
A SOA-Based Platform-Specific Framework for Context-Aware Mobile Applications,"Laura M. Daniele,    Eduardo Silva,    Luís Ferreira Pires…",2009,https://link.springer.com/chapter/10.1007/978-3-642-04750-3_3,https://link.springer.com/content/pdf/10.1007%2F978-3-642-04750-3_3.pdf,,,1,6,https://doi.org/10.1007/978-3-642-04750-3_3
A Context-Aware Trust Model for Service-Oriented Multi-Agent Systems,"Kaiyu Wan,    Vasu Alagar",2009,https://link.springer.com/chapter/10.1007/978-3-642-01247-1_23,https://link.springer.com/content/pdf/10.1007%2F978-3-642-01247-1_23.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-01247-1_23
Context-Aware GRID Services: Issues and Approaches,"Kerry Jean,    Alex Galis,    Alvin Tan",2004,https://link.springer.com/chapter/10.1007/978-3-540-24688-6_24,https://link.springer.com/content/pdf/10.1007%2F978-3-540-24688-6_24.pdf,,,1,1,https://doi.org/10.1007/978-3-540-24688-6_24
A Context-Aware Service Discovery Framework Based on Human Needs Model,"Nasser Ghadiri,    Mohammad Ali Nematbakhsh…",2007,https://link.springer.com/chapter/10.1007/978-3-540-74974-5_35,https://link.springer.com/content/pdf/10.1007%2F978-3-540-74974-5_35.pdf,,,1,2,https://doi.org/10.1007/978-3-540-74974-5_35
On personalized cloud service provisioning for mobile users using adaptive and context-aware service composition,"Elarbi Badidi,    Yacine Atif,    Quan Z. Sheng,    Muthucumaru Maheswaran",2019,https://link.springer.com/article/10.1007/s00607-018-0631-8,https://link.springer.com/content/pdf/10.1007%2Fs00607-018-0631-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s00607-018-0631-8
An Aspect Oriented Approach for Context-Aware Service Domain Adapted to E-Business,"Khouloud Boukadi,    Chirine Ghedira…",2008,https://link.springer.com/chapter/10.1007/978-3-540-69534-9_5,https://link.springer.com/content/pdf/10.1007%2F978-3-540-69534-9_5.pdf,,,1,3,https://doi.org/10.1007/978-3-540-69534-9_5
A framework for cloud-based context-aware information services for citizens in smart cities,"Zaheer Khan,    Saad Liaquat Kiani,    Kamran Soomro",2014,https://link.springer.com/article/10.1186/s13677-014-0014-4,https://link.springer.com/content/pdf/10.1186%2Fs13677-014-0014-4.pdf,,,1,14,https://doi.org/10.1186/s13677-014-0014-4
Context-Aware UI Component Reuse,"Kerstin Klemisch,    Ingo Weber…",2013,https://link.springer.com/chapter/10.1007/978-3-642-38709-8_5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-38709-8_5.pdf,,,1,1,https://doi.org/10.1007/978-3-642-38709-8_5
A Knowledge Plane for Autonomic Context-Aware Wireless Mobile Ad Hoc Networks,"Daniel F. Macedo,    Aldri L. dos Santos…",2008,https://link.springer.com/chapter/10.1007/978-3-540-87359-4_1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-87359-4_1.pdf,,,1,5,https://doi.org/10.1007/978-3-540-87359-4_1
A Component-Based Reflective Middleware Approach to Context-Aware Adaptive Systems,"Zhang Kuo,    Wu Yanni,    Zheng Zhenkun,    Wang Xiaoge,    Chen Yu",2005,https://link.springer.com/chapter/10.1007/11531371_55,https://link.springer.com/content/pdf/10.1007%2F11531371_55.pdf,,,1,3,https://doi.org/10.1007/11531371_55
Analysing User Confusion in Context Aware Mobile Applications,"K. Loer,    M. D. Harrison",2005,https://link.springer.com/chapter/10.1007/11555261_18,https://link.springer.com/content/pdf/10.1007%2F11555261_18.pdf,,,1,5,https://doi.org/10.1007/11555261_18
Towards Context-Aware Telecom End User Services through SOA,"Philipp H. Mohr,    Giuseppe Raffa…",2009,https://link.springer.com/chapter/10.1007/978-3-540-93851-4_31,https://link.springer.com/content/pdf/10.1007%2F978-3-540-93851-4_31.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-540-93851-4_31
The Context-Dependent Role Model,"Jorge Vallejos,    Peter Ebraert,    Brecht Desmet…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_1.pdf,,,1,2,https://doi.org/10.1007/978-3-540-72883-2_1
