title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
A Component-Based Reflective Middleware Approach to Context-Aware Adaptive Systems,"Zhang Kuo,    Wu Yanni,    Zheng Zhenkun,    Wang Xiaoge,    Chen Yu",2005,https://link.springer.com/chapter/10.1007/11531371_55,https://link.springer.com/content/pdf/10.1007%2F11531371_55.pdf,,,1,3,https://doi.org/10.1007/11531371_55
Modeling of Component-Based Self-Adapting Context-Aware Applications for Mobile Devices,"Kurt Geihs,    Mohammad U. Khan,    Roland Reichle…",2007,https://link.springer.com/chapter/10.1007/978-0-387-39388-9_8,https://link.springer.com/content/pdf/10.1007%2F978-0-387-39388-9_8.pdf,,,1,4,https://doi.org/10.1007/978-0-387-39388-9_8
A Knowledge Plane for Autonomic Context-Aware Wireless Mobile Ad Hoc Networks,"Daniel F. Macedo,    Aldri L. dos Santos…",2008,https://link.springer.com/chapter/10.1007/978-3-540-87359-4_1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-87359-4_1.pdf,,,1,5,https://doi.org/10.1007/978-3-540-87359-4_1
Integrating SDN and NFV with QoS-Aware Service Composition,"Valeria Cardellini,    Tihana Galinac Grbac…",2018,https://link.springer.com/chapter/10.1007/978-3-319-90415-3_9,https://link.springer.com/content/pdf/10.1007%2F978-3-319-90415-3_9.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-319-90415-3_9
Service Portability Framework for Integrated Communication Environments,"Dmytro Zhovtobryukh,    Veikko Hara",2005,https://link.springer.com/chapter/10.1007/0-387-29248-9_20,https://link.springer.com/content/pdf/10.1007%2F0-387-29248-9_20.pdf,,,1,No cite count available,https://doi.org/10.1007/0-387-29248-9_20
Towards a Reconfigurable Middleware Architecture for Pervasive Computing Systems,"Gustavo G. Pascual,    Lidia Fuentes…",2011,https://link.springer.com/chapter/10.1007/978-3-642-22056-2_35,https://link.springer.com/content/pdf/10.1007%2F978-3-642-22056-2_35.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-22056-2_35
WiSeKit: A Distributed Middleware to Support Application-Level Adaptation in Sensor Networks,"Amirhosein Taherkordi,    Quan Le-Trung…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02164-0_4,https://link.springer.com/content/pdf/10.1007%2F978-3-642-02164-0_4.pdf,,,1,6,https://doi.org/10.1007/978-3-642-02164-0_4
Thematic series on Verification and Composition for the Internet of Services and Things,"Marco Autili,    Dimitra Giannakopoulou…",2018,https://link.springer.com/article/10.1186/s13174-018-0080-9,https://link.springer.com/content/pdf/10.1186%2Fs13174-018-0080-9.pdf,,,1,No cite count available,https://doi.org/10.1186/s13174-018-0080-9
A survey of autonomic computing methods in digital service ecosystems,"Dhaminda B. Abeywickrama,    Eila Ovaska",2017,https://link.springer.com/article/10.1007/s11761-016-0203-8,https://link.springer.com/content/pdf/10.1007%2Fs11761-016-0203-8.pdf,,,1,1,https://doi.org/10.1007/s11761-016-0203-8
Semantic analysis and verification of context-driven adaptive applications in intelligent environments,"Davy Preuveneers,    Wouter Joosen",2016,https://link.springer.com/article/10.1007/s40860-016-0019-5,https://link.springer.com/content/pdf/10.1007%2Fs40860-016-0019-5.pdf,,,1,7,https://doi.org/10.1007/s40860-016-0019-5
Towards In-Network Clouds in Future Internet,"Alex Galis,    Stuart Clayman,    Laurent Lefevre,    Andreas Fischer…",2011,https://link.springer.com/chapter/10.1007/978-3-642-20898-0_2,https://link.springer.com/content/pdf/10.1007%2F978-3-642-20898-0_2.pdf,,,1,2,https://doi.org/10.1007/978-3-642-20898-0_2
Towards a Dynamically Reconfigurable Automotive Control System Architecture,"Richard Anthony,    Achim Rettberg,    Dejiu Chen…",2007,https://link.springer.com/chapter/10.1007/978-0-387-72258-0_7,https://link.springer.com/content/pdf/10.1007%2F978-0-387-72258-0_7.pdf,,,1,10,https://doi.org/10.1007/978-0-387-72258-0_7
Refining the ethics of computer-made decisions: a classification of moral mediation by ubiquitous machines,"Marlies Van de Voort,    Wolter Pieters,    Luca Consoli",2015,https://link.springer.com/article/10.1007/s10676-015-9360-2,https://link.springer.com/content/pdf/10.1007%2Fs10676-015-9360-2.pdf,,,1,5,https://doi.org/10.1007/s10676-015-9360-2
SCENE: A Service Composition Execution Environment Supporting Dynamic Changes Disciplined Through Rules,"Massimiliano Colombo,    Elisabetta Di Nitto…",2006,https://link.springer.com/chapter/10.1007/11948148_16,https://link.springer.com/content/pdf/10.1007%2F11948148_16.pdf,,,1,38,https://doi.org/10.1007/11948148_16
"A conceptual-driven survey on future internet requirements, technologies, and challenges",Antonio Marcos Alberti,2013,https://link.springer.com/article/10.1007/s13173-013-0101-2,https://link.springer.com/content/pdf/10.1007%2Fs13173-013-0101-2.pdf,,,1,9,https://doi.org/10.1007/s13173-013-0101-2
Adaptive and Fault-Tolerant Service Composition in Peer-to-Peer Systems,"Vivian Prinz,    Florian Fuchs,    Peter Ruppel…",2008,https://link.springer.com/chapter/10.1007/978-3-540-68642-2_3,https://link.springer.com/content/pdf/10.1007%2F978-3-540-68642-2_3.pdf,,,1,6,https://doi.org/10.1007/978-3-540-68642-2_3
Utilising Alternative Application Configurations in Context- and QoS-Aware Mobile Middleware,"Sten A. Lundesgaard,    Ketil Lund…",2006,https://link.springer.com/chapter/10.1007/11773887_18,https://link.springer.com/content/pdf/10.1007%2F11773887_18.pdf,,,1,7,https://doi.org/10.1007/11773887_18
A Middleware-Based Application Framework for Active Space Applications,"Manuel Román,    Roy H. Campbell",2003,https://link.springer.com/chapter/10.1007/3-540-44892-6_22,https://link.springer.com/content/pdf/10.1007%2F3-540-44892-6_22.pdf,,,1,9,https://doi.org/10.1007/3-540-44892-6_22
