title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
The Context-Dependent Role Model,"Jorge Vallejos,    Peter Ebraert,    Brecht Desmet…",2007,https://link.springer.com/chapter/10.1007/978-3-540-72883-2_1,https://link.springer.com/content/pdf/10.1007%2F978-3-540-72883-2_1.pdf,,,1,2,https://doi.org/10.1007/978-3-540-72883-2_1
Context-dependent codon partition models provide significant increases in model fit in atpB and rbcL protein-coding genes,"Guy Baele,    Yves Van de Peer,    Stijn Vansteelandt",2011,https://link.springer.com/article/10.1186/1471-2148-11-145,https://link.springer.com/content/pdf/10.1186%2F1471-2148-11-145.pdf,,,1,2,https://doi.org/10.1186/1471-2148-11-145
Publishing and discovering context-dependent services,"Naseem Ibrahim,    Mubarak Mohammad…",2013,https://link.springer.com/article/10.1186/2192-1962-3-1,https://link.springer.com/content/pdf/10.1186%2F2192-1962-3-1.pdf,,,1,41,https://doi.org/10.1186/2192-1962-3-1
"Information engineering for developing and testing coherent, integrated and context-dependent user interfaces","Ellemieke van Doorn,    Imre Horváth,    Zoltán Rusák",2017,https://link.springer.com/article/10.1007/s10111-017-0412-8,https://link.springer.com/content/pdf/10.1007%2Fs10111-017-0412-8.pdf,,,1,No cite count available,https://doi.org/10.1007/s10111-017-0412-8
Single genome retrieval of context-dependent variability in mutation rates for human germline,"Aleksandr B. Sahakyan,    Shankar Balasubramanian",2017,https://link.springer.com/article/10.1186/s12864-016-3440-5,https://link.springer.com/content/pdf/10.1186%2Fs12864-016-3440-5.pdf,,,1,1,https://doi.org/10.1186/s12864-016-3440-5
Pitfalls of the most commonly used models of context dependent substitution,"Helen Lindsay,    Von Bing Yap,    Hua Ying,    Gavin A Huttley",2008,https://link.springer.com/article/10.1186/1745-6150-3-52,https://link.springer.com/content/pdf/10.1186%2F1745-6150-3-52.pdf,,,1,11,https://doi.org/10.1186/1745-6150-3-52
Efficient context-dependent model building based on clustering posterior distributions for non-coding sequences,"Guy Baele,    Yves Van de Peer,    Stijn Vansteelandt",2009,https://link.springer.com/article/10.1186/1471-2148-9-87,https://link.springer.com/content/pdf/10.1186%2F1471-2148-9-87.pdf,,,1,5,https://doi.org/10.1186/1471-2148-9-87
"Context-dependent regulation of feeding behaviour by the insulin receptor, DAF-2, in Caenorhabditis elegans
","James Dillon,    Lindy Holden-Dye,    Vincent O’Connor…",2016,https://link.springer.com/article/10.1007/s10158-016-0187-2,https://link.springer.com/content/pdf/10.1007%2Fs10158-016-0187-2.pdf,,,1,5,https://doi.org/10.1007/s10158-016-0187-2
High-throughput assessment of context-dependent effects of chromatin proteins,"Laura Brueckner,    Joris van Arensbergen,    Waseem Akhtar…",2016,https://link.springer.com/article/10.1186/s13072-016-0096-y,https://link.springer.com/content/pdf/10.1186%2Fs13072-016-0096-y.pdf,,,1,2,https://doi.org/10.1186/s13072-016-0096-y
What’s in a name? Context-dependent significance of ‘global’ methylation measures in human health and disease,"Regan Vryer,    Richard Saffery",2017,https://link.springer.com/article/10.1186/s13148-017-0311-0,https://link.springer.com/content/pdf/10.1186%2Fs13148-017-0311-0.pdf,,,1,4,https://doi.org/10.1186/s13148-017-0311-0
Context dependent substitution biases vary within the human genome,"P Andrew Nevarez,    Christopher M DeBoever,    Benjamin J Freeland…",2010,https://link.springer.com/article/10.1186/1471-2105-11-462,https://link.springer.com/content/pdf/10.1186%2F1471-2105-11-462.pdf,,,1,13,https://doi.org/10.1186/1471-2105-11-462
Comparative analysis of A-to-I editing in human and non-human primate brains reveals conserved patterns and context-dependent regulation of RNA editing,"Richard T. O’Neil,    Xiaojing Wang,    Michael V. Morabito,    Ronald B. Emeson",2017,https://link.springer.com/article/10.1186/s13041-017-0291-1,https://link.springer.com/content/pdf/10.1186%2Fs13041-017-0291-1.pdf,,,1,2,https://doi.org/10.1186/s13041-017-0291-1
Corticosteroid Receptors in the Brain: Transcriptional Mechanisms for Specificity and Context-Dependent Effects,"Onno C. Meijer,    J. C. Buurstede,    Marcel J. M. Schaaf",2019,https://link.springer.com/article/10.1007/s10571-018-0625-2,https://link.springer.com/content/pdf/10.1007%2Fs10571-018-0625-2.pdf,,,1,No cite count available,https://doi.org/10.1007/s10571-018-0625-2
Mate-guarding in a promiscuous insect: species discrimination influences context-dependent behaviour,"Emily R. Burdfield-Steel,    David M. Shuker",2014,https://link.springer.com/article/10.1007/s10682-014-9726-7,https://link.springer.com/content/pdf/10.1007%2Fs10682-014-9726-7.pdf,,,1,8,https://doi.org/10.1007/s10682-014-9726-7
Context-dependent functions of specific microRNAs in neuronal development,Fen-Biao Gao,2010,https://link.springer.com/article/10.1186/1749-8104-5-25,https://link.springer.com/content/pdf/10.1186%2F1749-8104-5-25.pdf,,,1,84,https://doi.org/10.1186/1749-8104-5-25
RNF40 regulates gene expression in an epigenetic context-dependent manner,"Wanhua Xie,    Sankari Nagarajan,    Simon J. Baumgart,    Robyn Laura Kosinsky…",2017,https://link.springer.com/article/10.1186/s13059-017-1159-5,https://link.springer.com/content/pdf/10.1186%2Fs13059-017-1159-5.pdf,,,1,5,https://doi.org/10.1186/s13059-017-1159-5
Cognitively Plausible Theories of Concept Composition,Lawrence W. Barsalou,2017,https://link.springer.com/chapter/10.1007/978-3-319-45977-6_2,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45977-6_2.pdf,,,1,4,https://doi.org/10.1007/978-3-319-45977-6_2
Distributed processing and temporal codes in neuronal networks,Wolf Singer,2009,https://link.springer.com/article/10.1007/s11571-009-9087-z,https://link.springer.com/content/pdf/10.1007%2Fs11571-009-9087-z.pdf,,,1,85,https://doi.org/10.1007/s11571-009-9087-z
Ontology-Driven Dynamic Discovery and Distributed Coordination of a Robot Swarm,"Niels Bouten,    Anna Hristoskova,    Femke Ongenae…",2012,https://link.springer.com/chapter/10.1007/978-3-642-30633-4_2,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30633-4_2.pdf,,,1,1,https://doi.org/10.1007/978-3-642-30633-4_2
Modelling mutational and selection pressures on dinucleotides in eukaryotic phyla –selection against CpG and UpA in cytoplasmically expressed RNA and in RNA viruses,"Peter Simmonds,    Wenjun Xia,    J Kenneth Baillie,    Ken McKinnon",2013,https://link.springer.com/article/10.1186/1471-2164-14-610,https://link.springer.com/content/pdf/10.1186%2F1471-2164-14-610.pdf,,,1,10,https://doi.org/10.1186/1471-2164-14-610
Büchi automata for modeling component connectors,"Mohammad Izadi,    Marcello Bonsangue,    Dave Clarke",2011,https://link.springer.com/article/10.1007/s10270-010-0152-1,https://link.springer.com/content/pdf/10.1007%2Fs10270-010-0152-1.pdf,,,1,3,https://doi.org/10.1007/s10270-010-0152-1
A Description Language for Composable Components,"Ioana Sora,    Pierre Verbaeten…",2003,https://link.springer.com/chapter/10.1007/3-540-36578-8_3,https://link.springer.com/content/pdf/10.1007%2F3-540-36578-8_3.pdf,,,1,1,https://doi.org/10.1007/3-540-36578-8_3
Developing highly complex distributed systems: a software engineering perspective,"Marco Autili,    Paola Inverardi…",2012,https://link.springer.com/article/10.1007/s13174-011-0048-5,https://link.springer.com/content/pdf/10.1007%2Fs13174-011-0048-5.pdf,,,1,3,https://doi.org/10.1007/s13174-011-0048-5
Partial Connector Colouring,"Dave Clarke,    José Proença",2012,https://link.springer.com/chapter/10.1007/978-3-642-30829-1_5,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30829-1_5.pdf,,,1,3,https://doi.org/10.1007/978-3-642-30829-1_5
"A lightweight, flow-based toolkit for parallel and distributed bioinformatics pipelines","Marcin Cieślik,    Cameron Mura",2011,https://link.springer.com/article/10.1186/1471-2105-12-61,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-61.pdf,,,1,5,https://doi.org/10.1186/1471-2105-12-61
27th Annual Computational Neuroscience Meeting (CNS*2018): Part One,No author available,2018,https://link.springer.com/article/10.1186/s12868-018-0452-x,https://link.springer.com/content/pdf/10.1186%2Fs12868-018-0452-x.pdf,,,1,No cite count available,https://doi.org/10.1186/s12868-018-0452-x
"Abstracts of the EASD, Stockholm 2010",No author available,2010,https://link.springer.com/article/10.1007/s00125-010-1872-z,https://link.springer.com/content/pdf/10.1007%2Fs00125-010-1872-z.pdf,,,1,1,https://doi.org/10.1007/s00125-010-1872-z
Abstracts of the 48th EASD Annual Meeting of the European Association for the Study of Diabetes,No author available,2012,https://link.springer.com/article/10.1007/s00125-012-2688-9,https://link.springer.com/content/pdf/10.1007%2Fs00125-012-2688-9.pdf,,,1,No cite count available,https://doi.org/10.1007/s00125-012-2688-9
Ambient-aware continuous care through semantic context dissemination,"Femke Ongenae,    Jeroen Famaey…",2014,https://link.springer.com/article/10.1186/1472-6947-14-97,https://link.springer.com/content/pdf/10.1186%2F1472-6947-14-97.pdf,,,1,4,https://doi.org/10.1186/1472-6947-14-97
Achieving Flexible Process Interoperability in the Homecare Domain through Aspect-Oriented Service Composition,"Duc Viet Bui,    Maria Eugenia Iacob,    Marten van Sinderen…",2013,https://link.springer.com/chapter/10.1007/978-3-642-36796-0_6,https://link.springer.com/content/pdf/10.1007%2F978-3-642-36796-0_6.pdf,,,1,1,https://doi.org/10.1007/978-3-642-36796-0_6
Abstracts,No author available,2005,https://link.springer.com/article/10.1007/s00125-005-1909-x,https://link.springer.com/content/pdf/10.1007%2Fs00125-005-1909-x.pdf,,,1,1,https://doi.org/10.1007/s00125-005-1909-x
The core enabling technologies of big data analytics and context-aware computing for smart sustainable cities: a review and synthesis,"Simon Elias Bibri,    John Krogstie",2017,https://link.springer.com/article/10.1186/s40537-017-0091-6,https://link.springer.com/content/pdf/10.1186%2Fs40537-017-0091-6.pdf,,,1,6,https://doi.org/10.1186/s40537-017-0091-6
Formalising Security in Ubiquitous and Cloud Scenarios,"Chiara Bodei,    Pierpaolo Degano…",2012,https://link.springer.com/chapter/10.1007/978-3-642-33260-9_1,https://link.springer.com/content/pdf/10.1007%2F978-3-642-33260-9_1.pdf,,,1,3,https://doi.org/10.1007/978-3-642-33260-9_1
Quality Driven Web Service Composition Modeling Framework,"Georgiana Stegaru,    Cristian Danila…",2012,https://link.springer.com/chapter/10.1007/978-3-642-32775-9_9,https://link.springer.com/content/pdf/10.1007%2F978-3-642-32775-9_9.pdf,,,1,1,https://doi.org/10.1007/978-3-642-32775-9_9
A Conceptual Framework for Adaptation,"Roberto Bruni,    Andrea Corradini…",2012,https://link.springer.com/chapter/10.1007/978-3-642-28872-2_17,https://link.springer.com/content/pdf/10.1007%2F978-3-642-28872-2_17.pdf,,,1,25,https://doi.org/10.1007/978-3-642-28872-2_17
Conceptual Versus Referential Affordance in Concept Composition,"Louise McNally,    Gemma Boleda",2017,https://link.springer.com/chapter/10.1007/978-3-319-45977-6_10,https://link.springer.com/content/pdf/10.1007%2F978-3-319-45977-6_10.pdf,,,1,1,https://doi.org/10.1007/978-3-319-45977-6_10
A Framework for Building Customized Adaptation Proxies,"Hana K. S. Rubinsztejn,    Markus Endler…",2005,https://link.springer.com/chapter/10.1007/0-387-32015-6_1,https://link.springer.com/content/pdf/10.1007%2F0-387-32015-6_1.pdf,,,1,1,https://doi.org/10.1007/0-387-32015-6_1
Interaction-based evolution: how natural selection and nonrandom mutation work together,Adi Livnat,2013,https://link.springer.com/article/10.1186/1745-6150-8-24,https://link.springer.com/content/pdf/10.1186%2F1745-6150-8-24.pdf,,,1,8,https://doi.org/10.1186/1745-6150-8-24
"RNA:DNA hybrids in the human genome have distinctive nucleotide characteristics, chromatin composition, and transcriptional relationships","Julie Nadel,    Rodoniki Athanasiadou,    Christophe Lemetre…",2015,https://link.springer.com/article/10.1186/s13072-015-0040-6,https://link.springer.com/content/pdf/10.1186%2Fs13072-015-0040-6.pdf,,,1,30,https://doi.org/10.1186/s13072-015-0040-6
Host genetic architecture and the landscape of microbiome composition: humans weigh in,Andrew K Benson,2015,https://link.springer.com/article/10.1186/s13059-015-0775-1,https://link.springer.com/content/pdf/10.1186%2Fs13059-015-0775-1.pdf,,,1,7,https://doi.org/10.1186/s13059-015-0775-1
Model Driven Service Composition,"Bart Orriëns,    Jian Yang,    Mike P. Papazoglou",2003,https://link.springer.com/chapter/10.1007/978-3-540-24593-3_6,https://link.springer.com/content/pdf/10.1007%2F978-3-540-24593-3_6.pdf,,,1,11,https://doi.org/10.1007/978-3-540-24593-3_6
Abstract,No author available,1991,https://link.springer.com/article/10.3758/BF03333973,https://link.springer.com/content/pdf/10.3758%2FBF03333973.pdf,,,1,No cite count available,https://doi.org/10.3758/BF03333973
Program-Abstracts,No author available,2009,https://link.springer.com/article/10.1007/s12307-009-0029-4,https://link.springer.com/content/pdf/10.1007%2Fs12307-009-0029-4.pdf,,,1,No cite count available,https://doi.org/10.1007/s12307-009-0029-4
Biological event composition,"Halil Kilicoglu,    Sabine Bergler",2012,https://link.springer.com/article/10.1186/1471-2105-13-S11-S7,https://link.springer.com/content/pdf/10.1186%2F1471-2105-13-S11-S7.pdf,,,1,8,https://doi.org/10.1186/1471-2105-13-S11-S7
