title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
"Context-dependent regulation of feeding behaviour by the insulin receptor, DAF-2, in Caenorhabditis elegans
","James Dillon,    Lindy Holden-Dye,    Vincent O’Connor…",2016,https://link.springer.com/article/10.1007/s10158-016-0187-2,https://link.springer.com/content/pdf/10.1007%2Fs10158-016-0187-2.pdf,,,1,5,https://doi.org/10.1007/s10158-016-0187-2
Automated Fast-Track Reconfiguration of Group Communication Systems,Christoph Kreitz,1999,https://link.springer.com/chapter/10.1007/3-540-49059-0_8,https://link.springer.com/content/pdf/10.1007%2F3-540-49059-0_8.pdf,,,1,1,https://doi.org/10.1007/3-540-49059-0_8
Biomass composition: the “elephant in the room” of metabolic modelling,"Duygu Dikicioglu,    Betul Kırdar,    Stephen G. Oliver",2015,https://link.springer.com/article/10.1007/s11306-015-0819-2,https://link.springer.com/content/pdf/10.1007%2Fs11306-015-0819-2.pdf,,,1,15,https://doi.org/10.1007/s11306-015-0819-2
"A lightweight, flow-based toolkit for parallel and distributed bioinformatics pipelines","Marcin Cieślik,    Cameron Mura",2011,https://link.springer.com/article/10.1186/1471-2105-12-61,https://link.springer.com/content/pdf/10.1186%2F1471-2105-12-61.pdf,,,1,5,https://doi.org/10.1186/1471-2105-12-61
An Architecture for Requirements-Driven Self-reconfiguration,"Fabiano Dalpiaz,    Paolo Giorgini…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02144-2_22,https://link.springer.com/content/pdf/10.1007%2F978-3-642-02144-2_22.pdf,,,1,7,https://doi.org/10.1007/978-3-642-02144-2_22
Designing the 5G network infrastructure: a flexible and reconfigurable architecture based on context and content information,"Dario Sabella,    Pablo Serrano,    Giovanni Stea…",2018,https://link.springer.com/article/10.1186/s13638-018-1215-1,https://link.springer.com/content/pdf/10.1186%2Fs13638-018-1215-1.pdf,,,1,No cite count available,https://doi.org/10.1186/s13638-018-1215-1
Semantics of Cyber-Physical Systems,"Tharam Dillon,    Elizabeth Chang,    Jaipal Singh…",2012,https://link.springer.com/chapter/10.1007/978-3-642-32891-6_3,https://link.springer.com/content/pdf/10.1007%2F978-3-642-32891-6_3.pdf,,,1,3,https://doi.org/10.1007/978-3-642-32891-6_3
Ethical requirements for reconfigurable sensor technology: a challenge for value sensitive design,"Francien Dechesne,    Martijn Warnier…",2013,https://link.springer.com/article/10.1007/s10676-013-9326-1,https://link.springer.com/content/pdf/10.1007%2Fs10676-013-9326-1.pdf,,,1,8,https://doi.org/10.1007/s10676-013-9326-1
Abstracts,No author available,2005,https://link.springer.com/article/10.1007/s00125-005-1909-x,https://link.springer.com/content/pdf/10.1007%2Fs00125-005-1909-x.pdf,,,1,1,https://doi.org/10.1007/s00125-005-1909-x
Automatically composing reusable software components for mobile devices,"Jules White,    Douglas C. Schmidt,    Egon Wuchner…",2008,https://link.springer.com/article/10.1007/BF03192550,https://link.springer.com/content/pdf/10.1007%2FBF03192550.pdf,,,1,8,https://doi.org/10.1007/BF03192550
Basic Concepts on Systems of Systems,"Andrea Ceccarelli,    Andrea Bondavalli,    Bernhard Froemel…",2016,https://link.springer.com/chapter/10.1007/978-3-319-47590-5_1,https://link.springer.com/content/pdf/10.1007%2F978-3-319-47590-5_1.pdf,,,1,2,https://doi.org/10.1007/978-3-319-47590-5_1
"Trust, Reputation, and Risk in Cyber Physical Systems","Elizabeth Chang,    Tharam Dillon",2013,https://link.springer.com/chapter/10.1007/978-3-642-41142-7_1,https://link.springer.com/content/pdf/10.1007%2F978-3-642-41142-7_1.pdf,,,1,1,https://doi.org/10.1007/978-3-642-41142-7_1
