title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic Links for Mobile Connected Context-Sensitive Systems,"Philip Gray,    Meurig Sage",2001,https://link.springer.com/chapter/10.1007/3-540-45348-2_24,https://link.springer.com/content/pdf/10.1007%2F3-540-45348-2_24.pdf,,,1,No cite count available,https://doi.org/10.1007/3-540-45348-2_24
Implicit Context-Sensitive Mobile Computing Using Semantic Policies,"Hamid Harroud,    Ahmed Karmouch",2006,https://link.springer.com/chapter/10.1007/11880905_16,https://link.springer.com/content/pdf/10.1007%2F11880905_16.pdf,,,1,No cite count available,https://doi.org/10.1007/11880905_16
Task and Context Sensitive Gripper Design Learning Using Dynamic Grasp Simulation,"A. Wolniakowski,    K. Miatliuk,    Z. Gosiewski…",2017,https://link.springer.com/article/10.1007/s10846-017-0492-y,https://link.springer.com/content/pdf/10.1007%2Fs10846-017-0492-y.pdf,,,1,No cite count available,https://doi.org/10.1007/s10846-017-0492-y
Implementation science for ambulatory care safety: a novel method to develop context-sensitive interventions to reduce quality gaps in monitoring high-risk patients,"Kathryn M. McDonald,    George Su,    Sarah Lisker,    Emily S. Patterson…",2017,https://link.springer.com/article/10.1186/s13012-017-0609-5,https://link.springer.com/content/pdf/10.1186%2Fs13012-017-0609-5.pdf,,,1,No cite count available,https://doi.org/10.1186/s13012-017-0609-5
ECR 2018 - BOOK OF ABSTRACTS,No author available,2018,https://link.springer.com/article/10.1007/s13244-018-0603-8,https://link.springer.com/content/pdf/10.1007%2Fs13244-018-0603-8.pdf,,,1,2,https://doi.org/10.1007/s13244-018-0603-8
"Evolutionary Connectionism: Algorithmic Principles Underlying the Evolution of Biological Organisation in Evo-Devo, Evo-Eco and Evolutionary Transitions","Richard A. Watson,    Rob Mills,    C. L. Buckley,    Kostas Kouvaris…",2016,https://link.springer.com/article/10.1007/s11692-015-9358-z,https://link.springer.com/content/pdf/10.1007%2Fs11692-015-9358-z.pdf,,,1,11,https://doi.org/10.1007/s11692-015-9358-z
Reconciling real and stochastic time: the need for probabilistic refinement,"J. Markovski,    P. R. D’Argenio,    J. C. M. Baeten…",2012,https://link.springer.com/article/10.1007/s00165-012-0230-y,https://link.springer.com/content/pdf/10.1007%2Fs00165-012-0230-y.pdf,,,1,3,https://doi.org/10.1007/s00165-012-0230-y
Code generation by model transformation: a case study in transformation modularity,"Zef Hemel,    Lennart C. L. Kats,    Danny M. Groenewegen…",2010,https://link.springer.com/article/10.1007/s10270-009-0136-1,https://link.springer.com/content/pdf/10.1007%2Fs10270-009-0136-1.pdf,,,1,15,https://doi.org/10.1007/s10270-009-0136-1
Inference and Learning with Hierarchical Shape Models,"Iasonas Kokkinos,    Alan Yuille",2011,https://link.springer.com/article/10.1007/s11263-010-0398-7,https://link.springer.com/content/pdf/10.1007%2Fs11263-010-0398-7.pdf,,,1,13,https://doi.org/10.1007/s11263-010-0398-7
An Aspect Oriented Approach for Context-Aware Service Domain Adapted to E-Business,"Khouloud Boukadi,    Chirine Ghedira…",2008,https://link.springer.com/chapter/10.1007/978-3-540-69534-9_5,https://link.springer.com/content/pdf/10.1007%2F978-3-540-69534-9_5.pdf,,,1,3,https://doi.org/10.1007/978-3-540-69534-9_5
