title,author,date,link,pdf_link,query,search_engine,nr_found,cite_count,doi
Dynamic Links for Mobile Connected Context-Sensitive Systems,"Philip Gray,    Meurig Sage",2001,https://link.springer.com/chapter/10.1007/3-540-45348-2_24,https://link.springer.com/content/pdf/10.1007%2F3-540-45348-2_24.pdf,,,1,No cite count available,https://doi.org/10.1007/3-540-45348-2_24
Implicit Context-Sensitive Mobile Computing Using Semantic Policies,"Hamid Harroud,    Ahmed Karmouch",2006,https://link.springer.com/chapter/10.1007/11880905_16,https://link.springer.com/content/pdf/10.1007%2F11880905_16.pdf,,,1,No cite count available,https://doi.org/10.1007/11880905_16
Approximated Context-Sensitive Analysis for Parameterized Verification,"Parosh Aziz Abdulla,    Giorgio Delzanno…",2009,https://link.springer.com/chapter/10.1007/978-3-642-02138-1_3,https://link.springer.com/content/pdf/10.1007%2F978-3-642-02138-1_3.pdf,,,1,2,https://doi.org/10.1007/978-3-642-02138-1_3
Reconciling real and stochastic time: the need for probabilistic refinement,"J. Markovski,    P. R. D’Argenio,    J. C. M. Baeten…",2012,https://link.springer.com/article/10.1007/s00165-012-0230-y,https://link.springer.com/content/pdf/10.1007%2Fs00165-012-0230-y.pdf,,,1,3,https://doi.org/10.1007/s00165-012-0230-y
"Distributed Representations, Simple Recurrent Networks, And Grammatical Structure",Jeffrey L. Elman,1991,https://link.springer.com/article/10.1023/A%3A1022699029236,https://link.springer.com/content/pdf/10.1023%2FA%3A1022699029236.pdf,,,1,24,https://doi.org/10.1023/A:1022699029236
"Distributed representations, simple recurrent networks, and grammatical structure",Jeffrey L. Elman,1991,https://link.springer.com/article/10.1007/BF00114844,https://link.springer.com/content/pdf/10.1007%2FBF00114844.pdf,,,1,298,https://doi.org/10.1007/BF00114844
Code generation by model transformation: a case study in transformation modularity,"Zef Hemel,    Lennart C. L. Kats,    Danny M. Groenewegen…",2010,https://link.springer.com/article/10.1007/s10270-009-0136-1,https://link.springer.com/content/pdf/10.1007%2Fs10270-009-0136-1.pdf,,,1,15,https://doi.org/10.1007/s10270-009-0136-1
Fundamental methodological issues of syntactic pattern recognition,"Mariusz Flasiński,    Janusz Jurek",2014,https://link.springer.com/article/10.1007/s10044-013-0322-1,https://link.springer.com/content/pdf/10.1007%2Fs10044-013-0322-1.pdf,,,1,6,https://doi.org/10.1007/s10044-013-0322-1
Model Checking Distributed Systems against Temporal-Epistemic Specifications,"Andreas Griesmayer,    Alessio Lomuscio",2013,https://link.springer.com/chapter/10.1007/978-3-642-38592-6_10,https://link.springer.com/content/pdf/10.1007%2F978-3-642-38592-6_10.pdf,,,1,No cite count available,https://doi.org/10.1007/978-3-642-38592-6_10
Modeling Software Architectures and Styles with Graph Grammars and Constraint Solving,"Dan Hirsch,    Paola Inverardi,    Ugo Montanari",1999,https://link.springer.com/chapter/10.1007/978-0-387-35563-4_8,https://link.springer.com/content/pdf/10.1007%2F978-0-387-35563-4_8.pdf,,,1,11,https://doi.org/10.1007/978-0-387-35563-4_8
Secure Multi-Execution through Static Program Transformation,"Gilles Barthe,    Juan Manuel Crespo…",2012,https://link.springer.com/chapter/10.1007/978-3-642-30793-5_12,https://link.springer.com/content/pdf/10.1007%2F978-3-642-30793-5_12.pdf,,,1,10,https://doi.org/10.1007/978-3-642-30793-5_12
